cohort,model,groups,support,attempts,available,no_singletons,all_groups_represented,shared_workers_median,ari_median
all26,QB,12,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.13028608918388856
all26,QB,12,primary_6rows_3buildings,100,78,0,52,25.0,0.10447236213535704
all26,QS,2,diagnostic_3rows_2buildings,100,69,7,69,25.0,1.0
all26,QS,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,3,diagnostic_3rows_2buildings,100,69,4,69,25.0,0.14082427171432407
all26,QS,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,4,diagnostic_3rows_2buildings,100,69,0,69,25.0,0.19913885898815936
all26,QS,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,5,diagnostic_3rows_2buildings,100,69,0,64,25.0,0.1701894473148583
all26,QS,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,6,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.18699186991869915
all26,QS,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,7,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.17099144031812363
all26,QS,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,8,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.1641848400422711
all26,QS,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,9,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.15794481446241676
all26,QS,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,10,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.1454150841020076
all26,QS,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,11,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.12431318681318682
all26,QS,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QS,12,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.11199999999999999
all26,QS,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,2,diagnostic_3rows_2buildings,100,69,6,69,25.0,0.4209466263846928
all26,QSB,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,3,diagnostic_3rows_2buildings,100,69,2,69,25.0,0.20097161851188952
all26,QSB,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,4,diagnostic_3rows_2buildings,100,69,1,69,25.0,0.18252290345313604
all26,QSB,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,5,diagnostic_3rows_2buildings,100,69,1,69,25.0,0.2012516469038208
all26,QSB,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,6,diagnostic_3rows_2buildings,100,69,0,67,25.0,0.20521379748847562
all26,QSB,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,7,diagnostic_3rows_2buildings,100,69,0,59,25.0,0.24815335912768202
all26,QSB,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,8,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.2283051834595224
all26,QSB,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,9,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.20398009950248758
all26,QSB,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,10,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.22413793103448276
all26,QSB,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,11,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.18527459263729634
all26,QSB,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QSB,12,diagnostic_3rows_2buildings,100,69,0,57,25.0,0.16
all26,QSB,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QT,2,diagnostic_3rows_2buildings,100,100,0,100,24.0,1.0
all26,QT,2,primary_6rows_3buildings,100,100,0,96,22.0,1.0
