cohort,model,groups,role,support,attempts,available,both_at_least_2,jaccard_median,adjusted_jaccard_median
all26,Q,8,quality_low,diagnostic_3rows_2buildings,100,100,2,0.5,0.4791666666666667
all26,Q,8,quality_low,primary_6rows_3buildings,100,100,2,0.5,0.4791666666666667
all26,Q,9,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,9,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,9,quality_low,diagnostic_3rows_2buildings,100,100,2,0.5,0.4791666666666667
all26,Q,9,quality_low,primary_6rows_3buildings,100,100,2,0.5,0.4791666666666667
all26,Q,10,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,10,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,10,quality_low,diagnostic_3rows_2buildings,100,100,1,0.75,0.7395833333333334
all26,Q,10,quality_low,primary_6rows_3buildings,100,100,1,0.75,0.7395833333333334
all26,Q,11,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,11,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,11,quality_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,11,quality_low,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,12,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,12,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,12,quality_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,12,quality_low,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,QB,2,benefit_high,diagnostic_3rows_2buildings,100,100,100,1.0,1.0
all26,QB,2,benefit_high,primary_6rows_3buildings,100,91,91,0.782608695652174,0.11347517730496444
all26,QB,2,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,2,benefit_low,primary_6rows_3buildings,100,91,2,0.1111111111111111,0.07407407407407406
all26,QB,2,edit_high,diagnostic_3rows_2buildings,100,100,87,1.0,1.0
all26,QB,2,edit_high,primary_6rows_3buildings,100,91,82,0.6,0.0
all26,QB,2,edit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,2,edit_low,primary_6rows_3buildings,100,91,2,0.0,0.0
all26,QB,2,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,2,quality_high,primary_6rows_3buildings,100,91,2,0.1111111111111111,0.07407407407407406
all26,QB,2,quality_low,diagnostic_3rows_2buildings,100,100,100,1.0,1.0
all26,QB,2,quality_low,primary_6rows_3buildings,100,91,91,0.7619047619047619,0.11347517730496444
all26,QB,3,benefit_high,diagnostic_3rows_2buildings,100,100,100,0.6666666666666666,0.027532251536077735
all26,QB,3,benefit_high,primary_6rows_3buildings,100,91,90,0.5416666666666666,0.0861088977423639
all26,QB,3,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,3,benefit_low,primary_6rows_3buildings,100,91,0,1.0,1.0
all26,QB,3,edit_high,diagnostic_3rows_2buildings,100,100,100,0.4472222222222222,0.1803454867329354
all26,QB,3,edit_high,primary_6rows_3buildings,100,91,88,0.4444444444444444,0.2212389380530973
all26,QB,3,edit_low,diagnostic_3rows_2buildings,100,100,62,0.16666666666666666,0.05692707564523884
all26,QB,3,edit_low,primary_6rows_3buildings,100,91,62,0.1875,0.08211984629164137
all26,QB,3,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,3,quality_high,primary_6rows_3buildings,100,91,0,1.0,1.0
all26,QB,3,quality_low,diagnostic_3rows_2buildings,100,100,100,0.5217391304347826,0.14868489286618314
all26,QB,3,quality_low,primary_6rows_3buildings,100,91,87,0.3125,0.12037037037037035
all26,QB,4,benefit_high,diagnostic_3rows_2buildings,100,100,100,0.7573529411764706,0.5948130582115501
all26,QB,4,benefit_high,primary_6rows_3buildings,100,89,85,0.625,0.4230065803143126
all26,QB,4,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,4,benefit_low,primary_6rows_3buildings,100,89,0,1.0,1.0
all26,QB,4,edit_high,diagnostic_3rows_2buildings,100,100,100,0.8,0.742285213888337
all26,QB,4,edit_high,primary_6rows_3buildings,100,89,88,0.8,0.742285213888337
all26,QB,4,edit_low,diagnostic_3rows_2buildings,100,100,88,0.6,0.5585063560798978
all26,QB,4,edit_low,primary_6rows_3buildings,100,89,67,0.6666666666666666,0.6414435389988358
all26,QB,4,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,4,quality_high,primary_6rows_3buildings,100,89,0,1.0,1.0
all26,QB,4,quality_low,diagnostic_3rows_2buildings,100,100,95,0.1380952380952381,-0.027016115379685457
all26,QB,4,quality_low,primary_6rows_3buildings,100,89,79,0.15384615384615385,0.0720713670866265
all26,QB,5,benefit_high,diagnostic_3rows_2buildings,100,100,96,0.3333333333333333,0.17778739307454772
all26,QB,5,benefit_high,primary_6rows_3buildings,100,88,79,0.2403846153846154,0.0908112917265779
all26,QB,5,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,5,benefit_low,primary_6rows_3buildings,100,88,0,1.0,1.0
all26,QB,5,edit_high,diagnostic_3rows_2buildings,100,100,100,0.8,0.742285213888337
all26,QB,5,edit_high,primary_6rows_3buildings,100,88,86,0.6666666666666666,0.6055386261706457
all26,QB,5,edit_low,diagnostic_3rows_2buildings,100,100,79,0.6333333333333333,0.602454781009601
all26,QB,5,edit_low,primary_6rows_3buildings,100,88,64,0.6666666666666666,0.6442581317413455
all26,QB,5,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,5,quality_high,primary_6rows_3buildings,100,88,0,1.0,1.0
all26,QB,5,quality_low,diagnostic_3rows_2buildings,100,100,93,0.3798076923076923,0.29931319280586854
all26,QB,5,quality_low,primary_6rows_3buildings,100,88,77,0.4,0.35026228511959345
all26,QB,6,benefit_high,diagnostic_3rows_2buildings,100,100,89,0.20714285714285713,0.13332718780727632
all26,QB,6,benefit_high,primary_6rows_3buildings,100,88,71,0.2,0.0981175507058418
all26,QB,6,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,6,benefit_low,primary_6rows_3buildings,100,88,0,1.0,1.0
all26,QB,6,edit_high,diagnostic_3rows_2buildings,100,100,95,0.5555555555555556,0.46615539328359035
all26,QB,6,edit_high,primary_6rows_3buildings,100,88,74,0.4444444444444444,0.34745031196392673
all26,QB,6,edit_low,diagnostic_3rows_2buildings,100,100,58,0.5,0.4533174306342783
all26,QB,6,edit_low,primary_6rows_3buildings,100,88,53,0.5,0.4772727272727273
all26,QB,6,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,6,quality_high,primary_6rows_3buildings,100,88,0,1.0,1.0
all26,QB,6,quality_low,diagnostic_3rows_2buildings,100,100,83,0.4,0.3449159783537454
all26,QB,6,quality_low,primary_6rows_3buildings,100,88,69,0.4,0.3556085918854415
all26,QB,7,benefit_high,diagnostic_3rows_2buildings,100,100,81,0.2,0.09300729542719614
all26,QB,7,benefit_high,primary_6rows_3buildings,100,88,62,0.14285714285714285,0.0698569237169174
all26,QB,7,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,7,benefit_low,primary_6rows_3buildings,100,88,1,1.0,1.0
all26,QB,7,edit_high,diagnostic_3rows_2buildings,100,100,84,0.4,0.34998175022480865
all26,QB,7,edit_high,primary_6rows_3buildings,100,88,60,0.26785714285714285,0.20552884615384615
all26,QB,7,edit_low,diagnostic_3rows_2buildings,100,100,37,0.3333333333333333,0.3055555555555556
all26,QB,7,edit_low,primary_6rows_3buildings,100,88,38,0.5,0.46466809421841543
all26,QB,7,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,7,quality_high,primary_6rows_3buildings,100,88,0,1.0,1.0
all26,QB,7,quality_low,diagnostic_3rows_2buildings,100,100,72,0.4,0.3556085918854415
all26,QB,7,quality_low,primary_6rows_3buildings,100,88,58,0.4,0.3556085918854415
all26,QB,8,benefit_high,diagnostic_3rows_2buildings,100,100,73,0.18181818181818182,0.10408258310483456
all26,QB,8,benefit_high,primary_6rows_3buildings,100,86,57,0.13392857142857142,0.06674571603427173
all26,QB,8,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,8,benefit_low,primary_6rows_3buildings,100,86,1,1.0,1.0
all26,QB,8,edit_high,diagnostic_3rows_2buildings,100,100,65,0.25,0.19032387045181925
all26,QB,8,edit_high,primary_6rows_3buildings,100,86,42,0.25,0.16696838040067585
all26,QB,8,edit_low,diagnostic_3rows_2buildings,100,100,28,0.3333333333333333,0.3055555555555556
all26,QB,8,edit_low,primary_6rows_3buildings,100,86,23,0.45,0.4101383430519285
all26,QB,8,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,8,quality_high,primary_6rows_3buildings,100,86,0,1.0,1.0
all26,QB,8,quality_low,diagnostic_3rows_2buildings,100,100,62,0.5,0.4556785639386467
all26,QB,8,quality_low,primary_6rows_3buildings,100,86,53,0.5,0.4518570536828964
all26,QB,9,benefit_high,diagnostic_3rows_2buildings,100,100,66,0.17424242424242425,0.11847818880933438
all26,QB,9,benefit_high,primary_6rows_3buildings,100,86,50,0.13392857142857142,0.07350611638795432
all26,QB,9,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,9,benefit_low,primary_6rows_3buildings,100,86,0,1.0,1.0
all26,QB,9,edit_high,diagnostic_3rows_2buildings,100,100,42,0.2,0.16666666666666669
all26,QB,9,edit_high,primary_6rows_3buildings,100,86,26,0.2,0.14666666666666667
all26,QB,9,edit_low,diagnostic_3rows_2buildings,100,100,20,0.3333333333333333,0.3055555555555556
all26,QB,9,edit_low,primary_6rows_3buildings,100,86,19,0.5,0.47673160173160173
all26,QB,9,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,9,quality_high,primary_6rows_3buildings,100,86,0,1.0,1.0
all26,QB,9,quality_low,diagnostic_3rows_2buildings,100,100,49,0.5,0.47191738044254106
all26,QB,9,quality_low,primary_6rows_3buildings,100,86,39,0.5,0.46770833333333334
all26,QB,10,benefit_high,diagnostic_3rows_2buildings,100,100,58,0.16666666666666666,0.11847818880933438
all26,QB,10,benefit_high,primary_6rows_3buildings,100,81,43,0.16666666666666666,0.099002849002849
all26,QB,10,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,10,benefit_low,primary_6rows_3buildings,100,81,0,1.0,1.0
all26,QB,10,edit_high,diagnostic_3rows_2buildings,100,100,17,0.2,0.16666666666666669
all26,QB,10,edit_high,primary_6rows_3buildings,100,81,11,0.2,0.16190476190476188
all26,QB,10,edit_low,diagnostic_3rows_2buildings,100,100,11,0.5,0.4791666666666667
all26,QB,10,edit_low,primary_6rows_3buildings,100,81,9,0.5,0.4791666666666667
all26,QB,10,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,10,quality_high,primary_6rows_3buildings,100,81,0,1.0,1.0
all26,QB,10,quality_low,diagnostic_3rows_2buildings,100,100,41,0.5,0.4791666666666667
all26,QB,10,quality_low,primary_6rows_3buildings,100,81,34,0.5,0.47500000000000003
all26,QB,11,benefit_high,diagnostic_3rows_2buildings,100,100,48,0.16666666666666666,0.13194444444444442
all26,QB,11,benefit_high,primary_6rows_3buildings,100,81,30,0.16666666666666666,0.09016108104686857
all26,QB,11,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,11,benefit_low,primary_6rows_3buildings,100,81,0,1.0,1.0
all26,QB,11,edit_high,diagnostic_3rows_2buildings,100,100,8,0.2,0.16666666666666669
all26,QB,11,edit_high,primary_6rows_3buildings,100,81,5,0.2,0.16666666666666669
all26,QB,11,edit_low,diagnostic_3rows_2buildings,100,100,4,0.5,0.4791666666666667
all26,QB,11,edit_low,primary_6rows_3buildings,100,81,4,0.5,0.4791666666666667
all26,QB,11,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,11,quality_high,primary_6rows_3buildings,100,81,0,1.0,1.0
all26,QB,11,quality_low,diagnostic_3rows_2buildings,100,100,29,0.5,0.4791666666666667
all26,QB,11,quality_low,primary_6rows_3buildings,100,81,19,0.5,0.4772727272727273
all26,QB,12,benefit_high,diagnostic_3rows_2buildings,100,100,37,0.16666666666666666,0.09758650711054645
all26,QB,12,benefit_high,primary_6rows_3buildings,100,78,21,0.08333333333333333,0.045080540523434284
all26,QB,12,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,12,benefit_low,primary_6rows_3buildings,100,78,0,1.0,1.0
all26,QB,12,edit_high,diagnostic_3rows_2buildings,100,100,3,0.25,0.21875
all26,QB,12,edit_high,primary_6rows_3buildings,100,78,2,0.25,0.21875
all26,QB,12,edit_low,diagnostic_3rows_2buildings,100,100,3,0.5,0.4791666666666667
all26,QB,12,edit_low,primary_6rows_3buildings,100,78,3,0.5,0.4791666666666667
all26,QB,12,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,QB,12,quality_high,primary_6rows_3buildings,100,78,0,1.0,1.0
all26,QB,12,quality_low,diagnostic_3rows_2buildings,100,100,18,0.5,0.4791666666666667
all26,QB,12,quality_low,primary_6rows_3buildings,100,78,13,0.5,0.4791666666666667
all26,QS,2,quality_high,diagnostic_3rows_2buildings,100,69,1,1.0,1.0
all26,QS,2,quality_high,primary_6rows_3buildings,100,0,0,,
all26,QS,2,quality_low,diagnostic_3rows_2buildings,100,69,69,1.0,1.0
all26,QS,2,quality_low,primary_6rows_3buildings,100,0,0,,
all26,QS,2,scope_accept_high,diagnostic_3rows_2buildings,100,69,64,1.0,1.0
all26,QS,2,scope_accept_high,primary_6rows_3buildings,100,0,0,,
all26,QS,2,scope_accept_low,diagnostic_3rows_2buildings,100,69,2,1.0,1.0
all26,QS,2,scope_accept_low,primary_6rows_3buildings,100,0,0,,
all26,QS,2,scope_reject_high,diagnostic_3rows_2buildings,100,65,49,1.0,1.0
all26,QS,2,scope_reject_high,primary_6rows_3buildings,100,0,0,,
all26,QS,2,scope_reject_low,diagnostic_3rows_2buildings,100,65,10,1.0,1.0
all26,QS,2,scope_reject_low,primary_6rows_3buildings,100,0,0,,
all26,QS,3,quality_high,diagnostic_3rows_2buildings,100,69,0,1.0,1.0
all26,QS,3,quality_high,primary_6rows_3buildings,100,0,0,,
all26,QS,3,quality_low,diagnostic_3rows_2buildings,100,69,69,0.5,0.16333423442875214
all26,QS,3,quality_low,primary_6rows_3buildings,100,0,0,,
all26,QS,3,scope_accept_high,diagnostic_3rows_2buildings,100,69,67,0.3333333333333333,0.09788324304493397
all26,QS,3,scope_accept_high,primary_6rows_3buildings,100,0,0,,
all26,QS,3,scope_accept_low,diagnostic_3rows_2buildings,100,64,7,1.0,1.0
all26,QS,3,scope_accept_low,primary_6rows_3buildings,100,0,0,,
all26,QS,3,scope_reject_high,diagnostic_3rows_2buildings,100,68,58,0.21825396825396826,0.10574827748354183
all26,QS,3,scope_reject_high,primary_6rows_3buildings,100,0,0,,
all26,QS,3,scope_reject_low,diagnostic_3rows_2buildings,100,63,12,0.0,-0.04166666666666667
all26,QS,3,scope_reject_low,primary_6rows_3buildings,100,0,0,,
all26,QS,4,quality_high,diagnostic_3rows_2buildings,100,69,0,1.0,1.0
all26,QS,4,quality_high,primary_6rows_3buildings,100,0,0,,
all26,QS,4,quality_low,diagnostic_3rows_2buildings,100,69,69,0.42105263157894735,0.21028687187762882
all26,QS,4,quality_low,primary_6rows_3buildings,100,0,0,,
all26,QS,4,scope_accept_high,diagnostic_3rows_2buildings,100,65,64,0.21428571428571427,0.13470993117010818
all26,QS,4,scope_accept_high,primary_6rows_3buildings,100,0,0,,
all26,QS,4,scope_accept_low,diagnostic_3rows_2buildings,100,60,7,0.0,-0.04166666666666667
all26,QS,4,scope_accept_low,primary_6rows_3buildings,100,0,0,,
all26,QS,4,scope_reject_high,diagnostic_3rows_2buildings,100,68,52,0.42857142857142855,0.3655391193407123
all26,QS,4,scope_reject_high,primary_6rows_3buildings,100,0,0,,
all26,QS,4,scope_reject_low,diagnostic_3rows_2buildings,100,64,14,0.0,-0.04166666666666667
all26,QS,4,scope_reject_low,primary_6rows_3buildings,100,0,0,,
all26,QS,5,quality_high,diagnostic_3rows_2buildings,100,69,0,1.0,1.0
all26,QS,5,quality_high,primary_6rows_3buildings,100,0,0,,
all26,QS,5,quality_low,diagnostic_3rows_2buildings,100,69,68,0.3333333333333333,0.2824192721681189
all26,QS,5,quality_low,primary_6rows_3buildings,100,0,0,,
