cohort,model,groups,group,support,attempts,available,both_at_least_2,jaccard_median,chance_jaccard_median,adjusted_jaccard_median
all26,B,11,2,primary_6rows_3buildings,100,81,6,0.5,0.038461538461538464,0.48000000000000004
all26,B,11,3,diagnostic_3rows_2buildings,100,100,17,0.0,0.038461538461538464,-0.04
all26,B,11,3,primary_6rows_3buildings,100,81,13,0.0,0.038461538461538464,-0.04
all26,B,11,4,diagnostic_3rows_2buildings,100,100,24,0.0,0.038461538461538464,-0.04
all26,B,11,4,primary_6rows_3buildings,100,81,19,0.0,0.038461538461538464,-0.04
all26,B,11,5,diagnostic_3rows_2buildings,100,100,30,0.0,0.038461538461538464,-0.04
all26,B,11,5,primary_6rows_3buildings,100,81,24,0.0,0.038461538461538464,-0.04
all26,B,11,6,diagnostic_3rows_2buildings,100,100,48,0.0,0.038461538461538464,-0.04
all26,B,11,6,primary_6rows_3buildings,100,81,38,0.0,0.043478260869565216,-0.039999999999999994
all26,B,11,7,diagnostic_3rows_2buildings,100,100,45,0.0,0.038461538461538464,-0.04
all26,B,11,7,primary_6rows_3buildings,100,81,39,0.0,0.05923076923076923,-0.04
all26,B,11,8,diagnostic_3rows_2buildings,100,100,47,0.0,0.038461538461538464,-0.04
all26,B,11,8,primary_6rows_3buildings,100,81,36,0.0,0.058823529411764705,-0.04
all26,B,11,9,diagnostic_3rows_2buildings,100,100,72,0.16666666666666666,0.05246963562753036,0.09352076534739073
all26,B,11,9,primary_6rows_3buildings,100,81,51,0.0,0.05923076923076923,0.0
all26,B,11,10,diagnostic_3rows_2buildings,100,100,79,0.2,0.06338461538461539,0.14586070959264127
all26,B,11,10,primary_6rows_3buildings,100,81,56,0.2,0.06204906204906205,0.12080647826805489
all26,B,11,11,diagnostic_3rows_2buildings,100,100,14,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,B,11,11,primary_6rows_3buildings,100,81,11,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,B,12,1,diagnostic_3rows_2buildings,100,100,51,0.6666666666666666,0.05230769230769231,0.6456800218043063
all26,B,12,1,primary_6rows_3buildings,100,78,27,0.6666666666666666,0.044466403162055336,0.6456800218043063
all26,B,12,2,diagnostic_3rows_2buildings,100,100,4,0.41666666666666663,0.038461538461538464,0.3933333333333333
all26,B,12,2,primary_6rows_3buildings,100,78,4,0.0,0.038461538461538464,0.0
all26,B,12,3,diagnostic_3rows_2buildings,100,100,10,0.0,0.038461538461538464,-0.04
all26,B,12,3,primary_6rows_3buildings,100,78,8,0.0,0.038461538461538464,-0.04
all26,B,12,4,diagnostic_3rows_2buildings,100,100,28,0.0,0.038461538461538464,-0.04
all26,B,12,4,primary_6rows_3buildings,100,78,22,0.0,0.038461538461538464,-0.04
all26,B,12,5,diagnostic_3rows_2buildings,100,100,23,0.0,0.038461538461538464,-0.04
all26,B,12,5,primary_6rows_3buildings,100,78,20,0.0,0.038461538461538464,-0.04
all26,B,12,6,diagnostic_3rows_2buildings,100,100,37,0.0,0.038461538461538464,-0.04
all26,B,12,6,primary_6rows_3buildings,100,78,31,0.0,0.038461538461538464,-0.04
all26,B,12,7,diagnostic_3rows_2buildings,100,100,38,0.0,0.038461538461538464,-0.04
all26,B,12,7,primary_6rows_3buildings,100,78,32,0.0,0.043478260869565216,-0.04
all26,B,12,8,diagnostic_3rows_2buildings,100,100,48,0.0,0.038461538461538464,-0.04
all26,B,12,8,primary_6rows_3buildings,100,78,34,0.0,0.05230769230769231,-0.04
all26,B,12,9,diagnostic_3rows_2buildings,100,100,45,0.0,0.038461538461538464,-0.04
all26,B,12,9,primary_6rows_3buildings,100,78,36,0.0,0.05230769230769231,-0.047619047619047616
all26,B,12,10,diagnostic_3rows_2buildings,100,100,66,0.2,0.05230769230769231,0.13789530401624736
all26,B,12,10,primary_6rows_3buildings,100,78,47,0.2,0.05263157894736842,0.14187800680444432
all26,B,12,11,diagnostic_3rows_2buildings,100,100,69,0.16666666666666666,0.05923076923076923,0.09352076534739073
all26,B,12,11,primary_6rows_3buildings,100,78,43,0.0,0.05902714932126697,-0.04
all26,B,12,12,diagnostic_3rows_2buildings,100,100,4,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,B,12,12,primary_6rows_3buildings,100,78,3,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,B,13,1,diagnostic_3rows_2buildings,100,100,44,0.5,0.038461538461538464,0.48000000000000004
all26,B,13,1,primary_6rows_3buildings,100,78,22,0.5,0.038461538461538464,0.48000000000000004
all26,B,13,2,diagnostic_3rows_2buildings,100,100,2,0.3333333333333333,0.038461538461538464,0.30160173160173154
all26,B,13,2,primary_6rows_3buildings,100,78,2,0.0,0.038461538461538464,0.0
all26,B,13,3,diagnostic_3rows_2buildings,100,100,4,0.0,0.038461538461538464,-0.04
all26,B,13,3,primary_6rows_3buildings,100,78,4,0.0,0.038461538461538464,-0.04
all26,B,13,4,diagnostic_3rows_2buildings,100,100,22,0.0,0.038461538461538464,-0.04
all26,B,13,4,primary_6rows_3buildings,100,78,19,0.0,0.038461538461538464,-0.04
all26,B,13,5,diagnostic_3rows_2buildings,100,100,20,0.0,0.038461538461538464,-0.04
all26,B,13,5,primary_6rows_3buildings,100,78,15,0.0,0.038461538461538464,-0.04
all26,B,13,6,diagnostic_3rows_2buildings,100,100,27,0.0,0.038461538461538464,-0.04
all26,B,13,6,primary_6rows_3buildings,100,78,24,0.0,0.038461538461538464,-0.04
all26,B,13,7,diagnostic_3rows_2buildings,100,100,41,0.0,0.038461538461538464,-0.04
