cohort,model,groups,workers,sizes,singleton_groups,min_size,max_size
all26,QTS,5,24,7|8|5|3|1,1,1,8
all26,QTS,6,24,1|8|5|6|3|1,2,1,8
all26,QTS,7,24,1|2|5|6|6|3|1,2,1,6
all26,QTS,8,24,1|2|5|6|6|1|2|1,3,1,6
all26,QTS,9,24,1|2|2|6|6|3|1|2|1,3,1,6
all26,QTS,10,24,1|1|2|6|6|1|3|1|2|1,5,1,6
all26,QTS,11,24,1|1|2|6|5|1|1|3|1|2|1,6,1,6
all26,QTS,12,24,1|1|2|2|5|1|4|1|3|1|2|1,6,1,5
all26,QTSB,2,24,23|1,1,1,23
all26,QTSB,3,24,8|15|1,1,1,15
all26,QTSB,4,24,9|8|6|1,1,1,9
all26,QTSB,5,24,9|8|2|4|1,1,1,9
all26,QTSB,6,24,9|3|5|2|4|1,1,1,9
all26,QTSB,7,24,2|3|7|5|2|4|1,1,1,7
all26,QTSB,8,24,1|2|3|7|4|2|4|1,2,1,7
all26,QTSB,9,24,1|2|3|7|4|1|2|3|1,3,1,7
all26,QTSB,10,24,1|2|4|3|3|4|1|2|3|1,3,1,4
all26,QTSB,11,24,1|2|4|2|1|3|4|1|2|3|1,4,1,4
all26,QTSB,12,24,1|2|4|2|1|1|3|3|1|2|3|1,5,1,4
all26,S,2,26,10|16,0,10,16
all26,S,3,26,11|10|5,0,5,11
all26,S,4,26,11|10|4|1,1,1,11
all26,S,5,26,2|9|10|4|1,1,1,10
all26,S,6,26,2|5|9|5|4|1,1,1,9
all26,S,7,26,2|5|9|5|2|2|1,1,1,9
all26,S,8,26,2|5|6|3|5|2|2|1,1,1,6
all26,S,9,26,2|2|5|3|4|5|2|2|1,1,1,5
all26,S,10,26,2|2|5|3|4|3|2|2|2|1,1,1,5
all26,S,11,26,2|4|2|3|4|1|3|2|2|2|1,2,1,4
all26,S,12,26,2|4|2|3|4|1|3|2|2|1|1|1,4,1,4
all26,S,13,26,2|2|2|2|3|4|1|3|2|2|1|1|1,4,1,4
all26,SB,2,26,21|5,0,5,21
all26,SB,3,26,13|5|8,0,5,13
all26,SB,4,26,13|6|5|2,0,2,13
all26,SB,5,26,2|13|4|5|2,0,2,13
all26,SB,6,26,2|5|8|4|5|2,0,2,8
all26,SB,7,26,2|5|8|4|4|1|2,1,1,8
all26,SB,8,26,2|1|5|8|3|4|1|2,2,1,8
all26,SB,9,26,2|1|5|8|2|3|2|1|2,2,1,8
all26,SB,10,26,2|2|1|8|2|3|3|2|1|2,2,1,8
all26,SB,11,26,2|2|1|7|2|3|3|2|1|1|2,3,1,7
all26,SB,12,26,2|2|1|7|2|3|3|2|1|1|1|1,5,1,7
all26,SB,13,26,2|2|1|7|2|2|3|2|1|1|1|1|1,6,1,7
all26,T,2,24,10|14,0,10,14
all26,T,3,24,10|13|1,1,1,13
all26,T,4,24,4|6|13|1,1,1,13
all26,T,5,24,4|6|7|6|1,1,1,7
all26,T,6,24,4|2|4|7|6|1,1,1,7
all26,T,7,24,4|2|4|3|4|6|1,1,1,6
all26,T,8,24,1|3|2|4|3|4|6|1,2,1,6
all26,T,9,24,1|3|2|4|3|4|4|2|1,2,1,4
all26,T,10,24,1|1|2|2|4|3|4|4|2|1,3,1,4
all26,T,11,24,1|1|2|2|2|2|3|4|4|2|1,3,1,4
all26,T,12,24,1|1|2|2|2|2|3|4|4|1|1|1,5,1,4
all26,TB,2,24,11|13,0,11,13
all26,TB,3,24,4|7|13,0,4,13
all26,TB,4,24,4|7|5|8,0,4,8
all26,TB,5,24,3|7|1|5|8,1,1,8
all26,TB,6,24,1|2|7|1|5|8,2,1,8
all26,TB,7,24,1|2|7|1|5|7|1,3,1,7
all26,TB,8,24,1|2|2|5|1|5|7|1,3,1,7
all26,TB,9,24,1|2|2|5|1|4|5|3|1,3,1,5
all26,TB,10,24,1|2|1|2|4|1|4|5|3|1,4,1,5
all26,TB,11,24,1|2|1|2|4|1|1|4|4|3|1,5,1,4
all26,TB,12,24,1|2|1|2|4|1|1|2|4|2|3|1,5,1,4
all26,TS,2,24,9|15,0,9,15
all26,TS,3,24,9|4|11,0,4,11
all26,TS,4,24,9|1|4|10,1,1,10
all26,TS,5,24,9|1|4|8|2,1,1,9
all26,TS,6,24,3|6|1|4|8|2,1,1,8
all26,TS,7,24,3|6|1|4|5|3|2,1,1,6
all26,TS,8,24,1|6|2|1|4|5|3|2,2,1,6
all26,TS,9,24,1|4|2|1|2|4|5|3|2,2,1,5
all26,TS,10,24,1|4|2|1|2|2|2|5|3|2,2,1,5
all26,TS,11,24,1|4|2|1|2|2|2|5|1|2|2,3,1,5
all26,TS,12,24,1|4|2|1|2|2|2|5|1|2|1|1,5,1,5
all26,TSB,2,24,12|12,0,12,12
all26,TSB,3,24,4|8|12,0,4,12
all26,TSB,4,24,4|8|4|8,0,4,8
all26,TSB,5,24,4|6|2|4|8,0,2,8
all26,TSB,6,24,4|6|2|4|6|2,0,2,6
all26,TSB,7,24,4|6|1|2|6|3|2,1,1,6
all26,TSB,8,24,1|3|6|1|2|6|3|2,2,1,6
all26,TSB,9,24,1|3|4|2|1|2|6|3|2,2,1,6
all26,TSB,10,24,1|2|4|2|1|1|2|6|3|2,3,1,6
all26,TSB,11,24,1|2|4|2|1|1|2|2|3|4|2,3,1,4
all26,TSB,12,24,1|2|4|2|1|1|2|2|1|4|2|2,4,1,4
current20,B,2,20,12|8,0,8,12
current20,B,3,20,2|10|8,0,2,10
current20,B,4,20,2|10|3|5,0,2,10
current20,B,5,20,2|9|1|3|5,1,1,9
current20,B,6,20,1|1|9|1|3|5,3,1,9
current20,B,7,20,1|1|9|1|1|3|4,4,1,9
current20,B,8,20,1|1|6|1|3|1|3|4,4,1,6
current20,B,9,20,1|1|6|1|3|1|3|2|2,4,1,6
current20,B,10,20,1|1|4|1|3|2|1|3|2|2,4,1,4
current20,Q,2,20,1|19,1,1,19
current20,Q,3,20,1|10|9,1,1,10
current20,Q,4,20,1|10|7|2,1,1,10
current20,Q,5,20,1|5|5|7|2,1,1,7
current20,Q,6,20,1|5|5|4|3|2,1,1,5
current20,Q,7,20,1|2|3|5|4|3|2,1,1,5
current20,Q,8,20,1|2|3|5|4|3|1|1,3,1,5
current20,Q,9,20,1|2|3|3|2|4|3|1|1,3,1,4
current20,Q,10,20,1|2|2|1|3|2|4|3|1|1,4,1,4
current20,QB,2,20,12|8,0,8,12
current20,QB,3,20,1|11|8,1,1,11
current20,QB,4,20,1|2|9|8,1,1,9
current20,QB,5,20,1|2|9|6|2,1,1,9
current20,QB,6,20,1|5|2|4|6|2,1,1,6
current20,QB,7,20,1|5|2|2|4|4|2,1,1,5
current20,QB,8,20,1|2|2|3|2|4|4|2,1,1,4
current20,QB,9,20,1|2|1|3|1|2|4|4|2,3,1,4
current20,QB,10,20,1|2|1|3|1|2|4|4|1|1,5,1,4
current20,QS,2,20,16|4,0,4,16
current20,QS,3,20,1|15|4,1,1,15
current20,QS,4,20,1|9|6|4,1,1,9
current20,QS,5,20,1|9|6|2|2,1,1,9
current20,QS,6,20,1|2|7|6|2|2,1,1,7
current20,QS,7,20,1|2|7|6|2|1|1,3,1,7
current20,QS,8,20,1|2|2|6|5|2|1|1,3,1,6
current20,QS,9,20,1|2|4|2|5|2|2|1|1,3,1,5
current20,QS,10,20,1|2|2|2|5|2|2|2|1|1,3,1,5
current20,QSB,2,20,12|8,0,8,12
current20,QSB,3,20,1|11|8,1,1,11
current20,QSB,4,20,1|2|9|8,1,1,9
current20,QSB,5,20,1|2|9|5|3,1,1,9
current20,QSB,6,20,1|2|9|2|3|3,1,1,9
current20,QSB,7,20,1|2|9|2|3|2|1,2,1,9
current20,QSB,8,20,1|3|2|6|2|3|2|1,2,1,6
current20,QSB,9,20,1|3|2|2|4|2|3|2|1,2,1,4
current20,QSB,10,20,1|3|2|2|4|2|2|2|1|1,3,1,4
current20,QT,2,20,10|10,0,10,10
current20,QT,3,20,4|6|10,0,4,10
current20,QT,4,20,1|3|6|10,1,1,10
current20,QT,5,20,1|3|8|6|2,1,1,8
current20,QT,6,20,1|3|7|6|1|2,2,1,7
current20,QT,7,20,1|3|4|6|1|3|2,2,1,6
current20,QT,8,20,1|3|4|3|3|1|3|2,2,1,4
current20,QT,9,20,1|3|4|2|3|1|3|1|2,3,1,4
current20,QT,10,20,1|3|4|2|3|1|3|1|1|1,5,1,4
current20,QTB,2,20,7|13,0,7,13
current20,QTB,3,20,7|7|6,0,6,7
current20,QTB,4,20,1|6|7|6,1,1,7
current20,QTB,5,20,1|6|2|5|6,1,1,6
current20,QTB,6,20,1|5|2|5|1|6,2,1,6
current20,QTB,7,20,1|5|2|5|1|4|2,2,1,5
current20,QTB,8,20,1|5|1|1|5|1|4|2,4,1,5
current20,QTB,9,20,1|2|1|3|1|5|1|4|2,4,1,5
current20,QTB,10,20,1|2|1|3|1|2|1|3|4|2,4,1,4
current20,QTS,2,20,6|14,0,6,14
current20,QTS,3,20,1|5|14,1,1,14
current20,QTS,4,20,1|11|5|3,1,1,11
current20,QTS,5,20,1|8|5|3|3,1,1,8
current20,QTS,6,20,1|3|5|5|3|3,1,1,5
current20,QTS,7,20,1|3|5|5|3|1|2,2,1,5
current20,QTS,8,20,1|3|5|4|1|3|1|2,3,1,5
current20,QTS,9,20,1|3|2|5|4|1|1|2|1,4,1,5
current20,QTS,10,20,1|3|2|2|4|3|1|1|2|1,4,1,4
current20,QTSB,2,20,8|12,0,8,12
current20,QTSB,3,20,8|6|6,0,6,8
current20,QTSB,4,20,1|7|6|6,1,1,7
current20,QTSB,5,20,1|7|6|2|4,1,1,7
current20,QTSB,6,20,1|2|7|4|2|4,1,1,7
current20,QTSB,7,20,1|4|2|3|4|2|4,1,1,4
current20,QTSB,8,20,1|4|2|3|4|2|1|3,2,1,4
current20,QTSB,9,20,1|4|1|1|3|4|2|1|3,4,1,4
current20,QTSB,10,20,1|4|1|1|1|3|3|2|1|3,5,1,4
current20,S,2,20,7|13,0,7,13
current20,S,3,20,9|7|4,0,4,9
current20,S,4,20,9|7|3|1,1,1,9
current20,S,5,20,2|7|7|3|1,1,1,7
current20,S,6,20,2|2|7|5|3|1,1,1,7
current20,S,7,20,2|2|7|5|2|1|1,2,1,7
current20,S,8,20,2|2|2|5|5|2|1|1,2,1,5
current20,S,9,20,2|2|2|5|3|2|2|1|1,2,1,5
current20,S,10,20,2|1|2|2|4|3|2|2|1|1,3,1,4
current20,SB,2,20,12|8,0,8,12
current20,SB,3,20,10|2|8,0,2,10
current20,SB,4,20,6|10|2|2,0,2,10
current20,SB,5,20,2|10|2|4|2,0,2,10
current20,SB,6,20,2|3|7|2|4|2,0,2,7
current20,SB,7,20,2|3|7|2|2|2|2,0,2,7
current20,SB,8,20,2|2|3|2|5|2|2|2,0,2,5
current20,SB,9,20,2|2|3|2|1|5|1|2|2,2,1,5
current20,SB,10,20,2|2|3|2|1|5|1|2|1|1,4,1,5
current20,T,2,20,8|12,0,8,12
current20,T,3,20,8|11|1,1,1,11
current20,T,4,20,2|6|11|1,1,1,11
current20,T,5,20,2|6|6|5|1,1,1,6
current20,T,6,20,2|2|4|6|5|1,1,1,6
current20,T,7,20,2|2|4|2|4|5|1,1,1,5
current20,T,8,20,2|2|4|2|4|4|1|1,2,1,4
current20,T,9,20,1|1|2|4|2|4|4|1|1,4,1,4
current20,T,10,20,1|1|2|2|2|2|4|4|1|1,4,1,4
current20,TB,2,20,9|11,0,9,11
current20,TB,3,20,9|5|6,0,5,9
current20,TB,4,20,2|7|5|6,0,2,7
current20,TB,5,20,2|7|5|5|1,1,1,7
current20,TB,6,20,1|7|1|5|5|1,3,1,7
current20,TB,7,20,1|2|5|1|5|5|1,3,1,5
current20,TB,8,20,1|1|2|4|1|5|5|1,4,1,5
current20,TB,9,20,1|1|2|4|1|5|1|4|1,5,1,5
current20,TB,10,20,1|1|2|4|1|3|1|4|2|1,5,1,4
current20,TS,2,20,10|10,0,10,10
current20,TS,3,20,7|3|10,0,3,10
current20,TS,4,20,7|1|3|9,1,1,9
current20,TS,5,20,7|1|3|8|1,2,1,8
current20,TS,6,20,5|2|1|3|8|1,2,1,8
current20,TS,7,20,5|2|1|3|5|3|1,2,1,5
current20,TS,8,20,3|2|1|2|3|5|3|1,2,1,5
current20,TS,9,20,3|2|1|2|3|5|1|2|1,3,1,5
current20,TS,10,20,3|2|1|2|3|3|1|2|2|1,3,1,3
current20,TSB,2,20,8|12,0,8,12
current20,TSB,3,20,8|6|6,0,6,8
current20,TSB,4,20,8|2|4|6,0,2,8
current20,TSB,5,20,7|1|2|4|6,1,1,7
current20,TSB,6,20,5|2|1|2|4|6,1,1,6
current20,TSB,7,20,5|2|1|1|2|3|6,2,1,6
current20,TSB,8,20,5|2|1|1|2|3|5|1,3,1,5
current20,TSB,9,20,1|4|2|1|1|2|3|5|1,4,1,5
current20,TSB,10,20,1|4|2|1|1|2|2|3|3|1,4,1,4
