mode,gt_version,condition,metric,total_rows,ok_rows,unavailable_rows,n,median,p90,p95
curve,gt_revised,manual,erp_distance_px,2265,2185,80,2185,6.393158781208722,32.13571204286097,44.04106933693154
curve,gt_revised,manual,abs_circular_dx_px,2265,2185,80,2185,14.06261524920309,139.35967228715455,268.85966719346226
curve,gt_revised,manual,circular_R,2265,2185,80,2185,0.17610534754704,0.3111130766774525,0.33633268423576995
curve,gt_revised,manual,gt_circular_R,2265,2185,80,2185,0.1784412634177003,0.3153107518710004,0.3414639582878314
curve,gt_revised,manual,iou,2265,2185,80,2185,0.9362503524104876,0.9774482963355366,0.9841450065465913
curve,gt_revised,oos,abs_dy_px,216,182,34,182,2.5177100441385676,7.380765718332705,8.437393097682907
curve,gt_revised,oos,abs_erp_dx_px,216,182,34,182,11.931734078234257,80.3355584622318,87.32663216367514
curve,gt_revised,oos,erp_distance_px,216,182,34,182,13.147240309040857,80.33558219230423,87.34144117730123
curve,gt_revised,oos,abs_circular_dx_px,216,182,34,182,23.045269577958994,295.40540420108414,333.40395984361766
curve,gt_revised,oos,circular_R,216,182,34,182,0.2480196996508071,0.4163384452757739,0.45901302463643673
curve,gt_revised,oos,gt_circular_R,216,182,34,182,0.2585718968397315,0.3652012595564862,0.3652012595564862
curve,gt_revised,oos,iou,216,182,34,182,0.8862378770750282,0.9604384486721356,0.9715954594084081
curve,gt_revised,semi,abs_dy_px,538,530,8,530,1.6010523392771319,5.526096937726391,8.24528839390478
curve,gt_revised,semi,abs_erp_dx_px,538,530,8,530,2.2965763425644354,8.580567908607083,16.133035423139418
curve,gt_revised,semi,erp_distance_px,538,530,8,530,3.789167204025308,12.796745037456745,19.445057693345195
curve,gt_revised,semi,abs_circular_dx_px,538,530,8,530,6.887373635152869,55.37031908679046,131.9519687677886
curve,gt_revised,semi,circular_R,538,530,8,530,0.22494862594182774,0.30855362491689825,0.3325803583617234
curve,gt_revised,semi,gt_circular_R,538,530,8,530,0.2240617710549882,0.3092300001897985,0.3361662867350458
curve,gt_revised,semi,iou,538,530,8,530,0.965716211928934,0.9934206778695528,1.0
linear,gt_original,manual,abs_dy_px,2265,2186,79,2186,2.424310386685704,7.038561538194784,9.027253925186685
linear,gt_original,manual,abs_erp_dx_px,2265,2186,79,2186,6.502653015758966,36.5232968144619,52.29702381614122
linear,gt_original,manual,erp_distance_px,2265,2186,79,2186,7.910821046925335,37.22196750972958,52.419323647032826
linear,gt_original,manual,abs_circular_dx_px,2265,2186,79,2184,25.19810926559051,210.5992360708627,294.5450540090322
linear,gt_original,manual,circular_R,2265,2186,79,2186,0.1495701895418331,0.2753846744052548,0.2996040624141474
linear,gt_original,manual,gt_circular_R,2265,2186,79,2186,0.1562458725691193,0.2785676769240932,0.3068016958254259
linear,gt_original,manual,iou,2265,2186,79,2186,0.9056322441660237,0.9721119533629408,0.9808440992554375
linear,gt_original,oos,abs_dy_px,216,182,34,182,2.2169117093872046,6.676678302618957,7.876256760276841
linear,gt_original,oos,abs_erp_dx_px,216,182,34,182,14.45999441407804,61.98100012761945,67.1801621232851
linear,gt_original,oos,erp_distance_px,216,182,34,182,15.089046525998494,61.98290913350347,67.2817473040699
linear,gt_original,oos,abs_circular_dx_px,216,182,34,182,65.70744962136965,329.2445144098439,366.4954104640997
linear,gt_original,oos,circular_R,216,182,34,182,0.2005636119480246,0.3014986187168543,0.3279065510042713
linear,gt_original,oos,gt_circular_R,216,182,34,182,0.1633163565277604,0.3052113591911451,0.3052113591911451
linear,gt_original,oos,iou,216,182,34,182,0.8448214091033502,0.9315050978089037,0.9513373056315155
linear,gt_original,semi,abs_dy_px,538,530,8,530,1.5606741384090839,4.792074217159609,6.885613508383428
linear,gt_original,semi,abs_erp_dx_px,538,530,8,530,2.9947552073295753,21.859820955236717,35.31511751812569
linear,gt_original,semi,erp_distance_px,538,530,8,530,4.44655589917323,21.944084501239406,35.3924507813521
linear,gt_original,semi,abs_circular_dx_px,538,530,8,506,6.6420711663358585,117.10875327810888,167.84749147294525
linear,gt_original,semi,circular_R,538,530,8,530,0.1882079138009716,0.26741327137898,0.2955257963438236
linear,gt_original,semi,gt_circular_R,538,530,8,530,0.1812691894591384,0.2702888527706882,0.2958339742414025
linear,gt_original,semi,iou,538,530,8,530,0.9514464946345276,0.9912287782930658,1.0
linear,gt_revised,manual,abs_dy_px,2265,2186,79,2186,2.4089869499795213,6.8840524866612185,8.604699213012907
linear,gt_revised,manual,abs_erp_dx_px,2265,2186,79,2186,5.361142098626715,34.65173111528816,50.27158000024245
linear,gt_revised,manual,erp_distance_px,2265,2186,79,2186,7.180585737013052,35.12213712884717,50.39151860810124
linear,gt_revised,manual,abs_circular_dx_px,2265,2186,79,2184,20.5366132944727,164.79672609866657,260.6738671024296
linear,gt_revised,manual,circular_R,2265,2186,79,2186,0.1495701895418331,0.2753846744052548,0.2996040624141474
linear,gt_revised,manual,gt_circular_R,2265,2186,79,2186,0.155846409108266,0.2815725388202051,0.3068016958254259
linear,gt_revised,manual,iou,2265,2186,79,2186,0.9153985072154661,0.9746316642084083,0.9822215409462784
linear,gt_revised,oos,abs_dy_px,216,182,34,182,2.0987575118637665,6.676678302618957,7.876256760276841
linear,gt_revised,oos,abs_erp_dx_px,216,182,34,182,14.361905189128663,61.98100012761945,67.1801621232851
linear,gt_revised,oos,erp_distance_px,216,182,34,182,14.999874369624441,61.98290913350347,67.2817473040699
linear,gt_revised,oos,abs_circular_dx_px,216,182,34,182,65.70744962136965,332.79313604251814,366.4954104640997
linear,gt_revised,oos,circular_R,216,182,34,182,0.2005636119480246,0.3014986187168543,0.3279065510042713
linear,gt_revised,oos,gt_circular_R,216,182,34,182,0.1633163565277604,0.3052113591911451,0.3052113591911451
linear,gt_revised,oos,iou,216,182,34,182,0.8638962229837459,0.9353853096238048,0.9584781495460898
linear,gt_revised,semi,abs_dy_px,538,530,8,530,1.423273660992919,4.527318658088519,6.738187242926324
linear,gt_revised,semi,abs_erp_dx_px,538,530,8,530,2.7839549249204083,11.966614933862367,20.821381201458067
linear,gt_revised,semi,erp_distance_px,538,530,8,530,4.2336606477049745,13.644316175678817,21.01175235738999
linear,gt_revised,semi,abs_circular_dx_px,538,530,8,528,4.772781024866772,78.91719185706859,175.4987600986082
linear,gt_revised,semi,circular_R,538,530,8,530,0.1882079138009716,0.26741327137898,0.2955257963438236
linear,gt_revised,semi,gt_circular_R,538,530,8,530,0.1844716311817364,0.2702888527706882,0.2958339742414025
linear,gt_revised,semi,iou,538,530,8,530,0.9589628552610769,0.9919127510254864,1.0
