condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,sphere,complete,12,6,45,14,0.27333393963290314,3.0905142321820209,0.22865773146101509,0.077622306099615276
manual,sphere,complete,12,7,45,14,0.25864634081744953,3.4008430608343114,0.20313971271158313,0.065301459739778328
manual,sphere,complete,12,8,45,14,0.24627301020422571,3.6939856481526516,0.18090287067701638,0.054423017648222487
manual,sphere,complete,12,9,45,14,0.2356555644168378,3.9726612139897912,0.16117269129943448,0.044873705229851728
manual,sphere,complete,12,10,45,14,0.22640876179934821,4.2388983622729759,0.14342381112384933,0.036545980332609113
manual,sphere,complete,12,11,45,14,0.21825615948557575,4.4942640458557817,0.1272843407000237,0.02933803324747673
manual,sphere,complete,12,12,45,14,0.21099382474163736,4.7400043516007981,0.1124815128942564,0.023153786708475749
manual,sphere,complete,12,13,45,14,0.20446799840370083,4.9771352016447814,0.098808918177201596,0.017902895892666398
manual,sphere,complete,12,14,45,14,0.19856057395721777,5.2065026349705761,0.086105991085119502,0.013500748420147958
manual,sphere,complete,12,15,45,14,0.19317933650896812,5.4288239157854861,0.074244787077801105,0.0098684643540587792
manual,sphere,complete,12,16,45,14,0.1882512552748565,5.6447163142815313,0.063121201376171776,0.0069328962005762674
manual,sphere,complete,12,17,45,14,0.18371778700153985,5.8547178130511464,0.05264895029237221,0.0046266289089168921
manual,sphere,complete,12,18,45,14,0.17953149782669234,6.0593023731925335,0.042755329966807448,0.0028879798713361826
manual,sphere,representative,6,1,45,14,0.64525724353336866,0.99999999999999989,0.58545639013913631,0.16515763319064392
manual,sphere,representative,6,2,45,14,0.53660881377106084,1.6121366070717715,0.47002612947644828,0.14578750967024731
manual,sphere,representative,6,3,45,14,0.48075093089574628,2.127166334485624,0.40779407509824606,0.12804303733887443
manual,sphere,representative,6,4,45,14,0.44426990981462205,2.5964979068698719,0.36312323592472645,0.11183604586259203
manual,sphere,representative,6,5,45,14,0.41730206664024588,3.0365387428114583,0.32694614457343557,0.097081383673215185
manual,sphere,representative,6,6,45,14,0.39593456127668897,3.4548649971048682,0.29584999849823573,0.083696917968307152
manual,sphere,representative,6,7,45,14,0.3782457348949026,3.8557845256950118,0.26820701620605125,0.071603534711179501
manual,sphere,representative,6,8,45,14,0.36314421216897996,4.2420783474447044,0.24311175704942953,0.060725138630892045
manual,sphere,representative,6,9,45,14,0.34994777498815727,4.6156966931155923,0.2200021989283914,0.050988653222252912
manual,sphere,representative,6,10,45,14,0.33820243047875748,4.9780836987055865,0.19850240500818034,0.042324020745818432
manual,sphere,representative,6,11,45,14,0.32759306192047249,5.3303501319295288,0.17834802176442521,0.034664202227893258
manual,sphere,representative,6,12,45,14,0.31789435903897251,5.6733760522143886,0.15934644198970047,0.027945177460530275
manual,sphere,representative,6,13,45,14,0.30894169788356984,6.0078771029095215,0.14135322153777002,0.022105945001530642
manual,sphere,representative,6,14,45,14,0.30061286274751525,6.3344496678545674,0.12425704205762206,0.017088522174443795
manual,sphere,representative,6,15,45,14,0.29281607884661237,6.6536025043815457,0.1079696939927835,0.012837945068567421
manual,sphere,representative,6,16,45,14,0.28548189505945148,6.9657791693058888,0.092419271858634008,0.0093022685389474811
manual,sphere,representative,6,17,45,14,0.27855747552162502,7.2713740543717664,0.077545503052960152,0.0064325662063782025
manual,sphere,representative,6,18,45,14,0.27200238188796538,7.5707440538104152,0.063296480125518195,0.0041829304574020803
manual,sphere,representative,9,1,45,14,0.53728279856426309,1,0.47666435779439698,0.11917995502231429
manual,sphere,representative,9,2,45,14,0.43412943045912938,1.4985049873989618,0.37522707379741932,0.10419412915127017
manual,sphere,representative,9,3,45,14,0.3857614803389246,1.9098626099077036,0.32261571424036339,0.090608311910971531
manual,sphere,representative,9,4,45,14,0.35472618842049453,2.2814483704244548,0.28477781721475737,0.078332424839789402
