condition,metric,partition,nominal_cut,k,images,prefix_K,fixed_K,prefix_singletons,fixed_singletons,old_pair_churn,cluster_drop_probability
manual,sphere,representative,6,16,45,6.948666666666667,6.9752222222222224,4.9984444444444449,5.0018888888888888,0.0057873015873015875,0.016111111111111114
manual,sphere,representative,9,3,45,1.9582222222222223,1.9134444444444445,1.3032222222222221,1.2371111111111111,0.014777777777777779,0.014777777777777779
manual,sphere,representative,9,5,45,2.6596666666666668,2.6165555555555557,1.7675555555555558,1.7156666666666667,0.0074259259259259261,0.013333333333333332
manual,sphere,representative,9,8,45,3.6037777777777773,3.5552222222222225,2.4334444444444445,2.3729999999999998,0.0042063492063492058,0.010444444444444445
manual,sphere,representative,9,12,45,4.725888888888889,4.6788888888888893,3.2208888888888887,3.1666666666666665,0.0037818181818181818,0.010888888888888889
manual,sphere,representative,9,16,45,5.6788888888888893,5.6533333333333333,3.8552222222222223,3.8367777777777778,0.0034010582010582011,0.01188888888888889
manual,sphere,representative,12,3,45,1.8612222222222221,1.8276666666666668,1.1593333333333333,1.108111111111111,0.0077777777777777784,0.0077777777777777784
manual,sphere,representative,12,5,45,2.4929999999999999,2.4443333333333332,1.5587777777777776,1.492,0.0035555555555555557,0.0082222222222222228
manual,sphere,representative,12,8,45,3.3034444444444446,3.2396666666666665,2.0754444444444444,1.9902222222222223,0.0017142857142857142,0.0075555555555555558
manual,sphere,representative,12,12,45,4.2257777777777781,4.1614444444444443,2.6668888888888889,2.5807777777777776,0.0015656565656565655,0.009555555555555555
manual,sphere,representative,12,16,45,5.0026666666666664,4.9532222222222222,3.1471111111111112,3.0825555555555555,0.0010412698412698412,0.010111111111111111
oos,image,complete,6,3,9,2.6855555555555557,2.7744444444444443,2.3872222222222224,2.5572222222222223,0.0044444444444444444,0
oos,image,complete,6,5,9,4.1722222222222216,4.3577777777777778,3.4683333333333333,3.7911111111111109,0.0052777777777777779,0
oos,image,complete,6,8,9,6.1027777777777779,6.3805555555555555,4.7366666666666664,5.1383333333333328,0.0028835978835978836,0
oos,image,complete,6,12,9,8.4216666666666669,8.7461111111111123,6.1355555555555554,6.5555555555555554,0.0024141414141414142,0
oos,image,complete,6,16,9,10.401111111111112,10.634444444444446,7.1350000000000007,7.3994444444444447,0.0017619047619047621,0.00055555555555555556
oos,image,complete,9,3,9,2.4605555555555556,2.6111111111111112,2.0261111111111112,2.2594444444444446,0.01,0
oos,image,complete,9,5,9,3.6761111111111111,3.934444444444444,2.8183333333333334,3.1238888888888887,0.01046296296296296,0
oos,image,complete,9,8,9,5.2283333333333335,5.5477777777777781,3.7477777777777783,4.0549999999999997,0.0093386243386243371,0.00055555555555555556
oos,image,complete,9,12,9,7.0749999999999993,7.3788888888888886,4.8038888888888884,5.056111111111111,0.0087878787878787872,0.0016666666666666666
oos,image,complete,9,16,9,8.6544444444444437,8.8672222222222228,5.5966666666666667,5.7555555555555564,0.0063809523809523813,0.00055555555555555556
oos,image,complete,12,3,9,2.3255555555555554,2.4466666666666668,1.8183333333333331,2.0088888888888885,0.010555555555555556,0
oos,image,complete,12,5,9,3.4205555555555556,3.6027777777777774,2.5211111111111109,2.7294444444444448,0.0082407407407407395,0
oos,image,complete,12,8,9,4.8533333333333335,5.0266666666666673,3.4344444444444444,3.5688888888888894,0.0051587301587301586,0
oos,image,complete,12,12,9,6.5138888888888893,6.6494444444444447,4.4349999999999996,4.5211111111111109,0.0064444444444444436,0
oos,image,complete,12,16,9,7.9100000000000001,7.9944444444444445,5.1472222222222221,5.2022222222222219,0.004301587301587302,0
oos,image,representative,6,3,9,2.6655555555555557,2.5877777777777777,2.3672222222222223,2.2222222222222223,0.0077777777777777784,0.0077777777777777784
oos,image,representative,6,5,9,4.0616666666666665,3.9044444444444446,3.3861111111111111,3.1344444444444446,0.0072222222222222228,0.013333333333333332
oos,image,representative,6,8,9,5.7716666666666665,5.5783333333333331,4.5188888888888892,4.2861111111111114,0.007671957671957671,0.027222222222222224
oos,image,representative,6,12,9,7.7383333333333333,7.5588888888888892,5.8022222222222224,5.6483333333333334,0.0073030303030303017,0.035555555555555556
oos,image,representative,6,16,9,9.357222222222223,9.2622222222222224,6.7405555555555559,6.6888888888888891,0.0055661375661375653,0.033333333333333333
oos,image,representative,9,3,9,2.4211111111111112,2.3866666666666667,1.9866666666666666,1.9255555555555555,0.015000000000000001,0.015000000000000001
oos,image,representative,9,5,9,3.5611111111111109,3.5227777777777778,2.7655555555555558,2.7200000000000002,0.011574074074074075,0.012222222222222223
oos,image,representative,9,8,9,4.9883333333333333,4.9805555555555561,3.6977777777777781,3.6805555555555554,0.0050529100529100529,0.0088888888888888889
oos,image,representative,9,12,9,6.6588888888888889,6.6799999999999997,4.7588888888888885,4.7833333333333332,0.0043636363636363638,0.0094444444444444428
oos,image,representative,9,16,9,8.0722222222222229,8.1261111111111113,5.5472222222222216,5.5905555555555555,0.0029947089947089944,0.0072222222222222228
oos,image,representative,12,3,9,2.2933333333333334,2.2166666666666668,1.786111111111111,1.6577777777777778,0.011111111111111112,0.011111111111111112
oos,image,representative,12,5,9,3.2888888888888892,3.1866666666666665,2.4433333333333334,2.3300000000000001,0.0082407407407407395,0.020555555555555556
oos,image,representative,12,8,9,4.5899999999999999,4.4766666666666666,3.3566666666666669,3.2872222222222223,0.0038888888888888883,0.012777777777777777
oos,image,representative,12,12,9,6.1038888888888891,6.017777777777777,4.3933333333333335,4.3655555555555559,0.0024444444444444444,0.011111111111111112
oos,image,representative,12,16,9,7.4044444444444446,7.3422222222222224,5.1511111111111108,5.1388888888888893,0.002476190476190476,0.0088888888888888889
oos,sphere,complete,6,3,9,2.6733333333333338,2.7694444444444444,2.3655555555555554,2.5483333333333338,0.0038888888888888892,0
oos,sphere,complete,6,5,9,4.1472222222222221,4.3405555555555555,3.4300000000000002,3.7594444444444446,0.0057407407407407398,0
oos,sphere,complete,6,8,9,6.0511111111111111,6.3355555555555547,4.6594444444444445,5.0588888888888892,0.0031216931216931213,0
oos,sphere,complete,6,12,9,8.3244444444444454,8.6494444444444447,5.9927777777777784,6.3977777777777778,0.0028585858585858581,0
oos,sphere,complete,6,16,9,10.255000000000001,10.488333333333333,6.9250000000000007,7.1877777777777778,0.0021322751322751321,0
oos,sphere,complete,9,3,9,2.4500000000000002,2.5750000000000002,2.0105555555555554,2.2077777777777778,0.0083333333333333332,0
oos,sphere,complete,9,5,9,3.6594444444444445,3.8722222222222222,2.8016666666666667,3.0733333333333333,0.01037037037037037,0
oos,sphere,complete,9,8,9,5.1961111111111116,5.4700000000000006,3.7255555555555557,4.0377777777777784,0.0091005291005291002,0.00055555555555555556
oos,sphere,complete,9,12,9,7.0311111111111115,7.3027777777777771,4.7733333333333334,5.0483333333333338,0.0074949494949494945,0.0016666666666666666
oos,sphere,complete,9,16,9,8.5944444444444432,8.7872222222222209,5.54,5.7072222222222226,0.0059894179894179897,0.00055555555555555556
oos,sphere,complete,12,3,9,2.3011111111111111,2.4500000000000002,1.7777777777777777,2.0150000000000001,0.010555555555555556,0
oos,sphere,complete,12,5,9,3.3744444444444444,3.5916666666666663,2.4705555555555554,2.7027777777777775,0.0083333333333333332,0
oos,sphere,complete,12,8,9,4.7766666666666673,5,3.3805555555555555,3.5188888888888892,0.0056878306878306879,0
oos,sphere,complete,12,12,9,6.4172222222222217,6.5961111111111101,4.3777777777777773,4.4477777777777776,0.005454545454545455,0
oos,sphere,complete,12,16,9,7.7961111111111121,7.9199999999999999,5.083333333333333,5.1238888888888887,0.0053333333333333323,0
oos,sphere,representative,6,3,9,2.6544444444444446,2.5827777777777778,2.3466666666666667,2.2127777777777777,0.0066666666666666662,0.0066666666666666662
oos,sphere,representative,6,5,9,4.0311111111111115,3.8866666666666672,3.3416666666666668,3.1044444444444443,0.0056481481481481487,0.015000000000000001
oos,sphere,representative,6,8,9,5.71,5.5394444444444453,4.4400000000000004,4.2294444444444439,0.0066402116402116389,0.027222222222222221
oos,sphere,representative,6,12,9,7.6316666666666668,7.4905555555555559,5.6866666666666665,5.5711111111111116,0.0062929292929292929,0.033333333333333333
oos,sphere,representative,6,16,9,9.2233333333333345,9.1694444444444443,6.6238888888888887,6.625,0.0049788359788359793,0.029444444444444447
oos,sphere,representative,9,3,9,2.411111111111111,2.3788888888888891,1.9716666666666667,1.911111111111111,0.016666666666666666,0.016666666666666666
oos,sphere,representative,9,5,9,3.5455555555555556,3.5155555555555558,2.7494444444444444,2.7183333333333333,0.011759259259259259,0.013888888888888888
oos,sphere,representative,9,8,9,4.9622222222222216,4.9705555555555554,3.6811111111111114,3.6861111111111109,0.0051058201058201049,0.012222222222222223
oos,sphere,representative,9,12,9,6.6272222222222217,6.6766666666666659,4.7561111111111112,4.8000000000000007,0.0040505050505050509,0.0072222222222222228
oos,sphere,representative,9,16,9,8.0466666666666669,8.1266666666666669,5.5488888888888885,5.6005555555555553,0.0035661375661375661,0.0061111111111111114
oos,sphere,representative,12,3,9,2.2716666666666665,2.2166666666666668,1.7483333333333333,1.6577777777777778,0.01,0.01
oos,sphere,representative,12,5,9,3.2455555555555557,3.1866666666666665,2.395,2.3300000000000001,0.0077777777777777784,0.018888888888888889
oos,sphere,representative,12,8,9,4.5283333333333324,4.4766666666666666,3.318888888888889,3.2872222222222223,0.0033068783068783067,0.01
oos,sphere,representative,12,12,9,6.0500000000000007,6.017777777777777,4.3799999999999999,4.3655555555555559,0.002121212121212121,0.0083333333333333332
oos,sphere,representative,12,16,9,7.3716666666666661,7.3422222222222224,5.1500000000000004,5.1388888888888893,0.0019417989417989416,0.0033333333333333331
semi,image,complete,6,3,18,1.7713888888888889,2.0272222222222225,0.96277777777777773,1.3141666666666667,0.02,0
semi,image,complete,6,5,18,2.3600000000000003,2.723611111111111,1.266111111111111,1.6372222222222221,0.016435185185185185,0
semi,image,complete,6,8,18,3.1886111111111108,3.6061111111111108,1.7494444444444444,2.1247222222222222,0.014537037037037036,0.0011111111111111111
semi,image,complete,6,12,18,4.1913888888888886,4.5847222222222221,2.2841666666666667,2.615277777777778,0.013969696969696969,0.0019444444444444446
semi,image,complete,6,16,18,5.0155555555555553,5.3155555555555551,2.6052777777777778,2.8555555555555556,0.012306878306878308,0.0016666666666666666
semi,image,complete,9,3,18,1.5661111111111112,1.786388888888889,0.6825,0.96777777777777785,0.0066666666666666662,0
semi,image,complete,9,5,18,1.9727777777777777,2.2986111111111112,0.91111111111111098,1.2030555555555555,0.0087499999999999991,0
semi,image,complete,9,8,18,2.5438888888888886,2.9311111111111114,1.2447222222222223,1.5061111111111112,0.011137566137566137,0.00027777777777777778
semi,image,complete,9,12,18,3.2436111111111114,3.5955555555555554,1.5763888888888888,1.7897222222222224,0.01307070707070707,0.00055555555555555556
semi,image,complete,9,16,18,3.8391666666666668,4.0999999999999996,1.7769444444444444,1.915,0.011007936507936507,0.0011111111111111111
semi,image,complete,12,3,18,1.4913888888888889,1.6100000000000001,0.57638888888888884,0.74888888888888894,0.0044444444444444444,0
semi,image,complete,12,5,18,1.8069444444444445,1.9949999999999999,0.74277777777777787,0.91833333333333345,0.0037499999999999994,0
semi,image,complete,12,8,18,2.2508333333333335,2.4644444444444442,1.0166666666666666,1.1380555555555556,0.0046164021164021157,0
semi,image,complete,12,12,18,2.796388888888889,2.9688888888888889,1.3136111111111111,1.3644444444444443,0.004838383838383838,0
semi,image,complete,12,16,18,3.2505555555555556,3.3533333333333335,1.4722222222222223,1.4775,0.0051666666666666666,0
semi,image,representative,6,3,18,1.7158333333333333,1.6625000000000001,0.90722222222222215,0.83277777777777784,0.016944444444444443,0.016944444444444443
semi,image,representative,6,5,18,2.1588888888888889,2.1044444444444448,1.1391666666666667,1.0863888888888888,0.0084722222222222213,0.016111111111111114
semi,image,representative,6,8,18,2.7677777777777779,2.7269444444444444,1.5802777777777779,1.5552777777777778,0.0077116402116402111,0.017777777777777778
semi,image,representative,6,12,18,3.5066666666666668,3.4816666666666669,2.1227777777777779,2.1069444444444443,0.0052121212121212122,0.014166666666666668
semi,image,representative,6,16,18,4.1316666666666668,4.1116666666666672,2.5011111111111108,2.4855555555555555,0.0030185185185185189,0.0072222222222222228
semi,image,representative,9,3,18,1.5413888888888889,1.5041666666666667,0.65777777777777779,0.6036111111111111,0.0077777777777777784,0.0077777777777777784
semi,image,representative,9,5,18,1.8630555555555555,1.8205555555555557,0.8272222222222223,0.77972222222222221,0.0030092592592592588,0.0066666666666666662
semi,image,representative,9,8,18,2.2758333333333334,2.2411111111111115,1.0874999999999999,1.0522222222222222,0.002751322751322751,0.010555555555555556
semi,image,representative,9,12,18,2.7486111111111113,2.73,1.3624999999999998,1.3408333333333333,0.0013787878787878786,0.008333333333333335
semi,image,representative,9,16,18,3.1288888888888891,3.1183333333333336,1.52,1.5038888888888888,0.001,0.0030555555555555557
semi,image,representative,12,3,18,1.4766666666666666,1.4591666666666667,0.56166666666666665,0.53500000000000003,0.0044444444444444444,0.0044444444444444444
semi,image,representative,12,5,18,1.7452777777777777,1.7250000000000001,0.68833333333333335,0.6627777777777778,0.0021296296296296293,0.0038888888888888892
semi,image,representative,12,8,18,2.0911111111111111,2.0775000000000001,0.89916666666666656,0.88249999999999995,0.00087301587301587291,0.0033333333333333331
semi,image,representative,12,12,18,2.4919444444444445,2.4891666666666667,1.1294444444444443,1.1241666666666665,0.00046969696969696966,0.0027777777777777779
semi,image,representative,12,16,18,2.8180555555555555,2.8211111111111111,1.2638888888888888,1.2669444444444444,0.00032010582010582006,0.0027777777777777779
semi,sphere,complete,6,3,18,1.7080555555555557,1.9958333333333331,0.87472222222222229,1.2533333333333332,0.014444444444444446,0
semi,sphere,complete,6,5,18,2.2286111111111113,2.6486111111111108,1.1383333333333332,1.5133333333333334,0.014537037037037036,0
semi,sphere,complete,6,8,18,2.9688888888888889,3.4444444444444446,1.5725,1.9072222222222222,0.012579365079365079,0
semi,sphere,complete,6,12,18,3.8938888888888892,4.3086111111111114,2.0572222222222223,2.3169444444444443,0.015171717171717169,0.0011111111111111111
semi,sphere,complete,6,16,18,4.6416666666666666,4.9483333333333341,2.3333333333333335,2.5144444444444449,0.014439153439153439,0.0025000000000000001
semi,sphere,complete,9,3,18,1.533611111111111,1.7133333333333334,0.63222222222222224,0.85694444444444451,0.0047222222222222214,0
semi,sphere,complete,9,5,18,1.8961111111111113,2.1508333333333334,0.81805555555555554,1.0347222222222223,0.0076388888888888878,0
semi,sphere,complete,9,8,18,2.4049999999999998,2.6955555555555555,1.1152777777777778,1.3008333333333333,0.0092063492063492059,0
semi,sphere,complete,9,12,18,3.0252777777777777,3.2702777777777778,1.4061111111111111,1.5430555555555554,0.011217171717171716,0
semi,sphere,complete,9,16,18,3.5447222222222221,3.7088888888888891,1.5683333333333334,1.6394444444444445,0.0091693121693121691,0
semi,sphere,complete,12,3,18,1.4788888888888889,1.5508333333333333,0.5575,0.65749999999999997,0.0038888888888888892,0
semi,sphere,complete,12,5,18,1.7744444444444445,1.8875000000000002,0.70527777777777778,0.82055555555555548,0.0032870370370370367,0
semi,sphere,complete,12,8,18,2.1830555555555557,2.3297222222222222,0.95416666666666672,1.0800000000000001,0.0039550264550264544,0
semi,sphere,complete,12,12,18,2.6891666666666669,2.8191666666666664,1.2322222222222221,1.3305555555555557,0.0038888888888888883,0
semi,sphere,complete,12,16,18,3.1058333333333334,3.203611111111111,1.3924999999999998,1.4533333333333334,0.0034391534391534392,0
semi,sphere,representative,6,3,18,1.6663888888888889,1.6205555555555557,0.83305555555555555,0.77083333333333337,0.011666666666666665,0.011666666666666665
semi,sphere,representative,6,5,18,2.0738888888888889,2.0294444444444446,1.0444444444444445,0.99888888888888894,0.0072222222222222228,0.012777777777777779
semi,sphere,representative,6,8,18,2.6266666666666669,2.5994444444444444,1.4372222222222222,1.4136111111111112,0.0060185185185185177,0.014166666666666668
semi,sphere,representative,6,12,18,3.2877777777777779,3.2797222222222224,1.8963888888888887,1.8924999999999998,0.0049343434343434344,0.016388888888888887
semi,sphere,representative,6,16,18,3.8191666666666668,3.842222222222222,2.1855555555555557,2.2222222222222223,0.0032380952380952383,0.012500000000000001
semi,sphere,representative,9,3,18,1.5138888888888888,1.4847222222222223,0.61250000000000004,0.57111111111111112,0.0066666666666666671,0.0066666666666666671
semi,sphere,representative,9,5,18,1.8097222222222225,1.7738888888888888,0.75388888888888894,0.71249999999999991,0.0018981481481481479,0.0044444444444444444
semi,sphere,representative,9,8,18,2.1905555555555556,2.1524999999999999,0.99111111111111105,0.94555555555555548,0.0021164021164021161,0.0083333333333333332
semi,sphere,representative,9,12,18,2.6311111111111112,2.5944444444444446,1.2533333333333332,1.2044444444444444,0.00073737373737373742,0.0052777777777777779
semi,sphere,representative,9,16,18,2.9772222222222222,2.9480555555555554,1.4016666666666666,1.3602777777777777,0.00058201058201058197,0.0036111111111111114
semi,sphere,representative,12,3,18,1.4658333333333333,1.4519444444444443,0.54444444444444451,0.52499999999999991,0.0038888888888888883,0.0038888888888888883
semi,sphere,representative,12,5,18,1.7230555555555556,1.7075,0.65805555555555562,0.64083333333333337,0.0012037037037037038,0.0025000000000000001
semi,sphere,representative,12,8,18,2.0530555555555554,2.0413888888888887,0.84833333333333327,0.83638888888888885,0.00050264550264550261,0.0025000000000000001
semi,sphere,representative,12,12,18,2.4383333333333335,2.4305555555555554,1.0611111111111111,1.0533333333333335,8.0808080808080797e-05,0.00055555555555555556
semi,sphere,representative,12,16,18,2.7449999999999997,2.7413888888888889,1.1825000000000001,1.1788888888888889,0.0001216931216931217,0.0011111111111111111
