stage,condition,base_task_id,building_id,observed_worker_count,available_record_count,geometry_computable_worker_count,geometry_missing_worker_count,topology_counts_json,topology_mode_count,topology_shannon_entropy,topology_gini_simpson,largest_topology_share,different_topology_pair_share,same_topology_pair_count,same_topology_cyclic_rmse_median,same_topology_cyclic_rmse_q25,same_topology_cyclic_rmse_q75,geometry_uncertainty_class,measurement_lane
C1,manual,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,7,7,6,1,"{""10"": 2, ""12"": 2, ""8"": 2}",3,1.0986122886681096,0.6666666666666667,0.3333333333333333,0.8,3,0.004258841407764042,0.002878484374294008,0.0641743676518358,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,5,5,5,0,"{""12"": 2, ""14"": 1, ""16"": 1, ""8"": 1}",4,1.3321790402101223,0.72,0.4,0.9,1,0.04633588436261381,0.04633588436261381,0.04633588436261381,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,23,23,23,0,"{""12"": 1, ""8"": 22}",2,0.17884491271684755,0.08317580340264641,0.9565217391304348,0.08695652173913043,231,0.10778684679546231,0.017677082920892827,0.14482159850829945,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,5,5,0,"{""12"": 2, ""8"": 3}",2,0.6730116670092565,0.48,0.6,0.6,4,0.14970045256470738,0.1137799365593111,0.15599749290774823,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.09407779723012781,0.05764836563486039,0.09559221431531904,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,5,5,0,"{""12"": 1, ""16"": 3, ""8"": 1}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.14604154452629434,0.13620852465201588,0.15209205523867314,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.038029254399014605,0.01367050917402507,0.13987703299271484,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.013134499522453416,0.011940350446396387,0.07464980070510699,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.0993090372595019,0.016159104148878365,0.10742688925151608,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,5,5,0,"{""12"": 4, ""8"": 1}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.17749427329413334,0.13833768695700757,0.1822667457384991,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.17628790412560832,0.12260666940860745,0.19712888082731433,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.09280914872663183,0.0064699618389075335,0.09416655140649957,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.04997955670783896,0.025544101571340704,0.11420800261751463,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.04188991868295247,0.014473752887701998,0.1073250241535287,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.012294987381972815,0.010186685924779898,0.1411033033778738,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.15100216026587987,0.11285405673246036,0.19009170950948098,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,5,5,3,2,"{""10"": 1, ""16"": 1, ""20"": 1}",3,1.0986122886681096,0.6666666666666667,0.3333333333333333,1.0,0,,,,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.11417104593765043,0.09208233916577618,0.13533134392262294,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.006387277301823378,0.003559944400276429,0.07877371947516025,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,5,5,0,"{""10"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.1131719311751598,0.09793541178061968,0.12821325159309055,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.10849269850143052,0.007658738902927257,0.11074898119652371,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,5,5,5,0,"{""10"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.13331961001889908,0.10320673984566363,0.16353668221313322,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,5,5,5,0,"{""12"": 1, ""14"": 1, ""22"": 1, ""36"": 1, ""8"": 1}",5,1.6094379124341005,0.7999999999999999,0.2,1.0,0,,,,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.09578509834579915,0.007421561197532966,0.184356936095253,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,23,23,23,0,"{""10"": 2, ""8"": 21}",2,0.2954391918721161,0.15879017013232533,0.9130434782608695,0.16600790513833993,211,0.2096408388744841,0.15240637761328968,0.22639949496134112,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,5,5,5,0,"{""10"": 1, ""12"": 2, ""28"": 2}",3,1.0549201679861442,0.6399999999999999,0.4,0.8,2,0.15543400561696566,0.1412145661319489,0.1696534451019824,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.19065463060123894,0.15918821919499734,0.19154090823174583,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,23,23,23,0,"{""12"": 1, ""8"": 22}",2,0.17884491271684755,0.08317580340264641,0.9565217391304348,0.08695652173913043,231,0.009826112967043317,0.006526995978010761,0.0818093447331982,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,6,6,6,0,"{""10"": 1, ""12"": 2, ""14"": 3}",3,1.0114042647073516,0.6111111111111112,0.5,0.7333333333333333,4,0.0025139848814453433,0.0020495311973452567,0.031296908254347264,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,23,23,23,0,"{""8"": 23}",1,-0.0,0.0,1.0,0.0,253,0.05123803372922236,0.0054866821880361705,0.16020120380951497,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,23,23,23,0,"{""10"": 2, ""12"": 3, ""14"": 7, ""16"": 9, ""22"": 1, ""8"": 1}",6,1.479906239123176,0.7258979206049149,0.391304347826087,0.758893280632411,61,0.1916031421357578,0.1359044401797653,0.21665878001400887,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,5,5,5,0,"{""10"": 1, ""16"": 3, ""8"": 1}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.09682020319079547,0.048410101595397735,0.09682020319079547,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,5,5,5,0,"{""12"": 3, ""14"": 1, ""8"": 1}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.012000095908065552,0.00941695943312483,0.013062645414013741,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,5,5,5,0,"{""16"": 2, ""8"": 3}",2,0.6730116670092565,0.48,0.6,0.6,4,0.1428125124073326,0.13567412580214508,0.15083058945881422,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.031328497355062365,0.014986150241346505,0.08407586698236569,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,5,5,5,0,"{""10"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.13276159377848468,0.12837680762002193,0.1380626320845992,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.02475137392916613,0.009147975149995612,0.050264976550192776,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,23,23,23,0,"{""10"": 1, ""12"": 8, ""14"": 2, ""8"": 12}",4,1.0554634988850373,0.5973534971644612,0.5217391304347826,0.6245059288537549,95,0.09775645363235033,0.052600626385309504,0.11170316998210197,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,23,23,23,0,"{""10"": 1, ""12"": 4, ""14"": 5, ""16"": 5, ""18"": 3, ""8"": 5}",6,1.7014688682336978,0.8090737240075614,0.21739130434782608,0.8458498023715415,39,0.16605634964009694,0.05772879685177582,0.19481415715652067,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,6,6,6,0,"{""16"": 1, ""8"": 5}",2,0.45056120886630463,0.2777777777777777,0.8333333333333334,0.3333333333333333,10,0.003626403044678865,0.002114467062627061,0.09274520603438827,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.004287009145010972,0.00287573502428037,0.005816959144671442,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,23,23,23,0,"{""10"": 3, ""12"": 3, ""14"": 1, ""16"": 6, ""18"": 5, ""20"": 5}",6,1.6817285780283675,0.8015122873345936,0.2608695652173913,0.8379446640316206,41,0.09422218951531003,0.06874615587129834,0.13587452304836017,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,5,5,5,0,"{""12"": 2, ""14"": 1, ""20"": 1, ""8"": 1}",4,1.3321790402101223,0.72,0.4,0.9,1,0.11451879941767748,0.11451879941767748,0.11451879941767748,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,5,5,5,0,"{""10"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.14773572071232544,0.13642809119627694,0.1746833233555825,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,5,5,5,0,"{""4"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.12008562710019205,0.091618955692402,0.15741791438204344,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,5,5,5,0,"{""10"": 2, ""12"": 1, ""8"": 2}",3,1.0549201679861442,0.6399999999999999,0.4,0.8,2,0.18147671204506272,0.17368686696112398,0.18926655712900142,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.16346783001180112,0.1609104405138045,0.19474214348670954,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,5,5,5,0,"{""12"": 2, ""14"": 1, ""8"": 2}",3,1.0549201679861442,0.6399999999999999,0.4,0.8,2,0.19343250909580462,0.17200984101937056,0.21485517717223868,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,5,5,4,1,"{""12"": 2, ""18"": 1, ""20"": 1}",3,1.0397207708399179,0.625,0.5,0.8333333333333334,1,0.2085722698199608,0.2085722698199608,0.2085722698199608,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.13327639655219278,0.11308668546957769,0.15450728137899009,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,5,5,5,0,"{""10"": 1, ""16"": 1, ""8"": 3}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.14098339822132835,0.07990267471990345,0.1460190949232488,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,6,6,6,0,"{""10"": 1, ""12"": 2, ""16"": 1, ""20"": 2}",4,1.329661348854758,0.7222222222222222,0.3333333333333333,0.8666666666666667,2,0.055023025478119506,0.027511512739059753,0.08253453821717927,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,6,6,6,0,"{""12"": 1, ""14"": 1, ""16"": 1, ""20"": 2, ""8"": 1}",5,1.5607104090414063,0.7777777777777777,0.3333333333333333,0.9333333333333333,1,0.06952573450398158,0.06952573450398158,0.06952573450398158,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,7,7,7,0,"{""12"": 5, ""8"": 2}",2,0.5982695885852573,0.40816326530612246,0.7142857142857143,0.47619047619047616,11,0.007190057391919437,0.0027704463261875385,0.15295785949740434,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,23,23,23,0,"{""10"": 5, ""12"": 5, ""14"": 4, ""16"": 2, ""8"": 7}",5,1.5421367388279474,0.775047258979206,0.30434782608695654,0.8102766798418972,48,0.06320688944208927,0.014304459508105036,0.1546558473322896,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,5,5,4,1,"{""8"": 4}",1,-0.0,0.0,1.0,0.0,6,0.12963768968512665,0.10853813261166964,0.13353261647274886,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,23,23,23,0,"{""10"": 1, ""8"": 22}",2,0.17884491271684755,0.08317580340264641,0.9565217391304348,0.08695652173913043,231,0.16361350591117468,0.14185195059349334,0.20876759260131408,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,5,5,5,0,"{""10"": 1, ""6"": 1, ""8"": 3}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.08954622062610103,0.04556367972809261,0.08957366140062133,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,5,5,5,0,"{""10"": 1, ""12"": 1, ""16"": 1, ""18"": 1, ""8"": 1}",5,1.6094379124341005,0.7999999999999999,0.2,1.0,0,,,,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.08949740034937087,0.031151387320951317,0.14635574618113167,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,5,5,5,0,"{""12"": 3, ""8"": 2}",2,0.6730116670092565,0.48,0.6,0.6,4,0.059952494539626165,0.04966671120997929,0.09887914080345256,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.13077704559356068,0.005296438797334355,0.13184337206887417,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,23,23,23,0,"{""16"": 1, ""18"": 1, ""20"": 2, ""8"": 19}",4,0.6428579130907905,0.3062381852551985,0.8260869565217391,0.3201581027667984,172,0.15809559832949868,0.03949078282318886,0.1869191192943278,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.2510026639797237,0.0029508113052823565,0.2520860924204897,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
