stage,condition,dataset_group,base_task_id,selected_support,distinct_workers,even_point_candidate_support,strict_valid_support,strict_invalid_support,all_selected_pair_count,strict_pair_count,boundary_metric_pair_count,wall_metric_pair_count,metric_pair_coverage_over_all_selected,boundary_distance_mean,boundary_distance_median,boundary_distance_q90,wall_distance_mean,wall_distance_median,wall_distance_q90,vertical_boundary_count_disagreement,selected_point_counts_json,strict_vertical_boundary_counts_json,strict_boundary_count_diverse
C1,manual,C1_core_all,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,5,5,5,4,1,10,6,6,6,0.6,0.04260831212395542,0.04162884684770907,0.06289946536597452,0.052544623137795864,0.04408337546788732,0.08393406327372255,1.0,"[14, 36, 8, 22, 12]","[7, 4, 11, 6]",True
C1,manual,C1_core_all,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,5,5,5,5,0,10,10,10,10,1.0,0.010383530662966534,0.007091208945977423,0.019930739600740988,0.020783993787232856,0.011826272470453258,0.04019832725762394,0.4,"[8, 8, 8, 12, 8]","[4, 4, 4, 6, 4]",True
C1,manual,C1_core_all,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,5,5,5,5,0,10,10,10,10,1.0,0.02318038087643537,0.02390405259792866,0.029778485177399148,0.034974145662498915,0.04021365538057459,0.054727627036771344,0.8,"[12, 10, 28, 28, 12]","[6, 5, 14, 14, 6]",True
C1,manual,C1_core_all,rPc6DW4iMge_4350d36797324601adba7351d09602d2,5,5,5,5,0,10,10,10,10,1.0,0.010768683062261841,0.007992588113165777,0.01979467258077735,0.0031429024721770895,0.003258815807648474,0.004354964147777418,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,6,6,6,6,0,15,15,15,15,1.0,0.016782167356928723,0.01772184380585129,0.028279593337680597,0.010663691999908576,0.01215649057579915,0.020673528477319736,0.7333333333333333,"[10, 12, 14, 14, 12, 14]","[5, 6, 7, 7, 6, 7]",True
C1,manual,C1_core_all,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,5,5,5,5,0,10,10,10,10,1.0,0.02371422746945533,0.025759002051672808,0.037252942341553505,0.03655539033107612,0.03535794554073812,0.06705383933967764,0.7,"[16, 8, 10, 16, 16]","[8, 4, 5, 8, 8]",True
C1,manual,C1_core_all,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,5,5,5,5,0,10,10,10,10,1.0,0.05133278896180441,0.05064293423180888,0.08891232790313043,0.053451138633863436,0.02969229484366026,0.11941539603510619,0.7,"[12, 12, 12, 14, 8]","[6, 6, 6, 7, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,5,5,5,5,0,10,10,10,10,1.0,0.040598441143194886,0.03583754397627892,0.06992692615772512,0.06737856749182068,0.06826505470222666,0.10334340356914758,0.6,"[16, 8, 8, 16, 8]","[8, 4, 4, 8, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,6,6,6,6,0,15,15,15,15,1.0,0.011766393466513108,0.015335185657188277,0.02000457536322464,0.009379135302946177,0.008546612321236768,0.015596430866739808,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,5,5,5,5,0,10,10,10,10,1.0,0.006954132051485473,0.006050575484383203,0.01146393741656877,0.00608531003774917,0.0037836993157565613,0.011643242181253554,0.4,"[8, 8, 8, 10, 8]","[4, 4, 4, 5, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,5,5,5,0,10,10,10,10,1.0,0.016677392827059934,0.007690946521846209,0.034199322790092766,0.01436958081009917,0.018814870460022393,0.021713954928551337,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,6,6,6,6,0,15,15,15,15,1.0,0.017528179967064936,0.02549937088233223,0.032506430981734315,0.03577204587735286,0.04212270770608251,0.07911632215415394,0.3333333333333333,"[16, 8, 8, 8, 8, 8]","[8, 4, 4, 4, 4, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,6,6,6,6,0,15,15,15,15,1.0,0.004273138583942019,0.004498724262413267,0.006747132942979905,0.0025676985310269704,0.0016233766233766378,0.005242879752583329,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,5,5,5,5,0,10,10,10,10,1.0,0.011319186584876318,0.009124323504326126,0.01746383928029447,0.02494118766182595,0.024439266462730203,0.039102480284746326,0.9,"[14, 12, 8, 20, 12]","[7, 6, 4, 10, 6]",True
C1,manual,C1_core_all,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,5,5,5,5,0,10,10,10,10,1.0,0.042775144271378386,0.013231404982547545,0.0970900018316269,0.027124230801471562,0.007763262610067934,0.06042471314773824,0.4,"[8, 10, 8, 8, 8]","[4, 5, 4, 4, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,5,5,5,5,0,10,10,10,10,1.0,0.013124002556343651,0.007548160036443097,0.02459669811661913,0.056468325291326435,0.005445366468766422,0.13598533829367396,0.4,"[8, 4, 8, 8, 8]","[4, 2, 4, 4, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,5,5,5,5,0,10,10,10,10,1.0,0.04103293011261666,0.036826000201115316,0.05942019377860839,0.038267740682942544,0.042316844273071696,0.05534988647918091,0.8,"[10, 12, 10, 8, 8]","[5, 6, 5, 4, 4]",True
C1,manual,C1_core_all,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,5,5,5,5,0,10,10,10,10,1.0,0.005819824577645227,0.005193500944833118,0.008894267183315674,0.004675152068883548,0.004226807402909816,0.00822034260132759,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
