image_id,building_id,common_n,usable_unassisted,high_n,legacy_summary_risk,image_only_features_present,c2_descriptor_present,stage3_descriptor_present,descriptor_union_present,c2_risk_score,c2_risk_status,c1_risk_score,c1_risk_status,stage3_risk_score,stage3_risk_status,any_source_risk_present,overlap_global_max_abs_delta,overlap_local_max_abs_delta
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,1,0,,1,1,1,1,7.705302975206146,not_evaluable,7.71615895104219,,7.714968270007923,ready,1,0.09541735053062439,0.49196767807006836
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,1,0,,1,1,1,1,5.173769345088884,frozen,5.198138191873101,,5.161715652067203,ready,1,0.01139986515045166,0.1672370433807373
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,1,0,,1,1,1,1,5.704615352019258,frozen,5.704879847492809,,6.08237524156464,ready,1,0.06092435121536255,0.34152936935424805
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,1,0,,1,1,1,1,5.898078958502419,frozen,5.892375282171626,,6.194600448208754,ready,1,0.048875510692596436,0.19465065002441406
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,0,0,0,,1,0,1,1,,,,,5.337259290005789,ready,1,,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,24,1,1,,1,0,1,1,,,,,6.503061772452092,ready,1,,
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,0,0,0,,1,0,1,1,,,,,3.9698065332002046,ready,1,,
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,1,0,,1,1,1,1,3.8536357288371685,frozen,3.844638916500646,,3.8028088888285305,ready,1,0.02565246820449829,0.07485008239746094
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,6,1,0,,1,1,1,1,5.80191530258922,frozen,5.793547824193151,,5.2816777297936,ready,1,0.0903405249118805,0.17855608463287354
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,24,1,1,,1,0,1,1,,,,,3.9552594598184836,ready,1,,
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,6,1,0,,1,1,1,1,3.659144768401704,frozen,3.6557796668029057,,3.6416144412927025,ready,1,0.05505108833312988,0.1481938362121582
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,e9zR4mvMWw7,0,0,0,,1,0,1,1,,,,,4.099289129828083,ready,1,,
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,6,1,0,,1,1,1,1,5.085530622580233,frozen,5.0842999030392635,,5.019676663610126,ready,1,0.04813539981842041,0.30495762825012207
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,0,0,0,,1,0,1,1,,,,,3.5462877524653424,ready,1,,
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,0,0,0,,1,0,1,1,,,,,5.374756018220919,ready,1,,
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,6,1,0,,1,1,1,1,4.576837994581342,frozen,4.567026011978769,,4.7039306329601684,ready,1,0.04313534498214722,0.21872806549072266
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,24,1,1,,1,0,1,1,,,,,5.964003319092196,ready,1,,
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,e9zR4mvMWw7,0,0,0,,1,0,1,1,,,,,3.461187599128169,ready,1,,
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,0,0,0,,1,0,1,1,,,,,8.323115024262663,ready,1,,
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,4,1,0,7.556923540097862,1,1,0,1,7.556923540097862,frozen,,,,,1,,
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ,2,1,0,5.295506908416907,1,1,0,1,5.295506908416907,frozen,,,,,1,,
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ,2,1,0,5.512393035924778,1,1,0,1,5.512393035924778,frozen,,,,,1,,
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ,2,1,0,5.29176262493917,1,1,0,1,5.29176262493917,frozen,,,,,1,,
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ,2,1,0,4.655451749029902,1,1,0,1,4.655451749029902,frozen,,,,,1,,
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ,1,1,0,3.595006432551763,1,1,0,1,3.595006432551763,frozen,,,,,1,,
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ,2,1,0,5.249871582737375,1,1,0,1,5.249871582737375,frozen,,,,,1,,
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,jtcxE69GiFV,3,1,0,5.680586988921447,1,1,0,1,5.680586988921447,frozen,,,,,1,,
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,jtcxE69GiFV,3,1,0,3.890175999177667,1,1,0,1,3.890175999177667,frozen,,,,,1,,
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,6,1,0,9.481862942795813,1,1,0,1,9.481862942795813,frozen,,,,,1,,
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,jtcxE69GiFV,1,1,0,3.874768143483207,1,1,0,1,3.874768143483207,frozen,,,,,1,,
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,jtcxE69GiFV,1,1,0,3.969454490551143,1,1,0,1,3.969454490551143,frozen,,,,,1,,
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,jtcxE69GiFV,2,1,0,5.0736641123929465,1,1,0,1,5.0736641123929465,frozen,,,,,1,,
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,jtcxE69GiFV,1,1,0,4.418088103411216,1,1,0,1,4.418088103411216,frozen,,,,,1,,
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,jtcxE69GiFV,2,1,0,4.15793460464612,1,1,0,1,4.15793460464612,frozen,,,,,1,,
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,jtcxE69GiFV,1,1,0,5.097611503816893,1,1,0,1,5.097611503816893,frozen,,,,,1,,
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,4,1,0,5.76678693413434,1,1,0,1,5.76678693413434,frozen,,,,,1,,
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,jtcxE69GiFV,2,1,0,4.379436039704189,1,1,0,1,4.379436039704189,frozen,,,,,1,,
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,jtcxE69GiFV,1,1,0,3.6156052152509655,1,1,0,1,3.6156052152509655,frozen,,,,,1,,
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,4,1,0,4.924529891734887,1,1,0,1,4.9245298917348865,frozen,,,,,1,,
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,4,1,0,4.71539312866952,1,1,0,1,4.71539312866952,frozen,,,,,1,,
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,jtcxE69GiFV,1,1,0,3.8929663992613457,1,1,0,1,3.8929663992613457,frozen,,,,,1,,
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,jtcxE69GiFV,1,1,0,3.802659941901452,1,1,0,1,3.8026599419014517,frozen,,,,,1,,
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,pRbA3pwrgk9,3,1,0,8.745138446780821,1,1,0,1,8.745138446780821,frozen,,,,,1,,
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,6,1,0,6.831342493839091,1,1,0,1,6.831342493839091,frozen,,,,,1,,
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9,1,1,0,3.511845508517192,1,1,0,1,3.511845508517192,frozen,,,,,1,,
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,pRbA3pwrgk9,2,1,0,3.856735574381165,1,1,0,1,3.8567355743811653,frozen,,,,,1,,
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,3,1,0,3.56801929571565,1,1,0,1,3.56801929571565,frozen,,,,,1,,
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,5,1,0,7.29202638738098,1,1,0,1,7.29202638738098,frozen,,,,,1,,
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9,2,1,0,3.406655903885932,1,1,0,1,3.406655903885932,frozen,,,,,1,,
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,20,1,1,6.457935204966335,1,1,0,1,6.457935204966335,frozen,,,,,1,,
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,pRbA3pwrgk9,2,1,0,4.869512164311926,1,1,0,1,4.869512164311926,frozen,,,,,1,,
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,pRbA3pwrgk9,2,1,0,5.421113723737568,1,1,0,1,5.421113723737568,frozen,,,,,1,,
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,pRbA3pwrgk9,2,1,0,6.410967554034756,1,1,0,1,6.410967554034756,frozen,,,,,1,,
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,pa4otMbVnkk,2,1,0,3.934007895549571,1,1,0,1,3.934007895549571,frozen,,,,,1,,
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,pa4otMbVnkk,1,1,0,4.583637601099402,1,1,0,1,4.583637601099402,frozen,,,,,1,,
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,pa4otMbVnkk,2,1,0,3.446418996433377,1,1,0,1,3.446418996433377,frozen,,,,,1,,
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,pa4otMbVnkk,3,1,0,4.254049428543212,1,1,0,1,4.254049428543212,frozen,,,,,1,,
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk,1,1,0,5.041596258851888,1,1,0,1,5.041596258851888,frozen,,,,,1,,
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,6,1,0,8.146315693268235,1,1,0,1,8.146315693268235,frozen,,,,,1,,
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pa4otMbVnkk,3,1,0,4.222100206664882,1,1,0,1,4.222100206664882,frozen,,,,,1,,
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk,1,1,0,3.9847071562262193,1,1,0,1,3.9847071562262193,frozen,,,,,1,,
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,pa4otMbVnkk,1,1,0,3.8394553324631153,1,1,0,1,3.8394553324631153,frozen,,,,,1,,
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,pa4otMbVnkk,1,1,0,3.5741948993665464,1,1,0,1,3.5741948993665464,frozen,,,,,1,,
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,pa4otMbVnkk,1,1,0,3.809297376799212,1,1,0,1,3.8092973767992118,frozen,,,,,1,,
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,1,0,,1,1,1,1,3.8386332548230993,frozen,3.8294498017250125,,3.789415616256032,ready,1,0.01790452003479004,0.23723983764648438
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,24,1,1,,1,0,1,1,,,,,3.793790215978828,ready,1,,
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,1,0,,1,1,1,1,6.063316519878385,frozen,6.038806167206245,,5.9130813575382195,ready,1,0.042843520641326904,0.17149639129638672
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,3,1,0,,1,1,1,1,6.551955437007231,not_evaluable,6.56048929796832,,6.603120973732075,ready,1,0.047992706298828125,0.16677021980285645
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,24,1,1,,1,0,1,1,,,,,4.284434686229258,ready,1,,
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,1,0,,1,1,1,1,3.672156086052099,frozen,3.665859189095968,,3.713688001180931,ready,1,0.015787124633789062,0.29431867599487305
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,6,1,0,,1,1,1,1,3.817972915342329,frozen,3.815565099785146,,3.7840373028970986,ready,1,0.013208210468292236,0.09213590621948242
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,24,1,1,,1,0,1,1,,,,,5.147480984372175,ready,1,,
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,q9vSo1VnCiC,0,0,0,,1,0,1,1,,,,,4.0068186239625625,ready,1,,
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,1,0,,1,1,1,1,3.867590618160216,frozen,3.8651128492404974,,4.035394151341406,ready,1,0.019075851887464523,0.19715213775634766
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,24,1,1,,1,0,1,1,,,,,4.135875618677099,ready,1,,
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,6,1,0,,1,1,1,1,6.071258802345754,frozen,6.060121015404658,,6.399259971945798,ready,1,0.2059057056903839,0.6960264444351196
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,5,1,0,,1,1,1,1,5.93456662902092,frozen,5.920226072314683,,5.508595127838127,ready,1,0.05871617794036865,0.29077696800231934
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,5,1,0,,1,1,1,1,4.113133856232659,frozen,4.096777981500849,,4.030058396746764,ready,1,0.023652613162994385,0.22010111808776855
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,24,1,1,,1,0,1,1,,,,,5.407477073691815,ready,1,,
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,5,1,0,,1,1,1,1,3.627382977714143,frozen,3.622192202372844,,3.6082416541148303,ready,1,0.03291425108909607,0.15126490592956543
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,23,1,1,,1,1,1,1,4.5265223433750945,frozen,4.517416000106564,,4.360005327279131,ready,1,0.022060394287109375,0.23216867446899414
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,5,1,0,,1,1,1,1,6.041665829437613,frozen,6.014340226219468,,5.930117564793003,ready,1,0.02467373013496399,0.2817709445953369
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,24,1,1,,1,0,1,1,,,,,7.213458620883657,ready,1,,
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,24,1,1,,1,0,1,1,,,,,8.558899028874073,ready,1,,
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,5,1,0,,1,1,1,1,4.197332862522143,frozen,4.175416600808521,,4.232172503435672,ready,1,0.011024117469787598,0.11503410339355469
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,23,1,1,,1,1,1,1,3.6040511545401883,frozen,3.6020100039452494,,3.6733484571309285,ready,1,0.02743375301361084,0.28952670097351074
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,6,1,0,,1,1,1,1,3.558352006155434,frozen,3.54926505919715,,3.6249245038864846,ready,1,0.032183289527893066,0.3184797763824463
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,0,0,0,,1,0,1,1,,,,,5.808197431092164,ready,1,,
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,24,1,1,,1,0,1,1,,,,,4.393953146936237,ready,1,,
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,22,1,1,,1,0,1,1,,,,,7.602209413469948,ready,1,,
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,24,1,1,,1,0,1,1,,,,,10.20115303329204,ready,1,,
