image_id,building_id,mode,config,lookahead,min_support,epsilon,permutation_threshold,common_n,k_max,q95_possible,q95_conservative,q95_status,q95_terminal_stable_n,q95_terminal_changing_n,q95_terminal_unknown_n,q95_terminal_multi_stable_n,q95_mean_unknown_fraction,q95_terminal_member_failure_n,q95_terminal_share_failure_n,q95_terminal_promotion_failure_n,q95_at_conservative_stable_n,q95_at_conservative_multi_stable_n,q95_tail_min_stable_n,q95_tail_min_multi_stable_n,ospa_possible,ospa_conservative,ospa_status,ospa_terminal_stable_n,ospa_terminal_changing_n,ospa_terminal_unknown_n,ospa_terminal_multi_stable_n,ospa_mean_unknown_fraction,q95_full_pool_n,q95_full_pool_status,q95_full_pool_invalid_n,q95_full_pool_cluster_count,q95_full_pool_cluster_sizes,q95_full_pool_m2_clusters,q95_full_pool_m3_clusters,source_curves,source_windows,source_geometry,building_high_n_images,same_building_transfer_eligible,building_common_n,q95_building_budget_possible,q95_building_budget_conservative,q95_building_budget_status,q95_building_budget_terminal_stable_n,q95_building_budget_terminal_changing_n,q95_building_budget_terminal_unknown_n,q95_terminal_m2_multi_stable_n,q95_at_conservative_m2_multi_stable_n
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,with_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,143,57,0,136,0.0602631578947368,0,0,57,,,,,14.0,,unknown,9,3,188,9,0.6821052631578947,25,unique,0,2.0,"[23,2]",2.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,,,not_reached,143.0,57.0,0.0,126.0,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,131,69,0,131,0.0607894736842105,0,0,69,,,,,13.0,,unknown,0,0,200,0,0.7315789473684211,24,unique,0,2.0,"[22,2]",2.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,,,not_reached,131.0,69.0,0.0,131.0,
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,with_workers,q_0.950,5,2,0.1,0.8,20,15,8.0,,unknown,0,0,200,0,0.7263333333333333,0,0,0,,,,,12.0,,unknown,0,0,200,0,0.7860000000000001,20,unknown_invalid_geometry,1,4.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,2,True,20,8.0,,unknown,0.0,0.0,200.0,0.0,
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,without_workers,q_0.950,5,2,0.1,0.8,20,15,8.0,,unknown,0,0,200,0,0.7263333333333333,0,0,0,,,,,12.0,,unknown,0,0,200,0,0.7860000000000001,20,unknown_invalid_geometry,1,4.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,2,True,20,8.0,,unknown,0.0,0.0,200.0,0.0,
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,with_workers,q_0.950,5,2,0.1,0.8,20,15,1.0,2.0,finite_interval,200,0,0,0,0.0666666666666666,0,0,0,200.0,0.0,200.0,0.0,1.0,2.0,finite_interval,200,0,0,0,0.0666666666666666,20,unique,0,1.0,[20],1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,2,True,20,1.0,2.0,finite_interval,200.0,0.0,0.0,0.0,0.0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,without_workers,q_0.950,5,2,0.1,0.8,20,15,1.0,2.0,finite_interval,200,0,0,0,0.0666666666666666,0,0,0,200.0,0.0,200.0,0.0,1.0,2.0,finite_interval,200,0,0,0,0.0666666666666666,20,unique,0,1.0,[20],1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,2,True,20,1.0,2.0,finite_interval,200.0,0.0,0.0,0.0,0.0
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,0,115,85,0,0.5865789473684211,0,115,105,,,,,,,not_reached,0,200,0,0,0.3486842105263157,25,unique,0,13.0,"[5,3,3,2,2,2,2,1,1,1,1,1,1]",7.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,0.0,111.0,89.0,0.0,
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,0,123,77,0,0.5823684210526315,0,123,117,,,,,,,not_reached,0,200,0,0,0.3339473684210526,24,unique,0,12.0,"[5,3,3,2,2,2,2,1,1,1,1,1]",7.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,0.0,113.0,87.0,0.0,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,24,19,10.0,,unknown,0,1,199,0,0.8755263157894736,0,1,1,,,,,,,not_reached,0,200,0,0,0.2673684210526316,26,unknown_invalid_geometry,2,11.0,,5.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,10.0,,unknown,0.0,2.0,198.0,0.0,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,24,19,15.0,,unknown,0,0,200,0,0.7368421052631579,0,0,0,,,,,,,not_reached,0,200,0,0,0.2528947368421052,24,unknown_invalid_geometry,1,10.0,,5.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,15.0,,unknown,0.0,9.0,191.0,0.0,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,13,187,0,13,0.1610526315789473,0,168,138,,,,,,,not_reached,28,172,0,28,0.155,25,unique,0,9.0,"[8,4,3,3,2,2,1,1,1]",6.0,4.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,2.0,198.0,0.0,13.0,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,23,177,0,23,0.1555263157894736,0,162,106,,,,,,,not_reached,61,139,0,61,0.1492105263157894,24,unique,0,9.0,"[8,4,3,3,2,1,1,1,1]",5.0,4.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,18.0,182.0,0.0,23.0,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,24,19,12.0,,unknown,4,5,191,4,0.6278947368421054,0,1,5,,,,,,,not_reached,33,167,0,33,0.2184210526315789,25,unknown_invalid_geometry,1,6.0,,2.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,12.0,,unknown,7.0,10.0,183.0,4.0,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,122,78,0,122,0.0860526315789473,0,15,77,,,,,,,not_reached,42,158,0,42,0.2105263157894736,24,unique,0,6.0,"[18,2,1,1,1,1]",2.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,119.0,81.0,0.0,122.0,
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,23,18,8.0,8.0,identified,200,0,0,195,0.0683333333333333,0,0,0,176.0,110.0,176.0,110.0,8.0,8.0,identified,200,0,0,195,0.0683333333333333,23,unique,0,3.0,"[21,1,1]",1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,8.0,8.0,identified,200.0,0.0,0.0,0.0,0.0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,23,18,8.0,8.0,identified,200,0,0,195,0.0683333333333333,0,0,0,176.0,110.0,176.0,110.0,8.0,8.0,identified,200,0,0,195,0.0683333333333333,23,unique,0,3.0,"[21,1,1]",1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,8.0,8.0,identified,200.0,0.0,0.0,0.0,0.0
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,with_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,47,75,78,47,0.4421052631578948,0,38,52,,,,,,,not_reached,45,87,68,45,0.4744736842105262,25,unique,0,6.0,"[12,8,2,1,1,1]",3.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,44.0,71.0,85.0,47.0,
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,51,79,70,51,0.4434210526315789,0,35,59,,,,,,,not_reached,45,94,61,45,0.475,24,unique,0,5.0,"[12,8,2,1,1]",3.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,6,True,23,,,not_reached,47.0,71.0,82.0,51.0,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,with_workers,q_0.950,5,2,0.1,0.8,19,14,,,not_reached,14,186,0,14,0.1689285714285714,0,117,147,,,,,,,not_reached,14,186,0,14,0.1689285714285714,19,unique,0,5.0,"[9,5,2,2,1]",4.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,1,False,19,,,not_reached,14.0,186.0,0.0,14.0,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,without_workers,q_0.950,5,2,0.1,0.8,19,14,,,not_reached,14,186,0,14,0.1689285714285714,0,117,147,,,,,,,not_reached,14,186,0,14,0.1689285714285714,19,unique,0,5.0,"[9,5,2,2,1]",4.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,1,False,19,,,not_reached,14.0,186.0,0.0,14.0,
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,with_workers,q_0.950,5,2,0.1,0.8,24,19,5.0,5.0,identified,200,0,0,141,0.0557894736842105,0,0,0,176.0,41.0,176.0,41.0,5.0,5.0,identified,200,0,0,141,0.0557894736842105,25,unique,0,2.0,"[24,1]",1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,1,False,24,5.0,5.0,identified,200.0,0.0,0.0,0.0,0.0
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,without_workers,q_0.950,5,2,0.1,0.8,24,19,1.0,2.0,finite_interval,200,0,0,0,0.0526315789473684,0,0,0,200.0,0.0,200.0,0.0,1.0,2.0,finite_interval,200,0,0,0,0.0526315789473684,24,unique,0,1.0,[24],1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,1,False,24,1.0,2.0,finite_interval,200.0,0.0,0.0,0.0,0.0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,with_workers,q_0.950,5,2,0.1,0.8,24,19,19.0,,unknown,0,30,170,0,0.5339473684210526,0,28,29,,,,,,,not_reached,0,200,0,0,0.2552631578947368,26,non_unique,0,,,,,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,2,True,24,19.0,,unknown,0.0,30.0,170.0,0.0,
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,without_workers,q_0.950,5,2,0.1,0.8,24,19,17.0,,unknown,0,0,200,0,0.5828947368421052,0,0,0,,,,,,,not_reached,0,200,0,0,0.23,24,non_unique,0,,,,,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,2,True,24,17.0,,unknown,0.0,0.0,200.0,0.0,
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,with_workers,q_0.950,5,2,0.1,0.8,24,19,1.0,,unknown,9,0,191,0,0.6597368421052632,0,0,0,,,,,5.0,,unknown,14,0,186,14,0.6071052631578947,25,unknown_invalid_geometry,1,1.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,2,True,24,1.0,,unknown,9.0,0.0,191.0,0.0,
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,without_workers,q_0.950,5,2,0.1,0.8,24,19,1.0,,unknown,0,0,200,0,0.6813157894736842,0,0,0,,,,,5.0,,unknown,0,0,200,0,0.6357894736842106,24,unknown_invalid_geometry,1,1.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,2,True,24,1.0,,unknown,0.0,0.0,200.0,0.0,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,with_workers,q_0.950,5,2,0.1,0.8,24,19,14.0,,unknown,5,4,191,5,0.6473684210526317,0,4,0,,,,,,,not_reached,97,103,0,97,0.1455263157894737,25,unknown_invalid_geometry,1,5.0,,3.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,1,False,24,14.0,,unknown,5.0,4.0,191.0,5.0,
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,150,50,0,150,0.1142105263157894,0,50,3,,,,,,,not_reached,121,79,0,121,0.1384210526315789,24,unique,0,5.0,"[11,7,4,1,1]",3.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,1,False,24,,,not_reached,150.0,50.0,0.0,150.0,
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,with_workers,q_0.950,5,2,0.1,0.8,20,15,11.0,,unknown,0,0,200,0,0.8170000000000001,0,0,0,,,,,,,not_reached,0,200,0,0,0.3353333333333333,20,unknown_invalid_geometry,1,10.0,,4.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,1,False,20,11.0,,unknown,0.0,0.0,200.0,0.0,
