image_id,condition,cut,scenario,removed_canonical_ids,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.2,with_user_confirmed_addition,,24,10,6,4,2,0.166666666667,0.833333333333,0.208333333333,7.38461538462,3.06977383503,0.869565217391,0.0988257686531,5;4;4;3;2;2;1;1;1;1,0.166666666667,0.840277777778,3,1,0.989583333333,0,False,6
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.2,exclude_confirmed_added_only,3a772c253f77d4b7,23,10,6,4,2,0.173913043478,0.826086956522,0.217391304348,7.45070422535,3.08358737002,0.869565217391,0.101672789661,5;4;3;3;2;2;1;1;1;1,0.173913043478,0.833648393195,3,1,0.989130434783,0,False,6
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.05,with_user_confirmed_addition,,23,16,3,13,1,0.565217391304,0.434782608696,0.173913043478,10.7959183673,3.7409532604,0.624505928854,0.0408724386409,4;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1,0.565217391304,0.438707729469,10,3,0.963768115942,0,False,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.05,exclude_confirmed_added_only,40ac299ba105fdef,22,15,3,12,1,0.545454545455,0.454545454545,0.181818181818,10.0833333333,3.64124980046,0.593073593074,0.0408724386409,4;4;2;1;1;1;1;1;1;1;1;1;1;1;1,0.545454545455,0.458840372226,9,3,0.962121212121,0,False,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.075,with_user_confirmed_addition,,23,13,4,9,2,0.391304347826,0.608695652174,0.260869565217,7.66666666667,3.32748478196,0.624505928854,0.0438997122213,6;4;2;2;1;1;1;1;1;1;1;1;1,0.391304347826,0.616444253121,6,3,0.952380952381,0.75,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.075,exclude_confirmed_added_only,40ac299ba105fdef,22,12,4,8,2,0.363636363636,0.636363636364,0.272727272727,7.11764705882,3.20898730026,0.593073593074,0.0438997122213,6;4;2;2;1;1;1;1;1;1;1;1,0.363636363636,0.644820295983,5,3,0.95,0.75,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.1,with_user_confirmed_addition,,23,10,4,6,2,0.260869565217,0.739130434783,0.304347826087,5.34343434343,2.82089850133,0.624505928854,0.0491924691421,7;6;2;2;1;1;1;1;1;1,0.260869565217,0.746803069054,3,3,0.930272108844,0.857142857143,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.1,exclude_confirmed_added_only,40ac299ba105fdef,22,9,4,5,2,0.227272727273,0.772727272727,0.318181818182,4.9387755102,2.67937437051,0.593073593074,0.0491924691421,7;6;2;2;1;1;1;1;1,0.227272727273,0.781067556297,2,3,0.926785714286,0.857142857143,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.125,with_user_confirmed_addition,,23,8,4,4,2,0.173913043478,0.826086956522,0.347826086957,4.232,2.45175828413,0.624505928854,0.0653594503128,8;7;2;2;1;1;1;1,0.173913043478,0.833648393195,3,1,0.930272108844,0.8125,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.125,exclude_confirmed_added_only,40ac299ba105fdef,22,7,4,3,2,0.136363636364,0.863636363636,0.363636363636,3.90322580645,2.29345505253,0.593073593074,0.0653594503128,8;7;2;2;1;1;1,0.136363636364,0.871777476255,2,1,0.926785714286,0.8125,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.15,with_user_confirmed_addition,,23,6,3,3,1,0.130434782609,0.869565217391,0.434782608696,3.09356725146,1.94881061045,0.624505928854,0.0850917259453,10;8;2;1;1;1,0.130434782609,0.873401534527,3,0,0.930272108844,0.9,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.15,exclude_confirmed_added_only,40ac299ba105fdef,22,5,3,2,1,0.0909090909091,0.909090909091,0.454545454545,2.84705882353,1.76764612096,0.593073593074,0.0850917259453,10;8;2;1;1,0.0909090909091,0.913223140496,2,0,0.926785714286,0.9,True,2
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.2,with_user_confirmed_addition,,23,4,3,1,1,0.0434782608696,0.95652173913,0.521739130435,2.48356807512,1.52271195568,0.624505928854,0.0895268154605,12;8;2;1,0.0434782608696,0.960144927536,1,0,1,0,False,3
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,0.2,exclude_confirmed_added_only,40ac299ba105fdef,22,4,2,2,0,0.0909090909091,0.909090909091,0.545454545455,2.30476190476,1.41308843643,0.593073593074,0.0892295694698,12;8;1;1,0.0909090909091,0.916996047431,2,0,1,0,False,2
