method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,target_only_MAE,delta_MAE,CI_low,CI_high
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,within_topology_geometry_dispersion,leave_building,16,9,0.033230895244,0.0395338465469,-0.00630295130298,-0.0141954331327,0.00261005495597
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,within_topology_geometry_dispersion,leave_supported_room_conservative,16,9,0.033230895244,0.0395338465469,-0.00630295130298,-0.0141954331327,0.00261005495597
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,within_topology_geometry_dispersion,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,owner_valid_active_seconds,leave_building,69,18,74.7662973252,77.0305862414,-2.26428891621,-8.25949360062,3.97928626901
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,74.7662973252,77.0305862414,-2.26428891621,-8.25949360062,3.97928626901
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,owner_valid_active_seconds,same_room_leave_view,40,12,104.936943506,104.936943506,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,point_count_disagreement,leave_building,59,18,0.245094522117,0.244981493247,0.000113028869948,-0.0574136853356,0.0663421199207
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.245094522117,0.244981493247,0.000113028869948,-0.0574136853356,0.0663421199207
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,point_count_disagreement,same_room_leave_view,33,11,0.219679104089,0.219679104089,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,reference_geometry_error,leave_building,60,18,0.0620844654488,0.0460088195597,0.0160756458892,0.00664159638259,0.026512176373
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0620844654488,0.0460088195597,0.0160756458892,0.00664159638259,0.026512176373
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,reference_geometry_error,same_room_leave_view,31,9,0.0530111890077,0.0530111890077,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_entropy,leave_building,69,18,0.38461296638,0.423643395323,-0.0390304289427,-0.156221328398,0.0765390719068
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_entropy,leave_supported_room_conservative,69,18,0.38461296638,0.423643395323,-0.0390304289427,-0.156221328398,0.0765390719068
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_entropy,same_room_leave_view,40,12,0.243904886619,0.243904886619,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_non_normal_rate,leave_building,69,18,0.208153100952,0.232900587285,-0.0247474863332,-0.0637046362554,0.00831508693834
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.208153100952,0.232900587285,-0.0247474863332,-0.0637046362554,0.00831508693834
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.168183995049,0.168183995049,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_normal,leave_building,69,18,0.208153100952,0.232900587285,-0.0247474863333,-0.0637046362554,0.00831508693831
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.208153100952,0.232900587285,-0.0247474863333,-0.0637046362554,0.00831508693831
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_normal,same_room_leave_view,40,12,0.168183995049,0.168183995049,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_geometry,leave_building,69,18,0.0473112233689,0.0632860908195,-0.0159748674506,-0.0318246534836,-0.00283841728719
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_geometry,leave_supported_room_conservative,69,18,0.0473112233689,0.0632860908195,-0.0159748674506,-0.0318246534836,-0.00283841728719
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_geometry,same_room_leave_view,40,12,0.0905760858935,0.0905760858935,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_insufficient,leave_building,69,18,0.0455318129332,0.0469938198919,-0.0014620069587,-0.00903470253413,0.0062532459755
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_insufficient,leave_supported_room_conservative,69,18,0.0455318129332,0.0469938198919,-0.0014620069587,-0.00903470253413,0.0062532459755
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_insufficient,same_room_leave_view,40,12,0.0121352566795,0.0121352566795,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_open_boundary,leave_building,69,18,0.190988582697,0.179252586987,0.0117359957103,-0.007094268013,0.0309409330972
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_open_boundary,leave_supported_room_conservative,69,18,0.190988582697,0.179252586987,0.0117359957103,-0.007094268013,0.0309409330972
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_open_boundary,same_room_leave_view,40,12,0.203463422408,0.203463422408,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_split_level,leave_building,69,18,0.043937840285,0.0453676518865,-0.0014298116015,-0.00991746241474,0.0055773637383
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_split_level,leave_supported_room_conservative,69,18,0.043937840285,0.0453676518865,-0.0014298116015,-0.00991746241474,0.0055773637383
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,scope_p_oos_split_level,same_room_leave_view,40,12,0.0298283260926,0.0298283260926,0,0,0
