cohort,config,building,fold,max_abs_error
without_workers,q_0.950,rPc6DW4iMge,4,1.11022302463e-16
without_workers,q_0.950,rPc6DW4iMge,8,5.55111512313e-17
without_workers,q_0.950,rPc6DW4iMge,16,1.11022302463e-16
without_workers,q_0.950,rPc6DW4iMge,32,1.11022302463e-16
without_workers,ospa30_t6,rPc6DW4iMge,1,5.55111512313e-17
without_workers,ospa30_t6,rPc6DW4iMge,2,1.11022302463e-16
without_workers,ospa30_t6,rPc6DW4iMge,4,8.32667268469e-17
without_workers,ospa30_t6,rPc6DW4iMge,8,5.55111512313e-17
without_workers,ospa30_t6,rPc6DW4iMge,16,2.77555756156e-17
without_workers,ospa30_t6,rPc6DW4iMge,32,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,1,2.77555756156e-17
without_workers,q_0.950,uNb9QFRL6hY,2,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,4,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,8,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,16,0
without_workers,q_0.950,uNb9QFRL6hY,32,0
without_workers,q_0.950,uNb9QFRL6hY,64,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,128,8.32667268469e-17
without_workers,q_0.950,uNb9QFRL6hY,256,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,512,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,1024,1.11022302463e-16
without_workers,q_0.950,uNb9QFRL6hY,2048,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,1,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,2,8.32667268469e-17
without_workers,ospa30_t6,uNb9QFRL6hY,4,1.38777878078e-16
without_workers,ospa30_t6,uNb9QFRL6hY,8,5.55111512313e-17
without_workers,ospa30_t6,uNb9QFRL6hY,16,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,32,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,64,2.77555756156e-17
without_workers,ospa30_t6,uNb9QFRL6hY,128,8.32667268469e-17
without_workers,ospa30_t6,uNb9QFRL6hY,256,8.32667268469e-17
without_workers,ospa30_t6,uNb9QFRL6hY,512,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,1024,1.11022302463e-16
without_workers,ospa30_t6,uNb9QFRL6hY,2048,1.11022302463e-16
without_workers,q_0.950,wc2JMjhGNzB,1,0
without_workers,q_0.950,wc2JMjhGNzB,2,5.55111512313e-17
without_workers,q_0.950,wc2JMjhGNzB,4,1.11022302463e-16
without_workers,q_0.950,wc2JMjhGNzB,8,1.11022302463e-16
without_workers,ospa30_t6,wc2JMjhGNzB,1,1.11022302463e-16
without_workers,ospa30_t6,wc2JMjhGNzB,2,1.11022302463e-16
without_workers,ospa30_t6,wc2JMjhGNzB,4,5.55111512313e-17
without_workers,ospa30_t6,wc2JMjhGNzB,8,2.22044604925e-16
without_workers,q_0.950,yqstnuAEVhm,1,1.11022302463e-16
without_workers,q_0.950,yqstnuAEVhm,2,1.11022302463e-16
without_workers,q_0.950,yqstnuAEVhm,4,5.55111512313e-17
without_workers,q_0.950,yqstnuAEVhm,8,8.32667268469e-17
without_workers,q_0.950,yqstnuAEVhm,16,1.66533453694e-16
without_workers,q_0.950,yqstnuAEVhm,32,5.55111512313e-17
without_workers,q_0.950,yqstnuAEVhm,64,8.32667268469e-17
without_workers,ospa30_t6,yqstnuAEVhm,1,5.55111512313e-17
without_workers,ospa30_t6,yqstnuAEVhm,2,8.32667268469e-17
without_workers,ospa30_t6,yqstnuAEVhm,4,1.11022302463e-16
without_workers,ospa30_t6,yqstnuAEVhm,8,2.77555756156e-17
without_workers,ospa30_t6,yqstnuAEVhm,16,1.11022302463e-16
without_workers,ospa30_t6,yqstnuAEVhm,32,1.11022302463e-16
without_workers,ospa30_t6,yqstnuAEVhm,64,5.55111512313e-17
