cohort,pool,metric,outcome,building,max_abs_error,labels_match
current20,all_initializations,ospa30,final,wc2JMjhGNzB,7.43849426499e-15,True
current20,all_initializations,ospa30,final,yqstnuAEVhm,5.99520433298e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,7y3sRwLe3Va,1.73194791842e-14,True
current20,all_initializations,ospa30,final_via_edit_labels,B6ByNegPMKs,6.66133814775e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,UwV83HsGsw3,5.55111512313e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,X7HyMhZNoso,6.10622663544e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,Z6MFQCViBuw,1.13242748512e-14,True
current20,all_initializations,ospa30,final_via_edit_labels,b8cTxDM8gDG,8.16013923099e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,e9zR4mvMWw7,7.32747196253e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,q9vSo1VnCiC,7.1054273576e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,rPc6DW4iMge,7.9936057773e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,uNb9QFRL6hY,8.43769498715e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,wc2JMjhGNzB,7.43849426499e-15,True
current20,all_initializations,ospa30,final_via_edit_labels,yqstnuAEVhm,5.99520433298e-15,True
current20,all_initializations,ospa60,edit,7y3sRwLe3Va,2.53130849615e-14,True
current20,all_initializations,ospa60,edit,B6ByNegPMKs,2.13162820728e-14,True
current20,all_initializations,ospa60,edit,UwV83HsGsw3,2.17603712827e-14,True
current20,all_initializations,ospa60,edit,X7HyMhZNoso,1.37667655054e-14,True
current20,all_initializations,ospa60,edit,Z6MFQCViBuw,2.975397706e-14,True
current20,all_initializations,ospa60,edit,b8cTxDM8gDG,1.50990331349e-14,True
current20,all_initializations,ospa60,edit,e9zR4mvMWw7,1.91929805382e-14,True
current20,all_initializations,ospa60,edit,q9vSo1VnCiC,1.53210777398e-14,True
current20,all_initializations,ospa60,edit,rPc6DW4iMge,1.95399252334e-14,True
current20,all_initializations,ospa60,edit,uNb9QFRL6hY,1.95399252334e-14,True
current20,all_initializations,ospa60,edit,wc2JMjhGNzB,1.95399252334e-14,True
current20,all_initializations,ospa60,edit,yqstnuAEVhm,1.15463194561e-14,True
current20,all_initializations,ospa60,final,7y3sRwLe3Va,4.48530101949e-14,True
current20,all_initializations,ospa60,final,B6ByNegPMKs,1.1768364061e-14,True
current20,all_initializations,ospa60,final,UwV83HsGsw3,7.9936057773e-15,True
current20,all_initializations,ospa60,final,X7HyMhZNoso,1.03805852802e-14,True
current20,all_initializations,ospa60,final,Z6MFQCViBuw,1.42490186317e-14,True
current20,all_initializations,ospa60,final,b8cTxDM8gDG,9.7699626167e-15,True
current20,all_initializations,ospa60,final,e9zR4mvMWw7,1.24344978758e-14,True
current20,all_initializations,ospa60,final,q9vSo1VnCiC,1.11022302463e-14,True
current20,all_initializations,ospa60,final,rPc6DW4iMge,1.14352971536e-14,True
current20,all_initializations,ospa60,final,uNb9QFRL6hY,1.95399252334e-14,True
current20,all_initializations,ospa60,final,wc2JMjhGNzB,1.74860126378e-14,True
current20,all_initializations,ospa60,final,yqstnuAEVhm,1.35447209004e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,7y3sRwLe3Va,4.48530101949e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,B6ByNegPMKs,1.1768364061e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,UwV83HsGsw3,7.9936057773e-15,True
current20,all_initializations,ospa60,final_via_edit_labels,X7HyMhZNoso,1.03805852802e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,Z6MFQCViBuw,1.42490186317e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,b8cTxDM8gDG,9.7699626167e-15,True
current20,all_initializations,ospa60,final_via_edit_labels,e9zR4mvMWw7,1.24344978758e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,q9vSo1VnCiC,1.11022302463e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,rPc6DW4iMge,1.14352971536e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,uNb9QFRL6hY,1.95399252334e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,wc2JMjhGNzB,1.74860126378e-14,True
current20,all_initializations,ospa60,final_via_edit_labels,yqstnuAEVhm,1.35447209004e-14,True
current20,without_synthetic,ospa30,edit,7y3sRwLe3Va,1.15463194561e-14,True
current20,without_synthetic,ospa30,edit,B6ByNegPMKs,1.15463194561e-14,True
current20,without_synthetic,ospa30,edit,UwV83HsGsw3,2.30926389122e-14,True
current20,without_synthetic,ospa30,edit,X7HyMhZNoso,9.54791801178e-15,True
current20,without_synthetic,ospa30,edit,Z6MFQCViBuw,1.13242748512e-14,True
current20,without_synthetic,ospa30,edit,b8cTxDM8gDG,7.54951656745e-15,True
current20,without_synthetic,ospa30,edit,e9zR4mvMWw7,7.1054273576e-15,True
current20,without_synthetic,ospa30,edit,q9vSo1VnCiC,1.11022302463e-14,True
current20,without_synthetic,ospa30,edit,rPc6DW4iMge,1.33226762955e-14,True
current20,without_synthetic,ospa30,edit,uNb9QFRL6hY,1.28785870857e-14,True
current20,without_synthetic,ospa30,edit,wc2JMjhGNzB,1.02140518266e-14,True
current20,without_synthetic,ospa30,edit,yqstnuAEVhm,8.43769498715e-15,True
current20,without_synthetic,ospa30,final,7y3sRwLe3Va,8.38218383592e-15,True
current20,without_synthetic,ospa30,final,B6ByNegPMKs,7.54951656745e-15,True
current20,without_synthetic,ospa30,final,UwV83HsGsw3,6.88338275268e-15,True
current20,without_synthetic,ospa30,final,X7HyMhZNoso,1.09912079438e-14,True
current20,without_synthetic,ospa30,final,Z6MFQCViBuw,8.881784197e-15,True
current20,without_synthetic,ospa30,final,b8cTxDM8gDG,6.66133814775e-15,True
