design,feature,baseline,algorithm,n_relation_eligible_images,n_supported_components,supported_component_macro_rps,total_images
pooled,dinov3__block11__faces_local96,global,ridge,54,9,0.154886800508,106
pooled,dinov3__block11__faces_local96,main,knn,54,9,0.134542295346,106
pooled,dinov3__block11__faces_local96,main,ridge,54,9,0.117070177867,106
pooled,dinov3__block11__panorama_global,coarse,knn,54,9,0.148681291702,106
pooled,dinov3__block11__panorama_global,coarse,ridge,54,9,0.139361139956,106
pooled,dinov3__block11__panorama_global,global,knn,54,9,0.219148310901,106
pooled,dinov3__block11__panorama_global,global,ridge,54,9,0.158734379017,106
pooled,dinov3__block11__panorama_global,main,knn,54,9,0.137774507319,106
pooled,dinov3__block11__panorama_global,main,ridge,54,9,0.125001392759,106
pooled,dinov3__block11__panorama_local16,coarse,knn,54,9,0.127242051248,106
pooled,dinov3__block11__panorama_local16,coarse,ridge,54,9,0.13561570988,106
pooled,dinov3__block11__panorama_local16,global,knn,54,9,0.171015787945,106
pooled,dinov3__block11__panorama_local16,global,ridge,54,9,0.177236406077,106
pooled,dinov3__block11__panorama_local16,main,knn,54,9,0.118680568708,106
pooled,dinov3__block11__panorama_local16,main,ridge,54,9,0.11946245972,106
pooled,dinov3__block11__panorama_mean,coarse,knn,54,9,0.145708152959,106
pooled,dinov3__block11__panorama_mean,coarse,ridge,54,9,0.143501565016,106
pooled,dinov3__block11__panorama_mean,global,knn,54,9,0.195221458702,106
pooled,dinov3__block11__panorama_mean,global,ridge,54,9,0.151447197234,106
pooled,dinov3__block11__panorama_mean,main,knn,54,9,0.132882339871,106
pooled,dinov3__block11__panorama_mean,main,ridge,54,9,0.135742952866,106
pooled,dinov3__block12__faces_concat,coarse,knn,54,9,0.148053888372,106
pooled,dinov3__block12__faces_concat,coarse,ridge,54,9,0.127688041356,106
pooled,dinov3__block12__faces_concat,global,knn,54,9,0.207719095064,106
pooled,dinov3__block12__faces_concat,global,ridge,54,9,0.150765581338,106
pooled,dinov3__block12__faces_concat,main,knn,54,9,0.134013851036,106
pooled,dinov3__block12__faces_concat,main,ridge,54,9,0.109585520952,106
pooled,dinov3__block12__faces_global,coarse,knn,54,9,0.119882121474,106
pooled,dinov3__block12__faces_global,coarse,ridge,54,9,0.123991759882,106
pooled,dinov3__block12__faces_global,global,knn,54,9,0.152651278118,106
pooled,dinov3__block12__faces_global,global,ridge,54,9,0.139426732217,106
pooled,dinov3__block12__faces_global,main,knn,54,9,0.110997552056,106
pooled,dinov3__block12__faces_global,main,ridge,54,9,0.111762433015,106
pooled,dinov3__block12__faces_local16,coarse,knn,54,9,0.128805088842,106
pooled,dinov3__block12__faces_local16,coarse,ridge,54,9,0.127391739379,106
pooled,dinov3__block12__faces_local16,global,knn,54,9,0.168178699095,106
pooled,dinov3__block12__faces_local16,global,ridge,54,9,0.142715503025,106
