family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
hohonet,coarse,knn,uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,uNb9QFRL6hY,卧室,hohonet__refined__global,4,0.104166246951,24,
hohonet,coarse,knn,uNb9QFRL6hY,卫浴,hohonet__encoder_stage2__global,4,0.181817546487,11,
hohonet,coarse,knn,uNb9QFRL6hY,工作与学习,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,uNb9QFRL6hY,起居与休闲,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,wc2JMjhGNzB,卧室,hohonet__legacy_current,6,0.144285574555,28,
hohonet,coarse,knn,wc2JMjhGNzB,卫浴,hohonet__compressed__global,4,0.0882349386811,17,
hohonet,coarse,knn,wc2JMjhGNzB,复合／待定,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,wc2JMjhGNzB,无法判断,hohonet__compressed__global,4,inf,0,
hohonet,coarse,knn,yqstnuAEVhm,厨房与用餐,hohonet__compressed__regions,4,0.16666598618,9,
hohonet,main,ridge,2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,0,2.56683563293e-12,8,
hohonet,main,ridge,7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,B6ByNegPMKs,通行与连接,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,S9hNv5qa7GM,卧室,hohonet__legacy_current,7,0.130036190152,28,
hohonet,main,ridge,VFuaQ6m2Qom,卫浴,hohonet__shared__global,1,0.0899428874254,16,
hohonet,main,ridge,Z6MFQCViBuw,厨房与用餐,hohonet__shared__global,3,0.163783505559,9,
hohonet,main,ridge,e9zR4mvMWw7,卧室,hohonet__encoder_stage2__global,1,0.0889862552285,27,
hohonet,main,ridge,e9zR4mvMWw7,复合／待定,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,jtcxE69GiFV,卧室,hohonet__shared__global,1,0.106104925275,28,
hohonet,main,ridge,pa4otMbVnkk,起居与休闲,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,rPc6DW4iMge,卧室,hohonet__legacy_current,10,0.112051807344,30,
hohonet,main,ridge,uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,uNb9QFRL6hY,卧室,hohonet__compressed__regions,7,0.138270244002,24,
hohonet,main,ridge,uNb9QFRL6hY,卫浴,hohonet__legacy_current,3,0.206022486091,11,
hohonet,main,ridge,uNb9QFRL6hY,工作与学习,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,uNb9QFRL6hY,起居与休闲,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,wc2JMjhGNzB,卧室,hohonet__encoder_stage2__regions,3,0.103878729045,28,
hohonet,main,ridge,wc2JMjhGNzB,卫浴,hohonet__legacy_current,3,0.0914042666554,17,
hohonet,main,ridge,wc2JMjhGNzB,复合／待定,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,wc2JMjhGNzB,无法判断,hohonet__compressed__global,1,inf,0,
hohonet,main,ridge,yqstnuAEVhm,厨房与用餐,hohonet__compressed__regions,0,0.136717915535,9,
hohonet,main,knn,2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,4,2.56683563293e-12,8,
hohonet,main,knn,7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,B6ByNegPMKs,通行与连接,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,S9hNv5qa7GM,卧室,hohonet__compressed__regions,6,0.145714193583,28,
hohonet,main,knn,VFuaQ6m2Qom,卫浴,hohonet__compressed__regions,5,0.131944358349,16,
hohonet,main,knn,Z6MFQCViBuw,厨房与用餐,hohonet__legacy_current,4,0.192178577185,9,
hohonet,main,knn,e9zR4mvMWw7,卧室,hohonet__encoder_stage2__global,5,0.0967077538371,27,
hohonet,main,knn,e9zR4mvMWw7,复合／待定,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,jtcxE69GiFV,卧室,hohonet__encoder_stage4__global,6,0.104285411537,28,
hohonet,main,knn,pa4otMbVnkk,起居与休闲,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,rPc6DW4iMge,卧室,hohonet__legacy_current,13,0.133333161473,30,
hohonet,main,knn,uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,uNb9QFRL6hY,卧室,hohonet__refined__global,4,0.104166246951,24,
hohonet,main,knn,uNb9QFRL6hY,卫浴,hohonet__encoder_stage2__global,4,0.181817546487,11,
hohonet,main,knn,uNb9QFRL6hY,工作与学习,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,uNb9QFRL6hY,起居与休闲,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,wc2JMjhGNzB,卧室,hohonet__legacy_current,6,0.144285574555,28,
hohonet,main,knn,wc2JMjhGNzB,卫浴,hohonet__compressed__global,4,0.0882349386811,17,
hohonet,main,knn,wc2JMjhGNzB,复合／待定,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,wc2JMjhGNzB,无法判断,hohonet__compressed__global,4,inf,0,
hohonet,main,knn,yqstnuAEVhm,厨房与用餐,hohonet__compressed__regions,4,0.13673530519,9,
bilayout,global,ridge,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,0,2.56683563293e-12,8,
bilayout,global,ridge,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,B6ByNegPMKs,通行与连接,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,1,0.0545580498874,28,
bilayout,global,ridge,VFuaQ6m2Qom,卫浴,bilayout__fg_extended__regions,3,0.0549005717039,16,
bilayout,global,ridge,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,3,0.229992628098,9,
bilayout,global,ridge,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,3,0.0544826537371,27,
bilayout,global,ridge,e9zR4mvMWw7,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,jtcxE69GiFV,卧室,bilayout__fg_extended__global,0,0.0957017987967,28,
bilayout,global,ridge,pa4otMbVnkk,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,0,0.0450923889875,30,
bilayout,global,ridge,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,uNb9QFRL6hY,卧室,bilayout__fg_extended__regions,10,0.109833844006,24,
bilayout,global,ridge,uNb9QFRL6hY,卫浴,bilayout__fc__regions,3,0.188080012798,11,
bilayout,global,ridge,uNb9QFRL6hY,工作与学习,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,0,0.0502811297774,28,
bilayout,global,ridge,wc2JMjhGNzB,卫浴,bilayout__fc__global,3,0.0926652923226,17,
bilayout,global,ridge,wc2JMjhGNzB,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,wc2JMjhGNzB,无法判断,bilayout__fc__global,1,inf,0,
bilayout,global,ridge,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,0,0.16666598618,9,
bilayout,global,knn,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,4,2.56683563293e-12,8,
bilayout,global,knn,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,4,inf,0,
bilayout,global,knn,B6ByNegPMKs,通行与连接,bilayout__fc__global,4,inf,0,
bilayout,global,knn,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,global,knn,VFuaQ6m2Qom,卫浴,bilayout__fg_enclosed__global,4,0.0937497466803,16,
