coverage,design,feature,baseline,algorithm,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
common,pooled,baseline__coarse,none,frequency,81,10,0.100788537463,0.395120663321,0.802469135802,0.838383838384,0.795656709341,0.100520193704,1,0.515151515152,1,32,33,16
common,pooled,baseline__main,none,frequency,81,10,0.0951600123837,0.371614173388,0.802469135802,0.838383838384,0.795656709341,0.0908373311025,1,0.515151515152,1,32,33,16
common,pooled,selected__all_models,main,ridge,81,10,0.0992770856472,0.394940889689,0.777777777778,0.817550505051,0.776428250112,0.0887112136719,0.9375,0.515151515152,1,32,33,16
common,pooled,selected__bilayout,main,ridge,81,10,0.0999765708678,0.387367160875,0.802469135802,0.837121212121,0.821771467208,0.102060812412,0.875,0.636363636364,1,32,33,16
common,pooled,selected__da3,main,ridge,81,10,0.107488985143,0.433631270338,0.753086419753,0.796717171717,0.757244964263,0.109330904524,0.875,0.515151515152,1,32,33,16
common,pooled,selected__dinov3,main,ridge,81,10,0.105474761965,0.419876243502,0.753086419753,0.765151515152,0.746965452848,0.0964507979759,0.9375,0.545454545455,0.8125,32,33,16
common,pooled,selected__existing,main,ridge,81,10,0.0889916410192,0.362031934508,0.802469135802,0.838383838384,0.795656709341,0.0803800038363,1,0.515151515152,1,32,33,16
common,pooled,selected__existing_plus_dino,main,ridge,81,10,0.0935298992264,0.375961103024,0.79012345679,0.827967171717,0.786028999439,0.0846516679373,0.96875,0.515151515152,1,32,33,16
common,pooled,selected__feedback,main,ridge,81,10,0.0787171212851,0.341422183697,0.802469135802,0.838383838384,0.795656709341,0.0665094014713,1,0.515151515152,1,32,33,16
common,pooled,selected__hohonet,main,ridge,81,10,0.116717990948,0.442540040533,0.728395061728,0.755366161616,0.729037713513,0.102521511271,0.90625,0.484848484848,0.875,32,33,16
common,pooled,selected__semantic,main,ridge,81,10,0.087071109582,0.349661377767,0.802469135802,0.838383838384,0.795656709341,0.0839046985327,1,0.515151515152,1,32,33,16
common,pooled,selected__ulayout,main,ridge,81,10,0.115356922683,0.445415866914,0.753086419753,0.786300505051,0.756172839506,0.113571494023,0.90625,0.515151515152,0.9375,32,33,16
common,within_coarse,selected__all_models,main,ridge,81,10,0.0598321285635,0.239145986843,0.827160493827,0.836805555556,0.819057138098,0.0493233653256,0.96875,0.666666666667,0.875,32,33,16
common,within_coarse,selected__bilayout,main,ridge,81,10,0.0833640104203,0.333274868608,0.79012345679,0.774305555556,0.769120733349,0.0541874484238,0.96875,0.666666666667,0.6875,32,33,16
common,within_coarse,selected__da3,main,ridge,81,10,0.126232414004,0.504615219951,0.703703703704,0.70202020202,0.707679738562,0.117680965055,0.8125,0.606060606061,0.6875,32,33,16
common,within_coarse,selected__dinov3,main,ridge,81,10,0.103703254932,0.414576831278,0.666666666667,0.702967171717,0.680949044883,0.101627751618,0.71875,0.515151515152,0.875,32,33,16
common,within_coarse,selected__existing,main,ridge,81,10,0.0576743060814,0.230514660238,0.827160493827,0.826073232323,0.817698726394,0.0475755289388,0.96875,0.69696969697,0.8125,32,33,16
common,within_coarse,selected__existing_plus_dino,main,ridge,81,10,0.0584459702295,0.233601345237,0.827160493827,0.836805555556,0.819057138098,0.0482005766691,0.96875,0.666666666667,0.875,32,33,16
common,within_coarse,selected__feedback,main,ridge,81,10,0.0613333164318,0.245178602128,0.814814814815,0.805555555556,0.795773717808,0.0461742139494,1,0.666666666667,0.75,32,33,16
common,within_coarse,selected__hohonet,main,ridge,81,10,0.113414234344,0.453425884443,0.740740740741,0.763888888889,0.763461538462,0.133261024248,0.75,0.666666666667,0.875,32,33,16
common,within_coarse,selected__semantic,main,ridge,81,10,0.131017753552,0.523872759861,0.691358024691,0.713383838384,0.694611403884,0.126365126964,0.8125,0.515151515152,0.8125,32,33,16
common,within_coarse,selected__ulayout,main,ridge,81,10,0.106002106035,0.423819443485,0.679012345679,0.681186868687,0.681186868687,0.0950897372679,0.75,0.606060606061,0.6875,32,33,16
common,within_main,selected__all_models,main,ridge,81,10,0.0557996710689,0.223198758089,0.83950617284,0.847222222222,0.828738512949,0.0415500364754,1,0.666666666667,0.875,32,33,16
common,within_main,selected__bilayout,main,ridge,81,10,0.0809087424193,0.323634993547,0.802469135802,0.784722222222,0.778373015873,0.0480382052608,1,0.666666666667,0.6875,32,33,16
common,within_main,selected__da3,main,ridge,81,10,0.113443116405,0.453772420012,0.740740740741,0.73327020202,0.735324148901,0.0914164148305,0.90625,0.606060606061,0.6875,32,33,16
common,within_main,selected__dinov3,main,ridge,81,10,0.100898978049,0.403595899823,0.666666666667,0.702967171717,0.680949044883,0.094803047773,0.71875,0.515151515152,0.875,32,33,16
common,within_main,selected__existing,main,ridge,81,10,0.0536418485867,0.214567431484,0.83950617284,0.83648989899,0.827275173038,0.0398022000886,1,0.69696969697,0.8125,32,33,16
common,within_main,selected__existing_plus_dino,main,ridge,81,10,0.0553834932048,0.221534029446,0.83950617284,0.847222222222,0.828738512949,0.0412129320063,1,0.666666666667,0.875,32,33,16
common,within_main,selected__feedback,main,ridge,81,10,0.0610857088007,0.244342886291,0.814814814815,0.805555555556,0.795773717808,0.0459193554094,1,0.666666666667,0.75,32,33,16
common,within_main,selected__hohonet,main,ridge,81,10,0.095537059463,0.382148203022,0.765432098765,0.785037878788,0.782044428605,0.106172563508,0.84375,0.636363636364,0.875,32,33,16
common,within_main,selected__semantic,main,ridge,81,10,0.13573534605,0.542941240201,0.679012345679,0.702967171717,0.685264155413,0.130821257418,0.78125,0.515151515152,0.8125,32,33,16
common,within_main,selected__ulayout,main,ridge,81,10,0.10300102397,0.412003974712,0.691358024691,0.691603535354,0.690705128205,0.0894230642504,0.78125,0.606060606061,0.6875,32,33,16
