design,feature,baseline,algorithm,stratum_type,stratum,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n
pooled,baseline__coarse_main,none,frequency,main_space,dining,8,2,0.0141211651642,0.0507733969454,1,1,1,0.0141211651642,1,,,8,0,0
pooled,baseline__coarse_main,none,frequency,main_space,empty,4,1,0.11602039485,0.345957312191,1,1,1,0.11602039485,1,,,4,0,0
pooled,baseline__coarse_main,none,frequency,main_space,kitchen,5,1,0.223866745984,0.935300416419,0.4,0.5,0.285714285714,0.223866745985,1,0,,2,3,0
pooled,baseline__coarse_main,none,frequency,main_space,living,21,3,0.0253334319548,0.131379583482,0.809523809524,0.809523809524,0.894736842105,0.0431186082385,,0.809523809524,,0,21,0
pooled,baseline__coarse_main,none,frequency,main_space,sleep,34,6,0.135084923353,0.538986892734,0.705882352941,0.5,0.413793103448,0.12808479249,1,0,,24,10,0
pooled,baseline__coarse_main,none,frequency,main_space,storage,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__coarse_main,none,frequency,main_space,work,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__coarse_main,none,frequency,building,2t7WUuJeko7,5,1,0.223866745984,0.935300416419,0.4,0.5,0.285714285714,0.223866745985,1,0,,2,3,0
pooled,baseline__coarse_main,none,frequency,building,7y3sRwLe3Va,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__coarse_main,none,frequency,building,B6ByNegPMKs,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__coarse_main,none,frequency,building,S9hNv5qa7GM,5,1,0.0644766382,0.256823819337,1,1,1,0.0644766382002,1,,,5,0,0
pooled,baseline__coarse_main,none,frequency,building,VFuaQ6m2Qom,6,1,0.0753469504111,0.291952860852,1,1,1,0.0753469504111,,,1,0,0,6
pooled,baseline__coarse_main,none,frequency,building,Z6MFQCViBuw,4,1,0.0141211651642,0.0507733969454,1,1,1,0.0141211651642,1,,,4,0,0
pooled,baseline__coarse_main,none,frequency,building,e9zR4mvMWw7,7,1,0.0658771193781,0.255692385266,1,1,1,0.0658771193783,1,,,7,0,0
pooled,baseline__coarse_main,none,frequency,building,jtcxE69GiFV,5,1,0.33477455721,1.34156540227,0,0,0,0.33477455721,,0,,0,5,0
pooled,baseline__coarse_main,none,frequency,building,pa4otMbVnkk,6,1,0.000278598442661,0.00144871190183,1,1,1,0.000278598442662,,1,,0,6,0
pooled,baseline__coarse_main,none,frequency,building,rPc6DW4iMge,3,1,0.0561688032301,0.223800487856,1,1,1,0.0561688032299,1,,,3,0,0
pooled,baseline__coarse_main,none,frequency,building,uNb9QFRL6hY,40,1,0.0945276002208,0.359549989228,0.775,0.85,0.783927560838,0.0945276002209,1,0.55,1,12,20,8
pooled,baseline__coarse_main,none,frequency,building,wc2JMjhGNzB,14,1,0.12884837653,0.484114843068,0.785714285714,0.666666666667,0.52380952381,0.12884837653,1,0,1,9,3,2
pooled,baseline__coarse_main,none,frequency,building,yqstnuAEVhm,4,1,0.0141211651642,0.0507733969454,1,1,1,0.0141211651642,1,,,4,0,0
pooled,baseline__fine,none,frequency,scene,储藏与家务辅助,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__fine,none,frequency,scene,卧室,33,6,0.138731537885,0.536734872679,0.69696969697,0.5,0.410714285714,0.136137481403,1,0,,23,10,0
pooled,baseline__fine,none,frequency,scene,卫浴,22,3,0.232301955996,0.693204855638,0.5,0.34375,0.34375,0.243194583183,,0,0.6875,0,6,16
pooled,baseline__fine,none,frequency,scene,厨房与用餐,13,3,0.156355978506,0.523323183994,0.769230769231,0.5,0.434782608696,0.158138369933,1,0,,10,3,0
pooled,baseline__fine,none,frequency,scene,复合／待定,4,2,0.148499465458,0.458303774976,1,1,1,0.124317413001,1,,,4,0,0
pooled,baseline__fine,none,frequency,scene,工作与学习,7,1,0.0838249559082,0.299320987654,0.857142857143,0.5,0.461538461538,0.0838249559083,1,0,,6,1,0
pooled,baseline__fine,none,frequency,scene,开放复合空间,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__fine,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__fine,none,frequency,scene,起居与休闲,17,2,0.151619659466,0.752975121984,0,0,0,0.147190493799,,0,,0,17,0
pooled,baseline__fine,none,frequency,scene,通行与连接,3,1,0.123205741627,0.367559808612,1,1,1,0.123205741627,1,,,3,0,0
pooled,baseline__fine,none,frequency,main_space,bathroom,22,3,0.232301955996,0.693204855638,0.5,0.34375,0.34375,0.243194583183,,0,0.6875,0,6,16
pooled,baseline__fine,none,frequency,main_space,circulation,3,1,0.123205741627,0.367559808612,1,1,1,0.123205741627,1,,,3,0,0
pooled,baseline__fine,none,frequency,main_space,dining,8,2,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,8,0,0
pooled,baseline__fine,none,frequency,main_space,empty,4,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,4,0,0
pooled,baseline__fine,none,frequency,main_space,kitchen,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__fine,none,frequency,main_space,living,21,3,0.146944323203,0.735415203368,0,0,0,0.140485043895,,0,,0,21,0
pooled,baseline__fine,none,frequency,main_space,sleep,34,6,0.136885119361,0.529433125641,0.705882352941,0.5,0.413793103448,0.136137481403,1,0,,24,10,0
pooled,baseline__fine,none,frequency,main_space,storage,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__fine,none,frequency,main_space,work,7,1,0.0838249559082,0.299320987654,0.857142857143,0.5,0.461538461538,0.0838249559083,1,0,,6,1,0
pooled,baseline__fine,none,frequency,building,2t7WUuJeko7,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__fine,none,frequency,building,7y3sRwLe3Va,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__fine,none,frequency,building,B6ByNegPMKs,3,1,0.123205741627,0.367559808612,1,1,1,0.123205741627,1,,,3,0,0
pooled,baseline__fine,none,frequency,building,S9hNv5qa7GM,5,1,0.109437188809,0.303057269602,1,1,1,0.109437188809,1,,,5,0,0
pooled,baseline__fine,none,frequency,building,VFuaQ6m2Qom,6,1,0.36273019513,0.874306772253,0.5,0.5,0.666666666667,0.36273019513,,,0.5,0,0,6
pooled,baseline__fine,none,frequency,building,Z6MFQCViBuw,4,1,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,4,0,0
pooled,baseline__fine,none,frequency,building,e9zR4mvMWw7,7,1,0.0759533080863,0.288475473379,1,1,1,0.0759533080864,1,,,7,0,0
pooled,baseline__fine,none,frequency,building,jtcxE69GiFV,5,1,0.345803130118,1.41295495773,0,0,0,0.345803130118,,0,,0,5,0
pooled,baseline__fine,none,frequency,building,pa4otMbVnkk,6,1,0.132131330535,0.68708291878,0,0,0,0.132131330535,,0,,0,6,0
pooled,baseline__fine,none,frequency,building,rPc6DW4iMge,3,1,0.0776175547127,0.230956708866,1,1,1,0.0776175547128,1,,,3,0,0
pooled,baseline__fine,none,frequency,building,uNb9QFRL6hY,40,1,0.147287142456,0.579023944307,0.45,0.583333333333,0.431818181818,0.147287142455,1,0,0.75,12,20,8
pooled,baseline__fine,none,frequency,building,wc2JMjhGNzB,14,1,0.137984142827,0.501059923028,0.785714285714,0.666666666667,0.52380952381,0.137984142827,1,0,1,9,3,2
pooled,baseline__fine,none,frequency,building,yqstnuAEVhm,4,1,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,4,0,0
pooled,baseline__global,none,frequency,scene,储藏与家务辅助,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__global,none,frequency,scene,卧室,33,6,0.157395172962,0.556140748553,0.69696969697,0.5,0.410714285714,0.159892729817,1,0,,23,10,0
pooled,baseline__global,none,frequency,scene,卫浴,22,3,0.414603888646,1.037620475,0,0,0,0.399642912065,,0,0,0,6,16
pooled,baseline__global,none,frequency,scene,厨房与用餐,13,3,0.156355978506,0.523323183994,0.769230769231,0.5,0.434782608696,0.158138369933,1,0,,10,3,0
pooled,baseline__global,none,frequency,scene,复合／待定,4,2,0.174513118586,0.518817762254,1,1,1,0.176344719256,1,,,4,0,0
pooled,baseline__global,none,frequency,scene,工作与学习,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__global,none,frequency,scene,开放复合空间,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__global,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__global,none,frequency,scene,起居与休闲,17,2,0.151619659466,0.752975121984,0,0,0,0.147190493799,,0,,0,17,0
pooled,baseline__global,none,frequency,scene,通行与连接,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__global,none,frequency,main_space,bathroom,22,3,0.414603888646,1.037620475,0,0,0,0.399642912065,,0,0,0,6,16
pooled,baseline__global,none,frequency,main_space,circulation,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__global,none,frequency,main_space,dining,8,2,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,8,0,0
pooled,baseline__global,none,frequency,main_space,empty,4,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,4,0,0
pooled,baseline__global,none,frequency,main_space,kitchen,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__global,none,frequency,main_space,living,21,3,0.146944323203,0.735415203368,0,0,0,0.140485043895,,0,,0,21,0
pooled,baseline__global,none,frequency,main_space,sleep,34,6,0.158060253775,0.555387533081,0.705882352941,0.5,0.413793103448,0.159892729817,1,0,,24,10,0
pooled,baseline__global,none,frequency,main_space,storage,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__global,none,frequency,main_space,work,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__global,none,frequency,building,2t7WUuJeko7,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__global,none,frequency,building,7y3sRwLe3Va,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__global,none,frequency,building,B6ByNegPMKs,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__global,none,frequency,building,S9hNv5qa7GM,5,1,0.173051754908,0.5100297442,1,1,1,0.173051754908,1,,,5,0,0
pooled,baseline__global,none,frequency,building,VFuaQ6m2Qom,6,1,0.520820694509,1.20881360868,0,0,0,0.520820694508,,,0,0,0,6
pooled,baseline__global,none,frequency,building,Z6MFQCViBuw,4,1,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,4,0,0
pooled,baseline__global,none,frequency,building,e9zR4mvMWw7,7,1,0.180007920596,0.53053142249,1,1,1,0.180007920596,1,,,7,0,0
pooled,baseline__global,none,frequency,building,jtcxE69GiFV,5,1,0.129565734682,0.673741820344,0,0,0,0.129565734682,,0,,0,5,0
pooled,baseline__global,none,frequency,building,pa4otMbVnkk,6,1,0.132131330535,0.68708291878,0,0,0,0.132131330535,,0,,0,6,0
pooled,baseline__global,none,frequency,building,rPc6DW4iMge,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__global,none,frequency,building,uNb9QFRL6hY,40,1,0.220397805213,0.723731138546,0.3,0.333333333333,0.153846153846,0.220397805213,1,0,0,12,20,8
pooled,baseline__global,none,frequency,building,wc2JMjhGNzB,14,1,0.198082587435,0.60353047393,0.642857142857,0.333333333333,0.260869565217,0.198082587435,1,0,0,9,3,2
pooled,baseline__global,none,frequency,building,yqstnuAEVhm,4,1,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,4,0,0
pooled,baseline__human_focus,none,frequency,scene,储藏与家务辅助,2,1,0.100001347704,0.292620326924,1,1,1,0.100001347704,1,,,2,0,0
pooled,baseline__human_focus,none,frequency,scene,卧室,33,6,0.159362694502,0.560970144677,0.69696969697,0.5,0.410714285714,0.161783338021,1,0,,23,10,0
pooled,baseline__human_focus,none,frequency,scene,卫浴,22,3,0.419980792234,1.04771528164,0,0,0,0.403881960559,,0,0,0,6,16
pooled,baseline__human_focus,none,frequency,scene,厨房与用餐,13,3,0.157051688704,0.524964766785,0.769230769231,0.5,0.434782608696,0.158799867532,1,0,,10,3,0
pooled,baseline__human_focus,none,frequency,scene,复合／待定,4,2,0.17645944899,0.513637308985,1,1,1,0.178433684845,1,,,4,0,0
pooled,baseline__human_focus,none,frequency,scene,工作与学习,7,1,0.110090128979,0.368703189448,0.857142857143,0.5,0.461538461538,0.110090128979,1,0,,6,1,0
pooled,baseline__human_focus,none,frequency,scene,开放复合空间,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__human_focus,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__human_focus,none,frequency,scene,起居与休闲,17,2,0.158497857656,0.785054738666,0,0,0,0.153445791418,,0,,0,17,0
pooled,baseline__human_focus,none,frequency,scene,通行与连接,3,1,0.166927683525,0.487118448338,1,1,1,0.166927683525,1,,,3,0,0
pooled,baseline__human_focus,none,frequency,main_space,bathroom,22,3,0.419980792234,1.04771528164,0,0,0,0.403881960559,,0,0,0,6,16
pooled,baseline__human_focus,none,frequency,main_space,circulation,3,1,0.166927683525,0.487118448338,1,1,1,0.166927683525,1,,,3,0,0
pooled,baseline__human_focus,none,frequency,main_space,dining,8,2,0.170163029916,0.499032129746,1,1,1,0.170163029916,1,,,8,0,0
pooled,baseline__human_focus,none,frequency,main_space,empty,4,1,0.174034289329,0.509309762053,1,1,1,0.174034289329,1,,,4,0,0
pooled,baseline__human_focus,none,frequency,main_space,kitchen,5,1,0.136073542766,0.566456986049,0.4,0.5,0.285714285714,0.136073542766,1,0,,2,3,0
pooled,baseline__human_focus,none,frequency,main_space,living,21,3,0.152512388405,0.761384416873,0,0,0,0.144655242307,,0,,0,21,0
pooled,baseline__human_focus,none,frequency,main_space,sleep,34,6,0.160039737504,0.560124652085,0.705882352941,0.5,0.413793103448,0.161783338021,1,0,,24,10,0
pooled,baseline__human_focus,none,frequency,main_space,storage,2,1,0.100001347704,0.292620326924,1,1,1,0.100001347704,1,,,2,0,0
pooled,baseline__human_focus,none,frequency,main_space,work,7,1,0.110090128979,0.368703189448,0.857142857143,0.5,0.461538461538,0.110090128979,1,0,,6,1,0
pooled,baseline__human_focus,none,frequency,building,2t7WUuJeko7,5,1,0.136073542766,0.566456986049,0.4,0.5,0.285714285714,0.136073542766,1,0,,2,3,0
pooled,baseline__human_focus,none,frequency,building,7y3sRwLe3Va,4,1,0.127074144087,0.660785549254,0,0,0,0.127074144087,,0,,0,4,0
pooled,baseline__human_focus,none,frequency,building,B6ByNegPMKs,3,1,0.166927683525,0.487118448338,1,1,1,0.166927683525,1,,,3,0,0
pooled,baseline__human_focus,none,frequency,building,S9hNv5qa7GM,5,1,0.174399003121,0.508923916132,1,1,1,0.174399003121,1,,,5,0,0
pooled,baseline__human_focus,none,frequency,building,VFuaQ6m2Qom,6,1,0.526020106838,1.21577128893,0,0,0,0.526020106838,,,0,0,0,6
pooled,baseline__human_focus,none,frequency,building,Z6MFQCViBuw,4,1,0.16972391421,0.500221708791,1,1,1,0.16972391421,1,,,4,0,0
pooled,baseline__human_focus,none,frequency,building,e9zR4mvMWw7,7,1,0.182382156557,0.532223396569,1,1,1,0.182382156557,1,,,7,0,0
pooled,baseline__human_focus,none,frequency,building,jtcxE69GiFV,5,1,0.133270474681,0.695801321263,0,0,0,0.133270474681,,0,,0,5,0
pooled,baseline__human_focus,none,frequency,building,pa4otMbVnkk,6,1,0.136268766203,0.711454424471,0,0,0,0.136268766204,,0,,0,6,0
pooled,baseline__human_focus,none,frequency,building,rPc6DW4iMge,3,1,0.166927683525,0.487118448338,1,1,1,0.166927683525,1,,,3,0,0
pooled,baseline__human_focus,none,frequency,building,uNb9QFRL6hY,40,1,0.224217630768,0.736232999915,0.3,0.333333333333,0.153846153846,0.224217630768,1,0,0,12,20,8
pooled,baseline__human_focus,none,frequency,building,wc2JMjhGNzB,14,1,0.198851345398,0.601434811964,0.642857142857,0.333333333333,0.260869565217,0.198851345397,1,0,0,9,3,2
pooled,baseline__human_focus,none,frequency,building,yqstnuAEVhm,4,1,0.170602145621,0.4978425507,1,1,1,0.170602145621,1,,,4,0,0
pooled,baseline__main,none,frequency,scene,储藏与家务辅助,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__main,none,frequency,scene,卧室,33,6,0.135988809422,0.543529774096,0.69696969697,0.5,0.410714285714,0.127259635622,1,0,,23,10,0
pooled,baseline__main,none,frequency,scene,卫浴,22,3,0.126239987409,0.479957041987,0.727272727273,0.5,0.421052631579,0.132157154494,,0,1,0,6,16
pooled,baseline__main,none,frequency,scene,厨房与用餐,13,3,0.071094357553,0.272034413487,0.769230769231,0.5,0.434782608696,0.0657716139008,1,0,,10,3,0
pooled,baseline__main,none,frequency,scene,复合／待定,4,2,0.148659334026,0.459567619931,1,1,1,0.124637150136,1,,,4,0,0
pooled,baseline__main,none,frequency,scene,工作与学习,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__main,none,frequency,scene,开放复合空间,4,1,0.00285916824197,0.0148676748582,1,1,1,0.00285916824197,,1,,0,4,0
pooled,baseline__main,none,frequency,scene,无法判断,1,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,1,0,0
pooled,baseline__main,none,frequency,scene,起居与休闲,17,2,0.00688632620701,0.0339211805064,1,1,1,0.0061554145093,,1,,0,17,0
pooled,baseline__main,none,frequency,scene,通行与连接,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__main,none,frequency,main_space,bathroom,22,3,0.126239987409,0.479957041987,0.727272727273,0.5,0.421052631579,0.132157154494,,0,1,0,6,16
pooled,baseline__main,none,frequency,main_space,circulation,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__main,none,frequency,main_space,dining,8,2,0.0311737801611,0.091877456717,1,1,1,0.0311737801611,1,,,8,0,0
pooled,baseline__main,none,frequency,main_space,empty,4,1,0.172681517916,0.514913208842,1,1,1,0.172681517916,1,,,4,0,0
pooled,baseline__main,none,frequency,main_space,kitchen,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__main,none,frequency,main_space,living,21,3,0.00611924849938,0.0302919413353,1,1,1,0.00505666575353,,1,,0,21,0
pooled,baseline__main,none,frequency,main_space,sleep,34,6,0.134241867449,0.536176864658,0.705882352941,0.5,0.413793103448,0.127259635622,1,0,,24,10,0
pooled,baseline__main,none,frequency,main_space,storage,2,1,0.106694101509,0.314842249657,1,1,1,0.106694101509,1,,,2,0,0
pooled,baseline__main,none,frequency,main_space,work,7,1,0.114630609445,0.382567117382,0.857142857143,0.5,0.461538461538,0.114630609445,1,0,,6,1,0
pooled,baseline__main,none,frequency,building,2t7WUuJeko7,5,1,0.13496728138,0.560285544319,0.4,0.5,0.285714285714,0.13496728138,1,0,,2,3,0
pooled,baseline__main,none,frequency,building,7y3sRwLe3Va,4,1,0.00285916824197,0.0148676748582,1,1,1,0.00285916824197,,1,,0,4,0
pooled,baseline__main,none,frequency,building,B6ByNegPMKs,3,1,0.166491151759,0.490693894371,1,1,1,0.166491151759,1,,,3,0,0
pooled,baseline__main,none,frequency,building,S9hNv5qa7GM,5,1,0.0669268315921,0.256673994274,1,1,1,0.0669268315921,1,,,5,0,0
pooled,baseline__main,none,frequency,building,VFuaQ6m2Qom,6,1,0.10754935536,0.35976287083,1,1,1,0.10754935536,,,1,0,0,6
pooled,baseline__main,none,frequency,building,Z6MFQCViBuw,4,1,0.0311737801611,0.091877456717,1,1,1,0.0311737801611,1,,,4,0,0
pooled,baseline__main,none,frequency,building,e9zR4mvMWw7,7,1,0.0765927823567,0.293530853197,1,1,1,0.0765927823569,1,,,7,0,0
