cohort,policy,comparator,metric,estimate,task_support,task_total,replicate_support,replicate_total,building_support,building_total,estimand_role,bootstrap_unit,bootstrap_draws,bootstrap_seed,bootstrap_success_draws,bootstrap_fail_draws,ci_low,ci_high,status,reason
primary_common47,F0,,reference-evaluable autonomous-delivery mITT quality,0.8945293474135009,47,47,46989,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.871324047604468,0.9243654935313197,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,F0,,prefix-vs-full5 selected-output instability,,0,47,0,47000,0,12,diagnostic_complete_case,not_applicable,,,,,,,not_identifiable,no estimable task values
primary_common47,F0,,selected structural invalidity,0.0,47,47,46375,47000,12,12,zero_by_admission_rule,not_applicable,,,,,,,zero_by_admission_rule,zero is imposed by shared admission; no empirical risk interval
primary_common47,F0,,supported multimodality encountered,,0,47,47000,47000,0,12,separate_harm_lane,not_applicable,,,,,,,not_identifiable,no estimable task values
primary_common47,M0_corner_count_gate_geometry_medoid,,stop@3,0.8502340425531915,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.7757777777777778,0.9491666666666667,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,incremental_stop@4,0.10061702127659575,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.04862962962962963,0.13676923076923075,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,reach5,0.049148936170212765,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.09154545454545454,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,conditional mean paid valid submissions on common valid-candidate support,3.198914893617021,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,3.0497428571428573,3.313625,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M0_corner_count_gate_geometry_medoid,,conditional mean raw paid attempts on common valid-candidate support,3.198914893617021,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,3.0497428571428573,3.313625,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M0_corner_count_gate_geometry_medoid,F0,conditional paid-valid savings vs F0,1.8010851063829787,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,1.6860169491525423,1.9491666666666667,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M0_corner_count_gate_geometry_medoid,F0,conditional raw paid-attempt savings vs F0,1.8010851063829787,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,1.6860169491525423,1.9491666666666667,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M0_corner_count_gate_geometry_medoid,,invalid/replacement attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,metric-invalid attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,historical counterfactual support shortfall,0.0,47,47,47000,47000,12,12,historical_support_diagnostic,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,selected-output probability,1.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,1.0,1.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,autonomous non-delivery probability,0.0,47,47,47000,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.0,0.0,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M0_corner_count_gate_geometry_medoid,,expert-escalation-required probability,0.0,47,47,47000,47000,12,12,expert_fallback_trigger,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,public-GT quality,0.8999039695549742,47,47,46997,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.8788413110554436,0.9242344370754569,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,reference-evaluable autonomous-delivery mITT quality,0.8999039695549742,47,47,46997,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.8788413110554436,0.9242344370754569,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M0_corner_count_gate_geometry_medoid,F0,public-GT complete-case paired delta vs F0,-0.006831619540017582,47,47,46362,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,-0.013005215944294341,-0.0016843936348710548,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,F0,reference-evaluable autonomous-delivery mITT paired delta vs F0,0.005389979500503065,47,47,46987,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,-0.008943653103656997,0.022557002891489916,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M0_corner_count_gate_geometry_medoid,,prefix-vs-full5 selected-output instability,0.5426279728724964,47,47,46375,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.4915816174707308,0.5976562771157042,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,F0,corner-count change vs F0,0.07008517711703763,47,47,46375,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.02991028955532575,0.1044099008542925,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,F0,continuous geometry delta vs F0,0.008013495897609873,47,47,46375,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.006291267136567864,0.009984314569337826,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M0_corner_count_gate_geometry_medoid,,selected structural invalidity,0.0,47,47,47000,47000,12,12,zero_by_admission_rule,not_applicable,,,,,,,zero_by_admission_rule,zero is imposed by shared admission; no empirical risk interval
primary_common47,M0_corner_count_gate_geometry_medoid,,supported multimodality encountered,0.0,47,47,47000,47000,12,12,separate_harm_lane,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,stop@3,0.4408723404255319,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.3250212765957447,0.6065277777777778,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,incremental_stop@4,0.21895744680851065,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.16374,0.2687894736842105,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,reach5,0.34017021276595744,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.1821578947368421,0.44725454545454546,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,conditional mean paid valid submissions on common valid-candidate support,3.8992978723404255,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,3.5816052631578947,4.120042857142857,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M1,,conditional mean raw paid attempts on common valid-candidate support,3.8992978723404255,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,3.5816052631578947,4.120042857142857,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M1,F0,conditional paid-valid savings vs F0,1.1007021276595745,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,0.8792786885245901,1.4165405405405405,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M1,F0,conditional raw paid-attempt savings vs F0,1.1007021276595745,47,47,47000,47000,12,12,conditional_cost_diagnostic,building,1000,20260818,1000,0,0.8792786885245901,1.4165405405405405,ready,"47-task common valid-candidate support; excludes future invalid/replacement, expert fallback, availability and scheduling cost"
primary_common47,M1,,invalid/replacement attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,metric-invalid attempts,0.0,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,historical counterfactual support shortfall,0.0,47,47,47000,47000,12,12,historical_support_diagnostic,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,selected-output probability,0.6607446808510639,47,47,47000,47000,12,12,policy_development_simulation,building,1000,20260818,1000,0,0.5537692307692308,0.8177586206896552,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,autonomous non-delivery probability,0.33925531914893614,47,47,47000,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.18210526315789474,0.4456363636363636,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M1,,expert-escalation-required probability,0.33925531914893614,47,47,47000,47000,12,12,expert_fallback_trigger,building,1000,20260818,1000,0,0.18210526315789474,0.4456363636363636,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,public-GT quality,0.908028950879018,42,47,31049,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.8863453490537414,0.9318457793540935,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,reference-evaluable autonomous-delivery mITT quality,0.600327628896204,47,47,46994,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.5036468784279909,0.7389176287370988,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M1,F0,public-GT complete-case paired delta vs F0,-0.0014623354124498834,42,47,30808,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,-0.0044089969003941664,0.0014709727333691524,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,F0,reference-evaluable autonomous-delivery mITT paired delta vs F0,-0.2941963568762125,47,47,46989,47000,12,12,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,-0.38015382181460655,-0.16930263661533035,ready,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
primary_common47,M1,,prefix-vs-full5 selected-output instability,0.35384082383321114,42,47,30814,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.2884535904038694,0.4287677056160162,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,F0,corner-count change vs F0,0.0,42,47,30814,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.0,0.0,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,F0,continuous geometry delta vs F0,0.0023477761985139455,42,47,30814,47000,12,12,diagnostic_complete_case,building,1000,20260818,1000,0,0.0019092482101362549,0.003006402970132555,ready,12-building block sensitivity after task-equal aggregation
primary_common47,M1,,selected structural invalidity,0.0,42,47,31055,47000,12,12,zero_by_admission_rule,not_applicable,,,,,,,zero_by_admission_rule,zero is imposed by shared admission; no empirical risk interval
primary_common47,M1,,supported multimodality encountered,0.11306382978723405,47,47,47000,47000,12,12,separate_harm_lane,building,1000,20260818,1000,0,0.044097560975609754,0.1929736842105263,ready,12-building block sensitivity after task-equal aggregation
historical_support_all78,SUPPORT_INVENTORY,,historical fixed-k5 support available,0.6025641025641025,78,78,,,13,13,historical_support_diagnostic,not_applicable,,,,,,,development_descriptive_only,deterministic inventory: 47/78; not prospective candidate exhaustion
historical_support_all78,SUPPORT_INVENTORY,,historical counterfactual support shortfall,0.3974358974358974,78,78,,,13,13,historical_support_diagnostic,not_applicable,,,,,,,development_descriptive_only,deterministic inventory: 31/78; not prospective candidate exhaustion
harm_lane,ALL,,actual_expert_reference_harm,,,,,,,,actual_harm,,,,,,,,source_absent,actual expert/reference delivery-harm source absent; no exact or building interval is estimable
harm_lane,F0/M0_corner_count_gate_geometry_medoid/M1,,selected_structural_invalidity,,,,,,,,structural_invalidity,,,,,,,,zero_by_admission_rule,"selected records pass shared structural admission; zero is not empirical safety evidence and has no [0,0] interval"
harm_lane,M0_corner_count_gate_geometry_medoid/M1,,material_geometry_delta,,,,,,,,geometry,,,,,,,,source_absent,continuous geometry delta is reported; no frozen materiality tolerance exists
model_status,M2,,worker_portrait,,,,,,,,,,,,,,,,not_evaluated_leakage_safe_estimator_absent,leakage-safe training-fold estimator not implemented in this correction
model_status,M3,,posttask_meta,,,,,,,,,,,,,,,,pending_pre_peer_timing_binding,canonical join exists; pre-peer-view timing remains unbound and first-route use is prohibited
workflow_identifiability,M1_with_expert_fallback,,final delivery quality after expert fallback,,,,,,,,full_workflow_quality,,,,,,,,not_identifiable,expert fallback outputs and their reference-evaluable quality are absent
workflow_identifiability,M1_with_expert_fallback,,total deployment cost including expert fallback,,,,,,,,full_workflow_cost,,,,,,,,not_identifiable,"expert minutes, expert output cost, future invalid/replacement, availability and scheduling cost are absent"
harm_lane,ALL,,GT_reference_conflict,,,,,,,,reference_conflict,,,,,,,,ready_current_operational_audit_zero_declared,separate lane; not actual expert delivery harm and not proof of zero upstream GT error
