estimand_scope,fold,base_task_id,building_id,condition,policy,replicate_support,order_signature_support,candidate_permutation_n,stop_at_3_probability,incremental_stop_at_4_probability,reach5_probability,cap_resolved_probability,historical_counterfactual_support_shortfall_probability,unresolved_probability,autonomous_non_delivery_probability,expert_escalation_probability,status_probability_fixed_k5,mean_raw_paid_attempts,mean_paid_valid_submissions,mean_invalid_attempts,mean_replacement_attempts,mean_metric_invalid_attempts,mean_paid_valid_savings_vs_f0,mean_raw_paid_attempt_savings_vs_f0,mean_public_gt_quality,mean_reference_evaluable_autonomous_delivery_quality,mean_paired_complete_case_quality_delta_vs_f0,mean_reference_evaluable_autonomous_delivery_mitt_delta_vs_f0,instability_probability,corner_count_change_probability,mean_continuous_geometry_delta_vs_f0,selected_structural_invalidity_probability,selected_output_probability,supported_multimodality_probability,selected_output_replicate_support,raw_attempt_replicate_support,paid_valid_replicate_support,complete_case_quality_replicate_support,reference_evaluable_autonomous_delivery_replicate_support,paired_cost_replicate_support,paired_complete_case_quality_replicate_support,paired_reference_evaluable_autonomous_delivery_replicate_support,paired_instability_replicate_support,paired_corner_count_replicate_support,paired_geometry_delta_replicate_support,selected_structural_invalidity_replicate_support,autonomous_non_delivery_replicate_support,expert_escalation_replicate_support,paired_rows_status,status
primary_common47,policy_development_simulation,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8284054497224831,0.8284054497224831,0.04602993368756822,0.04602993368756822,0.481,0.0,0.007858785770219968,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,F0,1000,1000,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.981535411970199,0.981535411970199,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,M0_corner_count_gate_geometry_medoid,1000,1000,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9764684206569201,0.9764684206569201,-0.005066991313278855,-0.005066991313278855,0.65,0.0,0.004261367749211796,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,M1,1000,1000,20,0.717,0.251,0.032,0.0,0.0,0.032,0.032,0.032,0.0,3.315,3.315,0.0,0.0,0.0,1.685,1.685,0.9787268198361195,0.9474075616013636,-0.002894275747892052,-0.0341278503688353,0.5764462809917356,0.0,0.0030948891145469956,0.0,0.968,0.0,968,1000,1000,968,1000,1000,968,1000,968,968,968,968,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.8264746565439073,0.8264746565439073,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8504390101683812,0.8504390101683812,0.02396435362447393,0.02396435362447393,0.466,0.279,0.015088735415196902,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,M1,1000,120,5,0.097,0.307,0.596,0.0,0.0,0.596,0.596,0.596,0.0,4.499,4.499,0.0,0.0,0.0,0.501,0.501,0.8264746565439073,0.33389576124373854,0.0,-0.49257889530016874,0.0,0.0,0.0,0.0,0.404,0.596,404,1000,1000,404,1000,1000,404,1000,404,404,404,404,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9434515514678559,0.9434515514678559,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9159479350394395,0.9159479350394395,-0.027503616428416408,-0.027503616428416408,0.61,0.0,0.009852599023675631,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,M1,1000,120,5,0.389,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.611,3.611,0.0,0.0,0.0,1.389,1.389,0.9349197172930398,0.9349197172930398,-0.008531834174816028,-0.008531834174816028,0.507,0.0,0.007691781669833284,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9167732608294712,0.9167732608294712,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,0.685,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315,3.315,0.0,0.0,0.0,1.685,1.685,0.9124573553323416,0.9124573553323416,-0.004315905497129552,-0.004315905497129552,0.291,0.0,0.002835576502746291,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,M1,1000,120,5,0.099,0.288,0.613,0.0,0.0,0.613,0.613,0.613,0.0,4.514,4.514,0.0,0.0,0.0,0.486,0.486,0.9167732608294712,0.35479125194100536,0.0,-0.5619820088884658,0.0,0.0,0.0,0.0,0.387,0.0,387,1000,1000,387,1000,1000,387,1000,387,387,387,387,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.971907530079762,0.971907530079762,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9463543583787459,0.9463543583787459,-0.025553171701016147,-0.025553171701016147,0.722,0.0,0.0042095075293733675,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9463543583787459,0.9463543583787459,-0.025553171701016147,-0.025553171701016147,0.722,0.0,0.0042095075293733675,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9922360167751927,0.9922360167751927,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9782660592144399,0.9782660592144399,-0.01396995756075284,-0.01396995756075284,0.488,0.0,0.0032348628308247283,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9782660592144399,0.9782660592144399,-0.01396995756075284,-0.01396995756075284,0.488,0.0,0.0032348628308247283,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9148327464788732,0.9148327464788732,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9154162838706233,0.9154162838706233,0.0005835373917500735,0.0005835373917500735,0.402,0.0,0.0005411209475143053,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9154162838706233,0.9154162838706233,0.0005835373917500735,0.0005835373917500735,0.402,0.0,0.0005411209475143053,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.8631223502044798,0.8631223502044798,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.865391416212031,0.865391416212031,0.0022690660075511747,0.0022690660075511747,0.607,0.0,0.005736716861415583,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.865391416212031,0.865391416212031,0.0022690660075511747,0.0022690660075511747,0.607,0.0,0.005736716861415583,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9760386257848187,0.9760386257848187,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9584742905959319,0.9584742905959319,-0.017564335188886775,-0.017564335188886775,0.9,0.0,0.006613054981261327,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,manual,M1,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.9584742905959319,0.9584742905959319,-0.017564335188886775,-0.017564335188886775,0.9,0.0,0.006613054981261327,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.9423779468227864,0.9423779468227864,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8463364990881972,0.8463364990881972,-0.09604144773458921,-0.09604144773458921,0.616,0.0,0.05555800422814674,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual,M1,1000,120,5,0.089,0.295,0.616,0.0,0.0,0.616,0.616,0.616,0.0,4.527,4.527,0.0,0.0,0.0,0.473,0.473,0.9423779468227864,0.36187313157995,0.0,-0.5805048152428365,0.0,0.0,0.0,0.0,0.384,0.0,384,1000,1000,384,1000,1000,384,1000,384,384,384,384,1000,1000,paired_same_task_replicate_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,,,0.8453553711870536,0.8453553711870536,,,,,,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
primary_common47,policy_development_simulation,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.8447118035974295,0.8447118035974295,-0.0006435675896241386,-0.0006435675896241386,0.405,0.0,0.0006265722283981981,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
