condition,target,design,method,baseline,n,groups,delta,lo,hi,group_macro
manual,cdf_early7,same_main_cross_building,dinov3__block9__faces_local16,source_frequency,37,14,0.11,-0.0174489957717,0.242227642276,0.147535714286
manual,cdf_early7,same_main_cross_building,dinov3__block9__faces_local96,source_frequency,37,14,0.0640540540541,-0.02751875,0.152097245293,0.0365357142857
manual,cdf_early7,same_main_cross_building,dinov3__block9__panorama_global,source_frequency,37,14,0.0486486486486,-0.0464470238095,0.175,0.12094047619
manual,cdf_early7,same_main_cross_building,dinov3__block9__panorama_local16,source_frequency,37,14,0.0151351351351,-0.0915441176471,0.1382125,0.0145357142857
manual,cdf_early7,same_main_cross_building,dinov3__block9__panorama_mean,source_frequency,37,14,0.0756756756757,-0.0186911630037,0.191548076923,0.135226190476
manual,cdf_early7,same_main_cross_building,dinov3__cls__faces,source_frequency,37,14,0.0259459459459,-0.122764059934,0.151103905735,-0.00620238095238
manual,cdf_early7,same_main_cross_building,dinov3__cls__panorama,source_frequency,37,14,0.0294594594595,-0.137633097166,0.236043999051,0.0921547619048
manual,cdf_early7,same_main_cross_building,feedback_counts_nearest,source_frequency,37,14,0.0854054054054,0.0149970238095,0.180624242424,0.134416666667
manual,cdf_early7,same_main_cross_building,source_frequency_smooth,source_frequency,37,14,0,0,0,0
manual,cdf_early7,same_main_cross_building,source_random_expectation,source_frequency,37,14,0.106719219219,0.0683599902534,0.158747345077,0.131607804233
manual,cdf_early7,same_room,dinov3__block11__faces_concat,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__faces_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__faces_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__faces_local96,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__panorama_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__panorama_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block11__panorama_mean,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__faces_concat,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__faces_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__faces_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__faces_local96,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__panorama_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__panorama_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block12__panorama_mean,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__faces_concat,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__faces_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__faces_local16,source_frequency,4,2,0,0,0,0
