base_task_id,condition,building_scene_id,corner_count_set,mixed_topology,a0_public_gt_quality,clean_a2_public_gt_quality,task_paired_delta_clean_a2_minus_a0,a0_status,clean_a2_status,a2_definition,evaluation_role
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,B6ByNegPMKs,4,False,0.7823755160349148,0.7823755160349148,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,UwV83HsGsw3,4;5;6,True,0.8203601256814459,0.8422372795194746,0.021877153838028685,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,UwV83HsGsw3,4;6,True,0.8264746565439073,0.837659874268372,0.01118521772446468,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,X7HyMhZNoso,4;6,True,0.9434515514678559,0.9434515514678559,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,X7HyMhZNoso,4;6;8,True,0.9167732608294712,0.9305233315361922,0.013750070706720963,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,X7HyMhZNoso,4;8,True,0.9362865753006209,0.9362865753006209,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,Z6MFQCViBuw,4,False,0.971907530079762,0.9455276326943586,-0.026379897385403472,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,Z6MFQCViBuw,4,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,Z6MFQCViBuw,4,False,0.9922360167751927,0.9922360167751927,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,Z6MFQCViBuw,4,False,0.9148327464788732,0.9148327464788732,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,b8cTxDM8gDG,4;6,True,0.9596837318523213,0.9596837318523213,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,q9vSo1VnCiC,4,False,0.9760386257848187,0.9587371206645185,-0.017301505120300154,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,q9vSo1VnCiC,4;6;7;10,True,0.7300856460470471,0.959934937077305,0.22984929103025797,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,q9vSo1VnCiC,4;6,True,0.9423779468227864,0.9708352174997147,0.02845727067692827,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,q9vSo1VnCiC,4,False,0.8453553711870536,0.8453553711870536,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,semi,q9vSo1VnCiC,4;7,True,0.9156425772398902,0.9156425772398902,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,manual,q9vSo1VnCiC,4;5,True,0.9398474857637947,0.9398474857637947,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,manual,q9vSo1VnCiC,4;5,True,0.7672546680208118,0.7672546680208118,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,manual,q9vSo1VnCiC,4;6;7;11;18,True,0.673524397272116,0.6815329033453374,0.008008506073221455,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,manual,q9vSo1VnCiC,4;6,True,0.9135976658013877,0.925663268102834,0.012065602301446265,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,rPc6DW4iMge,5;6;14,True,0.9280722203608187,0.8659103177495928,-0.062161902611225894,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,rPc6DW4iMge,4,False,0.949031624740041,0.96326396658462,0.014232341844579,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,manual,uNb9QFRL6hY,4;5;8,True,0.926580474934037,0.926580474934037,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,manual,uNb9QFRL6hY,4;6;7,True,0.9058153979098593,0.9148868609611641,0.009071463051304796,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,manual,uNb9QFRL6hY,4;8,True,0.7688449848024316,0.7688449848024316,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,uNb9QFRL6hY,4;5,True,0.9322346793582258,0.9122379565342176,-0.019996722824008217,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,uNb9QFRL6hY,4;6,True,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,manual,uNb9QFRL6hY,4,False,0.9561991118767569,0.9561991118767569,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,semi,uNb9QFRL6hY,8,False,0.8874517641936952,0.8874517641936952,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,manual,uNb9QFRL6hY,4;6;7;10,True,0.7895344126440377,0.8177435792906645,0.02820916664662687,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,manual,uNb9QFRL6hY,4;5,True,0.6997089496413732,0.7006032897554094,0.0008943401140362184,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,manual,uNb9QFRL6hY,2;4,True,0.8795517226896639,0.8876187544598508,0.008067031770186972,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,uNb9QFRL6hY,4,False,0.9872787248141325,0.9872787248141325,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,manual,uNb9QFRL6hY,4;6;7,True,0.6907871302535029,0.7172306788212361,0.026443548567733233,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,manual,wc2JMjhGNzB,4;6,True,0.9275011705946621,0.9275011705946621,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,manual,wc2JMjhGNzB,4;5;8,True,0.8803978622560973,0.7994580231923841,-0.08093983906371316,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,wc2JMjhGNzB,4,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,manual,wc2JMjhGNzB,4,False,0.9163814119950369,0.9163814119950369,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,semi,wc2JMjhGNzB,4;8,True,0.9225406807050069,0.9225406807050069,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,wc2JMjhGNzB,3;4;5,True,0.9709950282253635,0.9709950282253635,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,wc2JMjhGNzB,4,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,manual,x8F5xyUWy9e,4,False,0.9517636183411853,0.9517636183411853,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,manual,x8F5xyUWy9e,4;6,True,0.9525457683811364,0.932030118234891,-0.020515650146245346,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,manual,yqstnuAEVhm,4,False,0.8461372249185559,0.8461372249185559,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,manual,yqstnuAEVhm,4;5;6,True,0.9392927930407973,0.9392927930407973,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,manual,yqstnuAEVhm,4;6,True,0.8308755476028876,0.8308755476028876,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,manual,yqstnuAEVhm,6;8,True,0.9069873782822035,0.9142765028283362,0.007289124546132619,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,semi,yqstnuAEVhm,8,False,1.0,1.0,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,manual,yqstnuAEVhm,12;13;14,True,0.9564454449485804,0.9564454449485804,0.0,estimated,estimated,"worker_quality_weight_only; frozen min(boundary,wall) medoid eligibility unchanged",development_only_not_confirmation
