variant,reference_regime,aggregation_level,building_scene_id,n,building_count,task_weighted_mean_delta,median_delta,sd_delta,delivery_adjusted_mean_delta,delivery_adjusted_n,changed_action_count,changed_only_n,changed_only_mean,direction,effect_band,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,bootstrap_replicates,bootstrap_cluster_unit
A4-C,public_gt_primary,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-C,public_gt_primary,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-C,public_gt_primary,building,rPc6DW4iMge,7,1,-0.015791177099991782,-0.005254316520538427,0.020572992594070808,-0.015791177099991782,7,7,7,-0.015791177099991782,negative,,,,,,
A4-C,public_gt_primary,building,uNb9QFRL6hY,17,1,-0.012249453710257338,0.0,0.04998974889198238,-0.012249453710257338,17,11,11,-0.01893097391585225,negative,,,,,,
A4-C,public_gt_primary,building,wc2JMjhGNzB,8,1,-0.016683811572354004,-0.00028346550592389663,0.03064955203311568,-0.016683811572354004,8,6,6,-0.022245082096472007,negative,,,,,,
A4-C,public_gt_primary,building,x8F5xyUWy9e,2,1,-0.006759662221613061,-0.006759662221613061,0.02101627880668625,-0.006759662221613061,2,2,2,-0.006759662221613061,negative,,,,,,
A4-C,public_gt_primary,building,yqstnuAEVhm,11,1,-0.0006728394952849906,0.0,0.010211160124024163,-0.0006728394952849906,11,5,5,-0.0014802468896269795,negative,,,,,,
A4-L,public_gt_primary,overall,,58,9,-0.0064601938428468205,0.0,0.021873095248499615,-0.0064601938428468205,58,34,34,-0.011020330673091635,not_evaluable,no_go,-0.012407753661674981,0.0006345980965032195,20260817,5000,building
A4-L,public_gt_primary,building,B6ByNegPMKs,6,1,-0.011554876838399267,0.0,0.0208443618829252,-0.011554876838399267,6,2,2,-0.0346646305151978,negative,,,,,,
A4-L,public_gt_primary,building,UwV83HsGsw3,4,1,0.0021048650071521513,0.0014522027088641476,0.0070231424427988215,0.0021048650071521513,4,3,3,0.0028064866762028684,positive,,,,,,
A4-L,public_gt_primary,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-L,public_gt_primary,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-L,public_gt_primary,building,rPc6DW4iMge,7,1,-0.008684469247126483,-0.004314498924358978,0.01461915121541147,-0.008684469247126483,7,6,6,-0.01013188078831423,negative,,,,,,
A4-L,public_gt_primary,building,uNb9QFRL6hY,17,1,-0.016282387463123618,0.0,0.03147168378926994,-0.016282387463123618,17,10,10,-0.02768005868731015,negative,,,,,,
A4-L,public_gt_primary,building,wc2JMjhGNzB,8,1,0.0015672268464618916,0.00439656623295076,0.017665719838748675,0.0015672268464618916,8,6,6,0.002089635795282522,positive,,,,,,
A4-L,public_gt_primary,building,x8F5xyUWy9e,2,1,-0.006759662221613061,-0.006759662221613061,0.02101627880668625,-0.006759662221613061,2,2,2,-0.006759662221613061,negative,,,,,,
A4-L,public_gt_primary,building,yqstnuAEVhm,11,1,0.002253812671926299,0.0,0.012625979791602912,0.002253812671926299,11,5,5,0.004958387878237857,positive,,,,,,
A4-S,strict_conflict_exclusion,overall,,46,9,-0.005336855912009717,0.0,0.026488414196291676,-0.005336855912009717,46,5,5,-0.0490990743904894,not_evaluable,no_go,-0.011441945826043106,0.0,20260817,5000,building
A4-S,strict_conflict_exclusion,building,B6ByNegPMKs,5,1,0.0,0.0,0.0,0.0,5,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,UwV83HsGsw3,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,rPc6DW4iMge,6,1,0.0,0.0,0.0,0.0,6,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,uNb9QFRL6hY,13,1,-0.016957688053920686,0.0,0.04896000299184651,-0.016957688053920686,13,3,3,-0.07348331490032296,negative,,,,,,
A4-S,strict_conflict_exclusion,building,wc2JMjhGNzB,6,1,-0.003050738440476893,0.0,0.007472752517862499,-0.003050738440476893,6,1,1,-0.018304430642861358,negative,,,,,,
A4-S,strict_conflict_exclusion,building,x8F5xyUWy9e,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-S,strict_conflict_exclusion,building,yqstnuAEVhm,9,1,-0.0007489996231796346,0.0,0.002246998869538904,-0.0007489996231796346,9,1,1,-0.006740996608616712,negative,,,,,,
A4-C,strict_conflict_exclusion,overall,,46,9,-0.009999372170378612,0.0,0.031135226405816483,-0.009999372170378612,46,29,29,-0.015861073097841936,not_evaluable,no_go,-0.016640625198669958,-0.0021263972189280787,20260817,5000,building
A4-C,strict_conflict_exclusion,building,B6ByNegPMKs,5,1,-0.003555782438565647,0.0,0.007950971245832756,-0.003555782438565647,5,1,1,-0.017778912192828233,negative,,,,,,
A4-C,strict_conflict_exclusion,building,UwV83HsGsw3,2,1,-0.0013828788479280374,-0.0013828788479280374,0.006063135554239961,-0.0013828788479280374,2,2,2,-0.0013828788479280374,negative,,,,,,
A4-C,strict_conflict_exclusion,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-C,strict_conflict_exclusion,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-C,strict_conflict_exclusion,building,rPc6DW4iMge,6,1,-0.01013188078831423,-0.0047844077224487025,0.015455274092896142,-0.01013188078831423,6,6,6,-0.01013188078831423,negative,,,,,,
A4-C,strict_conflict_exclusion,building,uNb9QFRL6hY,13,1,-0.021702908482603145,0.0,0.05186562176006672,-0.021702908482603145,13,9,9,-0.03134864558598232,negative,,,,,,
A4-C,strict_conflict_exclusion,building,wc2JMjhGNzB,6,1,-0.01359166078929989,-0.00028346550592389663,0.031617783470387927,-0.01359166078929989,6,5,5,-0.016309992947159867,negative,,,,,,
A4-C,strict_conflict_exclusion,building,x8F5xyUWy9e,2,1,-0.006759662221613061,-0.006759662221613061,0.02101627880668625,-0.006759662221613061,2,2,2,-0.006759662221613061,negative,,,,,,
A4-C,strict_conflict_exclusion,building,yqstnuAEVhm,9,1,-0.0001586739739977879,0.0,0.011245845970065388,-0.0001586739739977879,9,4,4,-0.00035701644149502276,negative,,,,,,
A4-L,strict_conflict_exclusion,overall,,46,9,-0.006926787794569533,0.0,0.023271045777119158,-0.006926787794569533,46,28,28,-0.011379722805364232,not_evaluable,no_go,-0.014185772975110934,0.0009085125524608619,20260817,5000,building
A4-L,strict_conflict_exclusion,building,B6ByNegPMKs,5,1,-0.003555782438565647,0.0,0.007950971245832756,-0.003555782438565647,5,1,1,-0.017778912192828233,negative,,,,,,
A4-L,strict_conflict_exclusion,building,UwV83HsGsw3,2,1,-0.0013828788479280374,-0.0013828788479280374,0.006063135554239961,-0.0013828788479280374,2,2,2,-0.0013828788479280374,negative,,,,,,
A4-L,strict_conflict_exclusion,building,X7HyMhZNoso,1,1,0.0,0.0,,0.0,1,0,0,,nonnegative,,,,,,
A4-L,strict_conflict_exclusion,building,b8cTxDM8gDG,2,1,0.0,0.0,0.0,0.0,2,0,0,,nonnegative,,,,,,
A4-L,strict_conflict_exclusion,building,rPc6DW4iMge,6,1,-0.01013188078831423,-0.0047844077224487025,0.015455274092896142,-0.01013188078831423,6,6,6,-0.01013188078831423,negative,,,,,,
A4-L,strict_conflict_exclusion,building,uNb9QFRL6hY,13,1,-0.0198497362583897,0.0,0.035375797782995363,-0.0198497362583897,13,8,8,-0.03225582141988326,negative,,,,,,
A4-L,strict_conflict_exclusion,building,wc2JMjhGNzB,6,1,0.0005840839662198764,0.00439656623295076,0.02059390963472903,0.0005840839662198764,6,5,5,0.0007009007594638517,positive,,,,,,
A4-L,strict_conflict_exclusion,building,x8F5xyUWy9e,2,1,-0.006759662221613061,-0.006759662221613061,0.02101627880668625,-0.006759662221613061,2,2,2,-0.006759662221613061,negative,,,,,,
A4-L,strict_conflict_exclusion,building,yqstnuAEVhm,9,1,0.003418345341482677,0.0,0.013734925992578832,0.003418345341482677,9,4,4,0.0076912770183360235,positive,,,,,,
