condition,outer_building,method,C,status
semi,q9vSo1VnCiC,joint,0.1,training_building_cv
semi,q9vSo1VnCiC,interaction,0.1,training_building_cv
semi,rPc6DW4iMge,prefix,0.1,training_building_cv
semi,rPc6DW4iMge,image_prefix,0.1,training_building_cv
semi,rPc6DW4iMge,person_prefix,0.1,training_building_cv
semi,rPc6DW4iMge,joint,0.1,training_building_cv
semi,rPc6DW4iMge,interaction,0.1,training_building_cv
semi,uNb9QFRL6hY,prefix,0.1,training_building_cv
semi,uNb9QFRL6hY,image_prefix,0.1,training_building_cv
semi,uNb9QFRL6hY,person_prefix,1.0,training_building_cv
semi,uNb9QFRL6hY,joint,0.1,training_building_cv
semi,uNb9QFRL6hY,interaction,0.1,training_building_cv
semi,wc2JMjhGNzB,prefix,0.1,training_building_cv
semi,wc2JMjhGNzB,image_prefix,0.1,training_building_cv
semi,wc2JMjhGNzB,person_prefix,1.0,training_building_cv
semi,wc2JMjhGNzB,joint,1.0,training_building_cv
semi,wc2JMjhGNzB,interaction,1.0,training_building_cv
semi,yqstnuAEVhm,prefix,0.1,training_building_cv
semi,yqstnuAEVhm,image_prefix,0.1,training_building_cv
semi,yqstnuAEVhm,person_prefix,1.0,training_building_cv
semi,yqstnuAEVhm,joint,0.1,training_building_cv
semi,yqstnuAEVhm,interaction,0.1,training_building_cv
oos_geometry,7y3sRwLe3Va,prefix,0.1,training_building_cv
oos_geometry,7y3sRwLe3Va,image_prefix,0.1,training_building_cv
oos_geometry,7y3sRwLe3Va,person_prefix,0.1,training_building_cv
oos_geometry,7y3sRwLe3Va,joint,0.1,training_building_cv
oos_geometry,7y3sRwLe3Va,interaction,0.1,training_building_cv
oos_geometry,UwV83HsGsw3,prefix,0.1,training_building_cv
oos_geometry,UwV83HsGsw3,image_prefix,0.1,training_building_cv
oos_geometry,UwV83HsGsw3,person_prefix,0.1,training_building_cv
oos_geometry,UwV83HsGsw3,joint,0.1,training_building_cv
oos_geometry,UwV83HsGsw3,interaction,0.1,training_building_cv
oos_geometry,b8cTxDM8gDG,prefix,0.1,training_building_cv
oos_geometry,b8cTxDM8gDG,image_prefix,0.1,training_building_cv
oos_geometry,b8cTxDM8gDG,person_prefix,0.1,training_building_cv
oos_geometry,b8cTxDM8gDG,joint,0.1,training_building_cv
oos_geometry,b8cTxDM8gDG,interaction,0.1,training_building_cv
oos_geometry,q9vSo1VnCiC,prefix,0.1,training_building_cv
oos_geometry,q9vSo1VnCiC,image_prefix,0.1,training_building_cv
oos_geometry,q9vSo1VnCiC,person_prefix,0.1,training_building_cv
oos_geometry,q9vSo1VnCiC,joint,0.1,training_building_cv
oos_geometry,q9vSo1VnCiC,interaction,0.1,training_building_cv
oos_geometry,uNb9QFRL6hY,prefix,0.1,training_building_cv
oos_geometry,uNb9QFRL6hY,image_prefix,0.1,training_building_cv
oos_geometry,uNb9QFRL6hY,person_prefix,0.1,training_building_cv
oos_geometry,uNb9QFRL6hY,joint,0.1,training_building_cv
oos_geometry,uNb9QFRL6hY,interaction,0.1,training_building_cv
oos_geometry,yqstnuAEVhm,prefix,0.1,training_building_cv
oos_geometry,yqstnuAEVhm,image_prefix,0.1,training_building_cv
oos_geometry,yqstnuAEVhm,person_prefix,0.1,training_building_cv
oos_geometry,yqstnuAEVhm,joint,0.1,training_building_cv
oos_geometry,yqstnuAEVhm,interaction,0.1,training_building_cv
