condition,k,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
semi,2,interaction,image_prefix,brier,42,12,0.1407738534251105,0.07685798789100558,0.2018465051643042,0.14451951370005853
semi,4,prefix,training_frequency,brier,18,10,-0.016530345891347373,-0.03308413650132836,0.012533765945355315,-0.005908224715689925
semi,4,prefix,image_prefix,brier,18,10,-0.013141405783401821,-0.03197686846635525,0.012568848821345586,-0.008806863919592034
semi,4,image_prefix,training_frequency,brier,18,10,-0.0033889401079455514,-0.035945116419857495,0.04152952420250791,0.0028986392039021085
semi,4,image_prefix,prefix,brier,18,10,0.013141405783401821,-0.01004432263096664,0.03145590757854881,0.008806863919592034
semi,4,person_prefix,training_frequency,brier,18,10,-0.006671799116003296,-0.033470613942765334,0.026444681674726415,-0.0025440993506169783
semi,4,person_prefix,prefix,brier,18,10,0.009858546775344075,-0.008588667688741659,0.0247093207145345,0.0033641253650729466
semi,4,person_prefix,image_prefix,brier,18,10,-0.003282859008057745,-0.027702677173936974,0.017577353766153138,-0.005442738554519088
semi,4,joint,training_frequency,brier,18,10,0.06049560731478825,-0.0019686101219233716,0.12836130567983328,0.05128229928082786
semi,4,joint,prefix,brier,18,10,0.07702595320613563,0.011353991508549583,0.1505574351460642,0.057190523996517785
semi,4,joint,image_prefix,brier,18,10,0.0638845474227338,-0.00815303676023268,0.14349287841718972,0.04838366007692575
semi,4,interaction,training_frequency,brier,18,10,0.05659499084995881,0.004040342217183054,0.10889377296836197,0.04935513983626088
semi,4,interaction,prefix,brier,18,10,0.07312533674130618,0.018488133590703604,0.13243241497388947,0.055263364551950814
semi,4,interaction,image_prefix,brier,18,10,0.05998393095790436,-0.004897243251652802,0.1251254778141371,0.046456500632358774
semi,6,prefix,training_frequency,brier,18,10,-0.007396105381530139,-0.021357223484726545,0.01740803828562228,0.0014957509794231826
semi,6,prefix,image_prefix,brier,18,10,-0.009489580025842777,-0.026481986331314312,0.004570676611202283,-0.009136290084836034
semi,6,image_prefix,training_frequency,brier,18,10,0.002093474644312635,-0.02044134629078165,0.042440280796372826,0.010632041064259216
semi,6,image_prefix,prefix,brier,18,10,0.009489580025842777,-0.003964550302116765,0.025454635309017332,0.009136290084836034
semi,6,person_prefix,training_frequency,brier,18,10,-0.013190519043622957,-0.0353872887153386,0.017686556759460747,-0.00700333038131447
semi,6,person_prefix,prefix,brier,18,10,-0.005794413662092816,-0.02101935119468089,0.007721374564489099,-0.008499081360737652
semi,6,person_prefix,image_prefix,brier,18,10,-0.015283993687935593,-0.035621703692402716,0.0020354430421181905,-0.017635371445573686
semi,6,joint,training_frequency,brier,18,10,0.043909435277080945,-0.002752437777281978,0.09071620609922411,0.04150093612963872
