condition,k,method,image_id,building,brier,uncovered_brier,p_new_count,p_new_same_count_geometry
manual,2,closed_seed_assumes_no_novelty,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,0.5,0.25,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,1.2272727272727273,0.6136363636363636,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,0.5,0.25,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,0.5,0.25,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,1.5,0.75,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,1.7647058823529411,0.8823529411764706,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,2.0,1.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,1.0,0.5,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,2.0,1.0,0.0,0.0
