base_task_id,building_id,stage,full_mask_distance,boundary_distance_mean,boundary_distance_q90,wall_distance_mean,wall_distance_q90,vertical_boundary_count_disagreement,invalid_submission_rate,selected_support,strict_valid_support,full_cardinality_diverse,recovery_rate_k12,recovery_rate_k15,recovery_gain_k12_to_k15,recovery_mae_k12,recovery_mae_k15,recovery_mae_reduction_k12_to_k15,cardinality_detection_k12,cardinality_detection_k15,cardinality_detection_gain_k12_to_k15,rarefaction_replicates,mask_disagreement_rank
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,0.03499528678397841,0.008693127237381566,0.013194809012064213,0.007424877487852513,0.012489823644550313,0.0,0.07692307692307693,26,24,False,1.0,1.0,0.0,0.0021229319212110387,0.0016765975927487233,0.00044633432846231534,0.0,0.0,0.0,1000,3
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,0.22479128138041735,0.05000564335535961,0.08558569206839023,0.04973921629190895,0.08642472485554503,0.8695652173913043,0.07692307692307693,26,24,True,0.876,0.979,0.10299999999999998,0.01667835180849232,0.012495983234834052,0.004182368573658267,1.0,1.0,0.0,1000,38
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,0.05341424254416824,0.010973941835510708,0.02115729193797259,0.019291767875573643,0.028943785186267793,0.08,0.038461538461538464,26,25,True,1.0,1.0,0.0,0.006793449100379784,0.005337263821295684,0.0014561852790841,0.47,0.633,0.16300000000000003,1000,8
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,0.08107500526195485,0.01797710600751309,0.03776067477375125,0.03684377926199853,0.11194568726910781,0.22666666666666666,0.038461538461538464,26,25,True,0.972,0.993,0.02100000000000002,0.011421962697739839,0.009359838068358202,0.0020621246293816373,0.89,0.95,0.05999999999999994,1000,16
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,0.02865773782118246,0.009226610127568827,0.015487573363455631,0.01119052273894472,0.024280415227621924,0.16600790513833993,0.0,23,23,True,1.0,1.0,0.0,0.003025146624564125,0.0024178550504353555,0.0006072915741287695,0.779,0.887,0.10799999999999998,1000,2
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,0.1064335421471282,0.02521242511494353,0.04219428958931232,0.025438282051079023,0.051427672424624586,0.77,0.038461538461538464,26,25,True,0.984,0.997,0.013000000000000012,0.010403347965859455,0.008024425687693112,0.0023789222781663427,1.0,1.0,0.0,1000,21
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,0.05253381103234569,0.016715874303258858,0.02805757548994762,0.03556854014552651,0.06590109267263161,0.29,0.038461538461538464,26,25,True,1.0,1.0,0.0,0.013081306686817982,0.010184114628096118,0.002897192058721864,0.952,0.976,0.02400000000000002,1000,7
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,C1,0.06587695858896252,0.011999526280647457,0.02154992310206064,0.006675131405440014,0.010561403164644378,0.08695652173913043,0.0,23,23,True,1.0,1.0,0.0,0.008482677878661797,0.006779950056057644,0.0017027278226041534,0.501,0.635,0.134,1000,13
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,P1,0.07582660788668251,0.016385075736512704,0.06097302901231538,0.011977521387408322,0.03360835803583917,0.15333333333333332,0.038461538461538464,26,25,True,0.554,0.854,0.29999999999999993,0.019457808616715207,0.015534738395732372,0.003923070220982835,0.739,0.852,0.11299999999999999,1000,15
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,P1,0.2221349323389967,0.042183712061523417,0.07281716352628309,0.06678517307706919,0.09379291385366337,0.8379446640316206,0.11538461538461539,26,23,True,0.625,0.869,0.244,0.025178564903933782,0.018865401362637306,0.0063131635412964765,1.0,1.0,0.0,1000,37
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,P1,0.1331623566219477,0.03500629991640035,0.0607751772019484,0.0666608568795392,0.13820914165068446,0.23,0.038461538461538464,26,25,True,0.965,0.996,0.031000000000000028,0.010216798176235596,0.0076135961746296955,0.002603202001605901,0.859,0.959,0.09999999999999998,1000,26
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,C1,0.06457111216113183,0.011540258453763436,0.02065791250095393,0.005081192657504678,0.008668410072786514,0.0,0.0,23,23,False,0.973,0.993,0.020000000000000018,0.016341479493077522,0.012023267403232448,0.004318212089845074,0.0,0.0,0.0,1000,12
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,P1,0.18031303957820308,0.04339377278595635,0.07257998882831253,0.04034747902122523,0.07642797577212086,0.7533333333333333,0.0,25,25,True,0.621,0.806,0.18500000000000005,0.024772424163046113,0.018962139836100556,0.005810284326945556,1.0,1.0,0.0,1000,31
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,C1,0.14220505737229328,0.036798460070723495,0.05188603208557481,0.05052973594631758,0.08863305307990797,0.758893280632411,0.0,23,23,True,1.0,1.0,0.0,0.007078214084231375,0.0054801248139767665,0.0015980892702546082,1.0,1.0,0.0,1000,27
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,C1,0.10895340349385481,0.013674322151365721,0.02223125142036273,0.021371345930336197,0.03915496599240004,0.6245059288537549,0.0,23,23,True,0.998,1.0,0.0020000000000000018,0.006167549280972439,0.0045321365989005056,0.0016354126820719338,1.0,1.0,0.0,1000,22
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,P1,0.1093163703313726,0.026696603048911992,0.04787241141819032,0.03434082653401193,0.10426485230702187,0.6594202898550725,0.07692307692307693,26,24,True,0.994,0.998,0.0040000000000000036,0.01083951086857907,0.009217945958835237,0.001621564909743833,1.0,1.0,0.0,1000,23
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,C1,0.14793870459129108,0.036241555973036944,0.07503124977835428,0.03305052286110367,0.059382484450111434,0.8458498023715415,0.0,23,23,True,0.929,0.969,0.039999999999999925,0.014509146170802215,0.010900040282349593,0.003609105888452622,1.0,1.0,0.0,1000,29
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,C1,0.12165974736380426,0.024060186067406737,0.03890017037169065,0.02762640817568796,0.04516409909909914,0.8379446640316206,0.0,23,23,True,0.923,0.987,0.06399999999999995,0.013272626388883539,0.010005686477844666,0.0032669399110388728,1.0,1.0,0.0,1000,25
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,P1,0.1441070466609143,0.037767034749546534,0.1115313701265184,0.0279742790162426,0.09451052082156633,0.15666666666666668,0.038461538461538464,26,25,True,0.304,0.519,0.21500000000000002,0.04553985865680875,0.03688388305031153,0.008655975606497217,0.753,0.853,0.09999999999999998,1000,28
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,P1,0.08843103980371711,0.012012171217894248,0.02115748501905501,0.02408725026807806,0.06120481961234667,0.23,0.038461538461538464,26,25,True,0.979,0.997,0.018000000000000016,0.01091862001547076,0.008506559860123919,0.002412060155346842,0.863,0.949,0.08599999999999997,1000,18
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,P1,0.055253565715889935,0.009649781010940434,0.01646622785612405,0.01442469295847042,0.037412166974299124,0.15666666666666668,0.038461538461538464,26,25,True,1.0,1.0,0.0,0.006105257564889286,0.004736205503751028,0.0013690520611382576,0.736,0.833,0.09699999999999998,1000,9
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,P1,0.03739594788953475,0.007778362415926953,0.012711632088269087,0.0037527709270861642,0.006868925188499464,0.0,0.07692307692307693,26,24,False,1.0,1.0,0.0,0.0028100022328494036,0.0022288345056403892,0.0005811677272090144,0.0,0.0,0.0,1000,4
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,C1,0.18980228751918504,0.04645215951350244,0.0713211517991591,0.04359114143761888,0.0769054061687434,0.8102766798418972,0.0,23,23,True,0.971,0.992,0.02100000000000002,0.01134599423130817,0.009213717408719728,0.0021322768225884425,1.0,1.0,0.0,1000,33
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,P1,0.0662447203126673,0.01931388734441104,0.031418488512198084,0.012067486386188892,0.02683936769004147,0.08333333333333333,0.07692307692307693,26,24,True,1.0,1.0,0.0,0.004894725812039267,0.0036903113913237685,0.001204414420715499,0.506,0.63,0.124,1000,14
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,C1,0.05852222855578818,0.01689309404085887,0.0287145802537913,0.03368912855229189,0.05904440104665809,0.08695652173913043,0.0,23,23,True,1.0,1.0,0.0,0.0056295421647916954,0.004229009568224653,0.0014005325965670426,0.522,0.641,0.119,1000,10
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,x8F5xyUWy9e,P1,0.08323946866352774,0.014325749269597607,0.0238257372145399,0.014066994180967837,0.027145383775401044,0.2391304347826087,0.07692307692307693,26,24,True,0.868,0.963,0.09499999999999997,0.02050090072419431,0.015644283690812836,0.004856617033381475,0.884,0.958,0.07399999999999995,1000,17
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,C1,0.21569254231033766,0.054450597443030824,0.13339972018849805,0.05200507233518908,0.11605197189330604,0.3201581027667984,0.0,23,23,True,0.407,0.485,0.07800000000000001,0.04430619720134199,0.033636897502306785,0.010669299699035205,0.955,0.991,0.03600000000000003,1000,36
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,C1,0.12093363958010338,0.027807321626530837,0.04974379234248334,0.018716370188618128,0.029861006467239992,0.6126482213438735,0.0,23,23,True,0.942,0.969,0.027000000000000024,0.013299698312249161,0.010701381362926787,0.002598316949322374,1.0,1.0,0.0,1000,24
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,P1,0.09623587910260287,0.015163470361962812,0.02158578333706772,0.01757860235098481,0.016858056520745235,0.0,0.038461538461538464,26,25,False,0.289,0.686,0.3970000000000001,0.03467659698869645,0.026608788864071746,0.008067808124624702,0.0,0.0,0.0,1000,19
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,P1,0.2519565513136998,0.07025254189516769,0.12500579256897493,0.037210257503372035,0.060460390897464855,0.8369565217391305,0.07692307692307693,26,24,True,0.142,0.362,0.22,0.05064983101099638,0.03758653633787609,0.013063294673120285,1.0,1.0,0.0,1000,39
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,P1,0.18107041662189993,0.02397269788406828,0.04024661014025327,0.04087799817544041,0.10343706268437158,0.8478260869565217,0.07692307692307693,26,24,True,0.887,0.962,0.07499999999999996,0.015453210392790566,0.012153097651008407,0.003300112741782159,1.0,1.0,0.0,1000,32
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,P1,0.060971918440313085,0.010083180256329436,0.022284589821991607,0.005168421736780621,0.010652302826287109,0.08,0.038461538461538464,26,25,True,1.0,1.0,0.0,0.011338687974287514,0.008864498539794518,0.0024741894344929953,0.477,0.58,0.10299999999999998,1000,11
