analysis_stratum,metric,k_type,k,estimate,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count_with_value,task_count,building_count,interpretation
pooled_42,disagreement_mean_absolute_error,k_valid,12,0.016287276096611125,0.011351684103549104,0.02189468834150673,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,12,0.8265945945945946,0.7341237980769231,0.8861815889029002,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,15,0.9091428571428571,0.8316339939024392,0.9722820758928571,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,15,0.012530053940982468,0.008793959671027798,0.016725277793292036,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,15,0.8815675675675676,0.8074117647058823,0.928558336989908,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,disagreement_recovery_abs_error_le_0_03,k_valid,20,0.978047619047619,0.9600249069148935,0.9956774193548387,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,disagreement_mean_absolute_error,k_valid,20,0.006786285398080835,0.004849113428432717,0.008927555398498994,42,42,12,finite historical strict-valid roster recovery; not external quality
pooled_42,cardinality_diversity_detection,k_valid,20,0.9543513513513513,0.9174283834586469,0.9772457236842106,37,37,11,probability of observing at least two historical vertical-boundary counts
pooled_42,probability_at_least_3_strict_valid,k_collected,3,0.8879029304029303,0.8545295584045584,0.9131392812231628,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,5,0.9999084249084249,0.9997115384615384,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,8,1.0,1.0,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,10,1.0,1.0,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,12,1.0,1.0,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,15,1.0,1.0,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
pooled_42,probability_at_least_3_strict_valid,k_collected,20,1.0,1.0,1.0,42,42,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,3,0.5057333333333334,0.40312000000000003,0.6238930357142856,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,3,0.0468433182272401,0.03374186394036008,0.060463043440167785,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,3,0.4981153846153846,0.372,0.6110555555555555,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,5,0.6221666666666666,0.5192794516129033,0.74012,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,5,0.033962352473193,0.02395470442019225,0.04344335232889853,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,5,0.6079615384615384,0.47559125,0.7146352339181284,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,8,0.7140333333333333,0.6124857142857144,0.8204138649425285,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,8,0.024891285516033656,0.01728945872066421,0.03224242782447936,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,8,0.7127307692307692,0.5967718873517788,0.8036071428571427,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,10,0.7667333333333334,0.6632398823529411,0.8706431318681318,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,10,0.020938028576719527,0.014372744094544289,0.027126811278887906,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,10,0.7701923076923077,0.6620464285714285,0.8508019999999997,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,12,0.8089,0.7088064516129032,0.9117104779411763,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,12,0.0176925381971692,0.012102887134412946,0.02305185701860071,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,12,0.8191923076923077,0.7239972222222223,0.8883136874999998,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,15,0.8929666666666667,0.8206295138888888,0.9633478804347828,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,15,0.013632453745970404,0.009464630573173649,0.017597031054934455,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,15,0.8775,0.7988951379310344,0.9328966379310345,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,20,0.9717666666666667,0.9520555555555555,0.9936373900293254,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,20,0.007497392353208795,0.005239502751718876,0.009490695141744753,30,30,12,finite historical strict-valid roster recovery; not external quality
P1_stage_sensitivity,cardinality_diversity_detection,k_valid,20,0.9498846153846153,0.9091000000000001,0.9787084821428572,26,26,11,probability of observing at least two historical vertical-boundary counts
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,3,0.8430641025641026,0.8173351648351649,0.8670085470085469,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,5,0.9998717948717949,0.9996153846153846,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,8,1.0,1.0,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,10,1.0,1.0,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,12,1.0,1.0,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,15,1.0,1.0,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
P1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,20,1.0,1.0,1.0,30,30,12,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,3,0.5610833333333334,0.382875,0.791375,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,3,0.039549916786909986,0.021823304059887423,0.06602667458296606,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,3,0.6023636363636363,0.26675000000000004,0.8366,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,5,0.711,0.5457777777777778,0.881625,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,5,0.026994319123051693,0.01556617961174611,0.04425945424698636,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,5,0.695,0.3635,0.9124999999999999,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,8,0.8422499999999999,0.6983999999999999,0.965125,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,8,0.018500203357722435,0.010942846318946632,0.029443254534204332,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,8,0.7728181818181818,0.493375,0.9477333333333333,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,10,0.8971666666666667,0.7523000000000001,0.991625,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,10,0.015188971358874698,0.008993244942658594,0.02446802785105665,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,10,0.8106363636363636,0.5715,0.9558666666666666,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,12,0.9285833333333333,0.8018000000000001,0.996375,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,12,0.012774120845215946,0.00742198890115099,0.02067687593329732,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,12,0.8440909090909091,0.64225,0.9655333333333334,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,15,0.9495833333333333,0.8346,0.999,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,15,0.009774054428512627,0.005821938803035446,0.01599002905495895,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,15,0.8911818181818182,0.7478750000000001,0.9760000000000001,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,disagreement_recovery_abs_error_le_0_03,k_valid,20,0.99375,0.9781000000000001,1.0,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,disagreement_mean_absolute_error,k_valid,20,0.005008518010260937,0.0029397068182614138,0.00826265923250103,12,12,5,finite historical strict-valid roster recovery; not external quality
C1_stage_sensitivity,cardinality_diversity_detection,k_valid,20,0.9649090909090909,0.919125,0.9920625000000001,11,11,5,probability of observing at least two historical vertical-boundary counts
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,3,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,5,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,8,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,10,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,12,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,15,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
C1_stage_sensitivity,probability_at_least_3_strict_valid,k_collected,20,1.0,1.0,1.0,12,12,5,exact hypergeometric probability from all 1055 canonical submissions
