analysis_stratum,weighting,k_valid,task_count,building_count,simulation_replicates_per_task,reference_interpretation,resolved_rate,resolved_rate_ci95_lower_building_bootstrap,resolved_rate_ci95_upper_building_bootstrap,resolved_rate_task_count_with_value,partition_unique_rate,partition_unique_rate_ci95_lower_building_bootstrap,partition_unique_rate_ci95_upper_building_bootstrap,partition_unique_rate_task_count_with_value,supported_multimodal_rate,supported_multimodal_rate_ci95_lower_building_bootstrap,supported_multimodal_rate_ci95_upper_building_bootstrap,supported_multimodal_rate_task_count_with_value,not_evaluable_rate,not_evaluable_rate_ci95_lower_building_bootstrap,not_evaluable_rate_ci95_upper_building_bootstrap,not_evaluable_rate_task_count_with_value,resolved_only_quality,resolved_only_quality_ci95_lower_building_bootstrap,resolved_only_quality_ci95_upper_building_bootstrap,resolved_only_quality_task_count_with_value,delivery_adjusted_quality,delivery_adjusted_quality_ci95_lower_building_bootstrap,delivery_adjusted_quality_ci95_upper_building_bootstrap,delivery_adjusted_quality_task_count_with_value
C1_primary_12,task_equal; pooled rows are image-equal,13,12,5,200,programmatically independent frozen public GT,0.34541666666666665,0.1419230769230769,0.71875,12,0.8854166666666666,0.84375,0.96875,12,0.54,0.25,0.7076923076923076,12,0.11458333333333333,0.03125,0.15625,12,0.9715028035076281,0.9587644665069043,0.9842411405083521,7,0.33857803750139837,0.13758942165497026,0.7084019322819648,12
P1_sensitivity_29,task_equal; pooled rows are image-equal,3,29,11,200,P1 user-verified reference sensitivity,0.7881034482758621,0.6971856971153847,0.8852083333333333,29,0.998448275862069,0.9961535714285712,1.0,29,0.0,0.0,0.0,29,0.21189655172413793,0.11347826086956524,0.3034628378378378,29,0.899146472953758,0.8710037526709137,0.9236090868821087,29,0.7218727076258621,0.638382747123387,0.8092243602975999,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,4,29,11,200,P1 user-verified reference sensitivity,0.85,0.7824982142857143,0.9244999999999999,29,0.9982758620689656,0.9973611111111111,0.9994827586206896,29,0.02206896551724138,0.008905815972222222,0.036429147465437746,29,0.1279310344827586,0.05454431818181817,0.1990909090909091,29,0.9018623495465194,0.8745331475197439,0.9253396960101049,29,0.7766956368758621,0.7144018280449707,0.8451009040208853,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,5,29,11,200,P1 user-verified reference sensitivity,0.8537931034482759,0.7967240032327586,0.9163461538461538,29,0.996551724137931,0.9943548387096776,0.9990476190476191,29,0.0693103448275862,0.030713669950738917,0.11420026315789471,29,0.07689655172413794,0.025356547619047622,0.12734374999999998,29,0.9048284285645102,0.8783137719319304,0.9271680827990602,29,0.7811340697758621,0.7249261246831586,0.84394705352525,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,6,29,11,200,P1 user-verified reference sensitivity,0.8275862068965517,0.7569354838709678,0.9000124999999989,29,0.9946551724137931,0.99171875,0.9988235294117648,29,0.12948275862068967,0.0648,0.20322689205955327,29,0.042931034482758625,0.013000000000000003,0.07185714285714284,29,0.9059364327265604,0.8806150173986038,0.9283113275429283,29,0.7588065717603448,0.6914880118166666,0.8318102439695682,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,7,29,11,200,P1 user-verified reference sensitivity,0.7851724137931034,0.6986517857142857,0.873,29,0.9912068965517241,0.9856944444444444,1.0,29,0.18758620689655173,0.1053846153846154,0.27736899313501134,29,0.02724137931034483,0.009166666666666667,0.04222222222222222,29,0.9071729647908436,0.882028911438895,0.9292972762499395,29,0.7242853804620689,0.6432422755343469,0.8091654161649688,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,8,29,11,200,P1 user-verified reference sensitivity,0.7429310344827587,0.6428507142857144,0.8482260436432638,29,0.988103448275862,0.9804761904761906,1.0,29,0.23689655172413793,0.1387486413043478,0.3356,29,0.020172413793103448,0.006428571428571429,0.030000000000000002,29,0.9088772809526793,0.8832557177049487,0.9311047700475692,29,0.689059993237931,0.5944435779223883,0.7893572028422061,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,9,29,11,200,P1 user-verified reference sensitivity,0.7010344827586207,0.5930256578947369,0.8176923076923076,29,0.9824137931034482,0.9709459459459459,1.0,29,0.278448275862069,0.16975,0.38652173913043475,29,0.020517241379310346,0.005,0.03125,29,0.9102385125924201,0.8837761640753924,0.93248984011497,29,0.6539096023344828,0.551122775088191,0.7680074567525624,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,10,29,11,200,P1 user-verified reference sensitivity,0.6643103448275862,0.5455263157894737,0.7922243589743588,29,0.9767241379310345,0.9620833333333335,1.0,29,0.3112068965517241,0.19171744791666667,0.4244121848739495,29,0.024482758620689656,0.002,0.03866666666666667,29,0.9141722872548662,0.8850519425685772,0.9369454605070094,29,0.622828454937931,0.514832243259351,0.747581758443482,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,11,29,11,200,P1 user-verified reference sensitivity,0.6348275862068965,0.5154387677484786,0.7670372474747474,29,0.9687931034482758,0.9492181199596774,1.0,29,0.3339655172413793,0.207584051724138,0.45131654858299586,29,0.031206896551724136,0.0,0.05083423913043471,29,0.914364636083004,0.8852605868249915,0.9391628433794079,27,0.5972117150620689,0.48304341862307687,0.7275105303659791,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,12,29,11,200,P1 user-verified reference sensitivity,0.6127586206896551,0.48833333333333334,0.7531818181818182,29,0.9625862068965517,0.9395,1.0,29,0.3498275862068965,0.21777777777777776,0.4746163793103448,29,0.03741379310344827,0.0,0.05988109756097535,29,0.9212745158236071,0.8889242890488148,0.9489669333292603,25,0.5775945582482759,0.45951596653890414,0.7147239583435712,29
P1_sensitivity_29,task_equal; pooled rows are image-equal,13,29,11,200,P1 user-verified reference sensitivity,0.5905172413793104,0.4583995588235294,0.7402083333333334,29,0.9548275862068966,0.9270967741935484,1.0,29,0.36431034482758623,0.2259973214285714,0.4998810975609753,29,0.04517241379310345,0.0,0.07292718794835006,29,0.9299349363407576,0.8900992361908228,0.9637980560658392,22,0.5571289797155172,0.431554963334158,0.7028989000413081,29
P1_excluding_revision_28,task_equal; pooled rows are image-equal,3,28,11,200,P1 user-verified reference sensitivity,0.78375,0.6921660714285714,0.8829556818181816,28,0.9983928571428572,0.996086956521739,1.0,28,0.0,0.0,0.0,28,0.21625,0.11474732142857143,0.3077285353535352,28,0.8981144475647439,0.8695406473512866,0.9226313306291655,28,0.7174924722803572,0.6364443010654013,0.8079186661339672,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,4,28,11,200,P1 user-verified reference sensitivity,0.8471428571428571,0.7806446572580645,0.9232015217391303,28,0.9982142857142857,0.9972727272727272,0.9994642857142857,28,0.020714285714285716,0.009000000000000001,0.035,28,0.13214285714285715,0.05586865942028984,0.1998001923076923,28,0.9007017369151163,0.87380190587949,0.9250216802492472,28,0.7734006832642857,0.7128578202483413,0.8449004811492188,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,5,28,11,200,P1 user-verified reference sensitivity,0.8526785714285714,0.7952487500000001,0.9166681034482757,28,0.9964285714285714,0.9942187499999999,0.9990000000000001,28,0.06767857142857144,0.030555059523809523,0.11600000000000002,28,0.07964285714285714,0.026362154150197634,0.12875,28,0.9035512970301918,0.8773563787543733,0.9268393846418863,28,0.7793024123142858,0.7240477789361932,0.8449873850720147,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,6,28,11,200,P1 user-verified reference sensitivity,0.8275,0.7562893145161291,0.9008333333333334,28,0.9944642857142857,0.9912903225806452,0.998695652173913,28,0.12803571428571428,0.06333333333333334,0.2047374686716791,28,0.04446428571428571,0.013333333333333334,0.07283832046332041,28,0.904660734052423,0.8799141561239536,0.927790699153904,28,0.7579934323107143,0.6868585627580591,0.831968607444625,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,7,28,11,200,P1 user-verified reference sensitivity,0.78375,0.6940740740740742,0.8720874999999996,28,0.9908928571428571,0.9850000000000001,1.0,28,0.18803571428571428,0.10541625,0.28117647058823525,28,0.028214285714285716,0.008684210526315789,0.042833445945945944,28,0.9059241900312093,0.8804482911780264,0.9287910306116329,28,0.722393272875,0.6363774292454348,0.8118059279214402,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,8,28,11,200,P1 user-verified reference sensitivity,0.74125,0.635,0.8465944055944052,28,0.9876785714285714,0.9795830357142857,1.0,28,0.23785714285714285,0.13645833333333335,0.34134765624999985,28,0.020892857142857144,0.006750000000000001,0.0309375,28,0.907614427080736,0.8823120600803271,0.9309101453792927,28,0.6870283008678572,0.5876074990940001,0.7895141685154249,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,9,28,11,200,P1 user-verified reference sensitivity,0.7001785714285714,0.5889285714285714,0.8203869047619045,28,0.9817857142857143,0.9696551724137932,1.0,28,0.2785714285714286,0.16354008152173913,0.3896157407407407,28,0.02125,0.005357142857142858,0.03264705882352942,28,0.9089441700938734,0.8820500915044969,0.9319704687565659,28,0.6527564426196428,0.5475928377200651,0.7679844677915834,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,10,28,11,200,P1 user-verified reference sensitivity,0.6641071428571429,0.5423988235294117,0.7949999999999999,28,0.9758928571428571,0.9600000000000001,1.0,28,0.3105357142857143,0.1870663485221675,0.4275020161290321,28,0.025357142857142856,0.002,0.04133333333333334,28,0.9130188998140751,0.8843563861527175,0.9365443030765107,28,0.6224247218696428,0.5104034393088338,0.7475646852696873,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,11,28,11,200,P1 user-verified reference sensitivity,0.6360714285714286,0.515624375,0.77375,28,0.9676785714285714,0.9456944444444445,1.0,28,0.3316071428571429,0.206,0.4523809523809524,28,0.03232142857142857,0.0,0.054285714285714284,28,0.9130906437208118,0.884393999439276,0.9389877283258614,26,0.598237381225,0.48168494415758056,0.7303949131505303,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,12,28,11,200,P1 user-verified reference sensitivity,0.6166071428571429,0.48656714285714286,0.7580555555555555,28,0.96125,0.9355882352941176,1.0,28,0.34464285714285714,0.21024943181818181,0.47114295454545396,28,0.03875,0.0,0.06453125,28,0.9201046912188976,0.8883719380367058,0.9487554933166668,24,0.5811007244464286,0.45866503657069535,0.7206332766869565,28
P1_excluding_revision_28,task_equal; pooled rows are image-equal,13,28,11,200,P1 user-verified reference sensitivity,0.5971428571428572,0.45913043478260873,0.7460744047619046,28,0.9532142857142857,0.9225925925925926,1.0,28,0.3560714285714286,0.21428571428571427,0.49565560640732237,28,0.046785714285714285,0.0,0.07795121951219491,28,0.9290635360195356,0.889813443025642,0.9638671929732887,21,0.5633109108142857,0.43225483621452876,0.7101329112668604,28
pooled_image_equal_41,task_equal; pooled rows are image-equal,3,41,11,200,mixed reference regimes; sensitivity only,0.7668292682926829,0.7264423076923077,0.8408928571428572,41,0.9882926829268293,0.9705714285714285,0.9975,41,0.0,0.0,0.0,41,0.23317073170731709,0.16,0.27441998164014675,41,0.906480219436917,0.8835942605330832,0.9208216430369942,41,0.7072036562376871,0.6727302404823045,0.7656208276585929,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,4,41,11,200,mixed reference regimes; sensitivity only,0.8273170731707317,0.7936202459432049,0.8896669354838709,41,0.9845121951219512,0.964516129032258,0.997903319579895,41,0.032926829268292684,0.017083333333333336,0.045967802118440045,41,0.13975609756097562,0.08770793269230769,0.1715564393939393,41,0.909140874991442,0.8876477174026419,0.9230209476101457,41,0.7609295293411725,0.7328203318684771,0.8112921449726394,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,5,41,11,200,mixed reference regimes; sensitivity only,0.8184146341463414,0.7767391304347826,0.8830954433497538,41,0.9841463414634146,0.96875,0.9954169642857141,41,0.09841463414634147,0.052500000000000005,0.13666666666666666,41,0.08317073170731708,0.04781204044117647,0.10836624999999993,41,0.912170412744673,0.890167898056871,0.9262706761093842,41,0.7539388673331232,0.7164457735464026,0.8103378740501905,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,6,41,11,200,mixed reference regimes; sensitivity only,0.7728048780487805,0.7115737847222223,0.8584800140252453,41,0.9804878048780488,0.9610810810810811,0.9945243506493506,41,0.17548780487804877,0.101040625,0.23677938596491216,41,0.05170731707317073,0.0288,0.07194444444444444,41,0.9132310099623658,0.8928907987591851,0.9271880235966459,41,0.714292001454684,0.6596788238646835,0.7922991999145801,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,7,41,11,200,mixed reference regimes; sensitivity only,0.7147560975609756,0.6393164772727272,0.8190302083333331,41,0.9758536585365853,0.9578571428571429,0.9921428571428572,41,0.24621951219512195,0.15179964285714284,0.31855555555555554,41,0.03902439024390244,0.01925925925925926,0.05571461038961036,41,0.9144105034182551,0.8937280379142435,0.9286030360852708,41,0.6650228328844356,0.5958798755906092,0.7598940651509366,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,8,41,11,200,mixed reference regimes; sensitivity only,0.6653658536585366,0.5829403743315509,0.7795892857142852,41,0.9707317073170731,0.9527777777777778,0.9897058823529411,41,0.2992682926829268,0.19256249999999997,0.3756746926229507,41,0.03536585365853659,0.01660714285714286,0.051875000000000004,41,0.9165772963144223,0.8946039221370461,0.9308767649279586,41,0.6227824073643726,0.548011021446795,0.7295660672536306,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,9,41,11,200,mixed reference regimes; sensitivity only,0.6220731707317073,0.5382925087108016,0.7465909090909091,41,0.9641463414634146,0.9475,0.9860869565217392,41,0.34,0.2272700757575757,0.4167582923832923,41,0.03792682926829268,0.017082720588235293,0.053999999999999986,41,0.9186659975753257,0.8952353767625779,0.9329092362588094,41,0.5853505442973754,0.5092084056070902,0.7014230797772774,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,10,41,11,200,mixed reference regimes; sensitivity only,0.5876829268292683,0.5088775510204081,0.715,41,0.9595121951219512,0.9427777777777777,0.9835,41,0.37097560975609756,0.25699924242424244,0.4433345588235294,41,0.04134146341463415,0.01738095238095238,0.05736842105263159,41,0.9211944891223687,0.8955672189942873,0.9366051997179015,40,0.5554628753168678,0.48148403558574954,0.6736239906726597,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,11,41,11,200,mixed reference regimes; sensitivity only,0.56,0.48266124742621824,0.6872110801217034,41,0.9512195121951219,0.9325000000000001,0.9794444444444445,41,0.39121951219512197,0.2816065984320557,0.4603132102272727,41,0.04878048780487805,0.021,0.06722222222222222,41,0.9263426677455732,0.9012381763338311,0.9435827825324479,37,0.5309271383607517,0.4585085974232316,0.6484227431561673,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,12,41,11,200,mixed reference regimes; sensitivity only,0.5391463414634147,0.4634205263157895,0.6670319393382352,41,0.9439024390243902,0.9220588235294119,0.9760294117647059,41,0.4047560975609756,0.2923797619047619,0.4738892276422765,41,0.05609756097560976,0.023399999999999997,0.07810156436589441,41,0.9334497780732685,0.9048502741031184,0.9535058170355023,33,0.5120679020389262,0.4408738075707538,0.6328825746006222,41
pooled_image_equal_41,task_equal; pooled rows are image-equal,13,41,11,200,mixed reference regimes; sensitivity only,0.5187804878048781,0.44487276785714286,0.651,41,0.9345121951219513,0.9061764705882354,0.9740625,41,0.41573170731707315,0.30366666666666664,0.4855397058823529,41,0.06548780487804878,0.02586206896551724,0.0941688432835819,41,0.9399685594500022,0.9076960402706284,0.9641459782755798,29,0.49316285028699464,0.42292289639410274,0.6164127088196918,41
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,3,40,11,200,mixed reference regimes; sensitivity only,0.76325,0.719827179570592,0.840625504032258,40,0.988,0.9704346273291925,0.9975581395348838,40,0.0,0.0,0.0,40,0.23675,0.16087952488687784,0.28017256773399013,40,0.9059411453266861,0.8825730804236713,0.9209085331002932,40,0.7037707652111294,0.6668118407076062,0.7661077785186466,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,4,40,11,200,mixed reference regimes; sensitivity only,0.82475,0.7890826650943398,0.8891071428571429,40,0.984125,0.9642647058823528,0.9979166666666667,40,0.03225,0.017446535733769777,0.04539486842105262,40,0.143,0.08956418219461695,0.1742687282229965,40,0.9085104092855829,0.8871505404886262,0.9229175928211625,40,0.7582289091247018,0.7280601610598837,0.8105971987665186,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,5,40,11,200,mixed reference regimes; sensitivity only,0.81675,0.7727272727272727,0.8846,40,0.98375,0.9684370888157895,0.9955885294117647,40,0.098,0.05216208538083538,0.13838332043343646,40,0.08525,0.048846153846153845,0.10940011904761904,40,0.9114599702751542,0.8897446182749316,0.9264139425407951,40,0.7519768270489513,0.7110405712824219,0.812989439689735,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,6,40,11,200,mixed reference regimes; sensitivity only,0.771375,0.7063326086956522,0.8591666666666665,40,0.98,0.9602777777777778,0.9942307692307693,40,0.175625,0.10094502457002458,0.2405558712121212,40,0.053,0.029318181818181823,0.07207317073170733,40,0.9125203853213647,0.8923540155394495,0.927091170849319,40,0.712609939582301,0.6537604414407293,0.7926676595216672,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,7,40,11,200,mixed reference regimes; sensitivity only,0.712,0.6303168767507003,0.8164523596176823,40,0.97525,0.9567241379310344,0.9919117647058824,40,0.248,0.15129513888888887,0.32805270127118624,40,0.04,0.019516129032258068,0.05613636363636363,40,0.9137172995521964,0.8924955632827729,0.9285954117724404,40,0.6622167938840465,0.5880117397643938,0.7591016105278667,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,8,40,11,200,mixed reference regimes; sensitivity only,0.66225,0.5733657104351174,0.7799999999999999,40,0.97,0.9514999999999999,0.9895,40,0.3015,0.19282543478260872,0.38544307809330614,40,0.03625,0.016956521739130436,0.053000000000000005,40,0.9158857989881056,0.8944518710010211,0.9308725915650355,40,0.619703283058482,0.5384292435804243,0.7256787327089114,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,9,40,11,200,mixed reference regimes; sensitivity only,0.6195,0.529785257475083,0.7446792338709676,40,0.96325,0.9455813953488373,0.9858823529411763,40,0.341625,0.2257352941176471,0.42333333333333334,40,0.038875,0.016904761904761905,0.05564102564102564,40,0.9179706449509158,0.8952867219256683,0.9325204379165113,40,0.5828293560460599,0.4996673652085847,0.6991176531370256,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,10,40,11,200,mixed reference regimes; sensitivity only,0.585625,0.5004217562828756,0.7156049999999996,40,0.9585,0.9407272727272727,0.9834210526315789,40,0.372,0.25731696428571427,0.4498117273910215,40,0.042375,0.017029711174242422,0.05969704545454545,40,0.9205464725460957,0.8953601013106222,0.9363477716196917,39,0.5534961226785395,0.4730172203040888,0.6723065495292345,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,11,40,11,200,mixed reference regimes; sensitivity only,0.559,0.47788731884057967,0.6885185185185185,40,0.95,0.9289551804928844,0.9793999999999999,40,0.391,0.28105564263322885,0.463151175213675,40,0.05,0.020925925925925928,0.07116071428571429,40,0.9257552852523947,0.9002191463456966,0.9438066877622185,36,0.5299879902572705,0.45142005132366847,0.6494169502828528,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,12,40,11,200,mixed reference regimes; sensitivity only,0.54,0.46333238636363633,0.6670321928879309,40,0.9425,0.9174509803921569,0.9762962962962963,40,0.4025,0.2936455965909091,0.4731270636792451,40,0.057499999999999996,0.022600000000000002,0.082125,40,0.9329528865650383,0.9034046031879994,0.9539195324449494,32,0.5128840519723993,0.4388466909762894,0.6335807331987842,40
pooled_excluding_revision_40,task_equal; pooled rows are image-equal,13,40,11,200,mixed reference regimes; sensitivity only,0.521625,0.44583173076923077,0.6475000000000001,40,0.932875,0.9005932203389831,0.9743589743589743,40,0.41125,0.3031666666666667,0.4846252286585365,40,0.067125,0.0256,0.099,40,0.9396733528915587,0.9066251194559241,0.9645946940769867,28,0.4958910488204195,0.4245971209088457,0.6180939296253437,40
