base_task_id,building_id,stage,k_from,k_to,replicates,material_output_change_rate,mean_output_distance_when_both_resolved,delivery_adjusted_quality_gain,resolved_pair_quality_gain,resolved_pair_replicates
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,8,9,200,0.035,0.0016353795094326037,-0.031691768599999996,0.0008202351898734197,158
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,9,10,200,0.04,0.0020604661983222496,-0.03607180785,0.0006216588666666685,150
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,10,11,200,0.11,0.0015967842827292501,-0.10018836135,9.596484374999742e-05,128
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,11,12,200,0.09,0.0014070499737248762,-0.0829075934,5.362272727273763e-06,110
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,12,13,200,0.115,0.002211634553615312,-0.10582375775,-0.0020680559770114982,87
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,3,4,200,0.0,0.004476853149396522,0.015322177150000001,0.015322177150000001,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,4,5,200,0.0,0.004871547954130091,0.0034255429500000007,0.0034255429500000007,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,5,6,200,0.0,0.0036017410830526957,0.0056028494,0.0056028494,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,6,7,200,0.0,0.003242861685062481,0.004002064250000003,0.004002064250000003,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,7,8,200,0.0,0.0035384050343808026,0.004861270600000002,0.004861270600000002,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,8,9,200,0.0,0.0032982502062821758,-0.0023331770500000025,-0.0023331770500000025,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,9,10,200,0.0,0.003422367277015035,0.003939940950000003,0.003939940950000003,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,10,11,200,0.0,0.0033538842089458703,0.0038656557500000026,0.0038656557500000026,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,11,12,200,0.0,0.002427266706074008,0.003530537150000001,0.003530537150000001,200
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,12,13,200,0.0,0.0025520405571096074,-0.006013030449999997,-0.006013030449999997,200
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,3,4,200,0.05,0.006517981806053946,-0.0293808857,0.003984365999999996,190
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,4,5,200,0.035,0.004054671379700122,-0.0240545434,0.0014267894535519119,183
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,5,6,200,0.03,0.003200871564255357,-0.010611549500000001,0.008911985988700563,177
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,6,7,200,0.04,0.0027824572707826254,-0.034117488700000004,-0.004915238875739647,169
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,7,8,200,0.04,0.0017437544214612458,-0.032361906999999995,-0.0033970440372670797,161
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,8,9,200,0.065,0.0013382873903121733,-0.0491789266,-0.0005082272297297285,148
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,9,10,200,0.08,0.0011747859872019125,-0.060546052399999994,-0.002726835075757575,132
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,10,11,200,0.065,0.0010488070833154543,-0.050445311199999995,-0.001972130924369745,119
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,11,12,200,0.09,0.0012471320758092842,-0.0692458262,-0.009579093366336631,101
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,12,13,200,0.05,0.0012442676648668006,-0.03111585385,0.012019900219780222,91
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,3,4,200,0.345,0.000550439821738202,0.2282642459,0.0003786286111111105,72
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,4,5,200,0.355,0.0008933151918236894,0.0006340410999999991,0.00040257282828282673,99
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,5,6,200,0.275,0.0008729319948213507,-0.0983717115,0.0002991198958333339,96
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,6,7,200,0.32,0.0006882518903592109,-0.20744547065,3.986181818185017e-06,55
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,7,8,200,0.17,0.00044738812609973873,-0.13753623035,0.00013808500000000206,28
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,8,9,200,0.075,0.0028791700985225143,-0.0613454919,0.0007151469230769225,13
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,9,10,200,0.04,0.0,-0.0322771409,0.0,5
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,10,11,200,0.02,0.0,-0.0163229028,0.0,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,11,12,200,0.005,,-0.00408081705,,0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,12,13,200,0.0,,0.0,,0
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,3,4,200,0.22,0.005884727457737845,0.12677069089999998,-0.0026837919999999973,145
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,4,5,200,0.075,0.006322220013773287,0.005202452549999999,-0.0013279821839080447,174
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,5,6,200,0.055,0.004827880441822632,-0.04057199205,-0.00010461011627906952,172
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,6,7,200,0.02,0.003166990313555109,-0.00045723820000000083,0.0004284519883040918,171
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,7,8,200,0.04,0.0032857085663858553,-0.03504405525,0.0003637798787878796,165
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,8,9,200,0.075,0.003298082965040854,-0.0679610852,-0.00026303753333333234,150
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,9,10,200,0.06,0.0035073159981020064,-0.05487020225,-0.0010649431884057984,138
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,10,11,200,0.055,0.003213833627683591,-0.0488369348,0.0008587709448818892,127
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,11,12,200,0.055,0.00237172059934394,-0.049496328799999996,0.000163552672413793,116
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,12,13,200,0.11,0.0026088063699415257,-0.09944525985,-0.00016239425531914596,94
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,3,4,200,0.0,0.0028573114303724833,0.004032261038909679,0.004032261038909679,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,4,5,200,0.0,0.0022022978906486974,-0.000157690051964392,-0.000157690051964392,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,5,6,200,0.0,0.0021595736754242674,0.00039571355031080003,0.00039571355031080003,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,6,7,200,0.0,0.002024305592275754,0.0007514559253491659,0.0007514559253491659,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,7,8,200,0.0,0.0019099927318505189,0.0005490454992832739,0.0005490454992832739,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,8,9,200,0.0,0.0015956298859098744,-0.0005538899566674866,-0.0005538899566674866,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,9,10,200,0.0,0.0014316676369429853,0.0005675886180481032,0.0005675886180481032,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,10,11,200,0.0,0.0012709464413588856,0.0002875489676922971,0.0002875489676922971,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,11,12,200,0.0,0.001375169909106364,0.0004811265138856885,0.0004811265138856885,200
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,12,13,200,0.0,0.001064385052543393,-0.000167844055050132,-0.000167844055050132,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,3,4,200,0.0,0.0029584659332751676,0.0028761380500000057,0.0028761380500000057,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,4,5,200,0.0,0.002645109041549291,0.0020453336999999984,0.0020453336999999984,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,5,6,200,0.0,0.0017449040265971655,0.0012672828499999999,0.0012672828499999999,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,6,7,200,0.0,0.0019869110873452613,-0.0003563808500000021,-0.0003563808500000021,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,7,8,200,0.0,0.0017088793684942366,0.0010299636999999973,0.0010299636999999973,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,8,9,200,0.0,0.0015951309308956047,0.0002837388000000002,0.0002837388000000002,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,9,10,200,0.0,0.0018153654840355133,0.0001603813500000012,0.0001603813500000012,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,10,11,200,0.0,0.0013614247637600092,0.00024794850000000256,0.00024794850000000256,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,11,12,200,0.0,0.0013347103418222467,0.0002681210000000034,0.0002681210000000034,200
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,12,13,200,0.0,0.0014185136425650586,-0.00023577810000000087,-0.00023577810000000087,200
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,3,4,200,0.445,0.0033828346880847523,0.14396678255,0.006909460978260862,92
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,4,5,200,0.405,0.003662606972473468,-0.20738387390000002,0.005234784318181809,88
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,5,6,200,0.295,0.004216292409794153,-0.21176963035,0.011098711874999986,48
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,6,7,200,0.15,0.0021142662031719602,-0.1260875037,-0.0006721454545454545,22
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,7,8,200,0.065,0.001003689236111111,-0.0557133701,0.002995472222222221,9
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,8,9,200,0.035,0.0,-0.0301812998,0.0,2
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,9,10,200,0.005,0.009234755940830452,-0.004517418299999999,-0.01813871999999994,1
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,10,11,200,0.005,,-0.0042492731,,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,11,12,200,0.0,,0.0,,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,12,13,200,0.0,,0.0,,0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,3,4,200,0.0,0.0027565036002002454,-0.00030270435000000206,-0.00030270435000000206,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,4,5,200,0.0,0.0026077717250033083,0.0017764836499999993,0.0017764836499999993,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,5,6,200,0.0,0.0020897316967499685,0.0007257505000000014,0.0007257505000000014,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,6,7,200,0.0,0.0019324062939879755,0.00045237144999999866,0.00045237144999999866,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,7,8,200,0.0,0.001593980066595147,-4.0440449999998296e-05,-4.0440449999998296e-05,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,8,9,200,0.0,0.0013099167146766284,0.00017414420000000098,0.00017414420000000098,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,9,10,200,0.0,0.0014947330431262762,0.00019733270000000136,0.00019733270000000136,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,10,11,200,0.0,0.0015845306477141896,-0.0005733982499999996,-0.0005733982499999996,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,11,12,200,0.0,0.0014025226802127548,9.88186000000002e-05,9.88186000000002e-05,200
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,12,13,200,0.0,0.001514792546606803,-0.0005001983499999979,-0.0005001983499999979,200
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,3,4,200,0.235,0.0019028206504317058,0.14181485755,5.463865384615459e-05,52
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,4,5,200,0.245,0.0011697424776858415,0.09522689615,-0.0002671812195121928,82
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,5,6,200,0.295,0.0004959429433581865,0.002961804350000001,-0.00012135288888888768,90
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,6,7,200,0.275,0.002067855396433985,-0.10302915035,0.00016957063291139,79
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,7,8,200,0.175,0.001283987429684208,-0.07959488525,3.1243846153846594e-05,65
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,8,9,200,0.18,0.0,-0.10745191845,0.0,40
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,9,10,200,0.115,0.0028688488796772132,-0.06498406315000001,0.0015260179166666683,24
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,10,11,200,0.11,0.0069141729905592975,-0.0758192473,0.004482216666666668,6
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,11,12,200,0.025,0.0,-0.0198321476,0.0,2
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,12,13,200,0.01,,-0.0080151248,,0
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,3,4,200,0.0,0.004286492628565928,0.003955165849999998,0.003955165849999998,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,4,5,200,0.0,0.0034190265534996987,0.0021099526999999994,0.0021099526999999994,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,5,6,200,0.0,0.0025929998285169416,0.0009557440499999975,0.0009557440499999975,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,6,7,200,0.0,0.00218952443715617,0.0004482520499999948,0.0004482520499999948,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,7,8,200,0.0,0.0022134004620564625,0.00021333410000000052,0.00021333410000000052,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,8,9,200,0.0,0.001822213562165752,0.00022678614999999624,0.00022678614999999624,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,9,10,200,0.0,0.0021799253668957456,-8.659735000000279e-05,-8.659735000000279e-05,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,10,11,200,0.0,0.0015142232665243938,0.0005369967499999978,0.0005369967499999978,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,11,12,200,0.0,0.0013333283518844302,-2.731950000000205e-05,-2.731950000000205e-05,200
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,12,13,200,0.0,0.0014590680123680866,-0.0004311025500000021,-0.0004311025500000021,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,3,4,200,0.025,0.004290769813755434,0.023483791850000005,0.0005972504123711377,194
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,4,5,200,0.005,0.004426339231255056,0.007149050550000001,0.002255560452261307,199
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,5,6,200,0.0,0.003776709588357377,0.00037010469999999797,0.00037010469999999797,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,6,7,200,0.0,0.002885187769316529,0.0001350672499999994,0.0001350672499999994,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,7,8,200,0.0,0.0034287938024010556,0.002324720399999996,0.002324720399999996,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,8,9,200,0.0,0.00268551524434895,-0.00010217835000000064,-0.00010217835000000064,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,9,10,200,0.0,0.0026918734839386886,-0.0006132617500000031,-0.0006132617500000031,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,10,11,200,0.0,0.0023816057846224054,0.0012793101499999986,0.0012793101499999986,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,11,12,200,0.0,0.0017270915218032111,0.0006197083999999986,0.0006197083999999986,200
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,12,13,200,0.0,0.0016832407547078259,-0.0016754361500000037,-0.0016754361500000037,200
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,3,4,200,0.045,0.003872474914735662,-0.0424259435471196,0.0010614666810001225,191
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,4,5,200,0.015,0.0027754172822653665,-0.014969962489457174,-0.0002527408005244193,188
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,5,6,200,0.025,0.0019975222483070575,-0.024785847126291335,-0.0003235252987141217,183
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,6,7,200,0.01,0.0021271069555822415,-0.009264605177732697,0.0006170590853969718,181
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,7,8,200,0.035,0.0016754564925060365,-0.03463156140837664,-0.00015550191849940465,174
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,8,9,200,0.035,0.002049994995675062,-0.03393580947818393,0.0005201915810584301,167
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,9,10,200,0.03,0.0017671371664171594,-0.029984674203915762,-0.0005241810411177287,161
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,10,11,200,0.03,0.001691428006770319,-0.029169604865261135,0.0002788657076562284,155
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,11,12,200,0.05,0.001980063994080867,-0.0494431994135238,-0.0005690948997526864,145
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,12,13,200,0.04,0.0019480698437846933,-0.03913557837831873,0.00041687917935811695,137
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,3,4,200,0.25,0.0006378582750842243,0.1659513615,0.0004031679245282997,53
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,4,5,200,0.315,0.0020197707796317656,0.10219919605,0.0017428953246753202,77
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,5,6,200,0.32,0.002037594428236543,-0.00842465365,3.548022988505313e-05,87
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,6,7,200,0.27,0.0028171611282814674,-0.1043003767,0.002672909113924045,79
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,7,8,200,0.255,0.0025828472487601276,-0.17815879465,-0.00033052750000000614,48
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,8,9,200,0.155,0.002311377060116762,-0.11887181720000001,0.0010800016666666634,24
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,9,10,200,0.08,0.003421630500235806,-0.0613588554,0.0023237209090909024,11
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,10,11,200,0.05,0.0,-0.04428918045,0.0,2
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,11,12,200,0.0,0.0,0.0,0.0,2
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,12,13,200,0.01,,-0.008691384199999999,,0
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,3,4,200,0.05,0.004594859548922183,0.04958936085000001,0.002468908526315797,190
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,4,5,200,0.0,0.004859098934086458,0.0046615491999999975,0.0046615491999999975,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,5,6,200,0.0,0.003279088406484056,0.0008028890999999983,0.0008028890999999983,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,6,7,200,0.0,0.002302933433854226,0.0007059048499999987,0.0007059048499999987,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,7,8,200,0.0,0.002450375093401042,-0.00032525044999999865,-0.00032525044999999865,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,8,9,200,0.0,0.002421817549276466,0.0008371047999999959,0.0008371047999999959,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,9,10,200,0.0,0.0017971871438166114,0.00018703924999999955,0.00018703924999999955,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,10,11,200,0.0,0.0014269515811088295,-0.0009200810999999936,-0.0009200810999999936,200
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,11,12,200,0.0,0.001465590533511646,0.00029813499999999717,0.00029813499999999717,200
