image_id,condition,cut,n,mean_abs_seen_count_difference,mean_abs_supported_count_difference,max_abs_supported_count_difference
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,0,5.55111512313e-17,2.77555756157e-16
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.1,5,0.02,0.008,0.03
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.2,5,0.03,0.006,0.03
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.05,4,0.00833333333325,0.00833333333325,0.023333333333
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.1,4,0.0191666666667,0.0191666666668,0.046666666667
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.2,4,0.00416666666675,0.00416666666675,0.016666666667
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.05,5,0.084,0.084,0.19
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.1,5,0.008,0.002,0.01
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.2,5,0.04,0.028,0.13
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.05,5,0.138,0.096,0.25
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.1,5,0.018,0.004,0.02
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.2,5,0.168,0.062,0.31
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.05,5,0.03,0.022,0.08
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.1,5,0.032,0.014,0.07
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.2,5,0.026,0.006,0.03
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,0.0665463223808,0.0374487065819,0.099881422926
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.1,24,0.038952749691,0.0683742706569,0.17304347826
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.2,24,0.341979166667,0.100695816864,0.174071146245
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,0.05,24,0.222366002292,0.222176125426,0.50834259562
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,0.1,24,0.125043896321,0.168034188034,0.420434782609
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,0.2,24,0.0511336645439,0.0106526829406,0.048115942029
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.05,5,0,5.55111512313e-17,2.77555756157e-16
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.1,5,0.1,0.1,0.22
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.2,5,0.016,0.002,0.01
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,0.05,4,0.0075,0.005,0.02
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,0.1,4,0.0275,0.005,0.02
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,0.2,4,0.03,0.01,0.04
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.05,5,0.134,0.072,0.19
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.1,5,0,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.2,5,0,0,0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,0.05,4,0.113333333333,0.113333333333,0.26
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,0.1,4,0.005,0.0025,0.01
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,0.2,4,0.02,0.005,0.02
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,0.05,24,0.126410455486,0.0890993788819,0.201304347826
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,0.1,24,0.0324095771379,0.0554520358868,0.149446640316
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,0.2,24,0.570972222222,0.165011609907,0.41034443817
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.05,23,0.390942970073,0.214659612599,0.443833992093
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.1,23,0.586086956522,0.115363283617,0.312862492198
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.2,23,0.655859213251,0.124718456878,0.310688876341
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.05,6,0.0338888888887,0.0338888888888,0.07
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.1,6,0.0255555555553,0.0255555555554,0.0766666666666
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.2,6,0.0516666666667,0.0566666666666,0.13
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.05,4,0.0391666666667,0.0391666666668,0.09
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.1,4,0.0116666666667,0.0116666666668,0.03
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.2,4,0.0075,0.005,0.02
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,0.05,24,0.0551767676774,0.0408036890644,0.106770186335
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,0.1,24,0.134288302277,0.0944668737059,0.17168989668
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,0.2,24,0.173412698413,0.157341269841,0.283740378613
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,0.05,5,0,5.55111512313e-17,2.77555756157e-16
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,0.1,5,0.022,0.008,0.02
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,0.2,5,0.03,0.026,0.07
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,0.05,6,0.0266666666667,0.0116666666667,0.04
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,0.1,6,0.0716666666667,0.03,0.09
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,0.2,6,0.0183333333333,0.00833333333333,0.04
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,0.05,5,0.008,0.008,0.02
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,0.1,5,0.01,0.022,0.07
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,0.2,5,0.158,0.066,0.27
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,0.05,19,0.127506925207,0.0823013415892,0.206604747162
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,0.1,19,0.320304709141,0.230507681445,0.662373581011
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,0.2,19,0.0836336972462,0.0259871815762,0.078204334365
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,0.05,1,0,0,0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,0.1,1,0,0,0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,0.2,1,0,0,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,0.05,2,0,0,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,0.1,2,0,0,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,0.2,2,0,0,0
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,0.05,3,0.001111111111,0.001111111111,0.003333333333
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,0.1,3,0.008888888889,0.008888888889,0.026666666667
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,0.2,3,0.011111111111,0.011111111111,0.033333333333
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,0.05,1,0,0,0
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,0.1,1,0,0,0
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,0.2,1,0,0,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,0.05,2,0,0,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,0.1,2,0,0,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,0.2,2,0,0,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.05,20,0.391833333333,0.238585139319,0.511052631579
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.1,20,0.116,0.0215,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.2,20,0,0,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,0.05,2,0,0,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,0.1,2,0,0,0
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,0.2,2,0,0,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,0.05,1,0,0,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,0.1,1,0,0,0
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,0.2,1,0,0,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,0.05,3,0.00444444444433,0.00444444444433,0.013333333333
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,0.1,3,0,0,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,0.2,3,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,0.05,4,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,0.1,4,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,0.2,4,0,0,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,0.05,4,0.0191666666667,0.0191666666668,0.046666666667
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,0.1,4,0.00583333333325,0.00583333333325,0.023333333333
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,0.2,4,0.0191666666668,0.0191666666667,0.04
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,0.05,5,0.05,0.028,0.08
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,0.1,5,0.03,0.008,0.04
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,0.2,5,0.054,0.01,0.05
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,0.05,24,0.0906550212953,0.0755501202633,0.168498023716
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,0.1,24,0.0453392883283,0.0354794244745,0.120504009384
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,0.2,24,0.039854404403,0.0333233006467,0.0846583850934
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,0.05,24,0.123098924023,0.0384452955997,0.112141729586
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,0.1,24,0.10323295888,0.0670553359685,0.175797101449
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,0.2,24,0.051728778468,0.023556292741,0.058405797101
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,0.05,6,0.015,0.0150000000001,0.03
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,0.1,6,0.012777777778,0.0127777777779,0.0433333333334
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,0.2,6,0.0166666666667,0.0166666666668,0.06
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,0.05,4,0.0258333333332,0.0258333333332,0.07
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,0.1,4,0.0166666666668,0.0166666666667,0.06
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,0.2,4,0.0166666666667,0.0166666666668,0.05
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,0.05,5,0,5.55111512313e-17,2.77555756157e-16
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,0.1,5,0.014,0.014,0.06
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,0.2,5,0.01,0.01,0.02
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,0.05,23,0.0811801242235,0.0263354037267,0.07
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,0.1,23,0.0227049321189,0.000790513834,0.010039525692
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,0.2,23,0.0257277882798,0.001606805293,0.036956521739
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,0.05,5,0.03,0.03,0.07
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,0.1,5,0.016,0.022,0.07
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,0.2,5,0.018,0.022,0.07
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,0.05,2,0,0,0
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,0.1,2,0,0,0
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,0.2,2,0,0,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,0.05,2,0,0,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,0.1,2,0,0,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,0.2,2,0,0,0
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.05,7,0.0140816326534,0.0165306122449,0.041428571429
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.1,7,0.048095238095,0.023469387755,0.053333333333
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.2,7,0.0233333333336,0.0212244897959,0.048571428572
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,0.05,19,0.463333333333,0.166897506926,0.383622291022
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,0.1,19,0.0334838565016,0.0355523244882,0.133333333334
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,0.2,19,0.032516430395,0.0236294292495,0.0919091847268
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,0.05,5,0,5.55111512313e-17,2.77555756157e-16
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,0.1,5,0.018,0.018,0.07
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,0.2,5,0.02,0.02,0.05
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,0.05,2,0,0,0
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,0.1,2,0,0,0
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,0.2,2,0,0,0
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,0.05,24,0.0585205314009,0.0148004109418,0.0368115942032
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,0.1,24,0.0864311594203,0.0237937605873,0.077246376812
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,0.2,24,0.0261171497583,0.0307434594392,0.114492753624
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,0.05,5,0.026,0.026,0.06
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,0.1,5,0.136,0.08,0.24
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,0.2,5,0.01,0.004,0.02
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,0.05,24,0.296142794404,0.225261779284,0.422318840579
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,0.1,24,0.39844924812,0.449507191893,0.782069303694
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,0.2,24,0,0,0
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,0.05,5,0.048,0.048,0.16
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,0.1,5,0.018,0.014,0.04
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,0.2,5,0.028,0.02,0.06
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,0.05,4,0.00833333333325,0.00833333333325,0.02
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,0.1,4,0.0175,0.0125,0.05
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,0.2,4,0.0125,0.0025,0.01
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,0.05,5,0.022,0.022,0.06
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,0.1,5,0.034,0.016,0.08
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,0.2,5,0,0,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,0.05,4,0,0,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,0.1,4,0,0,0
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,0.2,4,0,0,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,0.05,5,0.01,0.01,0.03
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,0.1,5,0.184,0.062,0.31
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,0.2,5,0,0,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,0.05,5,0.026,0.024,0.1
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,0.1,5,0,0,0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,0.2,5,0,0,0
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,0.05,5,0.028,0.012,0.06
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,0.1,5,0.138,0.05,0.25
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,0.2,5,0,0,0
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,0.05,24,0.0589544513456,0.0438541470605,0.099031769146
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,0.1,24,0.0657680486382,0.0420920794294,0.09809335592
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,0.2,24,0.0105287345505,0.00918078298509,0.036166007905
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,0.05,24,0.31875,0.206666666667,0.38695652174
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,0.1,24,0.104178743961,0.0928925120773,0.221963109355
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,0.2,24,0.155773809524,0.0942857142856,0.193771583108
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,0.05,24,0.412777777778,0.0856793758694,0.203043478261
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,0.1,24,0.416388888889,0.202461023276,0.37
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,0.2,24,0.0841421460987,0.0295897379592,0.06907773386
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,0.05,5,0.202,0.104,0.33
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,0.1,5,0.03,0.006,0.03
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,0.2,5,0.018,0.004,0.02
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,0.05,6,0.036666666667,0.0366666666666,0.113333333333
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,0.1,6,0.125,0.0683333333335,0.19
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,0.2,6,0.0177777777777,0.026111111111,0.0933333333333
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,0.05,6,0.0266666666667,0.0183333333333,0.1
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,0.1,6,0,0,0
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,0.2,6,0,0,0
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,0.05,24,0.195989838727,0.237492706569,0.498631529999
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,0.1,24,0.0657910628019,0.0852777777777,0.170750988143
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,0.2,24,0.0212944664032,0.0289640974967,0.088300395257
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,0.05,6,0.0883333333333,0.0216666666667,0.09
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,0.1,6,0.021111111111,0.0150000000001,0.0633333333333
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,0.2,6,0.0216666666667,0.023888888889,0.0766666666667
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,0.05,24,0.0528631856321,0.0132377633807,0.0447826086956
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,0.1,24,0.210396825397,0.148698240166,0.277080745342
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,0.2,24,0,0,0
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,0.05,24,0.0963425818286,0.21352124183,0.353913043478
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,0.1,24,0.266850490196,0.305323180656,0.623318077803
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,0.2,24,0.114513888889,0.00347222222221,0.083333333333
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,0.05,6,0.0316666666667,0.0316666666666,0.07
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,0.1,6,0.0416666666667,0.0266666666667,0.13
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,0.2,6,0,0,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,0.05,24,0.245833333333,0.1725,0.361976284584
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,0.1,24,0.119130789067,0.0435868698426,0.118989271598
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,0.2,24,0.0409822694362,0.0421227024199,0.121596061766
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,0.05,24,0.2765625,0.376458333333,0.686956521739
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,0.1,24,0.250682874599,0.215146491403,0.512155924571
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,0.2,24,0.0112439613526,0.0143297101449,0.055217391304
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,0.05,23,0.619565217391,0.135272505942,0.28926259499
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,0.1,23,0.0216854087445,0.0137867826467,0.049486166008
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,0.2,23,0.0521613278772,0.0172554129782,0.045838509317
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,0.05,4,0,0,0
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,0.1,4,0.0783333333332,0.0783333333332,0.23
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,0.2,4,0.01,0.01,0.04
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,0.05,2,0,0,0
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,0.1,2,0,0,0
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,0.2,2,0,0,0
