condition,image_a,image_b,n_a,n_b,point_disagreement_a,point_disagreement_b,modes_a,modes_b,geometry_a,geometry_b,late_novelty_a,late_novelty_b,late_novelty_gap
semi,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,4,4,0,0,1,1,0.000842867407285,0.183514681666,0,0.61,0.61
manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,5,6,0,0,1,1,0.0481958237761,0.262841002007,0,0.563333333333,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,6,5,0,0,1,1,0.262841002007,0.0400614968018,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,6,5,0,0,1,1,0.262841002007,0.0571450026793,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,6,6,0,0,1,1,0.262841002007,0.0410235926583,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,6,5,0,0,1,1,0.262841002007,0.0366647143508,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,6,5,0,0,1,1,0.262841002007,0.0694818849504,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,rPc6DW4iMge_4350d36797324601adba7351d09602d2,6,5,0,0,1,1,0.262841002007,0.0258667891908,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,6,6,0,0,1,1,0.262841002007,0.0618473109561,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,6,6,0,0,1,1,0.262841002007,0.0201068604403,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,6,5,0,0,1,1,0.262841002007,0.0669165717656,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,6,5,0,0,1,1,0.262841002007,0.0198905077281,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,6,5,0,0,1,1,0.262841002007,0.0126505084587,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,6,6,0,0,1,1,0.262841002007,0.0189958136136,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,6,5,0,0,1,1,0.262841002007,0.0439571090047,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,6,6,0,0,1,2,0.262841002007,0.0665414562367,0.563333333333,0,0.563333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,6,6,0,0,1,1,0.262841002007,0.051944120064,0.563333333333,0,0.563333333333
manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,22,23,0.822510822511,0.837944664032,1,5,0.126127869842,0.073254307643,0.73,0.170909090909,0.559090909091
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,6,5,0,0,1,1,0.262841002007,0.0711220350012,0.563333333333,0.02,0.543333333333
semi,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,4,0,0,1,1,0,0.11324321723,0,0.54,0.54
semi,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,5,4,0,0,1,1,0.0764048005976,0.11324321723,0,0.54,0.54
semi,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,4,0,0,1,1,0.11324321723,0.0353760932945,0.54,0,0.54
semi,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,4,0,0,1,1,0.000842867407285,0.11324321723,0,0.54,0.54
semi,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,4,0,0,1,1,0.11324321723,0.048236674243,0.54,0,0.54
semi,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,4,0,0,1,1,0.11324321723,0.0372028502284,0.54,0,0.54
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,6,5,0,0,1,1,0.262841002007,0.0650386102865,0.563333333333,0.025,0.538333333333
manual,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,6,6,0.8,0.8,2,0,0.0467829540047,0.176820810761,0.466666666667,1,0.533333333333
manual,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,6,5,0.8,0.8,2,0,0.0467829540047,0.146360638413,0.466666666667,1,0.533333333333
manual,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,6,5,0.8,0.8,2,0,0.0467829540047,0.185937236499,0.466666666667,1,0.533333333333
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,6,6,0,0,1,2,0.262841002007,0.121583853278,0.563333333333,0.0333333333333,0.53
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,6,5,0,0,1,2,0.262841002007,0.171176560432,0.563333333333,0.055,0.508333333333
manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,22,23,0.822510822511,0.810276679842,1,6,0.126127869842,0.104060511475,0.73,0.227272727273,0.502727272727
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,5,5,0.4,0.4,1,1,0.340566354372,0.0210876417382,0.665,0.165,0.5
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,5,5,0.4,0.4,1,1,0.340566354372,0.0396132353585,0.665,0.17,0.495
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,5,5,0.4,0.4,1,1,0.340566354372,0.0312724166825,0.665,0.175,0.49
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,5,5,0.4,0.4,1,1,0.340566354372,0.0499534341062,0.665,0.175,0.49
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,5,5,0.4,0.4,1,1,0.340566354372,0.0493877253044,0.665,0.18,0.485
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,6,6,0,0,1,2,0.262841002007,0.215419741646,0.563333333333,0.0833333333333,0.48
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,5,5,0.4,0.4,1,1,0.340566354372,0.0290902680518,0.665,0.19,0.475
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,5,5,0.4,0.4,1,1,0.340566354372,0.0548308668382,0.665,0.195,0.47
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,5,5,0.4,0.4,1,1,0.340566354372,0.0358869478805,0.665,0.2,0.465
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,6,6,0,0,1,3,0.262841002007,0.461393843429,0.563333333333,0.103333333333,0.46
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,5,5,0.4,0.4,1,2,0.340566354372,0.0881660508633,0.665,0.205,0.46
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,5,5,0.4,0.4,1,1,0.340566354372,0.0501821771156,0.665,0.21,0.455
manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,5,5,0.4,0.4,1,1,0.0626401137484,0.340566354372,0.22,0.665,0.445
manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,24,23,0.159420289855,0.166007905138,5,2,0.346355599574,0.0212102660422,0.460833333333,0.02,0.440833333333
manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,24,24,0.159420289855,0.159420289855,5,2,0.346355599574,0.0388149909178,0.460833333333,0.0233333333333,0.4375
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,5,5,0.4,0.4,1,1,0.340566354372,0.038521104419,0.665,0.235,0.43
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,6,5,0.6,0.6,1,2,0.29368440964,0.127532649391,0.716666666667,0.295,0.421666666667
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,6,6,0,0,1,1,0.262841002007,0.0771836616959,0.563333333333,0.15,0.413333333333
manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,24,24,0.159420289855,0.163043478261,5,2,0.346355599574,0.0540764384556,0.460833333333,0.0758333333333,0.385
manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,24,24,0.159420289855,0.163043478261,5,4,0.346355599574,0.0884254912035,0.460833333333,0.0816666666667,0.379166666667
manual,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,6,5,0.6,0.6,2,1,0.0088476368924,0.0392821437139,0.0433333333333,0.415,0.371666666667
manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,23,24,0.845849802372,0.833333333333,5,3,0.0503063482819,0.12539681599,0.152727272727,0.523333333333,0.370606060606
manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,5,5,0.6,0.6,2,1,0.0233200922082,0.0392821437139,0.045,0.415,0.37
manual,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,5,5,0.6,0.6,2,1,0.068378949442,0.0392821437139,0.045,0.415,0.37
semi,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,4,4,0,0,1,1,0.126378464749,0.183514681666,0.24,0.61,0.37
manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,5,6,0,0,1,1,0.0910591231823,0.262841002007,0.195,0.563333333333,0.368333333333
manual,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,5,5,0.9,0.9,1,0,0.0572893267935,0.212839083002,0.635,1,0.365
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,6,6,0.6,0.6,1,1,0.29368440964,0.0177253478985,0.716666666667,0.353333333333,0.363333333333
manual,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,5,5,0.6,0.6,2,1,0.0440070008921,0.0392821437139,0.055,0.415,0.36
manual,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,23,24,0.837944664032,0.833333333333,5,3,0.073254307643,0.12539681599,0.170909090909,0.523333333333,0.352424242424
manual,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,5,5,0.9,0.9,1,0,0.0794784990697,0.212839083002,0.65,1,0.35
manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,22,23,0.822510822511,0.826086956522,1,6,0.126127869842,0.123682529476,0.73,0.384545454545,0.345454545455
manual,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,5,5,0.9,0.9,1,0,0.0807933801821,0.212839083002,0.655,1,0.345
semi,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,4,4,0.5,0.5,1,1,0.0428401304102,0.160983992041,0.245,0.59,0.345
semi,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,4,0.5,0.5,1,1,0.160983992041,0,0.59,0.245,0.345
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,6,6,0,0,1,1,0.262841002007,0.111432966106,0.563333333333,0.22,0.343333333333
semi,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,4,0.5,0.5,1,1,0.104944865922,0,0.575,0.245,0.33
semi,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,4,0.5,0.5,1,1,0.0428401304102,0.104944865922,0.245,0.575,0.33
semi,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,4,4,0.5,0.5,1,1,0.056516606274,0.160983992041,0.26,0.59,0.33
semi,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,4,4,0.5,0.5,1,1,0.0696778568214,0.160983992041,0.275,0.59,0.315
semi,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,4,4,0.5,0.5,1,1,0.104944865922,0.056516606274,0.575,0.26,0.315
manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,6,6,0.6,0.6,1,2,0.0177253478985,0.0088476368924,0.353333333333,0.0433333333333,0.31
manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,6,5,0,0,1,1,0.262841002007,0.0464576800103,0.563333333333,0.255,0.308333333333
manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,6,5,0.6,0.6,1,2,0.0177253478985,0.0233200922082,0.353333333333,0.045,0.308333333333
manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,6,5,0.6,0.6,1,2,0.0177253478985,0.068378949442,0.353333333333,0.045,0.308333333333
manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,24,24,0.159420289855,0.163043478261,5,3,0.346355599574,0.0662756023464,0.460833333333,0.154166666667,0.306666666667
manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,6,5,0.6,0.6,1,1,0.29368440964,0.0392821437139,0.716666666667,0.415,0.301666666667
semi,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,4,0,0,1,1,0.126378464749,0.11324321723,0.24,0.54,0.3
semi,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,4,0.5,0.5,1,1,0.104944865922,0.0696778568214,0.575,0.275,0.3
manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,6,5,0.6,0.6,1,2,0.0177253478985,0.0440070008921,0.353333333333,0.055,0.298333333333
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,5,5,0.4,0.4,1,1,0.340566354372,0.21965072902,0.665,0.38,0.285
semi,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,4,0.5,0.5,1,1,0.160983992041,0.0901545259312,0.59,0.305,0.285
manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,5,5,0.4,0.4,1,1,0.106489725455,0.0210876417382,0.445,0.165,0.28
manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,5,5,0.4,0.4,1,1,0.106489725455,0.0396132353585,0.445,0.17,0.275
manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,5,5,0.4,0.4,1,1,0.0499534341062,0.106489725455,0.175,0.445,0.27
manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,5,5,0.4,0.4,1,1,0.106489725455,0.0312724166825,0.445,0.175,0.27
semi,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,4,0.5,0.5,1,1,0.104944865922,0.0901545259312,0.575,0.305,0.27
manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,5,5,0.4,0.4,1,1,0.106489725455,0.0493877253044,0.445,0.18,0.265
manual,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,5,5,0.7,0.7,1,1,0.0597743087537,0.180448725339,0.37,0.635,0.265
manual,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,5,5,0.7,0.7,1,1,0.0597743087537,0.117986875228,0.37,0.63,0.26
manual,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,5,5,0.7,0.7,1,1,0.180448725339,0.0420061446832,0.635,0.375,0.26
manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,5,5,0.4,0.4,1,1,0.340566354372,0.171666556658,0.665,0.405,0.26
manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,5,5,0.7,0.7,1,1,0.059708590451,0.180448725339,0.375,0.635,0.26
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,5,6,0,0,1,1,0.0464576800103,0.0201068604403,0.255,0,0.255
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,5,5,0,0,1,1,0.0464576800103,0.0198905077281,0.255,0,0.255
manual,rPc6DW4iMge_4350d36797324601adba7351d09602d2,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,5,0,0,1,1,0.0258667891908,0.0464576800103,0,0.255,0.255
manual,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,6,5,0,0,1,1,0.0410235926583,0.0464576800103,0,0.255,0.255
manual,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,5,0,0,1,1,0.0366647143508,0.0464576800103,0,0.255,0.255
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,5,5,0,0,1,1,0.0464576800103,0.0694818849504,0.255,0,0.255
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,5,5,0,0,1,1,0.0464576800103,0.0400614968018,0.255,0,0.255
manual,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,5,0,0,1,1,0.0126505084587,0.0464576800103,0,0.255,0.255
manual,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,5,5,0.7,0.7,1,1,0.117986875228,0.0420061446832,0.63,0.375,0.255
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,5,6,0,0,1,1,0.0464576800103,0.0618473109561,0.255,0,0.255
manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,5,5,0,0,1,1,0.0464576800103,0.0571450026793,0.255,0,0.255
