image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,manual,not_supported_multimodal,4,2,0.345,0.0362415159279,0,0.595,0.405,0.0362415159279
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,pRbA3pwrgk9,manual,not_supported_multimodal,3,2,0.333333333333,,0,1,0,
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,manual,not_supported_multimodal,6,3,0,0.0191516537047,1,0,0,0.0189958136136
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,manual,not_supported_multimodal,3,2,0.221666666667,0.044807415602,0,0.33,0.67,0.044807415602
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,manual,not_supported_multimodal,5,3,0,0.0130834923161,1,0,0,0.0126505084587
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9,manual,not_supported_multimodal,2,2,0,0.0627597208637,,,,0.0627597208637
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,same_point_only_multimodal,19,10,0.367368421053,0.0729502274809,0.0711111111111,0.566666666667,0.262222222222,0.0909819441009
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,pRbA3pwrgk9,manual,not_supported_multimodal,2,2,0,0.0737170388594,,,,0.0737170388594
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,pRbA3pwrgk9,manual,not_supported_multimodal,2,2,0,,,,,
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,pRbA3pwrgk9,manual,not_supported_multimodal,2,2,0,,,,,
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,pa4otMbVnkk,manual,not_supported_multimodal,2,2,0,0,,,,0
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,pa4otMbVnkk,manual,not_supported_multimodal,2,2,0,0.0565099131575,,,,0.0565099131575
