image_id,building,condition,cut,mode,mode_people,same_topology_alternative,removals,mean_Jaccard,minimum_Jaccard,exact_recovery_fraction
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,2,3,True,24,1,1,1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,6,2,True,22,1,1,1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,7,13,True,24,1,1,1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,1,2,True,22,0.95,0.4,0.909090909091
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,2,4,True,24,0.958333333333,0.4,0.916666666667
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,3,2,True,22,1,1,1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,4,2,True,22,0.945454545455,0.133333333333,0.909090909091
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,5,14,True,24,0.994444444444,0.866666666667,0.958333333333
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,2,2,True,21,0.984126984127,0.666666666667,0.952380952381
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,3,2,True,21,0.984126984127,0.666666666667,0.952380952381
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,6,4,True,23,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,7,2,True,21,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,14,2,True,21,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,2,5,True,23,0.980434782609,0.75,0.913043478261
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,4,4,True,23,0.97049689441,0.571428571429,0.913043478261
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,5,4,True,23,0.946894409938,0.428571428571,0.869565217391
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,8,2,True,21,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,9,2,True,21,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,2,6,True,23,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,3,8,True,23,0.965665976536,0.571428571429,0.826086956522
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,4,2,True,21,0.930158730159,0.2,0.904761904762
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,5,2,True,21,1,1,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,6,3,True,23,0.938405797101,0.666666666667,0.782608695652
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.05,1,2,True,4,1,1,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.05,2,2,True,4,1,1,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,1,2,True,4,1,1,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,2,2,True,4,1,1,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.2,1,2,True,4,1,1,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.2,2,3,True,6,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,3,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,13,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,14,4,True,24,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,1,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,2,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,6,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,11,6,True,24,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,12,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,1,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,2,2,True,22,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,6,5,True,24,0.979166666667,0.5,0.958333333333
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,8,6,True,24,1,1,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,9,2,True,22,0.977272727273,0.5,0.954545454545
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,1,2,True,3,1,1,1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,2,3,True,5,1,1,1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.2,1,2,True,3,1,1,1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.2,2,3,True,5,0.95,0.75,0.8
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,6,4,True,19,0.986842105263,0.75,0.947368421053
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,7,2,True,17,0.941176470588,0.5,0.882352941176
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,10,2,True,17,1,1,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,11,2,True,17,1,1,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,1,2,True,17,1,1,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,3,8,True,19,0.927944862155,0.5,0.684210526316
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,6,4,True,19,0.885964912281,0.5,0.736842105263
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.2,1,3,True,19,0.973684210526,0.5,0.947368421053
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.2,2,15,True,19,0.99649122807,0.933333333333,0.947368421053
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,1,5,True,20,0.98,0.8,0.9
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,2,6,True,20,0.9625,0.625,0.9
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,3,8,True,20,0.95,0.625,0.8
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.05,1,3,True,24,0.986111111111,0.666666666667,0.958333333333
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.05,3,8,True,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.05,5,2,False,22,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.05,8,3,False,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.05,9,2,False,22,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,1,4,True,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,2,8,True,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,4,3,False,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,6,3,False,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.1,7,2,False,22,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.2,1,4,True,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.2,2,9,True,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.2,3,3,False,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.2,5,3,False,24,1,1,1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,0.2,6,2,False,22,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.05,4,3,True,24,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.05,5,9,True,24,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.05,6,2,True,22,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.05,7,2,True,22,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.1,4,3,True,24,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.1,5,14,True,24,0.987179487179,0.846153846154,0.916666666667
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.1,8,2,False,22,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.2,1,20,False,24,1,1,1
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,0.2,4,2,False,22,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.05,1,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.05,2,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.1,1,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.1,2,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.2,1,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.2,2,2,False,4,1,1,1
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,0.2,3,2,False,4,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.05,1,2,False,3,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.05,3,2,False,3,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.1,1,3,False,5,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.1,2,2,False,3,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.2,1,3,False,5,1,1,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,0.2,2,2,False,3,1,1,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,0.1,1,4,False,7,1,1,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,0.1,3,2,False,5,1,1,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,0.2,1,4,False,7,1,1,1
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,0.2,3,2,False,5,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.05,1,3,True,19,0.986842105263,0.75,0.947368421053
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.05,2,2,True,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.05,6,2,False,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.05,7,3,True,19,0.96992481203,0.428571428571,0.947368421053
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.05,8,5,True,19,0.977443609023,0.571428571429,0.947368421053
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.1,1,5,False,19,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.1,3,2,False,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.1,4,2,False,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.1,5,8,False,19,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.2,1,5,False,19,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.2,3,2,False,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.2,4,2,False,17,1,1,1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,0.2,5,9,False,19,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.05,1,19,False,24,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.05,5,2,False,22,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.1,1,19,False,24,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.1,5,2,False,22,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.2,1,19,True,24,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.2,2,2,True,22,1,1,1
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,0.2,4,2,False,22,1,1,1
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,0.1,1,2,True,3,0.888888888889,0.666666666667,0.666666666667
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,0.1,2,2,True,3,1,1,1
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.05,1,14,True,24,0.977187028658,0.529411764706,0.916666666667
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.05,2,4,True,24,0.960416666667,0.25,0.916666666667
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.05,3,5,True,24,0.976851851852,0.444444444444,0.958333333333
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.1,1,18,True,24,0.975790513834,0.782608695652,0.875
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,0.1,2,6,True,24,0.900724637681,0.2,0.875
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,0.05,1,3,True,5,1,1,1
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,0.05,2,2,True,3,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.05,3,11,True,24,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.05,5,2,True,22,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.05,6,3,True,24,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.05,8,4,False,24,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.1,1,14,True,24,0.996794871795,0.923076923077,0.958333333333
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.1,2,5,True,24,0.979166666667,0.5,0.958333333333
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.1,4,4,False,24,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.2,1,20,False,24,1,1,1
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,0.2,2,4,False,24,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.05,3,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.05,4,3,True,24,0.979166666667,0.5,0.958333333333
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.05,12,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.05,14,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.1,3,5,False,24,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.1,8,2,False,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.1,10,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.1,12,3,True,24,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.1,15,2,False,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,3,6,False,24,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,5,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,6,2,True,22,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,8,3,True,24,1,1,1
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,9,4,True,24,0.96875,0.5,0.916666666667
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,0.2,11,2,False,22,1,1,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.05,2,2,False,22,1,1,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.05,6,2,True,22,0.984848484848,0.666666666667,0.954545454545
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.05,8,2,True,22,0.924931129477,0.166666666667,0.909090909091
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.05,9,11,True,24,0.982638888889,0.75,0.916666666667
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.1,2,3,False,24,1,1,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.1,5,3,True,24,0.919270833333,0.125,0.875
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.1,6,14,True,24,0.983774038462,0.8125,0.875
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.2,2,3,False,24,1,1,1
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,0.2,3,2,True,22,1,1,1
