export_source_file,task_id,annotation_id,project_id,schema_version,raw_field_profile,quality_choices,scope_choices,difficulty_choices,model_issue_choices,annotation_created_at,annotation_updated_at,recommended_disposition
project-2-at-2025-12-31-14-56-fae55c18.json,464,5,2,malformed,missing,,,,,2025-12-03T10:48:51.175247Z,2025-12-03T10:48:51.175262Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,465,6,2,malformed,missing,,,,,2025-12-20T03:31:45.528636Z,2025-12-20T03:31:45.528651Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,474,7,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:48:13.930166Z,2025-12-29T14:48:13.930189Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,474,29,2,legacy_quality_only,quality,normal,,,,2025-12-30T09:51:42.014267Z,2025-12-30T09:51:42.014285Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,475,8,2,legacy_quality_only,quality,fail,,,,2025-12-29T14:49:57.924685Z,2025-12-29T14:49:57.924701Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,475,30,2,legacy_quality_only,quality,fail;residual,,,,2025-12-30T10:14:18.423694Z,2025-12-30T10:14:18.423710Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,476,9,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:50:52.384827Z,2025-12-29T14:50:52.384848Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,476,31,2,legacy_quality_only,quality,complex;residual,,,,2025-12-30T12:22:27.232516Z,2025-12-30T12:22:27.232535Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,477,10,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:51:22.831557Z,2025-12-29T14:51:22.831574Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,479,11,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:51:34.507269Z,2025-12-29T14:51:34.507285Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,480,12,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:51:45.295574Z,2025-12-29T14:51:45.295590Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,491,13,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:52:37.363483Z,2025-12-29T14:52:37.363499Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,492,14,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:52:49.093369Z,2025-12-29T14:52:49.093385Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,493,15,2,legacy_quality_only,quality,complex,,,,2025-12-29T14:55:34.102526Z,2025-12-29T14:55:34.102545Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,494,16,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:55:54.644382Z,2025-12-29T14:55:54.644399Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,495,17,2,legacy_quality_only,quality,complex,,,,2025-12-29T14:57:01.297021Z,2025-12-29T14:57:01.297039Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,496,18,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:57:15.080883Z,2025-12-29T14:57:15.080901Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,497,19,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:57:26.995586Z,2025-12-29T14:57:26.995602Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,499,20,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:58:40.616876Z,2025-12-29T14:58:40.616897Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,500,21,2,malformed,missing,,,,,2025-12-29T14:58:58.629369Z,2025-12-29T14:58:58.629385Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,501,22,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:59:15.069035Z,2025-12-29T14:59:15.069053Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,502,23,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:59:29.146486Z,2025-12-29T14:59:29.146503Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,503,24,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:59:40.221273Z,2025-12-29T14:59:40.221288Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,504,25,2,legacy_quality_only,quality,normal,,,,2025-12-29T14:59:55.435512Z,2025-12-29T14:59:55.435529Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,505,26,2,legacy_quality_only,quality,normal,,,,2025-12-29T15:00:36.245317Z,2025-12-29T15:00:36.245334Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,506,27,2,legacy_quality_only,quality,normal,,,,2025-12-29T15:00:46.920521Z,2025-12-29T15:00:46.920537Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2025-12-31-14-56-fae55c18.json,508,28,2,legacy_quality_only,quality,normal,,,,2025-12-29T15:01:07.192546Z,2025-12-29T15:01:07.192561Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,459,1,2,legacy_quality_only,quality,normal,,,,2025-12-03T07:58:17.333411Z,2026-01-09T13:19:48.256576Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,461,2,2,legacy_quality_only,quality,normal,,,,2025-12-03T08:00:00.667219Z,2025-12-03T08:00:00.667235Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,462,3,2,legacy_quality_only,quality,complex,,,,2025-12-03T09:03:53.028335Z,2025-12-03T09:03:53.028350Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,463,4,2,legacy_quality_only,quality,normal,,,,2025-12-03T10:43:27.782302Z,2025-12-03T10:43:27.782316Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,464,5,2,malformed,missing,,,,,2025-12-03T10:48:51.175247Z,2025-12-03T10:48:51.175262Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,465,6,2,malformed,missing,,,,,2025-12-20T03:31:45.528636Z,2025-12-20T03:31:45.528651Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,477,32,2,legacy_quality_only,quality,normal,,,,2026-01-09T13:21:13.856480Z,2026-01-09T13:21:13.856496Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,479,33,2,legacy_quality_only,quality,normal,,,,2026-01-09T13:23:17.291886Z,2026-01-09T13:23:17.291901Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,480,34,2,legacy_quality_only,quality,normal,,,,2026-01-12T04:51:45.227057Z,2026-01-12T04:51:45.227072Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,491,35,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:09:57.719028Z,2026-01-12T05:09:57.719045Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,492,36,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:27:17.260571Z,2026-01-12T05:27:20.243435Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,493,37,2,legacy_quality_only,quality,fail,,,,2026-01-12T05:31:26.994921Z,2026-01-12T05:31:26.994938Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,494,38,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:42:00.350017Z,2026-01-12T05:42:00.350033Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-01-16-09-08-cba85ea0.json,495,39,2,legacy_quality_only,quality,split_level,,,,2026-01-12T06:59:48.946973Z,2026-01-12T06:59:48.946988Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,479,33,2,legacy_quality_only,quality,normal,,,,2026-01-09T13:23:17.291886Z,2026-01-09T13:23:17.291901Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,480,34,2,legacy_quality_only,quality,normal,,,,2026-01-12T04:51:45.227057Z,2026-01-12T04:51:45.227072Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,491,35,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:09:57.719028Z,2026-01-12T05:09:57.719045Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,492,36,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:27:17.260571Z,2026-01-12T05:27:20.243435Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,493,37,2,legacy_quality_only,quality,fail,,,,2026-01-12T05:31:26.994921Z,2026-01-12T05:31:26.994938Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,494,38,2,legacy_quality_only,quality,normal,,,,2026-01-12T05:42:00.350017Z,2026-01-12T05:42:00.350033Z,exclude_from_formal_estimand_review_in_compat
project-2-at-2026-02-22-11-22-ee6c4607.json,495,39,2,legacy_quality_only,quality,split_level,,,,2026-01-12T06:59:48.946973Z,2026-01-12T06:59:48.946988Z,exclude_from_formal_estimand_review_in_compat
test1.json,459,1,2,legacy_quality_only,quality,normal,,,,2025-12-03T07:58:17.333411Z,2025-12-03T07:58:17.333427Z,exclude_from_formal_estimand_review_in_compat
test1.json,461,2,2,legacy_quality_only,quality,normal,,,,2025-12-03T08:00:00.667219Z,2025-12-03T08:00:00.667235Z,exclude_from_formal_estimand_review_in_compat
test1.json,462,3,2,legacy_quality_only,quality,complex,,,,2025-12-03T09:03:53.028335Z,2025-12-03T09:03:53.028350Z,exclude_from_formal_estimand_review_in_compat
