condition,axis,n_people,composition_a,composition_b,measure,n,groups,delta,lo,hi,group_macro
manual,Q,10,mixed_axis,lower_axis,late_new,43,15,0.126666666667,0.0513573232323,0.179858969887,0.0969777777778
manual,Q,10,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0381659765355,-0.00833698830409,0.0691250086266,0.00238808722142
manual,Q,10,mixed_axis,random_same_panel,singleton_mass,46,15,0.0409299516908,0.000221977124183,0.0706564506173,0.0233843995511
manual,Q,10,mixed_axis,random_same_panel,within_mode_median,45,15,-0.000254748872574,-0.00265804799459,0.0037310148345,0.000892370182158
manual,Q,10,mixed_axis,random_same_panel,mode_entropy,46,15,0.157831212632,0.0324188316666,0.253264863726,0.101439246444
manual,Q,10,mixed_axis,random_same_panel,n_supported_modes,46,15,0.0173913043478,-0.0844464285714,0.1166796875,0.0198484848485
manual,Q,10,mixed_axis,random_same_panel,p_early7,43,15,-0.0599649317091,-0.0958349677986,-0.0124928266178,-0.0189417989418
manual,Q,10,mixed_axis,random_same_panel,p_by19,43,15,-0.0725507567368,-0.120966884685,-0.0120485538767,-0.0582886243386
manual,Q,10,mixed_axis,random_same_panel,p_tail,43,15,-0.0599649317091,-0.0958349677986,-0.0124928266178,-0.0189417989418
manual,Q,10,mixed_axis,random_same_panel,late_new,43,15,0.0522922357574,0.0128767939815,0.0828859299517,0.0270944032922
manual,Q,12,lower_axis,higher_axis,point_count_disagreement,30,12,-0.10101010101,-0.157716842336,-0.0440396825397,-0.101830808081
manual,Q,12,lower_axis,higher_axis,singleton_mass,30,12,-0.095101010101,-0.13435460373,-0.0488378533231,-0.0875841750842
manual,Q,12,lower_axis,higher_axis,within_mode_median,30,12,-0.00658452117561,-0.0131630819521,-0.000882877118875,-0.00469940140787
manual,Q,12,lower_axis,higher_axis,mode_entropy,30,12,-0.432560202876,-0.649133546705,-0.148456525781,-0.361380327359
manual,Q,12,lower_axis,higher_axis,n_supported_modes,30,12,0.0333333333333,-0.269230769231,0.448318965517,0.0416666666667
manual,Q,12,lower_axis,higher_axis,p_early7,26,12,0.288461538462,0.101119047619,0.442158496732,0.212638888889
manual,Q,12,lower_axis,higher_axis,p_by19,26,12,0.241025641026,0.133333333333,0.326448938992,0.181990740741
manual,Q,12,lower_axis,higher_axis,p_tail,26,12,0.266666666667,0.0949647435897,0.401154022989,0.188472222222
manual,Q,12,lower_axis,higher_axis,late_new,26,12,-0.0681623931624,-0.123770711501,-0.00277475845411,-0.0703086419753
manual,Q,12,mixed_axis,lower_axis,point_count_disagreement,30,12,0.105218855219,0.0444984217172,0.157970358231,0.0906565656566
manual,Q,12,mixed_axis,lower_axis,singleton_mass,30,12,0.0933333333333,0.0444375,0.129736486486,0.0675925925926
manual,Q,12,mixed_axis,lower_axis,within_mode_median,29,12,0.00458870332708,-0.000820757840861,0.00807397712986,0.0043146699301
manual,Q,12,mixed_axis,lower_axis,mode_entropy,30,12,0.501142528065,0.253713117113,0.700973194065,0.455691103789
manual,Q,12,mixed_axis,lower_axis,n_supported_modes,30,12,0.133333333333,-0.172515212982,0.40625,0.229166666667
manual,Q,12,mixed_axis,lower_axis,p_early7,28,12,-0.280952380952,-0.420015873016,-0.104150219298,-0.228564814815
manual,Q,12,mixed_axis,lower_axis,p_by19,28,12,-0.209523809524,-0.3,-0.10391124871,-0.155277777778
manual,Q,12,mixed_axis,lower_axis,p_tail,28,12,-0.238095238095,-0.362041666667,-0.0912836438923,-0.185787037037
manual,Q,12,mixed_axis,lower_axis,late_new,28,12,0.0831349206349,0.0277662037037,0.125931899642,0.0593595679012
manual,Q,12,mixed_axis,random_same_panel,point_count_disagreement,30,12,0.0394090909091,0.00593159281603,0.0660181766344,0.0224221380471
manual,Q,12,mixed_axis,random_same_panel,singleton_mass,30,12,0.0332828282828,0.00577104240457,0.0522334381044,0.0120107323232
manual,Q,12,mixed_axis,random_same_panel,within_mode_median,29,12,-0.000966478009356,-0.00579899648601,0.00292805278326,-0.000502300826027
manual,Q,12,mixed_axis,random_same_panel,mode_entropy,30,12,0.24428132463,0.108584790174,0.35904809052,0.216671947652
manual,Q,12,mixed_axis,random_same_panel,n_supported_modes,30,12,0.148333333333,0.0241247605364,0.293491304348,0.192013888889
manual,Q,12,mixed_axis,random_same_panel,p_early7,28,12,-0.104702380952,-0.180552321429,-0.040285942029,-0.1134375
manual,Q,12,mixed_axis,random_same_panel,p_by19,28,12,-0.0763095238095,-0.121811160714,-0.0201875,-0.0680625
manual,Q,12,mixed_axis,random_same_panel,p_tail,28,12,-0.0960714285714,-0.155003205128,-0.0413970512821,-0.100650462963
manual,Q,12,mixed_axis,random_same_panel,late_new,28,12,0.039494047619,0.00372528860029,0.0674787698413,0.0169618055556
manual,T,4,lower_axis,higher_axis,point_count_disagreement,46,15,-0.155797101449,-0.234571050642,-0.0535654761905,-0.0779461279461
manual,T,4,lower_axis,higher_axis,singleton_mass,46,15,-0.173913043478,-0.254172149123,-0.0722023809524,-0.106691919192
manual,T,4,lower_axis,higher_axis,within_mode_median,32,13,0.00418708663418,-0.000642145370081,0.0097669605902,0.00319902735162
manual,T,4,lower_axis,higher_axis,mode_entropy,46,15,-0.271951630529,-0.415617387433,-0.0909287762766,-0.186403511702
manual,T,4,lower_axis,higher_axis,n_supported_modes,46,15,0.239130434783,0.103448275862,0.342879464286,0.14595959596
manual,T,4,lower_axis,higher_axis,p_early7,44,14,-0.0636363636364,-0.164341085271,0.0369801801802,-0.0427489177489
manual,T,4,lower_axis,higher_axis,p_by19,44,14,-0.0636363636364,-0.164341085271,0.0369801801802,-0.0427489177489
manual,T,4,lower_axis,higher_axis,p_tail,44,14,-0.0833333333333,-0.175005952381,-0.0114893824274,-0.104166666667
manual,T,4,lower_axis,higher_axis,late_new,44,14,-0.167045454545,-0.230954433498,-0.0758964646465,-0.120454545455
manual,T,4,mixed_axis,lower_axis,point_count_disagreement,46,15,0.0579710144928,-0.00617877492877,0.103042929293,-0.015404040404
manual,T,4,mixed_axis,lower_axis,singleton_mass,46,15,0.0217391304348,-0.0555555555556,0.0795514990329,-0.0246212121212
manual,T,4,mixed_axis,lower_axis,within_mode_median,40,13,-0.013036074623,-0.0156832435899,-0.00815229183215,-0.0107167771549
manual,T,4,mixed_axis,lower_axis,mode_entropy,46,15,0.0635828805132,-0.0692779695798,0.187030064765,0.00422951866553
manual,T,4,mixed_axis,lower_axis,n_supported_modes,46,15,0,-0.114285714286,0.139617940199,0.0606060606061
manual,T,4,mixed_axis,lower_axis,p_early7,45,14,0.139259259259,0.0499893162393,0.237636530843,0.139953102453
manual,T,4,mixed_axis,lower_axis,p_by19,45,14,0.139259259259,0.0499893162393,0.237636530843,0.139953102453
manual,T,4,mixed_axis,lower_axis,p_tail,45,14,0.183703703704,0.1,0.274215633423,0.217406204906
manual,T,4,mixed_axis,lower_axis,late_new,45,14,0.0377777777778,-0.0279176356589,0.0863257575758,-0.00804473304473
manual,T,4,mixed_axis,random_same_panel,point_count_disagreement,46,15,-0.0429919908467,-0.0849521396396,-0.000827380952381,-0.0478358142832
manual,T,4,mixed_axis,random_same_panel,singleton_mass,46,15,-0.0746329138063,-0.136251547696,-0.0169926637303,-0.0937634015595
manual,T,4,mixed_axis,random_same_panel,within_mode_median,41,14,-0.0107126287225,-0.0147381318409,-0.00451476695257,-0.00763653465186
manual,T,4,mixed_axis,random_same_panel,mode_entropy,46,15,-0.0825474577439,-0.173136172176,0.0168726285811,-0.0803320822506
manual,T,4,mixed_axis,random_same_panel,n_supported_modes,46,15,0.135812356979,0.0309375879538,0.276834249305,0.193898192451
manual,T,4,mixed_axis,random_same_panel,p_early7,46,15,0.0516281913223,-0.0335438540011,0.135203156175,0.0479217849288
manual,T,4,mixed_axis,random_same_panel,p_by19,46,15,0.0516281913223,-0.0335438540011,0.135203156175,0.0479217849288
manual,T,4,mixed_axis,random_same_panel,p_tail,46,15,0.0771951137434,0.0013252854853,0.149700834935,0.0862557124391
manual,T,4,mixed_axis,random_same_panel,late_new,46,15,-0.0590343398992,-0.11082288313,-0.010729098886,-0.084118748545
manual,T,6,lower_axis,higher_axis,point_count_disagreement,46,15,-0.145652173913,-0.237379110251,-0.0466616161616,-0.106666666667
manual,T,6,lower_axis,higher_axis,singleton_mass,46,15,-0.110869565217,-0.186821705426,-0.0295228937729,-0.0661784511785
manual,T,6,lower_axis,higher_axis,within_mode_median,35,13,-0.00298520944531,-0.00860301369485,0.00544772459269,0.00326285570333
manual,T,6,lower_axis,higher_axis,mode_entropy,46,15,-0.229020436502,-0.402333925414,-0.0491502282233,-0.176686685977
manual,T,6,lower_axis,higher_axis,n_supported_modes,46,15,0.173913043478,-0.0416666666667,0.363712121212,0.0621212121212
manual,T,6,lower_axis,higher_axis,p_early7,42,13,0.0746031746032,-0.102308946878,0.21833863275,0.0530769230769
manual,T,6,lower_axis,higher_axis,p_by19,42,13,0.0746031746032,-0.102308946878,0.21833863275,0.0530769230769
manual,T,6,lower_axis,higher_axis,p_tail,42,13,-0.000793650793651,-0.157659305647,0.13497078252,-0.0421367521368
manual,T,6,lower_axis,higher_axis,late_new,42,13,-0.132804232804,-0.201354283577,-0.0521634248665,-0.130413105413
manual,T,6,mixed_axis,lower_axis,point_count_disagreement,46,15,0.0188405797101,-0.0360518018018,0.0521253713607,-0.0152525252525
manual,T,6,mixed_axis,lower_axis,singleton_mass,46,15,0.00507246376812,-0.0507296698873,0.0635034013605,0.00141414141414
manual,T,6,mixed_axis,lower_axis,within_mode_median,42,14,-0.00321323510542,-0.00563771243592,0.000581734426223,-0.0014082248852
manual,T,6,mixed_axis,lower_axis,mode_entropy,46,15,-0.0371431962596,-0.151203336145,0.0765604530485,-0.0303132598258
manual,T,6,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0652173913043,-0.217391304348,0.100051020408,-0.0449494949495
manual,T,6,mixed_axis,lower_axis,p_early7,44,14,0.0825757575758,-0.0444642857143,0.228399470899,0.0939682539683
manual,T,6,mixed_axis,lower_axis,p_by19,44,14,0.0825757575758,-0.0444642857143,0.228399470899,0.0939682539683
manual,T,6,mixed_axis,lower_axis,p_tail,44,14,0.0893939393939,-0.01875,0.183851799242,0.0650396825397
manual,T,6,mixed_axis,lower_axis,late_new,44,14,0.0181818181818,-0.036368006993,0.0711161616162,0.036746031746
manual,T,6,mixed_axis,random_same_panel,point_count_disagreement,46,15,-0.0603260869565,-0.101493489583,-0.0248078939595,-0.0613468013468
manual,T,6,mixed_axis,random_same_panel,singleton_mass,46,15,-0.0180434782609,-0.0721362948159,0.0328288898601,-0.014553030303
manual,T,6,mixed_axis,random_same_panel,within_mode_median,42,14,-0.00708164507266,-0.0116025727985,-0.000782006139644,-0.00360021969695
manual,T,6,mixed_axis,random_same_panel,mode_entropy,46,15,-0.0750464568615,-0.187999018757,0.040428782667,-0.0663942122526
manual,T,6,mixed_axis,random_same_panel,n_supported_modes,46,15,-0.0282608695652,-0.132760154739,0.0932206937799,-0.0210606060606
manual,T,6,mixed_axis,random_same_panel,p_early7,45,14,0.0863148148148,0.0143960682957,0.160094342818,0.0894327200577
manual,T,6,mixed_axis,random_same_panel,p_by19,45,14,0.0863148148148,0.0143960682957,0.160094342818,0.0894327200577
manual,T,6,mixed_axis,random_same_panel,p_tail,45,14,0.0571481481481,-0.0195832058344,0.10548173913,0.0254202741703
manual,T,6,mixed_axis,random_same_panel,late_new,45,14,-0.0405484387919,-0.101195640037,0.0168031363429,-0.0290151708832
manual,T,8,lower_axis,higher_axis,point_count_disagreement,46,15,-0.097049689441,-0.163594744349,-0.0244616240805,-0.0802308802309
manual,T,8,lower_axis,higher_axis,singleton_mass,46,15,-0.0698757763975,-0.122965561224,-0.0069401683087,-0.0661525974026
manual,T,8,lower_axis,higher_axis,within_mode_median,42,14,-0.00268880900943,-0.00614610360068,0.00311601225863,0.00162920473242
manual,T,8,lower_axis,higher_axis,mode_entropy,46,15,-0.179967702835,-0.353854542853,0.00206482264784,-0.20552837097
manual,T,8,lower_axis,higher_axis,n_supported_modes,46,15,0.108695652174,-0.0625,0.229539722573,0.040404040404
manual,T,8,lower_axis,higher_axis,p_early7,40,13,0.04,-0.152488042223,0.208393817204,0.0297435897436
manual,T,8,lower_axis,higher_axis,p_by19,40,13,0.04,-0.152488042223,0.208393817204,0.0297435897436
manual,T,8,lower_axis,higher_axis,p_tail,40,13,0.0175,-0.152150537634,0.174719827586,0.0147008547009
manual,T,8,lower_axis,higher_axis,late_new,40,13,-0.10125,-0.147918462644,-0.0638355654762,-0.128226495726
manual,T,8,mixed_axis,lower_axis,point_count_disagreement,46,15,0.0380434782609,-0.00283991801849,0.0695995670996,0.025974025974
manual,T,8,mixed_axis,lower_axis,singleton_mass,46,15,0.0395962732919,-0.00119186046512,0.0749134752987,0.0306186868687
manual,T,8,mixed_axis,lower_axis,within_mode_median,44,14,0.000917613553614,-0.00210434582063,0.00398909889991,4.92566394025e-05
manual,T,8,mixed_axis,lower_axis,mode_entropy,46,15,0.118328736492,0.04138769962,0.206452774139,0.154430453657
manual,T,8,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0434782608696,-0.192996604414,0.160032258065,0.0818181818182
manual,T,8,mixed_axis,lower_axis,p_early7,41,14,-0.0764227642276,-0.168064692982,0.00278585271318,-0.0738095238095
manual,T,8,mixed_axis,lower_axis,p_by19,41,14,-0.0764227642276,-0.168064692982,0.00278585271318,-0.0738095238095
manual,T,8,mixed_axis,lower_axis,p_tail,41,14,-0.069918699187,-0.171035426731,0.0017094017094,-0.108095238095
manual,T,8,mixed_axis,lower_axis,late_new,41,14,0.0418699186992,0.0143174078526,0.0775996767241,0.0436904761905
manual,T,8,mixed_axis,random_same_panel,point_count_disagreement,46,15,-0.02125,-0.0498181738379,0.00477946428571,-0.0172746512747
manual,T,8,mixed_axis,random_same_panel,singleton_mass,46,15,0.0330292443064,-0.00119025877396,0.0604166695937,0.0281144781145
manual,T,8,mixed_axis,random_same_panel,within_mode_median,44,14,0.00116811100905,-0.00132104219937,0.00459194560368,0.00233204287041
manual,T,8,mixed_axis,random_same_panel,mode_entropy,46,15,0.0718533010543,0.00754752851987,0.132495948506,0.0726862222947
manual,T,8,mixed_axis,random_same_panel,n_supported_modes,46,15,-0.0880434782609,-0.192501329787,0.0400054347826,-0.0475505050505
manual,T,8,mixed_axis,random_same_panel,p_early7,44,14,-0.0674242424242,-0.141219725539,0.0042179503367,-0.0683667027417
manual,T,8,mixed_axis,random_same_panel,p_by19,44,14,-0.0674242424242,-0.141219725539,0.0042179503367,-0.0683667027417
manual,T,8,mixed_axis,random_same_panel,p_tail,44,14,-0.0663636363636,-0.134831448413,-0.0179873225152,-0.0917270923521
manual,T,8,mixed_axis,random_same_panel,late_new,44,14,0.000397224303474,-0.0236360218254,0.0238856852856,-0.00206015958248
manual,T,10,lower_axis,higher_axis,point_count_disagreement,46,15,-0.0751897860594,-0.118797219498,-0.0174444444444,-0.0489129389129
manual,T,10,lower_axis,higher_axis,singleton_mass,46,15,-0.0569444444444,-0.108978978979,-0.0139348244348,-0.0619332210999
manual,T,10,lower_axis,higher_axis,within_mode_median,44,15,-0.00252304722212,-0.00692262873405,0.003792470266,-2.99807951951e-05
manual,T,10,lower_axis,higher_axis,mode_entropy,46,15,-0.173110563412,-0.305380011239,-0.0427355534105,-0.180630565275
manual,T,10,lower_axis,higher_axis,n_supported_modes,46,15,0.0652173913043,-0.109627092846,0.333333333333,0.0772727272727
