image_id,condition,building,cut,n_observed,n_valid,n_excluded,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,UwV83HsGsw3,0.125,24,23,1,13,4,9,2,0.391304347826,0.608695652174,0.260869565217,7.66666666667,3.32748478196,0.830039525692,0.0735828163883,6;4;2;2;1;1;1;1;1;1;1;1;1,0.391304347826,0.616444253121,8,1,1,0,False,4
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,UwV83HsGsw3,0.075,24,24,0,10,4,6,0,0.25,0.75,0.333333333333,5.53846153846,2.85538854221,0.565217391304,0.0439943342812,8;4;3;3;1;1;1;1;1;1,0.25,0.754273504274,6,0,0.975,0.555555555556,True,2
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,UwV83HsGsw3,0.1,24,24,0,9,4,5,0,0.208333333333,0.791666666667,0.333333333333,5.23636363636,2.72017552146,0.565217391304,0.0455017804442,8;4;4;3;1;1;1;1;1,0.208333333333,0.79609929078,4,1,0.934848484848,0.96875,True,2
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,UwV83HsGsw3,0.125,24,24,0,8,3,5,0,0.208333333333,0.791666666667,0.5,3.31034482759,2.26102760444,0.565217391304,0.0641537536675,12;4;3;1;1;1;1;1,0.208333333333,0.79609929078,4,1,0.930555555556,0.916666666667,True,2
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,b8cTxDM8gDG,0.075,24,23,1,12,6,6,3,0.260869565217,0.739130434783,0.217391304348,8.67213114754,3.34445693524,0,0.0508485471844,5;3;3;2;2;2;1;1;1;1;1;1,0.260869565217,0.750472589792,3,3,0.985507246377,0.5,False,1
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,b8cTxDM8gDG,0.1,24,23,1,7,6,1,2,0.0434782608696,0.95652173913,0.260869565217,5.56842105263,2.61598356558,0,0.0686989518018,6;5;4;3;2;2;1,0.0434782608696,0.963210702341,0,1,0.985507246377,0.8,True,1
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,b8cTxDM8gDG,0.125,24,23,1,5,4,1,0,0.0434782608696,0.95652173913,0.304347826087,4.03816793893,2.11373926192,0,0.0756466500837,7;6;6;3;1,0.0434782608696,1,0,1,0.985507246377,0.642857142857,True,1
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,q9vSo1VnCiC,0.075,24,24,0,15,5,10,3,0.416666666667,0.583333333333,0.208333333333,10.2857142857,3.65310716836,0.442028985507,0.0424227919381,5;3;2;2;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.593926553672,10,0,0.96875,0.5,False,1
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,q9vSo1VnCiC,0.1,24,24,0,13,3,10,1,0.416666666667,0.583333333333,0.333333333333,6.12765957447,3.16829583405,0.442028985507,0.0580268632543,8;4;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.586925287356,8,2,0.986111111111,0.1875,False,1
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,q9vSo1VnCiC,0.125,24,24,0,11,5,6,3,0.25,0.75,0.333333333333,5.87755102041,3.00162916739,0.442028985507,0.0580268632543,8;4;2;2;2;1;1;1;1;1;1,0.25,0.760416666667,5,1,0.956944444444,0.78125,True,2
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,uNb9QFRL6hY,0.075,24,23,1,8,5,3,3,0.130434782609,0.869565217391,0.434782608696,4.03816793893,2.47054974089,0.565217391304,0.0313519978475,10;4;2;2;2;1;1;1,0.130434782609,0.880434782609,3,0,1,0.225,False,4
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,uNb9QFRL6hY,0.1,24,23,1,8,5,3,3,0.130434782609,0.869565217391,0.434782608696,4.03816793893,2.47054974089,0.565217391304,0.0313519978475,10;4;2;2;2;1;1;1,0.130434782609,0.880434782609,3,0,1,0.8,True,4
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,uNb9QFRL6hY,0.125,24,23,1,7,4,3,3,0.130434782609,0.869565217391,0.608695652174,2.50710900474,1.9451720035,0.565217391304,0.0604322480793,14;2;2;2;1;1;1,0.130434782609,0.880434782609,3,0,1,0,False,4
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,yqstnuAEVhm,0.075,24,24,0,10,4,6,2,0.25,0.75,0.375,4.8,2.74583893875,0.492753623188,0.0256512543712,9;5;2;2;1;1;1;1;1;1,0.25,0.757042253521,4,2,0.942424242424,0.8,True,2
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,yqstnuAEVhm,0.1,24,24,0,7,3,4,0,0.166666666667,0.833333333333,0.583333333333,2.64220183486,1.96776483767,0.492753623188,0.0515104933122,14;3;3;1;1;1;1,0.166666666667,0.838028169014,4,0,0.922619047619,0.52380952381,True,2
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,yqstnuAEVhm,0.125,24,24,0,7,3,4,0,0.166666666667,0.833333333333,0.583333333333,2.64220183486,1.96776483767,0.492753623188,0.0515104933122,14;3;3;1;1;1;1,0.166666666667,0.838028169014,4,0,0.852306547619,0.97619047619,True,2
