target,feature,images,buildings,mae
late_quarter_new,da3__layer5__faces_concat,9,6,0.162206866042
late_quarter_new,da3__layer5__faces_global,9,6,0.16774115243
late_quarter_new,da3__layer5__faces_local16,9,6,0.165514804851
late_quarter_new,da3__layer7__faces_concat,9,6,0.159014470575
late_quarter_new,da3__layer7__faces_global,9,6,0.167131191643
late_quarter_new,da3__layer7__faces_local16,9,6,0.16446618912
late_quarter_new,da3__layer9__faces_concat,9,6,0.156015460806
late_quarter_new,da3__layer9__faces_global,9,6,0.15924647638
late_quarter_new,da3__layer9__faces_local16,9,6,0.159597760177
late_quarter_new,feedback_counts,9,6,0.133648384006
late_quarter_new,hohonet__compressed__global,9,6,0.147896653365
late_quarter_new,hohonet__compressed__regions,9,6,0.152255568994
late_quarter_new,hohonet__encoder_stage2__global,9,6,0.168332367811
late_quarter_new,hohonet__encoder_stage2__regions,9,6,0.160490824726
late_quarter_new,hohonet__encoder_stage4__global,9,6,0.151379727354
late_quarter_new,hohonet__encoder_stage4__regions,9,6,0.155392331343
late_quarter_new,hohonet__legacy_current,9,6,0.145270117678
late_quarter_new,hohonet__refined__global,9,6,0.150308444279
late_quarter_new,hohonet__refined__regions,9,6,0.153344864625
late_quarter_new,hohonet__shared__global,9,6,0.14610801238
late_quarter_new,hohonet__shared__regions,9,6,0.152187261364
late_quarter_new,scene_frequency,9,6,0.182407407407
late_quarter_new,ulayout__compressed__global,9,6,0.153662539416
late_quarter_new,ulayout__compressed__local16,9,6,0.154330878011
late_quarter_new,ulayout__transformer__global,9,6,0.144151863408
late_quarter_new,ulayout__transformer__local16,9,6,0.144380095899
singleton_share,bilayout__fc__global,9,6,0.159331195501
singleton_share,bilayout__fc__regions,9,6,0.160058125694
singleton_share,bilayout__fg_enclosed__global,9,6,0.151545543132
singleton_share,bilayout__fg_enclosed__regions,9,6,0.152190496083
singleton_share,bilayout__fg_extended__global,9,6,0.151383167609
singleton_share,bilayout__fg_extended__regions,9,6,0.151890896959
singleton_share,constant,9,6,0.179851046699
singleton_share,da3__layer11__faces_concat,9,6,0.161206502327
singleton_share,da3__layer11__faces_global,9,6,0.164806228873
singleton_share,da3__layer11__faces_local16,9,6,0.164138382555
singleton_share,da3__layer5__faces_concat,9,6,0.166110054732
singleton_share,da3__layer5__faces_global,9,6,0.171244365773
singleton_share,da3__layer5__faces_local16,9,6,0.169080203599
singleton_share,da3__layer7__faces_concat,9,6,0.162205361315
singleton_share,da3__layer7__faces_global,9,6,0.1706986947
singleton_share,da3__layer7__faces_local16,9,6,0.167682062447
singleton_share,da3__layer9__faces_concat,9,6,0.159376881447
singleton_share,da3__layer9__faces_global,9,6,0.162573647701
singleton_share,da3__layer9__faces_local16,9,6,0.162223978993
singleton_share,feedback_counts,9,6,0.143718060819
singleton_share,hohonet__compressed__global,9,6,0.149736224476
singleton_share,hohonet__compressed__regions,9,6,0.15509528092
singleton_share,hohonet__encoder_stage2__global,9,6,0.173029666825
singleton_share,hohonet__encoder_stage2__regions,9,6,0.164563541617
singleton_share,hohonet__encoder_stage4__global,9,6,0.155970842733
singleton_share,hohonet__encoder_stage4__regions,9,6,0.158337524005
singleton_share,hohonet__legacy_current,9,6,0.146008124907
singleton_share,hohonet__refined__global,9,6,0.152474314902
singleton_share,hohonet__refined__regions,9,6,0.156192995532
singleton_share,hohonet__shared__global,9,6,0.149326942913
singleton_share,hohonet__shared__regions,9,6,0.154508493828
singleton_share,scene_frequency,9,6,0.206119162641
singleton_share,ulayout__compressed__global,9,6,0.155880050037
singleton_share,ulayout__compressed__local16,9,6,0.157226180454
singleton_share,ulayout__transformer__global,9,6,0.142871652515
singleton_share,ulayout__transformer__local16,9,6,0.144261833594
