bootstrap_probability_positive,bootstrap_probability_positive_lower_all_1000,bootstrap_probability_positive_upper_all_1000,bootstrap_requested_count,bootstrap_usable_count,building_support,component_id,condition,directional_class,feature_family,feature_name,positive_direction,reference_source_version,stage,status,task_adjusted_effect,task_support,threshold,worker_id
0.638,0.638,0.638,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00510893538068676,27,0.8,12
0.638,0.638,0.638,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00510893538068676,27,0.9,12
0.276,0.276,0.276,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.010410640325133448,27,0.7,13
0.276,0.276,0.276,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.010410640325133448,27,0.8,13
0.276,0.276,0.276,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.010410640325133448,27,0.9,13
0.117,0.117,0.117,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.022613726045767314,27,0.7,14
0.117,0.117,0.117,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.022613726045767314,27,0.8,14
0.117,0.117,0.117,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.022613726045767314,27,0.9,14
0.771,0.771,0.771,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.010082456806710305,26,0.7,15
0.771,0.771,0.771,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.010082456806710305,26,0.8,15
0.771,0.771,0.771,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.010082456806710305,26,0.9,15
0.988,0.988,0.988,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.03194851805744792,25,0.7,17
0.988,0.988,0.988,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.03194851805744792,25,0.8,17
0.988,0.988,0.988,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.03194851805744792,25,0.9,17
0.998,0.998,0.998,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.043420634945025974,26,0.7,18
0.998,0.998,0.998,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.043420634945025974,26,0.8,18
0.998,0.998,0.998,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.043420634945025974,26,0.9,18
0.996,0.996,0.996,1000,1000,9,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.05469374638299909,26,0.7,2
0.996,0.996,0.996,1000,1000,9,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.05469374638299909,26,0.8,2
0.996,0.996,0.996,1000,1000,9,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.05469374638299909,26,0.9,2
0.611,0.611,0.611,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.003093653861338199,26,0.7,27
0.611,0.611,0.611,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.003093653861338199,26,0.8,27
0.611,0.611,0.611,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.003093653861338199,26,0.9,27
0.386,0.386,0.386,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0090402015739301,25,0.7,28
0.386,0.386,0.386,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0090402015739301,25,0.8,28
0.386,0.386,0.386,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0090402015739301,25,0.9,28
0.281,0.281,0.281,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.01158464495991169,25,0.7,29
0.281,0.281,0.281,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.01158464495991169,25,0.8,29
0.281,0.281,0.281,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.01158464495991169,25,0.9,29
0.503,0.503,0.503,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0023210252154155994,28,0.7,30
0.503,0.503,0.503,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0023210252154155994,28,0.8,30
0.503,0.503,0.503,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.0023210252154155994,28,0.9,30
0.869,0.869,0.869,1000,1000,13,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00896043353162412,32,0.7,31
0.869,0.869,0.869,1000,1000,13,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,H_positive_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00896043353162412,32,0.8,31
0.869,0.869,0.869,1000,1000,13,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.00896043353162412,32,0.9,31
0.147,0.147,0.147,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.02023682798177983,27,0.7,32
0.147,0.147,0.147,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.02023682798177983,27,0.8,32
0.147,0.147,0.147,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.02023682798177983,27,0.9,32
0.39,0.39,0.39,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.004536192202387049,27,0.7,33
0.39,0.39,0.39,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.004536192202387049,27,0.8,33
0.39,0.39,0.39,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.004536192202387049,27,0.9,33
0.008,0.008,0.008,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.03768354147596794,44,0.7,34
0.008,0.008,0.008,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.03768354147596794,44,0.8,34
0.008,0.008,0.008,1000,1000,12,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.03768354147596794,44,0.9,34
0.305,0.305,0.305,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.006894890419617583,26,0.7,35
0.305,0.305,0.305,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.006894890419617583,26,0.8,35
0.305,0.305,0.305,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.006894890419617583,26,0.9,35
0.174,0.174,0.174,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0243960285646034,25,0.7,36
0.174,0.174,0.174,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0243960285646034,25,0.8,36
0.174,0.174,0.174,1000,1000,10,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.0243960285646034,25,0.9,36
0.001,0.001,0.001,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.032349921531040576,28,0.7,37
0.001,0.001,0.001,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.032349921531040576,28,0.8,37
0.001,0.001,0.001,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,L_negative_direction,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,-0.032349921531040576,28,0.9,37
0.643,0.643,0.643,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.005434326295473134,26,0.7,6
0.643,0.643,0.643,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.005434326295473134,26,0.8,6
0.643,0.643,0.643,1000,1000,11,C1|manual|c1_iou_to_gt|562c45de05|c1,manual,U_unclassified_or_bootstrap_missing,quality,c1_iou_to_gt,higher_reference_quality_better,analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv|7b299a7910c5296ea7eac547471d6bd1ea43e2c012d765c72f3dd1a57498571a|frozen_c1_public_gt,C1,estimated,0.005434326295473134,26,0.9,6
