condition,cut,rule,state,expected_images
semi,0.1,D20_distribution,observed_unified,7
semi,0.1,D20_distribution,stable_multicluster,2.87
semi,0.1,G10_geometry,cannot_judge_any_singleton,28
semi,0.1,G10_geometry,cannot_judge_invalid,3
semi,0.1,G10_geometry,cannot_judge_low_n,1
semi,0.1,G10_geometry,current_changes,3.89
semi,0.1,G10_geometry,observed_unified,4.24
semi,0.1,G10_geometry,stable_multicluster,2.87
semi,0.1,P_pattern,cannot_judge_any_singleton,28
semi,0.1,P_pattern,cannot_judge_invalid,3
semi,0.1,P_pattern,cannot_judge_low_n,1
semi,0.1,P_pattern,current_changes,1.13
semi,0.1,P_pattern,observed_unified,7
semi,0.1,P_pattern,stable_multicluster,2.87
semi,0.2,D10_distribution,cannot_judge_any_singleton,22
semi,0.2,D10_distribution,cannot_judge_invalid,3
semi,0.2,D10_distribution,cannot_judge_low_n,1
semi,0.2,D10_distribution,current_changes,2
semi,0.2,D10_distribution,observed_unified,11
semi,0.2,D10_distribution,stable_multicluster,4
semi,0.2,D20_distribution,cannot_judge_any_singleton,22
semi,0.2,D20_distribution,cannot_judge_invalid,3
semi,0.2,D20_distribution,cannot_judge_low_n,1
semi,0.2,D20_distribution,current_changes,2
semi,0.2,D20_distribution,observed_unified,11
semi,0.2,D20_distribution,stable_multicluster,4
semi,0.2,G10_geometry,cannot_judge_any_singleton,22
semi,0.2,G10_geometry,cannot_judge_invalid,3
semi,0.2,G10_geometry,cannot_judge_low_n,1
semi,0.2,G10_geometry,current_changes,5.25
semi,0.2,G10_geometry,observed_unified,8.01
semi,0.2,G10_geometry,stable_multicluster,3.74
semi,0.2,P_pattern,cannot_judge_any_singleton,22
semi,0.2,P_pattern,cannot_judge_invalid,3
semi,0.2,P_pattern,cannot_judge_low_n,1
semi,0.2,P_pattern,current_changes,2
semi,0.2,P_pattern,observed_unified,11
semi,0.2,P_pattern,stable_multicluster,4
