config,metric,comparator,measure,images,buildings,AABC,comparator_mean,delta,interval_low,interval_high
Q_3,sphere,AAAA,incompatible,63,14,0.6381127489345815,0.6576841813762171,-0.019571432441635808,-0.05774771751677447,0.02596886001951741
Q_3,sphere,AAAB,uncovered,63,14,0.4313234591403809,0.4353197736561071,-0.0039963145157262125,-0.028477049943104647,0.019518638362337887
Q_3,sphere,AAAB,incompatible,63,14,0.6381127489345815,0.6377732322004803,0.000339516734101196,-0.02182418368352083,0.022466517820177313
Q_3,sphere,AABB,uncovered,61,13,0.41227733426228164,0.3903611646494824,0.021916169612799206,0.00951607292318334,0.03760042588603956
Q_3,sphere,AABB,incompatible,61,13,0.6174792454431592,0.5960037785850933,0.021475466858065763,-0.01715247046529273,0.0670080902163115
TRI_3,image,AAAA,uncovered,62,15,0.39673727961640454,0.3965073778551353,0.0002299017612692758,-0.04297435538322769,0.047708293425344994
TRI_3,image,AAAA,incompatible,62,15,0.5731946956442745,0.552629989763573,0.020564705880701434,-0.007914914271991726,0.050116479271856085
TRI_3,image,AAAB,uncovered,63,15,0.39516194176928304,0.3976262892760633,-0.00246434750678028,-0.027483545497349212,0.02321615218279461
TRI_3,image,AAAB,incompatible,63,15,0.572917662285784,0.5676221870538876,0.005295475231896404,-0.013614252026644626,0.022681898833276943
TRI_3,image,AABB,uncovered,65,15,0.40094207379309893,0.4022414734933171,-0.0012993997002182145,-0.01550550997449406,0.011518575577491825
TRI_3,image,AABB,incompatible,65,15,0.5770908188033961,0.5882441438281121,-0.011153325024716203,-0.02984947595289862,0.007769286857379406
TRI_3,sphere,AAAA,uncovered,62,15,0.376457201463911,0.3793909765135052,-0.002933775049594185,-0.0458219198677394,0.04440336167266749
TRI_3,sphere,AAAA,incompatible,62,15,0.556859595900185,0.5321435663066558,0.0247160295935292,-0.004402032379077801,0.05366216578856232
TRI_3,sphere,AAAB,uncovered,63,15,0.37489541137507415,0.37971715912403603,-0.004821747748961925,-0.029481547305277377,0.020668841028437062
TRI_3,sphere,AAAB,incompatible,63,15,0.5566053733468738,0.5480518930641639,0.008553480282709908,-0.010214388192894466,0.02560833098794166
TRI_3,sphere,AABB,uncovered,65,15,0.3807026564093363,0.3850759947969218,-0.004373338387585469,-0.01826654038708485,0.008222091136097993
TRI_3,sphere,AABB,incompatible,65,15,0.561166384329245,0.5697775768927402,-0.008611192563495325,-0.027096815059167705,0.009326934305768099
