scenario,support_set,k,building_id,task_count,image_count,worker_count,full_status_recovery_rate_task_equal,partition_recovery_rate_task_equal,historical_all_target_status_recovery_rate_task_equal,historical_all_target_partition_recovery_rate_task_equal,paired_status_changed_from_prior_k_rate_task_equal
historical_all__all_strict_geometry,fixed_common_support_k20,16,q9vSo1VnCiC,4,4,25,0.6100000000000001,0.8612500000000001,0.6100000000000001,0.8612500000000001,0.0375
historical_all__all_strict_geometry,fixed_common_support_k20,16,rPc6DW4iMge,6,6,26,0.6775000000000001,0.9249999999999999,0.6775000000000001,0.9249999999999999,0.06083333333333333
historical_all__all_strict_geometry,fixed_common_support_k20,16,uNb9QFRL6hY,11,11,26,0.8663636363636364,0.9149999999999999,0.8663636363636364,0.9149999999999999,0.022727272727272728
historical_all__all_strict_geometry,fixed_common_support_k20,16,wc2JMjhGNzB,4,4,24,0.8324999999999999,0.90125,0.8324999999999999,0.90125,0.04625
historical_all__all_strict_geometry,fixed_common_support_k20,16,x8F5xyUWy9e,1,1,24,1.0,1.0,1.0,1.0,0.01
historical_all__all_strict_geometry,fixed_common_support_k20,16,yqstnuAEVhm,6,6,26,0.7983333333333335,0.9225,0.7983333333333335,0.9225,0.0375
historical_all__all_strict_geometry,fixed_common_support_k20,17,7y3sRwLe3Va,1,1,25,0.58,1.0,0.58,1.0,0.03
historical_all__all_strict_geometry,fixed_common_support_k20,17,B6ByNegPMKs,3,3,25,0.77,0.9833333333333334,0.77,0.9833333333333334,0.04833333333333333
historical_all__all_strict_geometry,fixed_common_support_k20,17,UwV83HsGsw3,3,3,24,0.82,1.0,0.82,1.0,0.023333333333333334
historical_all__all_strict_geometry,fixed_common_support_k20,17,X7HyMhZNoso,1,1,25,0.7,1.0,0.7,1.0,0.05
historical_all__all_strict_geometry,fixed_common_support_k20,17,b8cTxDM8gDG,1,1,26,0.35,0.35,0.35,0.35,0.045
historical_all__all_strict_geometry,fixed_common_support_k20,17,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,17,q9vSo1VnCiC,4,4,25,0.645,0.875,0.645,0.875,0.035
historical_all__all_strict_geometry,fixed_common_support_k20,17,rPc6DW4iMge,6,6,26,0.7083333333333334,0.9283333333333333,0.7083333333333334,0.9283333333333333,0.057499999999999996
historical_all__all_strict_geometry,fixed_common_support_k20,17,uNb9QFRL6hY,11,11,26,0.8895454545454545,0.93,0.8895454545454545,0.93,0.024999999999999998
