comparison_stratum,design,feature,baseline,algorithm,n_pairs,n_buildings,n_images,pair_concordance,building_macro_concordance,lo,hi
main_within_building,within_main,selected__dinov3,global,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
main_within_building,within_main,selected__dinov3,main,ridge,62,3,37,0.387096774194,0.453333333333,0.36,0.5
main_within_building,within_main,selected__existing,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__existing,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__existing_plus_dino,global,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__existing_plus_dino,main,ridge,62,3,37,0.677419354839,0.573333333333,0.5,0.72
main_within_building,within_main,selected__feedback,global,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
main_within_building,within_main,selected__feedback,main,ridge,62,3,37,0.66935483871,0.545555555556,0.416666666667,0.72
main_within_building,within_main,selected__hohonet,global,ridge,62,3,37,0.693548387097,0.58,0.5,0.74
main_within_building,within_main,selected__hohonet,main,ridge,62,3,37,0.693548387097,0.58,0.5,0.74
main_within_building,within_main,selected__semantic,global,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
main_within_building,within_main,selected__semantic,main,ridge,62,3,37,0.427419354839,0.47,0.41,0.5
main_within_building,within_main,selected__ulayout,global,ridge,62,3,37,0.5,0.5,0.5,0.5
main_within_building,within_main,selected__ulayout,main,ridge,62,3,37,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,baseline__coarse,none,frequency,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,baseline__global,none,frequency,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,baseline__main,none,frequency,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,selected__all_models,global,ridge,18,3,17,0.472222222222,0.472222222222,0,1
supported_room_same_coarse,pooled,selected__all_models,main,ridge,18,3,17,0.75,0.75,0.583333333333,1
supported_room_same_coarse,pooled,selected__bilayout,global,ridge,18,3,17,0.666666666667,0.666666666667,0.333333333333,1
supported_room_same_coarse,pooled,selected__bilayout,main,ridge,18,3,17,0.444444444444,0.444444444444,0.333333333333,0.5
supported_room_same_coarse,pooled,selected__da3,global,ridge,18,3,17,0.666666666667,0.666666666667,0.5,0.833333333333
supported_room_same_coarse,pooled,selected__da3,main,ridge,18,3,17,0.611111111111,0.611111111111,0.333333333333,1
supported_room_same_coarse,pooled,selected__dinov3,global,ridge,18,3,17,0.611111111111,0.611111111111,0,1
supported_room_same_coarse,pooled,selected__dinov3,main,ridge,18,3,17,0.611111111111,0.611111111111,0,1
supported_room_same_coarse,pooled,selected__existing,global,ridge,18,3,17,0.694444444444,0.694444444444,0.416666666667,1
supported_room_same_coarse,pooled,selected__existing,main,ridge,18,3,17,0.75,0.75,0.583333333333,1
supported_room_same_coarse,pooled,selected__existing_plus_dino,global,ridge,18,3,17,0.555555555556,0.555555555556,0,1
supported_room_same_coarse,pooled,selected__existing_plus_dino,main,ridge,18,3,17,0.583333333333,0.583333333333,0.166666666667,1
supported_room_same_coarse,pooled,selected__feedback,global,ridge,18,3,17,0.694444444444,0.694444444444,0.416666666667,1
supported_room_same_coarse,pooled,selected__feedback,main,ridge,18,3,17,0.75,0.75,0.583333333333,1
supported_room_same_coarse,pooled,selected__hohonet,global,ridge,18,3,17,0.944444444444,0.944444444444,0.833333333333,1
supported_room_same_coarse,pooled,selected__hohonet,main,ridge,18,3,17,0.666666666667,0.666666666667,0,1
supported_room_same_coarse,pooled,selected__semantic,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,selected__semantic,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,pooled,selected__ulayout,global,ridge,18,3,17,0.5,0.5,0.166666666667,0.833333333333
supported_room_same_coarse,pooled,selected__ulayout,main,ridge,18,3,17,0.333333333333,0.333333333333,0.166666666667,0.666666666667
supported_room_same_coarse,within_coarse,selected__all_models,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__all_models,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__bilayout,global,ridge,18,3,17,0.611111111111,0.611111111111,0.5,0.833333333333
supported_room_same_coarse,within_coarse,selected__bilayout,main,ridge,18,3,17,0.611111111111,0.611111111111,0.5,0.833333333333
supported_room_same_coarse,within_coarse,selected__da3,global,ridge,18,3,17,0.388888888889,0.388888888889,0.166666666667,0.5
supported_room_same_coarse,within_coarse,selected__da3,main,ridge,18,3,17,0.388888888889,0.388888888889,0.166666666667,0.5
supported_room_same_coarse,within_coarse,selected__dinov3,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__dinov3,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__existing,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__existing,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__existing_plus_dino,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__existing_plus_dino,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__feedback,global,ridge,18,3,17,0.472222222222,0.472222222222,0.416666666667,0.5
supported_room_same_coarse,within_coarse,selected__feedback,main,ridge,18,3,17,0.472222222222,0.472222222222,0.416666666667,0.5
supported_room_same_coarse,within_coarse,selected__hohonet,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__hohonet,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__semantic,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__semantic,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__ulayout,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_coarse,selected__ulayout,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__all_models,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__all_models,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__bilayout,global,ridge,18,3,17,0.611111111111,0.611111111111,0.5,0.833333333333
supported_room_same_coarse,within_main,selected__bilayout,main,ridge,18,3,17,0.611111111111,0.611111111111,0.5,0.833333333333
supported_room_same_coarse,within_main,selected__da3,global,ridge,18,3,17,0.388888888889,0.388888888889,0.166666666667,0.5
supported_room_same_coarse,within_main,selected__da3,main,ridge,18,3,17,0.388888888889,0.388888888889,0.166666666667,0.5
supported_room_same_coarse,within_main,selected__dinov3,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__dinov3,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__existing,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__existing,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__existing_plus_dino,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__existing_plus_dino,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__feedback,global,ridge,18,3,17,0.472222222222,0.472222222222,0.416666666667,0.5
supported_room_same_coarse,within_main,selected__feedback,main,ridge,18,3,17,0.472222222222,0.472222222222,0.416666666667,0.5
supported_room_same_coarse,within_main,selected__hohonet,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__hohonet,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__semantic,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__semantic,main,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__ulayout,global,ridge,18,3,17,0.5,0.5,0.5,0.5
supported_room_same_coarse,within_main,selected__ulayout,main,ridge,18,3,17,0.5,0.5,0.5,0.5
