image_id,building_id,config,common_people_budget,k_max,lookahead,min_support,epsilon,repeat_rate,N_possible,N_lower_bound_crossing,N_identified,N_status
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.975,23,18,5,2,0.1,0.8,16.0,,,unknown
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,10.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,12.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,8.0,8.0,8.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,13.0,,,unknown
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,8.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,16.0,,,unknown
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,10.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.925,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,9.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,6.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.900,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,8.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,8.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,10.0,,,unknown
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,8.0,,,unknown
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,q_0.800,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,,,,not_reached
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,8.0,8.0,8.0,identified
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,ospa30_t6,23,18,5,2,0.1,0.8,,,,not_reached
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.975,25,20,5,2,0.1,0.8,19.0,,,unknown
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.975,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.950,25,20,5,2,0.1,0.8,19.0,,,unknown
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.950,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.925,25,20,5,2,0.1,0.8,,,,not_reached
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.925,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.900,25,20,5,2,0.1,0.8,14.0,,,unknown
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.900,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.850,25,20,5,2,0.1,0.8,,,,not_reached
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.850,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,q_0.800,25,20,5,2,0.1,0.8,,,,not_reached
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,q_0.800,25,20,5,2,0.1,0.8,1.0,,,unknown
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,ospa30_t6,25,20,5,2,0.1,0.8,,,,not_reached
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,ospa30_t6,25,20,5,2,0.1,0.8,5.0,,,unknown
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.975,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.975,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.975,25,20,5,2,0.1,0.8,11.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.975,25,20,5,2,0.1,0.8,7.0,7.0,7.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.975,25,20,5,2,0.1,0.8,12.0,,,unknown
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.950,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.950,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.950,25,20,5,2,0.1,0.8,12.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.950,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.950,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.925,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.925,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.925,25,20,5,2,0.1,0.8,15.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.925,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.925,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.900,25,20,5,2,0.1,0.8,1.0,12.0,,unknown
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.900,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.900,25,20,5,2,0.1,0.8,15.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.900,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.900,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.850,25,20,5,2,0.1,0.8,1.0,2.0,,unknown
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.850,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.850,25,20,5,2,0.1,0.8,15.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.850,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.850,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,q_0.800,25,20,5,2,0.1,0.8,1.0,2.0,,unknown
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,q_0.800,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,q_0.800,25,20,5,2,0.1,0.8,15.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,q_0.800,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,q_0.800,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,ospa30_t6,25,20,5,2,0.1,0.8,5.0,5.0,5.0,identified
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,ospa30_t6,25,20,5,2,0.1,0.8,,,,not_reached
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,ospa30_t6,25,20,5,2,0.1,0.8,16.0,,,unknown
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,ospa30_t6,25,20,5,2,0.1,0.8,7.0,7.0,7.0,identified
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,ospa30_t6,25,20,5,2,0.1,0.8,12.0,,,unknown
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,5.0,,,unknown
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,6.0,,,unknown
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,q_0.975,23,18,5,2,0.1,0.8,15.0,,,unknown
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,18.0,18.0,18.0,identified
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,6.0,,,unknown
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,q_0.950,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,18.0,18.0,18.0,identified
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,6.0,,,unknown
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,q_0.925,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,18.0,,,unknown
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,18.0,18.0,18.0,identified
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,6.0,,,unknown
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,q_0.900,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,18.0,18.0,18.0,identified
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,5.0,5.0,5.0,identified
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,6.0,,,unknown
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,q_0.850,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,q_0.800,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,q_0.800,23,18,5,2,0.1,0.8,,,,not_reached
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,q_0.800,23,18,5,2,0.1,0.8,18.0,18.0,18.0,identified
