split,image_id,metric_object,coordinate_space,gt_variant,gt_source_type,image_path,model_path,gt_path,model_sha256,gt_sha256,model_pair_encoding_valid,model_pair_encoding_invalid_reason,model_point_count,gt_point_count,model_pair_count,gt_pair_count,pair_count_delta,topology_exact,pair_structure_correct,corner_match_threshold_px,corner_match_tp,corner_match_fp,corner_match_fn,corner_precision_1pct,corner_recall_1pct,corner_f1_1pct,corner_localization_pass,structural_localization_correct,mean_corner_error_px,corner_rmse_px,max_corner_error_px,corner_error_percent_diagonal,topdown_2d_iou,layoutnetv2_style_3d_iou,layout_depth_rmse_proxy,layout_depth_delta1_proxy,layout_metric_status,layout_metric_reason,layout_mask_iou,layout_mask_difference,boundary_rmse_px,geometry_acceptable,initialization_correct,near_identical,initialization_class,difference_band,topdown_2d_iou_ge_0_95,topdown_2d_iou_ge_0_9,topdown_2d_iou_ge_0_75,mask_difference_ge_0_01,mask_difference_ge_0_05,mask_difference_ge_0_1,mask_difference_ge_0_2,boundary_rmse_ge_5px,boundary_rmse_ge_10px,boundary_rmse_ge_20px,official_gt_sensitivity_initialization_class,official_gt_sensitivity_initialization_correct,official_gt_sensitivity_gt_pair_count,hybrid_vs_official_class_changed,hybrid_vs_official_topology_changed
test,7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,6d10deec92618d8c75dd6333cb34b742bd6f09e8d2731e72e7a59294d0687cb5,842f1d5242a6523561b146d254c6188da1d5e031764f0d512be5172c74b1461e,True,,12,8,6,4,2,False,False,10.24,8,4,0,0.66666667,1.0,0.8,False,False,,,,,0.92253482,0.90398015,0.09429503,1.0,proxy_evaluable,,0.83421209,0.16578791,31.569128,False,False,False,wrong_initialization_topology,large_difference_topology,False,True,True,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.txt,e953cdb867ba9a52c48ec1bfebd68eb37df53608f5329045e834829f7417800c,8f31d126301b0314217729835a7a70647e03681df132289e1b09cf1f8b5832d6,True,,12,12,6,6,0,True,True,10.24,10,2,2,0.83333333,0.83333333,0.83333333,False,False,8.565968,8.942659,13.023377,0.74820654,0.74498199,0.74469589,0.1783772,0.99668121,proxy_evaluable,,0.94344656,0.05655344,7.827326,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,False,True,True,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.txt,a2ed62e84a9e715e1261e78a27f3f6e0902e66fd50e5f6244c29bdac1aaa0e31,3f5eb87afc445b573b397bde55ff2336f37d55728ed5a1262470181aa9b008b9,True,,12,8,6,4,2,False,False,10.24,8,4,0,0.66666667,1.0,0.8,False,False,,,,,0.87604441,0.85886874,0.08449776,1.0,proxy_evaluable,,0.85134742,0.14865258,24.597904,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,True,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,1a1f81e6c2aa03831029f17ab737af1bcee009d7427b1c57019ea4bd9c1465b4,5242c35123f1b15c0d3752eb732d6c1b284a2b2444f59e0809bdb6e5c4d29cb8,True,,12,12,6,6,0,True,True,10.24,12,0,0,1.0,1.0,1.0,True,True,3.698122,4.459359,8.285152,0.32301769,0.83518304,0.81367395,0.10071143,1.0,proxy_evaluable,,0.96351428,0.03648572,5.838624,False,False,False,wrong_initialization_geometry,large_difference_geometry,False,False,True,True,False,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,0e3afa0f338710406c9c7620f92c5f3207b74b27072249a14daeee16338bafc4,34c5d7874f1ffc3eac4342c44e3912293571bde15c576a931c9008f123c88b87,True,,12,12,6,6,0,True,True,10.24,11,1,1,0.91666667,0.91666667,0.91666667,False,False,3.407076,4.767563,10.654025,0.29759582,0.96726417,0.9536213,0.04911444,0.99677086,proxy_evaluable,,0.97051152,0.02948848,5.908355,True,False,False,wrong_initialization_localization,large_difference_localization,True,True,True,True,False,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,confirmed_user_manual_gt_correction,data/mp3d_layout/test/img/7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b.txt,export_label/groudTruth.json,e9b8dba2043147f4c8fa6f5136bef195ba2b07b250229ee4f62927852f1b8484,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,True,,8,16,4,8,-4,False,False,10.24,8,0,8,1.0,0.5,0.66666667,False,False,,,,,0.91342074,0.90147331,0.09624493,1.0,proxy_evaluable,,0.96364739,0.03635261,3.877644,True,False,False,wrong_initialization_topology,large_difference_topology,False,True,True,True,False,False,False,False,False,False,correct_initialization,True,4,True,True
test,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.txt,36617e7e2f97588245d6d14490b9f03f3f2ce2e9c8ecabb824658ee28ec4c555,9047d89e8600b7ae1475a9f73a0ab7f88ab8f088043efde0c008f07bb56c44fc,True,,12,12,6,6,0,True,True,10.24,10,2,2,0.83333333,0.83333333,0.83333333,False,False,7.941261,8.253405,11.314434,0.69364063,0.80190775,0.78043989,0.16045043,0.99639893,proxy_evaluable,,0.93566354,0.06433646,7.436351,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,True,True,True,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.txt,7b864b3b0e7912c56992d925b2598a6b342e9464413e7ed492540704e143f409,535534d549e85af6df981acd979a936f139d731674e2d554b813044de3eb0f9b,True,,20,24,10,12,-2,False,False,10.24,12,8,12,0.6,0.5,0.54545455,False,False,,,,,0.58381387,0.57228937,0.71884906,0.87490845,proxy_evaluable,,0.7598311,0.2401689,39.177189,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,False,True,True,True,True,True,True,True,,,,False,False
test,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.txt,b0e4ed976b71a29f4a78679a739a05de841d9451c473b4d1a7275767716c8651,550b2ffb32a8ae9fe6c47215fd356c9605ea6a7758a6e00a832db74a4968cf6f,True,,16,16,8,8,0,True,True,10.24,16,0,0,1.0,1.0,1.0,True,True,3.918394,4.283422,6.550124,0.34225762,0.96705944,0.95428591,0.05567116,1.0,proxy_evaluable,,0.97012016,0.02987984,3.711136,True,True,False,correct_initialization,correct_but_visible_difference,True,True,True,True,False,False,False,False,False,False,,,,False,False
test,7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64.txt,96f6214dcd524b6c318ddca959cdb15a393f9ba39159c1a520985564a8e6f88e,784834a116e07d93a3cf0eb7d9d27ab01b103b20ec1902accad207282c286f4c,True,,12,12,6,6,0,True,True,10.24,12,0,0,1.0,1.0,1.0,True,True,5.25466,5.779253,9.061115,0.4589757,0.83140859,0.79543449,0.18829131,0.99986839,proxy_evaluable,,0.94261544,0.05738456,5.339414,False,False,False,wrong_initialization_geometry,large_difference_geometry,False,False,True,True,True,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.txt,1b59c778eb1c801d65d06f227d6e084a71affb8aee698564fdf278ca1e6e8847,f77c84d8b0e2c32a02bf6538ce437b7ce78c8086d5406606904d018dcb2f996e,True,,16,20,8,10,-2,False,False,10.24,16,0,4,1.0,0.8,0.88888889,False,False,,,,,0.77686804,0.76236757,0.20533425,0.98042297,proxy_evaluable,,0.94033447,0.05966553,11.016539,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,True,True,True,False,False,True,True,False,,,,False,False
test,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.txt,5be48783d239f031673142125b03b9a52b9b99999f36f8c8a4b2776322ab3ca4,3ab973541e2617fa9c160203504def6569559ba4515142daeef13d253421d3d0,True,,16,12,8,6,2,False,False,10.24,7,9,5,0.4375,0.58333333,0.5,False,False,,,,,0.68885899,0.65873011,0.31423196,0.93140602,proxy_evaluable,,0.73324439,0.26675561,35.675125,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,False,True,True,True,True,True,True,True,,,,False,False
test,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.txt,0981a6bd8e10493e7079e90a2c42fb904ad2a80567227003123621d583d0c27b,3be7cd55ca4e41f4d6933fbf677e7298a5ebd5768e4eb716b2e98ed7d83c4b33,True,,8,8,4,4,0,True,True,10.24,8,0,0,1.0,1.0,1.0,True,True,4.304326,4.576665,6.434518,0.3759674,0.88328408,0.86634163,0.08854284,1.0,proxy_evaluable,,0.97479651,0.02520349,3.903514,False,False,False,wrong_initialization_geometry,large_difference_geometry,False,False,True,True,False,False,False,False,False,False,,,,False,False
test,7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df.txt,fe4c8f314ac2d0dabae3f5ec596f2b379dcd176d911fcb21543662a190bc67a9,dc82b076eda406fac17e8feacb4eb6234393077a683c52736a6d059a591e839d,True,,12,12,6,6,0,True,True,10.24,8,4,4,0.66666667,0.66666667,0.66666667,False,False,39.461371,60.873637,120.111557,3.44680889,0.59283868,0.57929061,0.60291076,0.91195297,proxy_evaluable,,0.84488995,0.15511005,37.97934,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,False,True,True,True,False,True,True,True,,,,False,False
