condition,cut,rule,early_k,process_tier,images
manual,0.05,D20_distribution,3,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,3,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,3,singleton_support_insufficient,8
manual,0.05,D20_distribution,3,stable_many_supported_modes,2
manual,0.05,D20_distribution,4,early_one_or_two_supported_modes,4
manual,0.05,D20_distribution,4,insufficient_horizon_or_other_trajectory,81
manual,0.05,D20_distribution,4,insufficient_observed_people,51
manual,0.05,D20_distribution,4,intermediate_or_order_sensitive,7
manual,0.05,D20_distribution,4,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,4,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,4,singleton_support_insufficient,8
manual,0.05,D20_distribution,4,stable_many_supported_modes,2
manual,0.05,D20_distribution,5,early_one_or_two_supported_modes,6
manual,0.05,D20_distribution,5,insufficient_horizon_or_other_trajectory,79
manual,0.05,D20_distribution,5,insufficient_observed_people,51
manual,0.05,D20_distribution,5,intermediate_or_order_sensitive,7
manual,0.05,D20_distribution,5,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,5,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,5,singleton_support_insufficient,8
manual,0.05,D20_distribution,5,stable_many_supported_modes,2
manual,0.05,D20_distribution,6,early_one_or_two_supported_modes,6
manual,0.05,D20_distribution,6,insufficient_horizon_or_other_trajectory,79
manual,0.05,D20_distribution,6,insufficient_observed_people,51
manual,0.05,D20_distribution,6,intermediate_or_order_sensitive,7
manual,0.05,D20_distribution,6,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,6,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,6,singleton_support_insufficient,8
manual,0.05,D20_distribution,6,stable_many_supported_modes,2
manual,0.05,D20_distribution,7,early_one_or_two_supported_modes,6
manual,0.05,D20_distribution,7,insufficient_horizon_or_other_trajectory,79
manual,0.05,D20_distribution,7,insufficient_observed_people,51
manual,0.05,D20_distribution,7,intermediate_or_order_sensitive,7
manual,0.05,D20_distribution,7,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,7,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,7,singleton_support_insufficient,8
manual,0.05,D20_distribution,7,stable_many_supported_modes,2
manual,0.05,G10_geometry,2,early_one_or_two_supported_modes,4
manual,0.05,G10_geometry,2,insufficient_horizon_or_other_trajectory,81
manual,0.05,G10_geometry,2,insufficient_observed_people,51
manual,0.05,G10_geometry,2,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,2,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,2,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,2,singleton_support_insufficient,8
manual,0.05,G10_geometry,2,stable_many_supported_modes,2
manual,0.05,G10_geometry,3,early_one_or_two_supported_modes,4
manual,0.05,G10_geometry,3,insufficient_horizon_or_other_trajectory,81
manual,0.05,G10_geometry,3,insufficient_observed_people,51
manual,0.05,G10_geometry,3,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,3,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,3,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,3,singleton_support_insufficient,8
manual,0.05,G10_geometry,3,stable_many_supported_modes,2
manual,0.05,G10_geometry,4,early_one_or_two_supported_modes,4
manual,0.05,G10_geometry,4,insufficient_horizon_or_other_trajectory,81
manual,0.05,G10_geometry,4,insufficient_observed_people,51
manual,0.05,G10_geometry,4,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,4,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,4,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,4,singleton_support_insufficient,8
manual,0.05,G10_geometry,4,stable_many_supported_modes,2
manual,0.05,G10_geometry,5,early_one_or_two_supported_modes,6
manual,0.05,G10_geometry,5,insufficient_horizon_or_other_trajectory,79
manual,0.05,G10_geometry,5,insufficient_observed_people,51
manual,0.05,G10_geometry,5,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,5,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,5,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,5,singleton_support_insufficient,8
manual,0.05,G10_geometry,5,stable_many_supported_modes,2
manual,0.05,G10_geometry,6,early_one_or_two_supported_modes,6
manual,0.05,G10_geometry,6,insufficient_horizon_or_other_trajectory,79
manual,0.05,G10_geometry,6,insufficient_observed_people,51
manual,0.05,G10_geometry,6,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,6,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,6,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,6,singleton_support_insufficient,8
manual,0.05,G10_geometry,6,stable_many_supported_modes,2
manual,0.05,G10_geometry,7,early_one_or_two_supported_modes,6
manual,0.05,G10_geometry,7,insufficient_horizon_or_other_trajectory,79
manual,0.05,G10_geometry,7,insufficient_observed_people,51
manual,0.05,G10_geometry,7,intermediate_or_order_sensitive,7
manual,0.05,G10_geometry,7,invalid_records_preclude_process_tier,12
manual,0.05,G10_geometry,7,observed_fragmented_late_changes,22
manual,0.05,G10_geometry,7,singleton_support_insufficient,8
manual,0.05,G10_geometry,7,stable_many_supported_modes,2
manual,0.05,P_pattern,2,early_one_or_two_supported_modes,4
manual,0.05,P_pattern,2,insufficient_horizon_or_other_trajectory,81
manual,0.05,P_pattern,2,insufficient_observed_people,51
manual,0.05,P_pattern,2,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,2,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,2,observed_fragmented_late_changes,22
manual,0.05,P_pattern,2,singleton_support_insufficient,8
manual,0.05,P_pattern,2,stable_many_supported_modes,2
manual,0.05,P_pattern,3,early_one_or_two_supported_modes,4
manual,0.05,P_pattern,3,insufficient_horizon_or_other_trajectory,81
manual,0.05,P_pattern,3,insufficient_observed_people,51
manual,0.05,P_pattern,3,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,3,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,3,observed_fragmented_late_changes,22
manual,0.05,P_pattern,3,singleton_support_insufficient,8
manual,0.05,P_pattern,3,stable_many_supported_modes,2
manual,0.05,P_pattern,4,early_one_or_two_supported_modes,4
manual,0.05,P_pattern,4,insufficient_horizon_or_other_trajectory,81
manual,0.05,P_pattern,4,insufficient_observed_people,51
manual,0.05,P_pattern,4,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,4,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,4,observed_fragmented_late_changes,22
manual,0.05,P_pattern,4,singleton_support_insufficient,8
manual,0.05,P_pattern,4,stable_many_supported_modes,2
manual,0.05,P_pattern,5,early_one_or_two_supported_modes,6
manual,0.05,P_pattern,5,insufficient_horizon_or_other_trajectory,79
manual,0.05,P_pattern,5,insufficient_observed_people,51
manual,0.05,P_pattern,5,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,5,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,5,observed_fragmented_late_changes,22
manual,0.05,P_pattern,5,singleton_support_insufficient,8
manual,0.05,P_pattern,5,stable_many_supported_modes,2
manual,0.05,P_pattern,6,early_one_or_two_supported_modes,6
manual,0.05,P_pattern,6,insufficient_horizon_or_other_trajectory,79
manual,0.05,P_pattern,6,insufficient_observed_people,51
manual,0.05,P_pattern,6,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,6,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,6,observed_fragmented_late_changes,22
manual,0.05,P_pattern,6,singleton_support_insufficient,8
manual,0.05,P_pattern,6,stable_many_supported_modes,2
manual,0.05,P_pattern,7,early_one_or_two_supported_modes,6
manual,0.05,P_pattern,7,insufficient_horizon_or_other_trajectory,79
manual,0.05,P_pattern,7,insufficient_observed_people,51
manual,0.05,P_pattern,7,intermediate_or_order_sensitive,7
manual,0.05,P_pattern,7,invalid_records_preclude_process_tier,12
manual,0.05,P_pattern,7,observed_fragmented_late_changes,22
manual,0.05,P_pattern,7,singleton_support_insufficient,8
manual,0.05,P_pattern,7,stable_many_supported_modes,2
manual,0.1,D10_distribution,2,early_one_or_two_supported_modes,14
manual,0.1,D10_distribution,2,insufficient_horizon_or_other_trajectory,74
manual,0.1,D10_distribution,2,insufficient_observed_people,51
manual,0.1,D10_distribution,2,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,2,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,2,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,2,singleton_support_insufficient,9
manual,0.1,D10_distribution,2,stable_many_supported_modes,1
manual,0.1,D10_distribution,3,early_one_or_two_supported_modes,14
manual,0.1,D10_distribution,3,insufficient_horizon_or_other_trajectory,74
manual,0.1,D10_distribution,3,insufficient_observed_people,51
manual,0.1,D10_distribution,3,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,3,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,3,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,3,singleton_support_insufficient,9
manual,0.1,D10_distribution,3,stable_many_supported_modes,1
manual,0.1,D10_distribution,4,early_one_or_two_supported_modes,14
manual,0.1,D10_distribution,4,insufficient_horizon_or_other_trajectory,74
manual,0.1,D10_distribution,4,insufficient_observed_people,51
manual,0.1,D10_distribution,4,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,4,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,4,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,4,singleton_support_insufficient,9
manual,0.1,D10_distribution,4,stable_many_supported_modes,1
manual,0.1,D10_distribution,5,early_one_or_two_supported_modes,16
manual,0.1,D10_distribution,5,insufficient_horizon_or_other_trajectory,72
manual,0.1,D10_distribution,5,insufficient_observed_people,51
manual,0.1,D10_distribution,5,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,5,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,5,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,5,singleton_support_insufficient,9
manual,0.1,D10_distribution,5,stable_many_supported_modes,1
manual,0.1,D10_distribution,6,early_one_or_two_supported_modes,16
manual,0.1,D10_distribution,6,insufficient_horizon_or_other_trajectory,72
manual,0.1,D10_distribution,6,insufficient_observed_people,51
manual,0.1,D10_distribution,6,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,6,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,6,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,6,singleton_support_insufficient,9
manual,0.1,D10_distribution,6,stable_many_supported_modes,1
manual,0.1,D10_distribution,7,early_one_or_two_supported_modes,16
manual,0.1,D10_distribution,7,insufficient_horizon_or_other_trajectory,72
manual,0.1,D10_distribution,7,insufficient_observed_people,51
manual,0.1,D10_distribution,7,intermediate_or_order_sensitive,16
manual,0.1,D10_distribution,7,invalid_records_preclude_process_tier,12
manual,0.1,D10_distribution,7,observed_fragmented_late_changes,10
manual,0.1,D10_distribution,7,singleton_support_insufficient,9
manual,0.1,D10_distribution,7,stable_many_supported_modes,1
manual,0.1,D20_distribution,2,early_one_or_two_supported_modes,14
manual,0.1,D20_distribution,2,insufficient_horizon_or_other_trajectory,74
manual,0.1,D20_distribution,2,insufficient_observed_people,51
manual,0.1,D20_distribution,2,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,2,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,2,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,2,singleton_support_insufficient,9
manual,0.1,D20_distribution,2,stable_many_supported_modes,1
manual,0.1,D20_distribution,3,early_one_or_two_supported_modes,14
manual,0.1,D20_distribution,3,insufficient_horizon_or_other_trajectory,74
manual,0.1,D20_distribution,3,insufficient_observed_people,51
manual,0.1,D20_distribution,3,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,3,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,3,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,3,singleton_support_insufficient,9
manual,0.1,D20_distribution,3,stable_many_supported_modes,1
manual,0.1,D20_distribution,4,early_one_or_two_supported_modes,14
manual,0.1,D20_distribution,4,insufficient_horizon_or_other_trajectory,74
manual,0.1,D20_distribution,4,insufficient_observed_people,51
manual,0.1,D20_distribution,4,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,4,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,4,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,4,singleton_support_insufficient,9
manual,0.1,D20_distribution,4,stable_many_supported_modes,1
manual,0.1,D20_distribution,5,early_one_or_two_supported_modes,16
manual,0.1,D20_distribution,5,insufficient_horizon_or_other_trajectory,72
manual,0.1,D20_distribution,5,insufficient_observed_people,51
manual,0.1,D20_distribution,5,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,5,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,5,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,5,singleton_support_insufficient,9
manual,0.1,D20_distribution,5,stable_many_supported_modes,1
manual,0.1,D20_distribution,6,early_one_or_two_supported_modes,16
manual,0.1,D20_distribution,6,insufficient_horizon_or_other_trajectory,72
manual,0.1,D20_distribution,6,insufficient_observed_people,51
manual,0.1,D20_distribution,6,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,6,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,6,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,6,singleton_support_insufficient,9
manual,0.1,D20_distribution,6,stable_many_supported_modes,1
manual,0.1,D20_distribution,7,early_one_or_two_supported_modes,16
manual,0.1,D20_distribution,7,insufficient_horizon_or_other_trajectory,72
manual,0.1,D20_distribution,7,insufficient_observed_people,51
manual,0.1,D20_distribution,7,intermediate_or_order_sensitive,16
manual,0.1,D20_distribution,7,invalid_records_preclude_process_tier,12
manual,0.1,D20_distribution,7,observed_fragmented_late_changes,10
manual,0.1,D20_distribution,7,singleton_support_insufficient,9
manual,0.1,D20_distribution,7,stable_many_supported_modes,1
manual,0.1,G10_geometry,2,early_one_or_two_supported_modes,6
manual,0.1,G10_geometry,2,insufficient_horizon_or_other_trajectory,80
manual,0.1,G10_geometry,2,insufficient_observed_people,51
manual,0.1,G10_geometry,2,intermediate_or_order_sensitive,18
manual,0.1,G10_geometry,2,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,2,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,2,singleton_support_insufficient,9
manual,0.1,G10_geometry,2,stable_many_supported_modes,1
manual,0.1,G10_geometry,3,early_one_or_two_supported_modes,11
manual,0.1,G10_geometry,3,insufficient_horizon_or_other_trajectory,77
manual,0.1,G10_geometry,3,insufficient_observed_people,51
manual,0.1,G10_geometry,3,intermediate_or_order_sensitive,16
manual,0.1,G10_geometry,3,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,3,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,3,singleton_support_insufficient,9
manual,0.1,G10_geometry,3,stable_many_supported_modes,1
manual,0.1,G10_geometry,4,early_one_or_two_supported_modes,14
manual,0.1,G10_geometry,4,insufficient_horizon_or_other_trajectory,74
manual,0.1,G10_geometry,4,insufficient_observed_people,51
manual,0.1,G10_geometry,4,intermediate_or_order_sensitive,16
manual,0.1,G10_geometry,4,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,4,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,4,singleton_support_insufficient,9
manual,0.1,G10_geometry,4,stable_many_supported_modes,1
manual,0.1,G10_geometry,5,early_one_or_two_supported_modes,15
manual,0.1,G10_geometry,5,insufficient_horizon_or_other_trajectory,73
manual,0.1,G10_geometry,5,insufficient_observed_people,51
manual,0.1,G10_geometry,5,intermediate_or_order_sensitive,16
manual,0.1,G10_geometry,5,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,5,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,5,singleton_support_insufficient,9
manual,0.1,G10_geometry,5,stable_many_supported_modes,1
manual,0.1,G10_geometry,6,early_one_or_two_supported_modes,15
manual,0.1,G10_geometry,6,insufficient_horizon_or_other_trajectory,73
manual,0.1,G10_geometry,6,insufficient_observed_people,51
manual,0.1,G10_geometry,6,intermediate_or_order_sensitive,16
manual,0.1,G10_geometry,6,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,6,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,6,singleton_support_insufficient,9
manual,0.1,G10_geometry,6,stable_many_supported_modes,1
manual,0.1,G10_geometry,7,early_one_or_two_supported_modes,15
manual,0.1,G10_geometry,7,insufficient_horizon_or_other_trajectory,73
manual,0.1,G10_geometry,7,insufficient_observed_people,51
manual,0.1,G10_geometry,7,intermediate_or_order_sensitive,16
manual,0.1,G10_geometry,7,invalid_records_preclude_process_tier,12
manual,0.1,G10_geometry,7,observed_fragmented_late_changes,10
manual,0.1,G10_geometry,7,singleton_support_insufficient,9
manual,0.1,G10_geometry,7,stable_many_supported_modes,1
manual,0.1,P_pattern,2,early_one_or_two_supported_modes,14
manual,0.1,P_pattern,2,insufficient_horizon_or_other_trajectory,74
manual,0.1,P_pattern,2,insufficient_observed_people,51
manual,0.1,P_pattern,2,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,2,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,2,observed_fragmented_late_changes,10
manual,0.1,P_pattern,2,singleton_support_insufficient,9
manual,0.1,P_pattern,2,stable_many_supported_modes,1
manual,0.1,P_pattern,3,early_one_or_two_supported_modes,14
manual,0.1,P_pattern,3,insufficient_horizon_or_other_trajectory,74
manual,0.1,P_pattern,3,insufficient_observed_people,51
manual,0.1,P_pattern,3,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,3,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,3,observed_fragmented_late_changes,10
manual,0.1,P_pattern,3,singleton_support_insufficient,9
manual,0.1,P_pattern,3,stable_many_supported_modes,1
manual,0.1,P_pattern,4,early_one_or_two_supported_modes,14
manual,0.1,P_pattern,4,insufficient_horizon_or_other_trajectory,74
manual,0.1,P_pattern,4,insufficient_observed_people,51
manual,0.1,P_pattern,4,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,4,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,4,observed_fragmented_late_changes,10
manual,0.1,P_pattern,4,singleton_support_insufficient,9
manual,0.1,P_pattern,4,stable_many_supported_modes,1
manual,0.1,P_pattern,5,early_one_or_two_supported_modes,16
manual,0.1,P_pattern,5,insufficient_horizon_or_other_trajectory,72
manual,0.1,P_pattern,5,insufficient_observed_people,51
manual,0.1,P_pattern,5,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,5,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,5,observed_fragmented_late_changes,10
manual,0.1,P_pattern,5,singleton_support_insufficient,9
manual,0.1,P_pattern,5,stable_many_supported_modes,1
manual,0.1,P_pattern,6,early_one_or_two_supported_modes,16
manual,0.1,P_pattern,6,insufficient_horizon_or_other_trajectory,72
manual,0.1,P_pattern,6,insufficient_observed_people,51
manual,0.1,P_pattern,6,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,6,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,6,observed_fragmented_late_changes,10
manual,0.1,P_pattern,6,singleton_support_insufficient,9
manual,0.1,P_pattern,6,stable_many_supported_modes,1
manual,0.1,P_pattern,7,early_one_or_two_supported_modes,16
manual,0.1,P_pattern,7,insufficient_horizon_or_other_trajectory,72
manual,0.1,P_pattern,7,insufficient_observed_people,51
manual,0.1,P_pattern,7,intermediate_or_order_sensitive,16
manual,0.1,P_pattern,7,invalid_records_preclude_process_tier,12
manual,0.1,P_pattern,7,observed_fragmented_late_changes,10
manual,0.1,P_pattern,7,singleton_support_insufficient,9
manual,0.1,P_pattern,7,stable_many_supported_modes,1
manual,0.2,D10_distribution,2,early_one_or_two_supported_modes,29
manual,0.2,D10_distribution,2,insufficient_horizon_or_other_trajectory,63
manual,0.2,D10_distribution,2,insufficient_observed_people,51
manual,0.2,D10_distribution,2,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,2,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,2,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,2,singleton_support_insufficient,9
manual,0.2,D10_distribution,2,stable_many_supported_modes,3
manual,0.2,D10_distribution,3,early_one_or_two_supported_modes,29
manual,0.2,D10_distribution,3,insufficient_horizon_or_other_trajectory,63
manual,0.2,D10_distribution,3,insufficient_observed_people,51
manual,0.2,D10_distribution,3,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,3,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,3,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,3,singleton_support_insufficient,9
manual,0.2,D10_distribution,3,stable_many_supported_modes,3
manual,0.2,D10_distribution,4,early_one_or_two_supported_modes,29
manual,0.2,D10_distribution,4,insufficient_horizon_or_other_trajectory,63
manual,0.2,D10_distribution,4,insufficient_observed_people,51
manual,0.2,D10_distribution,4,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,4,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,4,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,4,singleton_support_insufficient,9
manual,0.2,D10_distribution,4,stable_many_supported_modes,3
manual,0.2,D10_distribution,5,early_one_or_two_supported_modes,30
manual,0.2,D10_distribution,5,insufficient_horizon_or_other_trajectory,62
manual,0.2,D10_distribution,5,insufficient_observed_people,51
manual,0.2,D10_distribution,5,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,5,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,5,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,5,singleton_support_insufficient,9
manual,0.2,D10_distribution,5,stable_many_supported_modes,3
manual,0.2,D10_distribution,6,early_one_or_two_supported_modes,30
manual,0.2,D10_distribution,6,insufficient_horizon_or_other_trajectory,62
manual,0.2,D10_distribution,6,insufficient_observed_people,51
manual,0.2,D10_distribution,6,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,6,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,6,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,6,singleton_support_insufficient,9
manual,0.2,D10_distribution,6,stable_many_supported_modes,3
manual,0.2,D10_distribution,7,early_one_or_two_supported_modes,30
manual,0.2,D10_distribution,7,insufficient_horizon_or_other_trajectory,62
manual,0.2,D10_distribution,7,insufficient_observed_people,51
manual,0.2,D10_distribution,7,intermediate_or_order_sensitive,16
manual,0.2,D10_distribution,7,invalid_records_preclude_process_tier,12
manual,0.2,D10_distribution,7,observed_fragmented_late_changes,4
manual,0.2,D10_distribution,7,singleton_support_insufficient,9
manual,0.2,D10_distribution,7,stable_many_supported_modes,3
manual,0.2,D20_distribution,2,early_one_or_two_supported_modes,29
manual,0.2,D20_distribution,2,insufficient_horizon_or_other_trajectory,63
manual,0.2,D20_distribution,2,insufficient_observed_people,51
manual,0.2,D20_distribution,2,intermediate_or_order_sensitive,16
manual,0.2,D20_distribution,2,invalid_records_preclude_process_tier,12
manual,0.2,D20_distribution,2,observed_fragmented_late_changes,4
manual,0.2,D20_distribution,2,singleton_support_insufficient,9
manual,0.2,D20_distribution,2,stable_many_supported_modes,3
manual,0.2,D20_distribution,3,early_one_or_two_supported_modes,29
manual,0.2,D20_distribution,3,insufficient_horizon_or_other_trajectory,63
manual,0.2,D20_distribution,3,insufficient_observed_people,51
manual,0.2,D20_distribution,3,intermediate_or_order_sensitive,16
manual,0.2,D20_distribution,3,invalid_records_preclude_process_tier,12
manual,0.2,D20_distribution,3,observed_fragmented_late_changes,4
manual,0.2,D20_distribution,3,singleton_support_insufficient,9
manual,0.2,D20_distribution,3,stable_many_supported_modes,3
manual,0.2,D20_distribution,4,early_one_or_two_supported_modes,29
