image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.2,通行与连接,24,3,2,0.958333333333,0.0416666666667,0.625,0.0833333333333,0.474308300395,0.0578849777264,0.332365365188,0.0565413493221,0.0595189429404,0.0316185538901,0.117198373746,1.14315587847,0.249882292833,1,0,True,24,0,P1,1,0,0.035,0.00166666666667,0,1,False,通行与连接,work
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.05,工作与学习,5,5,0,0,1,0.2,0.4,1,,0.105644818681,,,,0.106489725455,2.32192809489,0.721928094887,0,0,False,5,0,C1,1,0,1,0,0,5,True,工作与学习,living
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.1,工作与学习,5,4,1,0.4,0.6,0.4,0.4,0.833333333333,0.0664213357058,0.113489515276,0.0664213357058,0.0664213357058,0.0664213357058,0.106489725455,1.92192809489,0.721928094887,1,0,False,5,0,C1,1,0,0.5,0.273333333333,0.0311111111111,3,False,工作与学习,living
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,0.2,工作与学习,5,2,1,0.8,0.2,0.8,0.4,0,0.105644818681,,0.106489725455,0.106489725455,0.106489725455,0.106489725455,0.721928094887,0.721928094887,1,0,False,5,0,C1,1,0,0.203333333333,0.13,0,1,False,工作与学习,living
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.05,工作与学习,4,2,1,0.75,0.25,0.75,0,0.5,0.000529430084086,0.252141174169,0.000794145126129,0.000794145126129,0.000794145126129,0.126378464749,0.811278124459,-0,1,0,False,4,0,C1,1,0,0.26,0.24,0,1,False,工作与学习,living
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.1,工作与学习,4,2,1,0.75,0.25,0.75,0,0.5,0.000529430084086,0.252141174169,0.000794145126129,0.000794145126129,0.000794145126129,0.126378464749,0.811278124459,-0,1,0,False,4,0,C1,1,0,0.24,0.26,0,1,False,工作与学习,living
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,0.2,工作与学习,4,2,1,0.75,0.25,0.75,0,0.5,0.000529430084086,0.252141174169,0.000794145126129,0.000794145126129,0.000794145126129,0.126378464749,0.811278124459,-0,1,0,False,4,0,C1,1,0,0.23,0.27,0,1,False,工作与学习,living
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.05,起居与休闲,5,3,1,0.6,0.4,0.6,0,0.7,0.0252838833293,0.05616932646,0.0254710411495,0.0254710411495,0.0254710411495,0.0481958237761,1.37095059445,-0,1,0,False,5,0,C1,1,0,0.21,0.176666666667,0.0622222222222,2,False,起居与休闲,living
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,5,1,1,1,0,1,0,0,0.0469036935208,,0.0481958237761,0.0481958237761,0.0481958237761,0.0481958237761,-0,-0,1,0,False,5,0,C1,1,0,0,0,0,0,False,起居与休闲,living
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.2,起居与休闲,5,1,1,1,0,1,0,0,0.0469036935208,,0.0481958237761,0.0481958237761,0.0481958237761,0.0481958237761,-0,-0,1,0,False,5,0,C1,1,0,0,0,0,0,False,起居与休闲,living
