image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry,late_h,max_few_modes,max_singleton_mass,order_fraction_required,p_sustained_onset_between_k_and_h,process_tier,difficulty_tag,difficulty_status,scene_category,main_function_primary,room_status
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.05,G10_geometry,7,6,6,0,2,0.333333333333,0,0,,0.443333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.1,P_pattern,7,6,6,0,2,0.333333333333,0,0,,0.48,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.1,D10_distribution,7,6,6,0,2,0.333333333333,0,0,,0.48,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.1,D20_distribution,7,6,6,0,2,0.333333333333,0,0,,0.48,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.1,G10_geometry,7,6,6,0,2,0.333333333333,0,0,,0.48,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.2,P_pattern,7,6,6,0,2,0.166666666667,0,0,,0.206666666667,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.2,D10_distribution,7,6,6,0,2,0.166666666667,0,0,,0.206666666667,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.2,D20_distribution,7,6,6,0,2,0.166666666667,0,0,,0.206666666667,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.2,G10_geometry,7,6,6,0,2,0.166666666667,0,0,,0.206666666667,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.05,P_pattern,7,4,4,0,1,0.5,0,0,,0.55,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.05,D10_distribution,7,4,4,0,1,0.5,0,0,,0.55,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.05,D20_distribution,7,4,4,0,1,0.5,0,0,,0.55,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.05,G10_geometry,7,4,4,0,1,0.5,0,0,,0.55,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.1,P_pattern,7,4,4,0,1,0.5,0,0,,0.575,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.1,D10_distribution,7,4,4,0,1,0.5,0,0,,0.575,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.1,D20_distribution,7,4,4,0,1,0.5,0,0,,0.575,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.1,G10_geometry,7,4,4,0,1,0.5,0,0,,0.575,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.2,P_pattern,7,4,4,0,1,0.25,0,0,,0.24,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.2,D10_distribution,7,4,4,0,1,0.25,0,0,,0.24,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.2,D20_distribution,7,4,4,0,1,0.25,0,0,,0.24,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,0.2,G10_geometry,7,4,4,0,1,0.25,0,0,,0.24,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.05,P_pattern,7,20,20,0,3,0.05,0,0.79,18,0.007,15,3,0.1,0.8,0.23,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.05,D10_distribution,7,20,20,0,3,0.05,0,0.79,18,0.007,15,3,0.1,0.8,0.17,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.05,D20_distribution,7,20,20,0,3,0.05,0,0.79,18,0.007,15,3,0.1,0.8,0.23,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.05,G10_geometry,7,20,20,0,3,0.05,0,0.79,18,0.007,15,3,0.1,0.8,0.17,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.1,P_pattern,7,20,20,0,1,0.05,0.09,0.95,14,0,15,3,0.1,0.8,0.55,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.1,D10_distribution,7,20,20,0,1,0.05,0.09,0.95,14,0,15,3,0.1,0.8,0.55,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.1,D20_distribution,7,20,20,0,1,0.05,0.09,0.95,14,0,15,3,0.1,0.8,0.55,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.1,G10_geometry,7,20,20,0,1,0.05,0.09,0.95,14,0,15,3,0.1,0.8,0.55,intermediate_or_order_sensitive,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.2,P_pattern,7,20,20,0,1,0,1,1,2,0,15,3,0.1,0.8,0,early_one_or_two_supported_modes,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.2,D10_distribution,7,20,20,0,1,0,1,1,2,0,15,3,0.1,0.8,0,early_one_or_two_supported_modes,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.2,D20_distribution,7,20,20,0,1,0,1,1,2,0,15,3,0.1,0.8,0,early_one_or_two_supported_modes,简单,labelled,卧室,sleep,supported_component
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,0.2,G10_geometry,7,20,20,0,1,0,0.99,1,3,0,15,3,0.1,0.8,0.01,early_one_or_two_supported_modes,简单,labelled,卧室,sleep,supported_component
