condition,cut,rule,confirmation,early_k,late_h,process_tier,images
manual,0.05,D10_distribution,suffix_only,4,12,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_only,4,12,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,suffix_only,4,12,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_only,4,12,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_only,4,12,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_only,4,12,stable_many_supported_modes,2
manual,0.05,D10_distribution,suffix_only,4,15,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_only,4,15,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_only,4,15,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_only,4,15,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,suffix_only,4,15,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_only,4,15,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_only,4,15,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_only,4,15,stable_many_supported_modes,2
manual,0.05,D10_distribution,suffix_only,4,18,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_only,4,18,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_only,4,18,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_only,4,18,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,suffix_only,4,18,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_only,4,18,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_only,4,18,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_only,4,18,stable_many_supported_modes,2
manual,0.05,D10_distribution,suffix_only,4,19,early_one_or_two_supported_modes,4
