condition,target,design,method,status,target_images
manual,candidate_v2,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,dinov3__block12__panorama_mean,ok,57
manual,candidate_v2,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,dinov3__block3__panorama_mean,ok,57
manual,candidate_v2,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,dinov3__cls__panorama,ok,57
manual,candidate_v2,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,source_frequency_or_median,ok,57
manual,candidate_v2,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,uniform_random_source_expectation,ok,57
manual,candidate_v2,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,dinov3__block12__faces_global,ok,10
manual,candidate_v2,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,dinov3__block12__panorama_mean,ok,10
manual,candidate_v2,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,dinov3__block3__panorama_mean,ok,10
manual,candidate_v2,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,dinov3__cls__panorama,ok,10
manual,candidate_v2,supported_same_room,source_frequency_or_median,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,source_frequency_or_median,ok,10
manual,candidate_v2,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,51
manual,candidate_v2,supported_same_room,uniform_random_source_expectation,ok,10
manual,core10_p_by_19,all_other_building,dinov3__block12__faces_global,ok,133
manual,core10_p_by_19,all_other_building,dinov3__block12__panorama_mean,ok,133
manual,core10_p_by_19,all_other_building,dinov3__block3__panorama_mean,ok,133
manual,core10_p_by_19,all_other_building,dinov3__cls__panorama,ok,133
manual,core10_p_by_19,all_other_building,source_frequency_or_median,ok,133
manual,core10_p_by_19,all_other_building,uniform_random_source_expectation,ok,133
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__faces_global,ok,131
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__panorama_mean,ok,131
manual,core10_p_by_19,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,dinov3__block3__panorama_mean,ok,131
manual,core10_p_by_19,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,dinov3__cls__panorama,ok,131
manual,core10_p_by_19,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,source_frequency_or_median,ok,131
manual,core10_p_by_19,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,2
manual,core10_p_by_19,same_building_diagnostic,uniform_random_source_expectation,ok,131
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__faces_global,ok,133
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,133
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,133
manual,core10_p_by_19,same_mainspace_other_building,dinov3__cls__panorama,ok,133
manual,core10_p_by_19,same_mainspace_other_building,source_frequency_or_median,ok,133
manual,core10_p_by_19,same_mainspace_other_building,uniform_random_source_expectation,ok,133
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__faces_global,ok,126
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__panorama_mean,ok,126
manual,core10_p_by_19,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,dinov3__block3__panorama_mean,ok,126
manual,core10_p_by_19,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,dinov3__cls__panorama,ok,126
manual,core10_p_by_19,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,source_frequency_or_median,ok,126
manual,core10_p_by_19,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,7
manual,core10_p_by_19,same_scene_other_building,uniform_random_source_expectation,ok,126
manual,core10_p_by_19,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,dinov3__block12__faces_global,ok,24
manual,core10_p_by_19,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,dinov3__block12__panorama_mean,ok,24
manual,core10_p_by_19,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,dinov3__block3__panorama_mean,ok,24
manual,core10_p_by_19,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,dinov3__cls__panorama,ok,24
manual,core10_p_by_19,supported_same_room,source_frequency_or_median,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,source_frequency_or_median,ok,24
manual,core10_p_by_19,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,109
manual,core10_p_by_19,supported_same_room,uniform_random_source_expectation,ok,24
manual,core_tail_10,all_other_building,dinov3__block12__faces_global,ok,133
manual,core_tail_10,all_other_building,dinov3__block12__panorama_mean,ok,133
manual,core_tail_10,all_other_building,dinov3__block3__panorama_mean,ok,133
manual,core_tail_10,all_other_building,dinov3__cls__panorama,ok,133
manual,core_tail_10,all_other_building,source_frequency_or_median,ok,133
manual,core_tail_10,all_other_building,uniform_random_source_expectation,ok,133
manual,core_tail_10,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,dinov3__block12__faces_global,ok,131
manual,core_tail_10,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,dinov3__block12__panorama_mean,ok,131
manual,core_tail_10,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,dinov3__block3__panorama_mean,ok,131
manual,core_tail_10,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,dinov3__cls__panorama,ok,131
manual,core_tail_10,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,source_frequency_or_median,ok,131
manual,core_tail_10,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,2
manual,core_tail_10,same_building_diagnostic,uniform_random_source_expectation,ok,131
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__faces_global,ok,133
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,133
manual,core_tail_10,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,133
manual,core_tail_10,same_mainspace_other_building,dinov3__cls__panorama,ok,133
manual,core_tail_10,same_mainspace_other_building,source_frequency_or_median,ok,133
manual,core_tail_10,same_mainspace_other_building,uniform_random_source_expectation,ok,133
manual,core_tail_10,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,dinov3__block12__faces_global,ok,126
manual,core_tail_10,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,dinov3__block12__panorama_mean,ok,126
manual,core_tail_10,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,dinov3__block3__panorama_mean,ok,126
manual,core_tail_10,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,dinov3__cls__panorama,ok,126
manual,core_tail_10,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,source_frequency_or_median,ok,126
manual,core_tail_10,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,7
manual,core_tail_10,same_scene_other_building,uniform_random_source_expectation,ok,126
manual,core_tail_10,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,dinov3__block12__faces_global,ok,24
manual,core_tail_10,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,dinov3__block12__panorama_mean,ok,24
manual,core_tail_10,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,dinov3__block3__panorama_mean,ok,24
manual,core_tail_10,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,dinov3__cls__panorama,ok,24
manual,core_tail_10,supported_same_room,source_frequency_or_median,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,source_frequency_or_median,ok,24
manual,core_tail_10,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,109
manual,core_tail_10,supported_same_room,uniform_random_source_expectation,ok,24
manual,full_p_by_8,all_other_building,dinov3__block12__faces_global,ok,133
manual,full_p_by_8,all_other_building,dinov3__block12__panorama_mean,ok,133
manual,full_p_by_8,all_other_building,dinov3__block3__panorama_mean,ok,133
manual,full_p_by_8,all_other_building,dinov3__cls__panorama,ok,133
manual,full_p_by_8,all_other_building,source_frequency_or_median,ok,133
manual,full_p_by_8,all_other_building,uniform_random_source_expectation,ok,133
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__faces_global,ok,131
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__panorama_mean,ok,131
manual,full_p_by_8,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,dinov3__block3__panorama_mean,ok,131
manual,full_p_by_8,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,dinov3__cls__panorama,ok,131
manual,full_p_by_8,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,source_frequency_or_median,ok,131
manual,full_p_by_8,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,2
manual,full_p_by_8,same_building_diagnostic,uniform_random_source_expectation,ok,131
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__faces_global,ok,133
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,133
manual,full_p_by_8,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,133
manual,full_p_by_8,same_mainspace_other_building,dinov3__cls__panorama,ok,133
manual,full_p_by_8,same_mainspace_other_building,source_frequency_or_median,ok,133
manual,full_p_by_8,same_mainspace_other_building,uniform_random_source_expectation,ok,133
manual,full_p_by_8,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,dinov3__block12__faces_global,ok,126
manual,full_p_by_8,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,dinov3__block12__panorama_mean,ok,126
manual,full_p_by_8,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,dinov3__block3__panorama_mean,ok,126
manual,full_p_by_8,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,dinov3__cls__panorama,ok,126
manual,full_p_by_8,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,source_frequency_or_median,ok,126
manual,full_p_by_8,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,7
manual,full_p_by_8,same_scene_other_building,uniform_random_source_expectation,ok,126
manual,full_p_by_8,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,dinov3__block12__faces_global,ok,24
manual,full_p_by_8,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,dinov3__block12__panorama_mean,ok,24
manual,full_p_by_8,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,dinov3__block3__panorama_mean,ok,24
manual,full_p_by_8,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,dinov3__cls__panorama,ok,24
manual,full_p_by_8,supported_same_room,source_frequency_or_median,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,source_frequency_or_median,ok,24
manual,full_p_by_8,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,109
manual,full_p_by_8,supported_same_room,uniform_random_source_expectation,ok,24
manual,grade_v1,all_other_building,dinov3__block12__faces_global,ok,26
manual,grade_v1,all_other_building,dinov3__block12__panorama_mean,ok,26
manual,grade_v1,all_other_building,dinov3__block3__panorama_mean,ok,26
manual,grade_v1,all_other_building,dinov3__cls__panorama,ok,26
manual,grade_v1,all_other_building,source_frequency_or_median,ok,26
manual,grade_v1,all_other_building,uniform_random_source_expectation,ok,26
manual,grade_v1,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,dinov3__block12__faces_global,ok,22
manual,grade_v1,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,dinov3__block12__panorama_mean,ok,22
manual,grade_v1,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,dinov3__block3__panorama_mean,ok,22
manual,grade_v1,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,dinov3__cls__panorama,ok,22
manual,grade_v1,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,source_frequency_or_median,ok,22
manual,grade_v1,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,4
manual,grade_v1,same_building_diagnostic,uniform_random_source_expectation,ok,22
manual,grade_v1,same_mainspace_other_building,dinov3__block12__faces_global,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,dinov3__block12__faces_global,ok,24
manual,grade_v1,same_mainspace_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,24
manual,grade_v1,same_mainspace_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,24
manual,grade_v1,same_mainspace_other_building,dinov3__cls__panorama,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,dinov3__cls__panorama,ok,24
manual,grade_v1,same_mainspace_other_building,source_frequency_or_median,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,source_frequency_or_median,ok,24
manual,grade_v1,same_mainspace_other_building,uniform_random_source_expectation,no_eligible_source_history,2
manual,grade_v1,same_mainspace_other_building,uniform_random_source_expectation,ok,24
manual,grade_v1,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,dinov3__block12__faces_global,ok,25
manual,grade_v1,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,dinov3__block12__panorama_mean,ok,25
manual,grade_v1,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,dinov3__block3__panorama_mean,ok,25
manual,grade_v1,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,dinov3__cls__panorama,ok,25
manual,grade_v1,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,source_frequency_or_median,ok,25
manual,grade_v1,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,1
manual,grade_v1,same_scene_other_building,uniform_random_source_expectation,ok,25
manual,grade_v1,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,26
manual,grade_v1,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,26
manual,grade_v1,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,26
manual,grade_v1,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,26
manual,grade_v1,supported_same_room,source_frequency_or_median,no_eligible_source_history,26
manual,grade_v1,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,26
manual,half_tv_all,all_other_building,dinov3__block12__faces_global,ok,133
manual,half_tv_all,all_other_building,dinov3__block12__panorama_mean,ok,133
manual,half_tv_all,all_other_building,dinov3__block3__panorama_mean,ok,133
manual,half_tv_all,all_other_building,dinov3__cls__panorama,ok,133
manual,half_tv_all,all_other_building,source_frequency_or_median,ok,133
manual,half_tv_all,all_other_building,uniform_random_source_expectation,ok,133
manual,half_tv_all,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,dinov3__block12__faces_global,ok,131
manual,half_tv_all,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,dinov3__block12__panorama_mean,ok,131
manual,half_tv_all,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,dinov3__block3__panorama_mean,ok,131
manual,half_tv_all,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,dinov3__cls__panorama,ok,131
manual,half_tv_all,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,source_frequency_or_median,ok,131
manual,half_tv_all,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,2
manual,half_tv_all,same_building_diagnostic,uniform_random_source_expectation,ok,131
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__faces_global,ok,133
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,133
manual,half_tv_all,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,133
manual,half_tv_all,same_mainspace_other_building,dinov3__cls__panorama,ok,133
manual,half_tv_all,same_mainspace_other_building,source_frequency_or_median,ok,133
manual,half_tv_all,same_mainspace_other_building,uniform_random_source_expectation,ok,133
manual,half_tv_all,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,dinov3__block12__faces_global,ok,126
manual,half_tv_all,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,dinov3__block12__panorama_mean,ok,126
manual,half_tv_all,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,dinov3__block3__panorama_mean,ok,126
manual,half_tv_all,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,dinov3__cls__panorama,ok,126
manual,half_tv_all,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,source_frequency_or_median,ok,126
manual,half_tv_all,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,7
manual,half_tv_all,same_scene_other_building,uniform_random_source_expectation,ok,126
manual,half_tv_all,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,dinov3__block12__faces_global,ok,24
manual,half_tv_all,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,dinov3__block12__panorama_mean,ok,24
manual,half_tv_all,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,dinov3__block3__panorama_mean,ok,24
manual,half_tv_all,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,dinov3__cls__panorama,ok,24
manual,half_tv_all,supported_same_room,source_frequency_or_median,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,source_frequency_or_median,ok,24
manual,half_tv_all,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,109
manual,half_tv_all,supported_same_room,uniform_random_source_expectation,ok,24
manual,late_quarter_new,all_other_building,dinov3__block12__faces_global,ok,133
manual,late_quarter_new,all_other_building,dinov3__block12__panorama_mean,ok,133
manual,late_quarter_new,all_other_building,dinov3__block3__panorama_mean,ok,133
manual,late_quarter_new,all_other_building,dinov3__cls__panorama,ok,133
manual,late_quarter_new,all_other_building,source_frequency_or_median,ok,133
manual,late_quarter_new,all_other_building,uniform_random_source_expectation,ok,133
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__faces_global,ok,131
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__panorama_mean,ok,131
manual,late_quarter_new,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,dinov3__block3__panorama_mean,ok,131
manual,late_quarter_new,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,dinov3__cls__panorama,ok,131
manual,late_quarter_new,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,source_frequency_or_median,ok,131
manual,late_quarter_new,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,2
manual,late_quarter_new,same_building_diagnostic,uniform_random_source_expectation,ok,131
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__faces_global,ok,133
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,133
manual,late_quarter_new,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,133
manual,late_quarter_new,same_mainspace_other_building,dinov3__cls__panorama,ok,133
manual,late_quarter_new,same_mainspace_other_building,source_frequency_or_median,ok,133
manual,late_quarter_new,same_mainspace_other_building,uniform_random_source_expectation,ok,133
manual,late_quarter_new,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,dinov3__block12__faces_global,ok,126
manual,late_quarter_new,same_scene_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,dinov3__block12__panorama_mean,ok,126
manual,late_quarter_new,same_scene_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,dinov3__block3__panorama_mean,ok,126
manual,late_quarter_new,same_scene_other_building,dinov3__cls__panorama,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,dinov3__cls__panorama,ok,126
manual,late_quarter_new,same_scene_other_building,source_frequency_or_median,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,source_frequency_or_median,ok,126
manual,late_quarter_new,same_scene_other_building,uniform_random_source_expectation,no_eligible_source_history,7
manual,late_quarter_new,same_scene_other_building,uniform_random_source_expectation,ok,126
manual,late_quarter_new,supported_same_room,dinov3__block12__faces_global,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,dinov3__block12__faces_global,ok,24
manual,late_quarter_new,supported_same_room,dinov3__block12__panorama_mean,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,dinov3__block12__panorama_mean,ok,24
manual,late_quarter_new,supported_same_room,dinov3__block3__panorama_mean,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,dinov3__block3__panorama_mean,ok,24
manual,late_quarter_new,supported_same_room,dinov3__cls__panorama,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,dinov3__cls__panorama,ok,24
manual,late_quarter_new,supported_same_room,source_frequency_or_median,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,source_frequency_or_median,ok,24
manual,late_quarter_new,supported_same_room,uniform_random_source_expectation,no_eligible_source_history,109
manual,late_quarter_new,supported_same_room,uniform_random_source_expectation,ok,24
manual,singleton_share,all_other_building,dinov3__block12__faces_global,ok,187
manual,singleton_share,all_other_building,dinov3__block12__panorama_mean,ok,187
manual,singleton_share,all_other_building,dinov3__block3__panorama_mean,ok,187
manual,singleton_share,all_other_building,dinov3__cls__panorama,ok,187
manual,singleton_share,all_other_building,source_frequency_or_median,ok,187
manual,singleton_share,all_other_building,uniform_random_source_expectation,ok,187
manual,singleton_share,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,1
manual,singleton_share,same_building_diagnostic,dinov3__block12__faces_global,ok,186
manual,singleton_share,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,1
