condition,target,method,pure_image_feature,images,groups,delta,macro_delta,lo,hi
manual,core_tail_10,source_frequency_or_median,feedback_all,23,7,0.0326595607702,0.0143986729202,-0.0371676668839,0.0755650542537
manual,core_tail_10,source_frequency_or_median,feedback_counts,23,7,0.0351131242842,0.0224097437604,-0.0257154925216,0.0795758392587
manual,core_tail_10,source_frequency_or_median,scene_frequency,24,7,0.0529166666667,0.0445357142857,0.004,0.1013
manual,core_tail_10,source_frequency_or_median,selected_dino,24,7,-0.0135255260828,-0.012516106187,-0.106823253765,0.0770561919523
manual,full_p_by_8,dinov3__block12__panorama_mean,constant,24,7,0.14,0.15244047619,-0.0230357142857,0.324285714286
manual,full_p_by_8,dinov3__block12__panorama_mean,feedback_all,23,7,0.0350702753003,-0.00364390628773,-0.165509581255,0.201151514938
manual,full_p_by_8,dinov3__block12__panorama_mean,feedback_counts,23,7,0.0743920135131,0.0479677230116,-0.102695879026,0.255771651278
manual,full_p_by_8,dinov3__block12__panorama_mean,scene_frequency,24,7,0.0797916666667,0.0844047619048,-0.129278985507,0.304435833333
manual,full_p_by_8,dinov3__block12__panorama_mean,selected_dino,24,7,0.052150203409,-0.00666310188261,-0.19972401986,0.273553416519
manual,full_p_by_8,source_frequency_or_median,constant,24,7,0.126458333333,0.144702380952,-0.0546666666667,0.324285714286
manual,full_p_by_8,source_frequency_or_median,feedback_all,23,7,0.0350702753003,-0.00364390628773,-0.165509581255,0.201151514938
manual,full_p_by_8,source_frequency_or_median,feedback_counts,23,7,0.0743920135131,0.0479677230116,-0.102695879026,0.255771651278
manual,full_p_by_8,source_frequency_or_median,scene_frequency,24,7,0.06625,0.0766666666667,-0.157510416667,0.304435833333
manual,full_p_by_8,source_frequency_or_median,selected_dino,24,7,0.0386085367423,-0.0144011971207,-0.218272532977,0.273476716397
manual,half_tv_all,dinov3__block12__panorama_mean,constant,24,7,-0.0197814215525,-0.00770923011163,-0.057681959345,0.0228167383555
manual,half_tv_all,dinov3__block12__panorama_mean,feedback_all,23,7,0.00439095117137,0.010900612152,-0.0268117481669,0.0390203583708
manual,half_tv_all,dinov3__block12__panorama_mean,feedback_counts,23,7,0.00941865598149,0.019232765024,-0.0221539113073,0.0451962444601
manual,half_tv_all,dinov3__block12__panorama_mean,scene_frequency,24,7,-0.0329837574111,-0.0176653989428,-0.0730649920125,0.0139715448473
manual,half_tv_all,dinov3__block12__panorama_mean,selected_dino,24,7,-0.0187807232861,-0.00625754431817,-0.0477639436753,0.0201799871028
manual,half_tv_all,source_frequency_or_median,constant,24,7,-0.0222785531949,-0.00956397633157,-0.0541805642953,0.0199728454382
manual,half_tv_all,source_frequency_or_median,feedback_all,23,7,0.00178524858793,0.00861686474004,-0.0231361989519,0.0352127694482
manual,half_tv_all,source_frequency_or_median,feedback_counts,23,7,0.00681295339805,0.0169490176121,-0.0190314915444,0.0423018198863
manual,half_tv_all,source_frequency_or_median,scene_frequency,24,7,-0.0354808890535,-0.0195201451628,-0.0684196999341,0.0104771758506
manual,half_tv_all,source_frequency_or_median,selected_dino,24,7,-0.0212778549286,-0.00811229053811,-0.0444657381552,0.0160839285798
manual,late_quarter_new,dinov3__block12__panorama_mean,constant,24,7,0.0442361111112,0.0751726190478,-0.0172001075269,0.144541666667
manual,late_quarter_new,dinov3__block12__panorama_mean,feedback_all,23,7,0.13447301253,0.161292737839,0.0530463567617,0.233835417677
manual,late_quarter_new,dinov3__block12__panorama_mean,feedback_counts,23,7,0.121701321429,0.14507790202,0.0564046327083,0.205240565667
manual,late_quarter_new,dinov3__block12__panorama_mean,scene_frequency,24,7,-0.00305555555549,0.0345714285715,-0.074596153846,0.107578869048
manual,late_quarter_new,dinov3__block12__panorama_mean,selected_dino,24,7,0.0846324351837,0.115745216658,0.00502927190536,0.190212431752
manual,late_quarter_new,source_frequency_or_median,constant,24,7,0.0102430555556,0.0397956349207,-0.0376488095239,0.0973680759807
manual,late_quarter_new,source_frequency_or_median,feedback_all,23,7,0.0957048965879,0.1230546426,0.0336571819476,0.185229996863
manual,late_quarter_new,source_frequency_or_median,feedback_counts,23,7,0.0829332054869,0.106839806782,0.0305475980631,0.165625196039
manual,late_quarter_new,source_frequency_or_median,scene_frequency,24,7,-0.0370486111111,-0.000805555555477,-0.0943330745343,0.06375094697
manual,late_quarter_new,source_frequency_or_median,selected_dino,24,7,0.050639379628,0.0803682325313,-0.00983600870217,0.1351331511
manual,singleton_share,dinov3__block12__panorama_mean,constant,40,12,0.0867687747035,0.0446051090616,-0.0838901203576,0.24188078475
manual,singleton_share,dinov3__block12__panorama_mean,feedback_all,39,12,0.0935142993289,0.05407994331,-0.0936517872938,0.263982121155
manual,singleton_share,dinov3__block12__panorama_mean,feedback_counts,39,12,0.101922836945,0.0665295199377,-0.0824534376785,0.270078529919
manual,singleton_share,dinov3__block12__panorama_mean,scene_frequency,40,12,0.0759897891962,0.0357796259698,-0.111018604321,0.239933165743
manual,singleton_share,dinov3__block12__panorama_mean,selected_dino,40,12,0.108773222114,0.0847067053817,-0.0677720630614,0.276662571879
manual,singleton_share,source_frequency_or_median,constant,40,12,0.0592687747035,0.017475479432,-0.094016105347,0.198084592038
manual,singleton_share,source_frequency_or_median,feedback_all,39,12,0.0627450685596,0.0251910544211,-0.094797556538,0.209115360432
manual,singleton_share,source_frequency_or_median,feedback_counts,39,12,0.0711536061756,0.0376406310488,-0.0879022767102,0.213715682116
manual,singleton_share,source_frequency_or_median,scene_frequency,40,12,0.0484897891962,0.00864999634018,-0.112474314635,0.192738881785
manual,singleton_share,source_frequency_or_median,selected_dino,40,12,0.0812732221138,0.057577075752,-0.0716860101912,0.216808021503
manual,within_cluster_median,dinov3__block12__panorama_mean,constant,29,10,0.0112017884735,0.0121317313759,0.00285336765969,0.0196692135341
manual,within_cluster_median,dinov3__block12__panorama_mean,feedback_all,28,10,0.0108690031077,0.0124294649626,0.0036355652292,0.0191921499931
manual,within_cluster_median,dinov3__block12__panorama_mean,feedback_counts,28,10,0.0102792119854,0.0115519521988,0.00313643315421,0.0181966828387
manual,within_cluster_median,dinov3__block12__panorama_mean,scene_frequency,29,10,0.0132993694693,0.0134032142835,0.00562990581593,0.0206726708202
manual,within_cluster_median,dinov3__block12__panorama_mean,selected_dino,29,10,0.0117435428647,0.012622681473,0.00415906696592,0.0192718477014
manual,within_cluster_median,source_frequency_or_median,constant,29,10,0.00664260260811,0.00988548427158,0.00036169429842,0.0161955422427
manual,within_cluster_median,source_frequency_or_median,feedback_all,28,10,0.00772395335011,0.0106682370983,0.00133817810593,0.0170031114612
manual,within_cluster_median,source_frequency_or_median,feedback_counts,28,10,0.00713416222776,0.00979072433449,0.00116773452442,0.0157873346373
manual,within_cluster_median,source_frequency_or_median,scene_frequency,29,10,0.00874018360398,0.0111569671792,0.00316200467537,0.0167469388658
manual,within_cluster_median,source_frequency_or_median,selected_dino,29,10,0.00718435699931,0.0103764343686,0.00148519760685,0.0161390929655
