condition,target,design,method,subset,images,groups,delta,macro_delta,lo,hi
manual,half_tv_all,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,0.042632357959,0.0535471956627,0.0265775628037,0.0662938796806
manual,half_tv_all,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,0.00529258618792,0.00363115314634,-0.00205165289255,0.013405887965
manual,half_tv_all,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,0.00249713164246,0.00185474621993,-0.00601604166666,0.010395028884
manual,half_tv_all,supported_same_room,dinov3__cls__panorama,all_available,24,7,0.00456657608688,0.00303728590246,-0.00601604166666,0.0154920948614
manual,half_tv_all,supported_same_room,dinov3__block12__faces_global,all_available,24,7,0.00406341952125,0.00292877219396,-0.00205165289255,0.010395028884
manual,late_quarter_new,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.106218045113,0.0906184766622,0.0680490549188,0.144817349593
manual,late_quarter_new,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0831052631579,0.0739158813409,0.0348615096275,0.125349746757
manual,late_quarter_new,all_other_building,dinov3__cls__panorama,all_available,133,20,0.0751466165414,0.0781666837792,0.0551222724714,0.0938698502655
manual,late_quarter_new,all_other_building,dinov3__block12__faces_global,all_available,133,20,0.104476190476,0.0790805548618,0.0727219846244,0.134111763236
manual,late_quarter_new,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,0.0909160305344,0.0752705287254,0.0237455115176,0.151875452899
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,0.0597417302799,0.0528202241432,0.00682056295719,0.104153077588
manual,late_quarter_new,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,0.0594109414759,0.0503938265953,0.0124825251787,0.0962100032359
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,0.060048346056,0.0646945867918,0.0256010571185,0.10333897964
manual,late_quarter_new,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0626021303258,0.0244912505319,0.0267379310345,0.106133085572
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0758189223058,0.0649995577339,0.0406539307363,0.112492587254
manual,late_quarter_new,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,0.0493013784461,0.0247555968337,0.0200269361642,0.0740602549239
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,0.0804104010025,0.0744007976977,0.0552348224273,0.108197201018
manual,late_quarter_new,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,0.0567361111111,0.0550009233822,0.0302001447711,0.0900526140352
manual,late_quarter_new,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,0.0727638888889,0.071667488031,0.0358827420881,0.106310259104
manual,late_quarter_new,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,0.0446276455027,0.0355004157027,0.017183058505,0.0670739567557
manual,late_quarter_new,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,0.0722625661376,0.06825013589,0.0371320872712,0.108531840278
manual,late_quarter_new,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,0.055,0.0494206349207,0.0100757575758,0.114666666667
manual,late_quarter_new,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,0.0339930555556,0.035376984127,2.4135283144e-18,0.100553968254
manual,late_quarter_new,supported_same_room,dinov3__cls__panorama,all_available,24,7,0.0449305555556,0.041626984127,2.4135283144e-18,0.105824736842
manual,late_quarter_new,supported_same_room,dinov3__block12__faces_global,all_available,24,7,0.0518402777778,0.0476150793651,0.00662878787886,0.114666666667
manual,singleton_share,all_other_building,dinov3__block3__panorama_mean,all_available,187,22,0.148746434103,0.136919539407,0.0881982564974,0.200154563851
manual,singleton_share,all_other_building,dinov3__block12__panorama_mean,all_available,187,22,0.0836572259632,0.0684167310389,0.0217188524352,0.136600951063
manual,singleton_share,all_other_building,dinov3__cls__panorama,all_available,187,22,0.0571704607104,0.088163546146,-0.00729265725253,0.125477286027
manual,singleton_share,all_other_building,dinov3__block12__faces_global,all_available,187,22,0.136284308719,0.128260437046,0.0809022721444,0.181329110404
manual,singleton_share,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,186,21,0.081775178442,0.0645434520627,0.0225364376018,0.133189815646
manual,singleton_share,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,186,21,0.0997465433794,0.0902483315748,0.0680424453562,0.128258014177
manual,singleton_share,same_building_diagnostic,dinov3__cls__panorama,all_available,186,21,0.107225770209,0.0891954738837,0.0578910482651,0.152833857181
manual,singleton_share,same_building_diagnostic,dinov3__block12__faces_global,all_available,186,21,0.0930792392016,0.0953158713409,0.0523738152541,0.137931244453
manual,singleton_share,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,187,22,0.103032853079,0.0781799854521,0.0515903234988,0.151078696121
manual,singleton_share,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,187,22,0.0886821181751,0.0794099768001,0.0355281111324,0.141346689949
manual,singleton_share,same_mainspace_other_building,dinov3__cls__panorama,all_available,187,22,0.0402069944418,0.0396918932895,-0.0185032072136,0.0937479863124
manual,singleton_share,same_mainspace_other_building,dinov3__block12__faces_global,all_available,187,22,0.132507800196,0.143490821292,0.0815528428609,0.192260825486
manual,singleton_share,same_scene_other_building,dinov3__block3__panorama_mean,all_available,180,22,0.120294774458,0.0853179242034,0.0710952400296,0.162517825557
manual,singleton_share,same_scene_other_building,dinov3__block12__panorama_mean,all_available,180,22,0.105400423957,0.104476137067,0.0466591853957,0.160010470182
manual,singleton_share,same_scene_other_building,dinov3__cls__panorama,all_available,180,22,0.0515553273005,0.0496902426472,-0.0114627603791,0.111238751524
manual,singleton_share,same_scene_other_building,dinov3__block12__faces_global,all_available,180,22,0.147727836142,0.159179223845,0.102742795832,0.200731438097
manual,singleton_share,supported_same_room,dinov3__block3__panorama_mean,all_available,40,12,0.0281818181818,0.0236026936027,-0.046994400527,0.104781233387
manual,singleton_share,supported_same_room,dinov3__block12__panorama_mean,all_available,40,12,0.0275,0.0271296296296,-0.0508857509627,0.113677536232
manual,singleton_share,supported_same_room,dinov3__cls__panorama,all_available,40,12,0.0341666666667,0.0308333333333,-0.0447159820282,0.118024556815
manual,singleton_share,supported_same_room,dinov3__block12__faces_global,all_available,40,12,0.0256818181818,0.0222138047138,-0.0506887052342,0.102562049062
manual,within_cluster_median,all_other_building,dinov3__block3__panorama_mean,all_available,145,22,0.00611822739809,0.00704193144155,0.00321894335564,0.00928915099456
manual,within_cluster_median,all_other_building,dinov3__block12__panorama_mean,all_available,145,22,0.0036418825888,0.00301521134463,0.000801572769939,0.00631240294433
manual,within_cluster_median,all_other_building,dinov3__cls__panorama,all_available,145,22,0.00548989695312,0.00528912839128,0.0033117415248,0.00807614821501
manual,within_cluster_median,all_other_building,dinov3__block12__faces_global,all_available,145,22,0.00402443106785,0.00474622457149,0.00170112459484,0.00686047165044
manual,within_cluster_median,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,143,20,0.00604331329835,0.00475414237056,0.00316383160279,0.0086858595259
manual,within_cluster_median,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,143,20,0.00794738786575,0.00686533200285,0.00381678904381,0.0123409627583
manual,within_cluster_median,same_building_diagnostic,dinov3__cls__panorama,all_available,143,20,0.00716544889161,0.00618222378253,0.00385895765092,0.0105896870397
manual,within_cluster_median,same_building_diagnostic,dinov3__block12__faces_global,all_available,143,20,0.00642132753057,0.0056189664168,0.00280660298957,0.00995944615747
manual,within_cluster_median,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,145,22,0.00477953933813,0.00394442076241,0.00187529161976,0.00738826135239
manual,within_cluster_median,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,145,22,0.00492613055583,0.00428918131541,0.00272494938446,0.00706126623679
manual,within_cluster_median,same_mainspace_other_building,dinov3__cls__panorama,all_available,145,22,0.00457905921436,0.00476725511879,0.00248263556591,0.00662285236597
manual,within_cluster_median,same_mainspace_other_building,dinov3__block12__faces_global,all_available,145,22,0.00433611400501,0.00369033349612,0.00209078177322,0.00671524516731
manual,within_cluster_median,same_scene_other_building,dinov3__block3__panorama_mean,all_available,139,22,0.0033536391134,0.00218999116612,0.000133485493662,0.00616083531439
manual,within_cluster_median,same_scene_other_building,dinov3__block12__panorama_mean,all_available,139,22,0.00519625942618,0.0032732698875,0.00203710794986,0.00808559865195
manual,within_cluster_median,same_scene_other_building,dinov3__cls__panorama,all_available,139,22,0.00428959922282,0.00279490663602,0.00205809483182,0.00603867975076
manual,within_cluster_median,same_scene_other_building,dinov3__block12__faces_global,all_available,139,22,0.0046568352468,0.0031014933721,0.0019206651694,0.00734964767901
manual,within_cluster_median,supported_same_room,dinov3__block3__panorama_mean,all_available,29,10,0.00241538890554,0.00116743797101,0,0.00618055396417
manual,within_cluster_median,supported_same_room,dinov3__block12__panorama_mean,all_available,29,10,0.00455918586534,0.00224624710432,0,0.0106018516755
manual,within_cluster_median,supported_same_room,dinov3__cls__panorama,all_available,29,10,0.00424429421876,0.00209404947514,0,0.00981912101116
manual,within_cluster_median,supported_same_room,dinov3__block12__faces_global,all_available,29,10,0.00411807618187,0.0019904034879,0,0.0105374302301
semi,candidate_v2,all_other_building,dinov3__block3__panorama_mean,all_available,14,7,0.644937899017,0.46144721203,0.029989365018,1.17083059391
semi,candidate_v2,all_other_building,dinov3__block12__panorama_mean,all_available,14,7,0.644937899017,0.623351973935,0.193219206472,1.18243217544
semi,candidate_v2,all_other_building,dinov3__cls__panorama,all_available,14,7,0.644937899017,0.766209116792,0.270830593908,1.18157367108
semi,candidate_v2,all_other_building,dinov3__block12__faces_global,all_available,14,7,0.359223613303,0.385256735839,0.112343243967,0.667354260488
semi,candidate_v2,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,10,3,0.3,0.333333333333,0,1
semi,candidate_v2,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,10,3,0.3,0.333333333333,0,1
semi,candidate_v2,same_building_diagnostic,dinov3__cls__panorama,all_available,10,3,0.3,0.333333333333,0,1
semi,candidate_v2,same_building_diagnostic,dinov3__block12__faces_global,all_available,10,3,0.3,0.333333333333,0,1
semi,candidate_v2,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,12,7,0.0833333333333,0.142857142857,-0.136363636364,0.5
semi,candidate_v2,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,12,7,0.25,0.428571428571,0,0.857142857143
semi,candidate_v2,same_mainspace_other_building,dinov3__cls__panorama,all_available,12,7,0.25,0.428571428571,0,0.857142857143
semi,candidate_v2,same_mainspace_other_building,dinov3__block12__faces_global,all_available,12,7,0.25,0.428571428571,0,0.857142857143
semi,candidate_v2,same_scene_other_building,dinov3__block3__panorama_mean,all_available,9,4,0,0,0,0
semi,candidate_v2,same_scene_other_building,dinov3__block12__panorama_mean,all_available,9,4,0,0,0,0
semi,candidate_v2,same_scene_other_building,dinov3__cls__panorama,all_available,9,4,0,0,0,0
semi,candidate_v2,same_scene_other_building,dinov3__block12__faces_global,all_available,9,4,0,0,0,0
semi,core10_p_by_19,all_other_building,dinov3__block3__panorama_mean,all_available,42,12,0.0472619047619,0.068498015873,-0.00934918478261,0.133192116477
semi,core10_p_by_19,all_other_building,dinov3__block12__panorama_mean,all_available,42,12,0.134523809524,0.168884424603,0.0811530612245,0.213549955197
semi,core10_p_by_19,all_other_building,dinov3__cls__panorama,all_available,42,12,0.0954761904762,0.068314484127,0.0465022727273,0.133919503638
semi,core10_p_by_19,all_other_building,dinov3__block12__faces_global,all_available,42,12,0.0682142857143,0.0923531746032,0.0296261337868,0.114234248992
semi,core10_p_by_19,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,40,10,0.045875,0.0575732142857,-0.00869119062901,0.121401418067
