condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,core10_p_by_19,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,10,0.54,0.53030952381,
manual,core10_p_by_19,supported_same_room,dinov3__cls__panorama,all_available,24,7,10,0.504791666667,0.508142857143,
manual,core10_p_by_19,supported_same_room,source_frequency_or_median,all_available,24,7,10,0.466666666667,0.460976190476,
manual,core10_p_by_19,supported_same_room,uniform_random_source_expectation,all_available,24,7,10,0.481111111111,0.480253968254,
manual,core_tail_10,all_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.328872180451,0.305200598013,
manual,core_tail_10,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.398045112782,0.385891303141,
manual,core_tail_10,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.383270676692,0.410519130175,
manual,core_tail_10,all_other_building,dinov3__cls__panorama,all_available,133,20,31,0.391879699248,0.405864049145,
manual,core_tail_10,all_other_building,source_frequency_or_median,all_available,133,20,31,0.278759398496,0.280431318681,
manual,core_tail_10,all_other_building,uniform_random_source_expectation,all_available,133,20,31,0.366713560035,0.368137509837,
manual,core_tail_10,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,30,0.347099236641,0.373086785899,
manual,core_tail_10,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,30,0.374541984733,0.391142850205,
manual,core_tail_10,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,30,0.369580152672,0.379193946486,
manual,core_tail_10,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,30,0.378167938931,0.39731425596,
manual,core_tail_10,same_building_diagnostic,source_frequency_or_median,all_available,131,18,30,0.294503816794,0.319847189847,
manual,core_tail_10,same_building_diagnostic,uniform_random_source_expectation,all_available,131,18,30,0.3598668624,0.36287700756,
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.354661654135,0.366759022228,
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.396315789474,0.368623640249,
manual,core_tail_10,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.375338345865,0.350318924131,
manual,core_tail_10,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,31,0.336315789474,0.302695464258,
manual,core_tail_10,same_mainspace_other_building,source_frequency_or_median,all_available,133,20,31,0.300695488722,0.31855349685,
manual,core_tail_10,same_mainspace_other_building,uniform_random_source_expectation,all_available,133,20,31,0.369990894219,0.377378655373,
manual,core_tail_10,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,31,0.358531746032,0.372315018315,
manual,core_tail_10,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,31,0.425238095238,0.420265142022,
manual,core_tail_10,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,31,0.355436507937,0.359706453634,
manual,core_tail_10,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,31,0.36119047619,0.349953264572,
manual,core_tail_10,same_scene_other_building,source_frequency_or_median,all_available,126,19,31,0.281150793651,0.289175314086,
manual,core_tail_10,same_scene_other_building,uniform_random_source_expectation,all_available,126,19,31,0.367550137326,0.373793118491,
manual,core_tail_10,supported_same_room,dinov3__block12__faces_global,all_available,24,7,10,0.317708333333,0.288833333333,
manual,core_tail_10,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,10,0.33125,0.298119047619,
manual,core_tail_10,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,10,0.332708333333,0.297404761905,
manual,core_tail_10,supported_same_room,dinov3__cls__panorama,all_available,24,7,10,0.333958333333,0.299666666667,
manual,core_tail_10,supported_same_room,source_frequency_or_median,all_available,24,7,10,0.277291666667,0.257023809524,
manual,core_tail_10,supported_same_room,uniform_random_source_expectation,all_available,24,7,10,0.304722222222,0.277055555556,
manual,full_p_by_8,all_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.391842105263,0.372313224969,
manual,full_p_by_8,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.393759398496,0.384863962426,
manual,full_p_by_8,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.400827067669,0.412463720307,
